"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d071_ACN_QEA",1,10802,-1.968036,56.1753,5.84256
"y1_d071_ACN_QEA",1,10852,-1.566876,49.5072,5.68395
"y1_d071_ACN_QEA",1,10902,-1.192359,42.8883,5.48571
"y1_d071_ACN_QEA",1,10952,-0.844491,36.3186,5.24781
"y1_d071_ACN_QEA",1,11002,-0.523269,29.79837,4.97025
"y1_d071_ACN_QEA",1,11052,-0.228693,23.3274,4.65309
"y1_d071_ACN_QEA",1,11102,0.0392388,16.90578,4.29624
"y1_d071_ACN_QEA",1,11152,0.2805258,10.53342,3.89976
"y1_d071_ACN_QEA",1,11202,0.495165,4.21044,3.46365
"y1_d071_ACN_QEA",1,11252,0.68316,-2.063253,2.987877
"y1_d071_ACN_QEA",2,24452,-1.737663,57.504,6.05778
"y1_d071_ACN_QEA",2,24502,-1.575756,50.9298,5.65923
"y1_d071_ACN_QEA",2,24552,-1.412751,44.4165,5.2092
"y1_d071_ACN_QEA",2,24602,-1.248651,37.9644,4.70769
"y1_d071_ACN_QEA",2,24652,-1.083453,31.5732,4.15476
"y1_d071_ACN_QEA",2,24702,-0.91716,25.24329,3.55035
"y1_d071_ACN_QEA",2,24752,-0.749769,18.97449,2.894511
"y1_d071_ACN_QEA",2,24802,-0.581283,12.76677,2.187204
"y1_d071_ACN_QEA",2,24852,-0.411702,6.62019,1.428444
"y1_d071_ACN_QEA",2,24902,-0.2410218,0.534696,0.618225
"y1_d071_ACN_QEA",2,24952,-0.0692466,-5.48967,-0.2434446
"y1_d071_ACN_QEA",3,40002,-1.912311,56.5857,5.97963
"y1_d071_ACN_QEA",3,40052,-1.5702,49.8168,5.67489
"y1_d071_ACN_QEA",3,40102,-1.23948,43.1133,5.3292
"y1_d071_ACN_QEA",3,40152,-0.920154,36.4752,4.94253
"y1_d071_ACN_QEA",3,40202,-0.612225,29.90202,4.51494
"y1_d071_ACN_QEA",3,40252,-0.315687,23.39418,4.04643
"y1_d071_ACN_QEA",3,40302,-0.030543,16.95156,3.53694
"y1_d071_ACN_QEA",3,40352,0.2432073,10.57413,2.986515
"y1_d071_ACN_QEA",3,40402,0.505566,4.26189,2.395143
"y1_d071_ACN_QEA",3,40452,0.756528,-1.985088,1.762827
"y1_d071_ACN_QEA",4,56402,-2.022822,56.2845,5.94117
"y1_d071_ACN_QEA",4,56452,-1.745964,49.5459,5.74962
"y1_d071_ACN_QEA",4,56502,-1.513266,42.8664,5.49573
