"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d053_APZ_QEA",1,17990,-1.544661,54.8133,6.06903
"y1_d053_APZ_QEA",1,18040,-1.132308,48.204,5.72238
"y1_d053_APZ_QEA",1,18090,-0.72207,41.6196,5.30121
"y1_d053_APZ_QEA",1,18140,-0.31395,35.0601,4.80552
"y1_d053_APZ_QEA",1,18190,0.0920574,28.52565,4.23534
"y1_d053_APZ_QEA",1,18240,0.495945,22.01619,3.59064
"y1_d053_APZ_QEA",1,18290,0.897714,15.53175,2.871411
"y1_d053_APZ_QEA",1,18340,1.297368,9.0723,2.077683
"y1_d053_APZ_QEA",1,18390,1.694907,2.637819,1.209444
"y1_d053_APZ_QEA",1,18440,2.090328,-3.77169,0.2666862
"y1_d053_APZ_QEA",2,31890,-1.830951,57.2244,6.05667
"y1_d053_APZ_QEA",2,31940,-1.234791,50.4033,5.81268
"y1_d053_APZ_QEA",2,31990,-0.684021,43.6458,5.4969
"y1_d053_APZ_QEA",2,32040,-0.1786401,36.9519,5.1093
"y1_d053_APZ_QEA",2,32090,0.2813532,30.3219,4.64991
"y1_d053_APZ_QEA",2,32140,0.695958,23.75565,4.11873
"y1_d053_APZ_QEA",2,32190,1.065177,17.25303,3.51573
"y1_d053_APZ_QEA",2,32240,1.389006,10.81419,2.840952
"y1_d053_APZ_QEA",2,32290,1.667448,4.43904,2.094372
"y1_d053_APZ_QEA",2,32340,1.900503,-1.87236,1.275996
"y1_d053_APZ_QEA",2,32390,2.088168,-8.12004,0.385821
"y1_d053_APZ_QEA",3,47490,-1.791948,51.8826,5.97966
"y1_d053_APZ_QEA",3,47540,-1.379745,44.9691,5.74701
"y1_d053_APZ_QEA",3,47590,-1.030173,38.1369,5.44353
"y1_d053_APZ_QEA",3,47640,-0.743229,31.3857,5.06922
"y1_d053_APZ_QEA",3,47690,-0.518916,24.71565,4.62408
"y1_d053_APZ_QEA",3,47740,-0.357231,18.12654,4.10811
"y1_d053_APZ_QEA",3,47790,-0.2581785,11.61846,3.52131
"y1_d053_APZ_QEA",3,47840,-0.2217549,5.19141,2.86368
"y1_d053_APZ_QEA",3,47890,-0.2479614,-1.15461,2.135223
"y1_d053_APZ_QEA",3,47940,-0.336798,-7.41963,1.33593
"y1_d053_APZ_QEA",4,62940,-1.513797,52.1664,5.98458
"y1_d053_APZ_QEA",4,62990,-1.023654,45.2661,5.754
"y1_d053_APZ_QEA",4,63040,-0.563508,38.4399,5.45775
"y1_d053_APZ_QEA",4,63090,-0.1333611,31.6878,5.09589
"y1_d053_APZ_QEA",4,63140,0.2667894,25.01007,4.66839
"y1_d053_APZ_QEA",4,63190,0.636945,18.40635,4.17525
"y1_d053_APZ_QEA",4,63240,0.9771,11.87676,3.61644
