"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d004_CGA_QEA",1,34699,-1.663989,55.4514,6.28734
"y1_d004_CGA_QEA",1,34732,-1.61484,50.9316,6.15498
"y1_d004_CGA_QEA",1,34765,-1.580349,46.4547,6.00885
"y1_d004_CGA_QEA",1,34798,-1.560513,42.0201,5.84898
"y1_d004_CGA_QEA",1,34831,-1.555332,37.6281,5.67531
"y1_d004_CGA_QEA",1,34864,-1.564809,33.2787,5.4879
"y1_d004_CGA_QEA",1,34897,-1.588941,28.97184,5.28672
"y1_d004_CGA_QEA",1,34930,-1.627731,24.70755,5.07177
"y1_d004_CGA_QEA",1,34963,-1.681176,20.48589,4.84305
"y1_d004_CGA_QEA",1,34996,-1.749276,16.30683,4.60056
"y1_d004_CGA_QEA",1,35029,-1.832034,12.17031,4.34433
"y1_d004_CGA_QEA",1,35062,-1.929447,8.07639,4.0743
"y1_d004_CGA_QEA",1,35095,-2.041518,4.02504,3.79053
"y1_d004_CGA_QEA",1,35128,-2.168244,0.01628589,3.49299
"y1_d004_CGA_QEA",1,35161,-2.309625,-3.94989,3.18168
"y1_d004_CGA_QEA",2,47470,-1.637106,54.429,6.138
"y1_d004_CGA_QEA",2,47503,-1.284213,49.821,5.87661
"y1_d004_CGA_QEA",2,47536,-0.958383,45.267,5.60283
"y1_d004_CGA_QEA",2,47569,-0.659616,40.767,5.31669
"y1_d004_CGA_QEA",2,47602,-0.387912,36.3207,5.01816
"y1_d004_CGA_QEA",2,47635,-0.143271,31.9287,4.70721
"y1_d004_CGA_QEA",2,47668,0.0743073,27.59043,4.38393
"y1_d004_CGA_QEA",2,47701,0.2648229,23.30619,4.04823
"y1_d004_CGA_QEA",2,47734,0.428274,19.07586,3.70014
"y1_d004_CGA_QEA",2,47767,0.564666,14.89953,3.33969
"y1_d004_CGA_QEA",2,47800,0.673992,10.77711,2.966847
"y1_d004_CGA_QEA",2,47833,0.756255,6.70866,2.58162
"y1_d004_CGA_QEA",2,47866,0.811458,2.694174,2.184009
"y1_d004_CGA_QEA",2,47899,0.839595,-1.266369,1.774014
"y1_d004_CGA_QEA",2,47932,0.840672,-5.17296,1.351638
"y1_d004_CGA_QEA",3,62452,-1.690635,56.6943,6.17628
"y1_d004_CGA_QEA",3,62485,-1.478283,52.2423,5.95176
"y1_d004_CGA_QEA",3,62518,-1.284222,47.8275,5.71254
"y1_d004_CGA_QEA",3,62551,-1.108461,43.4496,5.45856
"y1_d004_CGA_QEA",3,62584,-0.950991,39.1086,5.18985
"y1_d004_CGA_QEA",3,62617,-0.811818,34.8048,4.90644
"y1_d004_CGA_QEA",3,62650,-0.690939,30.5379,4.6083
"y1_d004_CGA_QEA",3,62683,-0.588357,26.30817,4.2954
"y1_d004_CGA_QEA",3,62716,-0.504069,22.11537,3.9678
"y1_d004_CGA_QEA",3,62749,-0.438075,17.95962,3.62547
"y1_d004_CGA_QEA",3,62782,-0.390375,13.84083,3.26841
"y1_d004_CGA_QEA",3,62815,-0.360972,9.75909,2.896617
"y1_d004_CGA_QEA",3,62848,-0.349866,5.71437,2.510103
"y1_d004_CGA_QEA",3,62881,-0.357054,1.706682,2.108859
"y1_d004_CGA_QEA",3,62914,-0.382536,-2.263989,1.692891
"y1_d004_CGA_QEA",3,62947,-0.426312,-6.19764,1.262196
"y1_d004_CGA_QEA",4,76114,-1.893003,56.3808,6.11931
"y1_d004_CGA_QEA",4,76147,-1.600707,51.7692,6.04641
"y1_d004_CGA_QEA",4,76180,-1.335468,47.2041,5.955
"y1_d004_CGA_QEA",4,76213,-1.097286,42.6849,5.84517
"y1_d004_CGA_QEA",4,76246,-0.886161,38.2122,5.71689
"y1_d004_CGA_QEA",4,76279,-0.702093,33.7857,5.57013
"y1_d004_CGA_QEA",4,76312,-0.545085,29.4054,5.40492
"y1_d004_CGA_QEA",4,76345,-0.415131,25.07139,5.22126
"y1_d004_CGA_QEA",4,76378,-0.312237,20.78364,5.01915
"y1_d004_CGA_QEA",4,76411,-0.2363985,16.54212,4.79856
"y1_d004_CGA_QEA",4,76444,-0.1876179,12.34686,4.55955
"y1_d004_CGA_QEA",4,76477,-0.1658943,8.19783,4.30206
"y1_d004_CGA_QEA",4,76510,-0.171228,4.09509,4.02612
"y1_d004_CGA_QEA",4,76543,-0.203619,0.0385719,3.73173
"y1_d004_CGA_QEA",4,76576,0.1059999,4.6377,-0.000800001
"y1_d004_CGA_QEA",4,76609,0.652401,7.8588,-0.001599999
"y1_d004_CGA_QEA",4,76642,1.1988,11.0799,-0.0024
"y1_d004_CGA_QEA",4,76675,1.745199,14.301,-0.00320001
"y1_d004_CGA_QEA",4,76708,2.291601,17.5221,-0.00399999
"y1_d004_CGA_QEA",4,76741,2.838,20.7432,-0.0048
"y1_d004_CGA_QEA",4,76774,2.955009,21.8982,0.469881
"y1_d004_CGA_QEA",4,76807,3.16929,23.27925,0.783771
"y1_d004_CGA_QEA",4,76840,3.38184,24.65325,1.057545
