"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d082_FBP_QEA",1,2224,-2.822127,55.3815,5.9328
"y1_d082_FBP_QEA",1,2274,-2.567028,49.0662,5.65107
"y1_d082_FBP_QEA",1,2324,-2.333802,42.7884,5.31801
"y1_d082_FBP_QEA",1,2374,-2.122449,36.5478,4.93359
"y1_d082_FBP_QEA",1,2424,-1.932966,30.3441,4.49781
"y1_d082_FBP_QEA",1,2474,-1.765362,24.17805,4.0107
"y1_d082_FBP_QEA",1,2524,-1.619628,18.04911,3.4722
"y1_d082_FBP_QEA",1,2574,-1.495767,11.9574,2.88237
"y1_d082_FBP_QEA",1,2624,-1.393782,5.90292,2.24118
"y1_d082_FBP_QEA",1,2674,-1.313667,-0.1143333,1.548633
"y1_d082_FBP_QEA",1,2724,-1.255428,-6.09432,0.804732
"y1_d082_FBP_QEA",2,15474,-2.805261,56.8275,5.84304
"y1_d082_FBP_QEA",2,15524,-2.626854,50.2323,5.63511
"y1_d082_FBP_QEA",2,15574,-2.466861,43.7193,5.35764
"y1_d082_FBP_QEA",2,15624,-2.325288,37.2891,5.0106
"y1_d082_FBP_QEA",2,15674,-2.202129,30.9411,4.59402
"y1_d082_FBP_QEA",2,15724,-2.09739,24.67551,4.10787
"y1_d082_FBP_QEA",2,15774,-2.011065,18.49248,3.55218
"y1_d082_FBP_QEA",2,15824,-1.943157,12.39192,2.926944
"y1_d082_FBP_QEA",2,15874,-1.893666,6.3738,2.232156
"y1_d082_FBP_QEA",2,15924,-1.862592,0.438111,1.46781
"y1_d082_FBP_QEA",2,15974,-1.849938,-5.41509,0.633918
"y1_d082_FBP_QEA",3,29774,-2.626998,54.7101,5.78559
"y1_d082_FBP_QEA",3,29824,-2.325057,48.2259,5.65638
"y1_d082_FBP_QEA",3,29874,-2.041791,41.7999,5.47557
"y1_d082_FBP_QEA",3,29924,-1.7772,35.4324,5.24319
"y1_d082_FBP_QEA",3,29974,-1.53129,29.12277,4.95921
"y1_d082_FBP_QEA",3,30024,-1.304055,22.8714,4.62366
"y1_d082_FBP_QEA",3,30074,-1.095498,16.67826,4.23651
"y1_d082_FBP_QEA",3,30124,-0.905619,10.54329,3.79779
"y1_d082_FBP_QEA",3,30174,-0.734415,4.46649,3.30747
"y1_d082_FBP_QEA",3,30224,-0.581889,-1.552119,2.765568
"y1_d082_FBP_QEA",4,46424,-2.623962,53.4402,5.71791
"y1_d082_FBP_QEA",4,46474,-2.177958,47.0091,5.42892
"y1_d082_FBP_QEA",4,46524,-1.766538,40.6299,5.07771
"y1_d082_FBP_QEA",4,46574,-1.389705,34.3026,4.66425
"y1_d082_FBP_QEA",4,46624,-1.047456,28.02774,4.18857
"y1_d082_FBP_QEA",4,46674,-0.739788,21.80481,3.65067
"y1_d082_FBP_QEA",4,46724,-0.46671,15.63399,3.05055
"y1_d082_FBP_QEA",4,46774,-0.2282142,9.51528,2.388213
"y1_d082_FBP_QEA",4,46824,-0.02430459,3.44868,1.663638
"y1_d082_FBP_QEA",4,46874,-2.0067,3.7725,0.0963
"y1_d082_FBP_QEA",4,46924,-3.10314,6.08787,1.345053
"y1_d082_FBP_QEA",4,46974,-4.48506,8.23227,2.283117
"y1_d082_FBP_QEA",4,47024,-5.8626,10.35732,3.13293
"y1_d082_FBP_QEA",4,47074,-7.23582,12.46308,3.89451
"y1_d082_FBP_QEA",4,47124,-8.60469,14.54952,4.56783
"y1_d082_FBP_QEA",4,47174,-9.96921,16.61664,5.15289
"y1_d082_FBP_QEA",4,47224,-11.32941,18.66441,5.64972
"y1_d082_FBP_QEA",4,47274,-12.68523,20.69289,6.05832
"y1_d082_FBP_QEA",4,47324,-14.0367,22.70205,6.37866
"y1_d082_FBP_QEA",4,47374,-15.38382,24.69189,6.61074
"y1_d082_FBP_QEA",4,47424,-16.72659,26.66241,6.75459
"y1_d082_FBP_QEA",4,47474,-18.06501,28.61361,6.81018
"y1_d082_FBP_QEA",4,47524,-19.39911,30.5454,6.77751
"y1_d082_FBP_QEA",4,47574,-20.72883,32.4582,6.65661
"y1_d082_FBP_QEA",4,47624,-22.0542,34.3512,6.44748
"y1_d082_FBP_QEA",4,47674,-23.37525,36.2253,6.15009
"y1_d082_FBP_QEA",4,47724,-24.69192,38.0799,5.76444
"y1_d082_FBP_QEA",4,47774,-26.00427,39.915,5.29056
"y1_d082_FBP_QEA",4,47824,-27.31224,41.7312,4.72842
"y1_d082_FBP_QEA",4,47874,-28.61589,43.5276,4.07805
"y1_d082_FBP_QEA",4,47924,-29.91519,45.3051,3.33942
"y1_d082_FBP_QEA",4,47974,-31.2102,47.0631,2.512536
"y1_d082_FBP_QEA",4,48024,-32.5008,48.8019,1.597416
"y1_d082_FBP_QEA",4,48074,-33.7869,50.5212,0.594048
"y1_d082_FBP_QEA",4,48124,-35.0688,52.2213,-0.497568
"y1_d082_FBP_QEA",4,48174,-36.0093,53.4213,0.91305
"y1_d082_FBP_QEA",4,48224,-37.0374,54.8376,1.34616
