"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d059_JNJ_QEA",1,32757,-1.801527,52.7034,6.48921
"y1_d059_JNJ_QEA",1,32807,-1.539597,46.3398,6.13479
"y1_d059_JNJ_QEA",1,32857,-1.298949,40.0434,5.73891
"y1_d059_JNJ_QEA",1,32907,-1.079577,33.8145,5.30163
"y1_d059_JNJ_QEA",1,32957,-0.881484,27.65274,4.82292
"y1_d059_JNJ_QEA",1,33007,-0.704667,21.55833,4.30278
"y1_d059_JNJ_QEA",1,33057,-0.549129,15.53124,3.74124
"y1_d059_JNJ_QEA",1,33107,-0.41487,9.5715,3.13824
"y1_d059_JNJ_QEA",1,33157,-0.30189,3.67908,2.493843
"y1_d059_JNJ_QEA",1,33207,-0.2101872,-2.14605,1.808013
"y1_d059_JNJ_QEA",2,49507,-1.760868,54.5079,6.27795
"y1_d059_JNJ_QEA",2,49557,-1.254279,48.0456,6.11583
"y1_d059_JNJ_QEA",2,49607,-0.761199,41.6418,5.8977
"y1_d059_JNJ_QEA",2,49657,-0.2816256,35.2965,5.62356
"y1_d059_JNJ_QEA",2,49707,0.1844424,29.0097,5.29341
"y1_d059_JNJ_QEA",2,49757,0.637005,22.78149,4.90722
"y1_d059_JNJ_QEA",2,49807,1.076061,16.61181,4.46502
"y1_d059_JNJ_QEA",2,49857,1.501611,10.50069,3.96678
"y1_d059_JNJ_QEA",2,49907,1.913655,4.4481,3.41256
"y1_d059_JNJ_QEA",2,49957,2.312193,-1.54596,2.802291
"y1_d059_JNJ_QEA",2,50007,2.697225,-7.48149,2.136015
"y1_d059_JNJ_QEA",3,60507,-2.089629,56.8878,6.35679
"y1_d059_JNJ_QEA",3,60557,-1.78956,50.8173,6.0648
"y1_d059_JNJ_QEA",3,60607,-1.522272,44.8029,5.70783
"y1_d059_JNJ_QEA",3,60657,-1.287768,38.8443,5.28594
"y1_d059_JNJ_QEA",3,60707,-1.086048,32.9418,4.7991
"y1_d059_JNJ_QEA",3,60757,-0.917109,27.09522,4.24731
"y1_d059_JNJ_QEA",3,60807,-0.780954,21.30459,3.63057
"y1_d059_JNJ_QEA",3,60857,-0.67758,15.56997,2.948883
"y1_d059_JNJ_QEA",3,60907,-0.60699,9.8913,2.202258
"y1_d059_JNJ_QEA",3,60957,-0.569181,4.26858,1.390686
"y1_d059_JNJ_QEA",3,61007,-0.564156,-1.298166,0.514173
"y1_d059_JNJ_QEA",3,61057,-0.591915,-6.80898,-0.427293
"y1_d059_JNJ_QEA",4,77107,-1.981083,52.8882,6.53397
"y1_d059_JNJ_QEA",4,77157,-1.694115,47.0094,6.10431
"y1_d059_JNJ_QEA",4,77207,-1.425246,41.1744,5.6334
"y1_d059_JNJ_QEA",4,77257,-1.174476,35.3832,5.12121
"y1_d059_JNJ_QEA",4,77307,-0.941799,29.63553,4.56777
"y1_d059_JNJ_QEA",4,77357,-0.727224,23.93169,3.97305
"y1_d059_JNJ_QEA",4,77407,-0.530742,18.27159,3.33708
