"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d060.5_JNJ_QEA",1,43590,-1.93467,56.9688,5.79144
"y1_d060.5_JNJ_QEA",1,43640,-1.87254,50.598,5.61744
"y1_d060.5_JNJ_QEA",1,43690,-1.802037,44.2761,5.38476
"y1_d060.5_JNJ_QEA",1,43740,-1.723167,38.0028,5.09343
"y1_d060.5_JNJ_QEA",1,43790,-1.63593,31.7781,4.74348
"y1_d060.5_JNJ_QEA",1,43840,-1.540323,25.60194,4.33488
"y1_d060.5_JNJ_QEA",1,43890,-1.436346,19.47447,3.86763
"y1_d060.5_JNJ_QEA",1,43940,-1.324002,13.39563,3.34173
"y1_d060.5_JNJ_QEA",1,43990,-1.203288,7.36539,2.75721
"y1_d060.5_JNJ_QEA",1,44040,-1.074204,1.38381,2.114031
"y1_d060.5_JNJ_QEA",1,44090,-0.936753,-4.54917,1.412205
"y1_d060.5_JNJ_QEA",2,54990,-2.045004,54.4617,5.67096
"y1_d060.5_JNJ_QEA",2,55040,-1.775787,48.1548,5.57718
"y1_d060.5_JNJ_QEA",2,55090,-1.506216,41.9013,5.42667
"y1_d060.5_JNJ_QEA",2,55140,-1.236291,35.7006,5.2194
"y1_d060.5_JNJ_QEA",2,55190,-0.966018,29.55309,4.9554
"y1_d060.5_JNJ_QEA",2,55240,-0.695391,23.45871,4.63464
"y1_d060.5_JNJ_QEA",2,55290,-0.42441,17.4174,4.25712
"y1_d060.5_JNJ_QEA",2,55340,-0.1530786,11.42919,3.82287
"y1_d060.5_JNJ_QEA",2,55390,0.1186047,5.49408,3.33186
"y1_d060.5_JNJ_QEA",2,55440,0.390639,-0.387927,2.784096
"y1_d060.5_JNJ_QEA",2,55490,0.663027,-6.21684,2.179584
"y1_d060.5_JNJ_QEA",3,71190,-1.906665,54.8013,5.83212
"y1_d060.5_JNJ_QEA",3,71240,-1.649073,48.9063,5.36727
"y1_d060.5_JNJ_QEA",3,71290,-1.388583,43.062,4.85601
"y1_d060.5_JNJ_QEA",3,71340,-1.125192,37.2681,4.29837
"y1_d060.5_JNJ_QEA",3,71390,-0.858903,31.5249,3.69432
"y1_d060.5_JNJ_QEA",3,71440,-0.589716,25.83207,3.04389
"y1_d060.5_JNJ_QEA",3,71490,-0.317628,20.18994,2.347056
"y1_d060.5_JNJ_QEA",3,71540,-0.0426399,14.59839,1.603824
"y1_d060.5_JNJ_QEA",3,71590,0.2352483,9.05742,0.814191
"y1_d060.5_JNJ_QEA",3,71640,0.516033,3.56703,-0.02183349
"y1_d060.5_JNJ_QEA",3,71690,0.799719,-1.872786,-0.904257
"y1_d060.5_JNJ_QEA",3,71740,1.086306,-7.26201,-1.833075
"y1_d060.5_JNJ_QEA",4,86790,-2.060796,55.7886,5.76396
"y1_d060.5_JNJ_QEA",4,86840,-2.093235,49.4481,5.73507
"y1_d060.5_JNJ_QEA",4,86890,-2.112288,43.1784,5.64627
"y1_d060.5_JNJ_QEA",4,86940,-2.117952,36.9795,5.49756
"y1_d060.5_JNJ_QEA",4,86990,-2.110233,30.8517,5.28894
"y1_d060.5_JNJ_QEA",4,87040,-2.089125,24.7944,5.02038
"y1_d060.5_JNJ_QEA",4,87090,-2.054631,18.80799,4.69191
"y1_d060.5_JNJ_QEA",4,87140,-2.006751,12.89244,4.30353
"y1_d060.5_JNJ_QEA",4,87190,-1.945485,7.04772,3.85524
"y1_d060.5_JNJ_QEA",4,87240,-1.870833,1.273845,3.34701
"y1_d060.5_JNJ_QEA",4,87290,-1.782795,-4.4292,2.778894
"y1_d060.5_JNJ_QEA",5,101890,-1.884423,52.1352,5.79084
"y1_d060.5_JNJ_QEA",5,101940,-1.783614,45.8442,5.60085
