game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y1_d066_OWH_QEA,1,2151,-2.829144,55.9539,6.03345
y1_d066_OWH_QEA,1,2201,-2.535777,49.5597,5.79933
y1_d066_OWH_QEA,1,2251,-2.263086,43.209,5.51754
y1_d066_OWH_QEA,1,2301,-2.011065,36.9015,5.18811
y1_d066_OWH_QEA,1,2351,-1.77972,30.6375,4.81101
y1_d066_OWH_QEA,1,2401,-1.569051,24.41676,4.38624
y1_d066_OWH_QEA,1,2451,-1.379055,18.23943,3.9138
y1_d066_OWH_QEA,1,2501,-1.209735,12.10545,3.39369
y1_d066_OWH_QEA,1,2551,-1.061088,6.01482,2.82594
y1_d066_OWH_QEA,1,2601,-0.933117,-0.0324138,2.21052
y1_d066_OWH_QEA,1,2651,-0.825819,-6.0363,1.547439
y1_d066_OWH_QEA,2,17401,-2.983929,55.7073,5.63826
y1_d066_OWH_QEA,2,17451,-2.463444,49.044,5.38437
y1_d066_OWH_QEA,2,17501,-1.991229,42.4851,5.0562
y1_d066_OWH_QEA,2,17551,-1.567284,36.03,4.65378
y1_d066_OWH_QEA,2,17601,-1.191609,29.67894,4.17705
y1_d066_OWH_QEA,2,17651,-0.864207,23.43201,3.62607
y1_d066_OWH_QEA,2,17701,-0.585072,17.28918,3.00084
y1_d066_OWH_QEA,2,17751,-0.35421,11.25039,2.301324
y1_d066_OWH_QEA,2,17801,-0.1716153,5.31564,1.527537
y1_d066_OWH_QEA,2,17851,-0.0372924,-0.515025,0.679485
y1_d066_OWH_QEA,2,17901,0.0487605,-6.24162,-0.242835
y1_d066_OWH_QEA,3,32451,-2.857674,56.4057,5.67417
y1_d066_OWH_QEA,3,32501,-2.477235,49.9149,5.54433
y1_d066_OWH_QEA,3,32551,-2.125989,43.482,5.3292
y1_d066_OWH_QEA,3,32601,-1.80393,37.1067,5.02875
y1_d066_OWH_QEA,3,32651,-1.511061,30.7893,4.64304
y1_d066_OWH_QEA,3,32701,-1.247385,24.52959,4.17204
y1_d066_OWH_QEA,3,32751,-1.012896,18.32772,3.61575
y1_d066_OWH_QEA,3,32801,-0.807594,12.18357,2.974146
y1_d066_OWH_QEA,3,32851,-0.631485,6.09723,2.247264
y1_d066_OWH_QEA,3,32901,-0.484563,0.0686862,1.435089
y1_d066_OWH_QEA,3,32951,-1.357581,7.56213,6.71145
y1_d066_OWH_QEA,3,33001,-2.214795,12.25629,11.39169
y1_d066_OWH_QEA,3,33051,-3.07176,16.91499,15.98841
y1_d066_OWH_QEA,3,33101,-3.9285,21.53814,20.50158
y1_d066_OWH_QEA,3,33151,-4.78497,26.12583,24.93123
y1_d066_OWH_QEA,3,33201,-5.64123,30.678,29.27736
y1_d066_OWH_QEA,3,33251,-6.49722,35.1948,33.54
y1_d066_OWH_QEA,3,33301,-7.35297,39.6759,37.719
y1_d066_OWH_QEA,3,33351,-8.20848,44.1216,41.8146
y1_d066_OWH_QEA,3,33401,-9.06372,48.5319,45.8265
y1_d066_OWH_QEA,3,33451,-9.91875,52.9065,49.755
y1_d066_OWH_QEA,3,33501,-10.77354,57.2457,53.5998
y1_d066_OWH_QEA,3,33551,-11.62806,61.5495,57.3615
y1_d066_OWH_QEA,3,33601,-12.48234,65.8176,61.0392
y1_d066_OWH_QEA,3,33651,-13.33638,70.0503,64.6335
y1_d066_OWH_QEA,3,33701,-14.19018,74.2476,68.1444
y1_d066_OWH_QEA,3,33751,-15.04374,78.4092,71.5716
y1_d066_OWH_QEA,3,33801,-15.89706,82.5354,74.9154
y1_d066_OWH_QEA,3,33851,-16.75011,86.6262,78.1758
y1_d066_OWH_QEA,3,33901,-17.60295,90.6813,81.3525
y1_d066_OWH_QEA,3,33951,-18.45552,94.701,84.4455
y1_d066_OWH_QEA,3,34001,-19.30785,98.6853,87.4551
y1_d066_OWH_QEA,3,34051,-20.15997,102.6342,90.3813
