"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d067_OWH_QEA",1,28615,-0.919338,57.4326,6.58959
"y1_d067_OWH_QEA",1,28665,-0.719589,51.0141,6.35268
"y1_d067_OWH_QEA",1,28715,-0.533226,44.6457,6.07236
"y1_d067_OWH_QEA",1,28765,-0.360243,38.3274,5.7486
"y1_d067_OWH_QEA",1,28815,-0.2006445,32.0592,5.3814
"y1_d067_OWH_QEA",1,28865,-0.0544296,25.84134,4.97079
"y1_d067_OWH_QEA",1,28915,0.0784029,19.67349,4.51674
"y1_d067_OWH_QEA",1,28965,0.1978515,13.55586,4.01925
"y1_d067_OWH_QEA",1,29015,0.303918,7.48836,3.47835
"y1_d067_OWH_QEA",1,29065,0.3966,1.471038,2.89401
"y1_d067_OWH_QEA",1,29115,0.475899,-4.49613,2.266239
"y1_d067_OWH_QEA",2,42265,-0.964977,54.5829,6.29793
"y1_d067_OWH_QEA",2,42315,-0.704691,47.9016,5.94783
"y1_d067_OWH_QEA",2,42365,-0.457194,41.3154,5.55117
"y1_d067_OWH_QEA",2,42415,-0.2224863,34.8237,5.10789
"y1_d067_OWH_QEA",2,42465,-0.00057138,28.42713,4.61799
"y1_d067_OWH_QEA",2,42515,0.2085525,22.12536,4.08153
"y1_d067_OWH_QEA",2,42565,0.404886,15.91845,3.49842
"y1_d067_OWH_QEA",2,42615,0.588426,9.8064,2.868744
"y1_d067_OWH_QEA",2,42665,0.759177,3.78918,2.192451
"y1_d067_OWH_QEA",2,42715,0.917139,-2.133168,1.469559
"y1_d067_OWH_QEA",3,56965,-0.648288,52.4676,6.58464
"y1_d067_OWH_QEA",3,57015,-0.515172,46.6095,6.22944
"y1_d067_OWH_QEA",3,57065,-0.364722,40.8081,5.80587
"y1_d067_OWH_QEA",3,57115,-0.1969374,35.0634,5.31396
"y1_d067_OWH_QEA",3,57165,-0.01182021,29.3754,4.75368
"y1_d067_OWH_QEA",3,57215,0.190629,23.74407,4.12503
"y1_d067_OWH_QEA",3,57265,0.410412,18.16941,3.42804
"y1_d067_OWH_QEA",3,57315,0.647526,12.65142,2.662701
"y1_d067_OWH_QEA",3,57365,0.901974,7.1901,1.828995
"y1_d067_OWH_QEA",3,57415,1.173756,1.785444,0.926928
"y1_d067_OWH_QEA",3,57465,1.462869,-3.56253,-0.0434919
"y1_d067_OWH_QEA",4,77715,-0.873375,56.5185,6.54
"y1_d067_OWH_QEA",4,77765,-0.785619,50.4591,6.37962
"y1_d067_OWH_QEA",4,77815,-0.712545,44.4636,6.16302
"y1_d067_OWH_QEA",4,77865,-0.654156,38.532,5.89023
"y1_d067_OWH_QEA",4,77915,-0.610452,32.6643,5.56125
"y1_d067_OWH_QEA",4,77965,-0.58143,26.86065,5.17605
"y1_d067_OWH_QEA",4,78015,-0.567096,21.12093,4.73466
"y1_d067_OWH_QEA",4,78065,-0.567441,15.4452,4.23705
"y1_d067_OWH_QEA",4,78115,-0.582474,9.83337,3.68325
"y1_d067_OWH_QEA",4,78165,-0.612192,4.2855,3.07323
"y1_d067_OWH_QEA",4,78215,-0.656592,-1.19841,2.407029
"y1_d067_OWH_QEA",4,78265,-0.715674,-6.61836,1.684611
"y1_d067_OWH_QEA",5,110915,-0.596985,58.3395,6.50577
"y1_d067_OWH_QEA",5,110965,-0.503232,51.711,6.34128
"y1_d067_OWH_QEA",5,111015,-0.406116,45.1647,6.12987
"y1_d067_OWH_QEA",5,111065,-0.305637,38.7009,5.87157
"y1_d067_OWH_QEA",5,111115,-0.2017932,32.3193,5.56635
"y1_d067_OWH_QEA",5,111165,-0.0945846,26.02035,5.21424
"y1_d067_OWH_QEA",5,111215,0.01598778,19.80369,4.81521
"y1_d067_OWH_QEA",5,111265,0.1299243,13.66941,4.36926
"y1_d067_OWH_QEA",5,111315,0.2472252,7.61754,3.87642
"y1_d067_OWH_QEA",5,111365,0.36789,1.648035,3.33666
"y1_d067_OWH_QEA",5,111415,0.491919,-4.23909,2.749983
"y1_d067_OWH_QEA",6,126315,-0.745029,55.71,6.47703
"y1_d067_OWH_QEA",6,126365,-0.580887,49.7241,6.41463
"y1_d067_OWH_QEA",6,126415,-0.431559,43.7946,6.28752
"y1_d067_OWH_QEA",6,126465,-0.2970432,37.9212,6.09567
"y1_d067_OWH_QEA",6,126515,-0.1773402,32.1039,5.83908
"y1_d067_OWH_QEA",6,126565,-0.0724494,26.34309,5.51775
"y1_d067_OWH_QEA",6,126615,0.01762878,20.63841,5.13171
"y1_d067_OWH_QEA",6,126665,0.092895,14.98992,4.68093
"y1_d067_OWH_QEA",6,126715,0.1533483,9.39771,4.16541
"y1_d067_OWH_QEA",6,126765,0.1989894,3.86172,3.58518
"y1_d067_OWH_QEA",6,126815,0.2298177,-1.618011,2.940207
"y1_d067_OWH_QEA",6,126865,0.2458338,-7.04151,2.230503
"y1_d067_OWH_QEA",7,145115,-0.90234,56.3856,6.49353
"y1_d067_OWH_QEA",7,145165,-0.76092,49.7373,6.17409
"y1_d067_OWH_QEA",7,145215,-0.642153,43.179,5.81703
"y1_d067_OWH_QEA",7,145265,-0.546036,36.7104,5.42232
"y1_d067_OWH_QEA",7,145315,-0.472569,30.3315,4.99002
"y1_d067_OWH_QEA",7,145365,-0.421749,24.04275,4.5201
"y1_d067_OWH_QEA",7,145415,-0.393582,17.8437,4.01253
"y1_d067_OWH_QEA",7,145465,-0.388065,11.73453,3.46737
"y1_d067_OWH_QEA",7,145515,-0.405198,5.71524,2.884557
"y1_d067_OWH_QEA",7,145565,-0.444984,-0.2142312,2.264139
"y1_d067_OWH_QEA",7,145615,-0.507417,-6.05385,1.606098
"y1_d067_OWH_QEA",8,164415,-0.543306,53.5362,6.53874
"y1_d067_OWH_QEA",8,164465,-0.416013,47.5845,6.30747
"y1_d067_OWH_QEA",8,164515,-0.2909904,41.679,6.02574
"y1_d067_OWH_QEA",8,164565,-0.168237,35.8194,5.69358
"y1_d067_OWH_QEA",8,164615,-0.0477534,30.006,5.31093
"y1_d067_OWH_QEA",8,164665,0.0704607,24.23841,4.87785
"y1_d067_OWH_QEA",8,164715,0.1864044,18.51702,4.39431
"y1_d067_OWH_QEA",8,164765,0.300078,12.84168,3.86031
"y1_d067_OWH_QEA",8,164815,0.411483,7.21242,3.27585
"y1_d067_OWH_QEA",8,164865,0.520617,1.629198,2.640936
"y1_d067_OWH_QEA",9,190465,-0.355206,52.2351,6.33081
"y1_d067_OWH_QEA",9,190515,-0.2760417,45.6093,6.0816
"y1_d067_OWH_QEA",9,190565,-0.2027007,39.0486,5.78889
"y1_d067_OWH_QEA",9,190615,-0.1351845,32.553,5.45271
"y1_d067_OWH_QEA",9,190665,-0.0734925,26.1219,5.07303
"y1_d067_OWH_QEA",9,190715,-0.01762518,19.75584,4.64991
"y1_d067_OWH_QEA",9,190765,0.0324174,13.45464,4.18329
"y1_d067_OWH_QEA",9,190815,0.0766356,7.21833,3.6732
"y1_d067_OWH_QEA",9,190865,0.115029,1.046874,3.11961
"y1_d067_OWH_QEA",10,214165,-0.343959,52.9998,6.72045
"y1_d067_OWH_QEA",10,214215,-0.376431,47.5362,6.96072
"y1_d067_OWH_QEA",10,214265,-0.38997,42.1335,7.09401
"y1_d067_OWH_QEA",10,214315,-0.384573,36.792,7.12026
"y1_d067_OWH_QEA",10,214365,-0.360237,31.5111,7.03953
"y1_d067_OWH_QEA",10,214415,-0.316968,26.29116,6.85179
"y1_d067_OWH_QEA",10,214465,-0.2547627,21.13215,6.55704
"y1_d067_OWH_QEA",10,214515,-0.1736214,16.03404,6.15528
"y1_d067_OWH_QEA",10,214565,-0.0735441,10.99683,5.64651
"y1_d067_OWH_QEA",10,214615,0.0454689,6.02052,5.03076
"y1_d067_OWH_QEA",10,214665,0.1834182,1.105059,4.30797
"y1_d067_OWH_QEA",10,214715,0.340302,-3.74946,3.4782
"y1_d067_OWH_QEA",11,239765,-0.740115,55.5072,6.55995
"y1_d067_OWH_QEA",11,239815,-0.588201,48.867,6.17481
"y1_d067_OWH_QEA",11,239865,-0.4623,42.3171,5.75646
"y1_d067_OWH_QEA",11,239915,-0.362409,35.8572,5.30496
"y1_d067_OWH_QEA",11,239965,-0.2885346,29.48763,4.82025
"y1_d067_OWH_QEA",11,240015,-0.2406723,23.20827,4.30242
"y1_d067_OWH_QEA",11,240065,-0.218823,17.01912,3.75138
"y1_d067_OWH_QEA",11,240115,-0.2229867,10.92015,3.16719
"y1_d067_OWH_QEA",11,240165,-0.2531637,4.91136,2.549802
"y1_d067_OWH_QEA",11,240215,-0.309354,-1.007202,1.899255
"y1_d067_OWH_QEA",11,240265,-3.02898,8.40432,1.427595
"y1_d067_OWH_QEA",11,240315,-5.32053,14.77617,0.813921
"y1_d067_OWH_QEA",11,240365,-7.55076,21.23535,0.116061
"y1_d067_OWH_QEA",11,240415,-9.29634,26.33736,0.480552
"y1_d067_OWH_QEA",11,240465,-11.07171,31.3299,0.77664
"y1_d067_OWH_QEA",11,240515,-12.82719,36.2409,0.957171
"y1_d067_OWH_QEA",11,240565,-14.56281,41.0709,1.022154
"y1_d067_OWH_QEA",11,240615,-16.27854,45.819,0.97158
"y1_d067_OWH_QEA",11,240665,-17.97441,50.4861,0.805452
"y1_d067_OWH_QEA",11,240715,-19.65042,55.0719,0.523773
"y1_d067_OWH_QEA",11,240765,-21.30654,59.5761,0.1265409
"y1_d067_OWH_QEA",11,240815,-22.90719,63.4713,0.525216
"y1_d067_OWH_QEA",11,240865,-24.28206,67.2243,0.807606
"y1_d067_OWH_QEA",11,240915,-25.61028,70.9686,0.958641
"y1_d067_OWH_QEA",11,240965,-26.89179,74.7045,0.978318
"y1_d067_OWH_QEA",11,241015,-28.12659,78.432,0.866634
"y1_d067_OWH_QEA",11,241065,-29.31474,82.1508,0.623595
"y1_d067_OWH_QEA",11,241115,-30.4563,85.8612,0.2491986
"y1_d067_OWH_QEA",11,241165,-31.551,89.5632,-0.2565588
"y1_d067_OWH_QEA",11,241215,-33.2943,92.5218,0.405525
"y1_d067_OWH_QEA",11,241265,-34.4049,95.8401,0.619896
"y1_d067_OWH_QEA",11,241315,-35.5446,99.1134,0.764721
"y1_d067_OWH_QEA",11,241365,-36.7137,102.3411,0.840003
"y1_d067_OWH_QEA",11,241415,-37.9122,105.5235,0.845742
"y1_d067_OWH_QEA",11,241465,-39.1398,108.6606,0.781935
"y1_d067_OWH_QEA",11,241515,-40.3971,111.7524,0.648585
"y1_d067_OWH_QEA",11,241565,-41.6832,114.7989,0.445692
"y1_d067_OWH_QEA",11,241615,-42.6492,117.4968,0.4332
"y1_d067_OWH_QEA",11,241665,-44.0043,119.2146,0.9114
"y1_d067_OWH_QEA",11,241715,-42.2946,122.2731,0.704763
"y1_d067_OWH_QEA",11,241765,-42.0678,123.9951,1.14489
"y1_d067_OWH_QEA",11,241815,-41.8233,125.7159,1.489683
"y1_d067_OWH_QEA",11,241865,-41.5617,127.4361,1.739142
"y1_d067_OWH_QEA",11,241915,-41.2827,129.1554,1.893264
"y1_d067_OWH_QEA",11,241965,-40.9863,130.8738,1.952049
"y1_d067_OWH_QEA",11,242015,-40.6728,132.5916,1.9155
"y1_d067_OWH_QEA",11,242065,-40.3419,134.3085,1.783614
"y1_d067_OWH_QEA",11,242115,-39.9933,136.0245,1.556391
"y1_d067_OWH_QEA",11,242165,-39.6276,137.7399,1.233834
"y1_d067_OWH_QEA",11,242215,-39.2448,139.4544,0.81594
"y1_d067_OWH_QEA",11,242265,-38.8443,141.168,0.302712
"y1_d067_OWH_QEA",11,242315,-38.6502,142.9752,0.01611945
"y1_d067_OWH_QEA",11,242365,-38.553,144.435,0.2850588
"y1_d067_OWH_QEA",11,242415,-38.4603,145.8957,0.468519
"y1_d067_OWH_QEA",11,242465,-38.3718,147.3576,0.566499
"y1_d067_OWH_QEA",11,242515,-38.2881,148.8204,0.579003
"y1_d067_OWH_QEA",11,242565,-38.2086,150.2847,0.506025
"y1_d067_OWH_QEA",11,242615,-38.1336,151.7499,0.347568
"y1_d067_OWH_QEA",11,242665,-38.0631,153.2163,0.1036299
"y1_d067_OWH_QEA",11,242715,-37.9971,154.6836,-0.2257854
"y1_d067_OWH_QEA",11,242765,-37.5996,156.3819,-0.1269894
"y1_d067_OWH_QEA",11,242815,-37.3329,158.1408,-0.02777886
"y1_d067_OWH_QEA",11,242865,-36.9789,160.1292,-0.2298927
"y1_d067_OWH_QEA",11,242915,-36.9924,161.2971,-0.2275392
"y1_d067_OWH_QEA",11,242965,-37.0047,162.4521,-0.2252475
"y1_d067_OWH_QEA",11,243015,-37.0164,163.5945,-0.2230173
"y1_d067_OWH_QEA",11,243065,-37.0272,164.7237,-0.2208489
"y1_d067_OWH_QEA",11,243115,-37.0371,165.8403,-0.2187417
"y1_d067_OWH_QEA",11,243165,-37.0461,166.944,-0.216696
"y1_d067_OWH_QEA",11,243215,-37.0542,168.0348,-0.2147121
"y1_d067_OWH_QEA",11,243265,-37.0617,169.1127,-0.2127897
"y1_d067_OWH_QEA",11,243315,-37.0683,170.1777,-0.2109285
"y1_d067_OWH_QEA",11,243365,-37.074,171.2298,-0.2091291
"y1_d067_OWH_QEA",11,243415,-37.0788,172.2693,-0.2073912
"y1_d067_OWH_QEA",11,243465,-37.0827,173.2956,-0.2057151
"y1_d067_OWH_QEA",11,243515,-37.0857,174.3093,-0.2041002
"y1_d067_OWH_QEA",11,243565,-37.0881,175.3098,-0.2025468
"y1_d067_OWH_QEA",11,243615,-37.0893,176.2977,-0.2010552
"y1_d067_OWH_QEA",11,243665,-37.0899,177.2727,-0.1996251
"y1_d067_OWH_QEA",11,243715,-37.0896,178.2348,-0.1982565
"y1_d067_OWH_QEA",11,243765,-37.0887,179.184,-0.1969494
"y1_d067_OWH_QEA",11,243815,-37.0866,180.1203,-0.1957038
"y1_d067_OWH_QEA",11,243865,-37.0839,181.044,-0.1945197
