"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d016_OXG_QEA",1,16764,-0.757356,56.4372,6.15774
"y1_d016_OXG_QEA",1,16814,-0.508467,49.8339,5.67384
"y1_d016_OXG_QEA",1,16864,-0.2689749,43.2819,5.16162
"y1_d016_OXG_QEA",1,16914,-0.0388788,36.7812,4.62114
"y1_d016_OXG_QEA",1,16964,0.1818204,30.3318,4.05237
"y1_d016_OXG_QEA",1,17014,0.393123,23.93343,3.45531
"y1_d016_OXG_QEA",1,17064,0.595029,17.58651,2.829945
"y1_d016_OXG_QEA",1,17114,0.787539,11.29086,2.176305
"y1_d016_OXG_QEA",1,17164,0.970653,5.04651,1.494381
"y1_d016_OXG_QEA",1,17214,1.144368,-1.146582,0.784167
"y1_d016_OXG_QEA",1,17264,1.30869,-7.28841,0.0456648
"y1_d016_OXG_QEA",2,28714,-0.565854,52.455,5.79471
"y1_d016_OXG_QEA",2,28764,-0.2728368,45.7482,5.22645
"y1_d016_OXG_QEA",2,28814,0.00674859,39.1113,4.62633
"y1_d016_OXG_QEA",2,28864,0.272904,32.5449,3.99432
"y1_d016_OXG_QEA",2,28914,0.52563,26.04846,3.33045
"y1_d016_OXG_QEA",2,28964,0.764925,19.62219,2.634726
"y1_d016_OXG_QEA",2,29014,0.990792,13.26603,1.907115
"y1_d016_OXG_QEA",2,29064,1.203225,6.9801,1.147638
"y1_d016_OXG_QEA",2,29114,1.40223,0.764292,0.356289
"y1_d016_OXG_QEA",2,29164,1.587807,-5.38134,-0.466929
"y1_d016_OXG_QEA",3,45514,-0.828438,56.823,6.04407
"y1_d016_OXG_QEA",3,45564,-0.496731,50.1411,5.6838
"y1_d016_OXG_QEA",3,45614,-0.1798452,43.5282,5.28609
"y1_d016_OXG_QEA",3,45664,0.1222191,36.9843,4.85103
"y1_d016_OXG_QEA",3,45714,0.409461,30.5097,4.37856
"y1_d016_OXG_QEA",3,45764,0.681885,24.10422,3.86868
"y1_d016_OXG_QEA",3,45814,0.939486,17.76786,3.32142
"y1_d016_OXG_QEA",3,45864,1.182264,11.50068,2.736759
"y1_d016_OXG_QEA",3,45914,1.410222,5.30262,2.114712
"y1_d016_OXG_QEA",3,45964,1.623357,-0.826284,1.455267
"y1_d016_OXG_QEA",3,46014,1.821672,-6.88608,0.758427
"y1_d016_OXG_QEA",4,57914,-0.708486,57.3183,5.97936
"y1_d016_OXG_QEA",4,57964,-0.622173,50.6403,5.74794
"y1_d016_OXG_QEA",4,58014,-0.534771,44.0241,5.46936
"y1_d016_OXG_QEA",4,58064,-0.446277,37.4697,5.14362
"y1_d016_OXG_QEA",4,58114,-0.356694,30.9774,4.77078
"y1_d016_OXG_QEA",4,58164,-0.2660196,24.5469,4.35078
"y1_d016_OXG_QEA",4,58214,-0.1742544,18.17829,3.88362
"y1_d016_OXG_QEA",4,58264,-0.0813978,11.87151,3.36933
"y1_d016_OXG_QEA",4,58314,0.01254927,5.62665,2.807904
"y1_d016_OXG_QEA",4,58364,0.1075872,-0.556335,2.19933
"y1_d016_OXG_QEA",4,58414,0.2037156,-6.67743,1.543614
"y1_d016_OXG_QEA",5,70514,-0.510843,57.7368,6.23133
"y1_d016_OXG_QEA",5,70564,-0.355476,50.9964,5.77938
"y1_d016_OXG_QEA",5,70614,-0.1915872,44.3316,5.29092
"y1_d016_OXG_QEA",5,70664,-0.01918122,37.7427,4.76601
"y1_d016_OXG_QEA",5,70714,0.1617429,31.2297,4.20456
"y1_d016_OXG_QEA",5,70764,0.351186,24.79212,3.60666
"y1_d016_OXG_QEA",5,70814,0.549147,18.43047,2.972253
"y1_d016_OXG_QEA",5,70864,0.755625,12.14457,2.30136
"y1_d016_OXG_QEA",5,70914,0.970623,5.93442,1.593975
"y1_d016_OXG_QEA",5,70964,1.194138,-0.1999521,0.850104
"y1_d016_OXG_QEA",5,71014,1.426173,-6.2586,0.0697398
"y1_d016_OXG_QEA",6,118364,-0.853584,58.2705,6.28842
"y1_d016_OXG_QEA",6,118414,-0.781305,51.4947,5.99394
"y1_d016_OXG_QEA",6,118464,-0.716823,44.7852,5.66682
"y1_d016_OXG_QEA",6,118514,-0.660141,38.1414,5.30703
"y1_d016_OXG_QEA",6,118564,-0.611259,31.5639,4.91457
"y1_d016_OXG_QEA",6,118614,-0.570174,25.05258,4.48944
"y1_d016_OXG_QEA",6,118664,-0.536889,18.60726,4.03164
"y1_d016_OXG_QEA",6,118714,-0.511404,12.22806,3.5412
"y1_d016_OXG_QEA",6,118764,-0.493716,5.91492,3.01809
"y1_d016_OXG_QEA",6,118814,-0.483828,-0.332106,2.462316
"y1_d016_OXG_QEA",6,118864,-0.48174,-6.51303,1.873881
"y1_d016_OXG_QEA",7,135764,-0.961329,53.9082,6.09402
"y1_d016_OXG_QEA",7,135814,-0.943563,48.0198,6.03423
"y1_d016_OXG_QEA",7,135864,-0.904998,42.1611,5.88765
"y1_d016_OXG_QEA",7,135914,-0.84564,36.3321,5.65428
"y1_d016_OXG_QEA",7,135964,-0.765483,30.5325,5.33409
"y1_d016_OXG_QEA",7,136014,-0.66453,24.7623,4.92714
"y1_d016_OXG_QEA",7,136064,-0.542781,19.0218,4.43337
"y1_d016_OXG_QEA",7,136114,-0.400236,13.31088,3.85281
"y1_d016_OXG_QEA",7,136164,-0.2368962,7.62948,3.18546
"y1_d016_OXG_QEA",7,136214,-0.0527592,1.977675,2.431332
"y1_d016_OXG_QEA",7,136264,-2.453169,10.15068,4.45392
"y1_d016_OXG_QEA",7,136314,-4.79925,16.82394,5.82102
"y1_d016_OXG_QEA",7,136364,-7.13061,23.42649,7.10985
"y1_d016_OXG_QEA",7,136414,-9.44721,29.95833,8.32047
"y1_d016_OXG_QEA",7,136464,-11.74908,36.4194,9.45285
"y1_d016_OXG_QEA",7,136514,-14.03622,42.81,10.50702
"y1_d016_OXG_QEA",7,136564,-16.3086,49.1298,11.48292
"y1_d016_OXG_QEA",7,136614,-18.56622,55.3788,12.38061
"y1_d016_OXG_QEA",7,136664,-20.80911,61.557,13.20006
"y1_d016_OXG_QEA",7,136714,-23.03727,67.6647,13.94127
"y1_d016_OXG_QEA",7,136764,-25.2507,73.7016,14.60427
"y1_d016_OXG_QEA",7,136814,-27.44937,79.6677,15.18903
"y1_d016_OXG_QEA",7,136864,-29.63331,85.5633,15.69555
"y1_d016_OXG_QEA",7,136914,-31.8024,91.3881,16.12383
"y1_d016_OXG_QEA",7,136964,-33.957,97.1421,16.47387
"y1_d016_OXG_QEA",7,137014,-36.0966,102.8256,16.7457
"y1_d016_OXG_QEA",7,137064,-38.2215,108.4383,16.93929
"y1_d016_OXG_QEA",7,137114,-40.3317,113.9802,17.05464
"y1_d016_OXG_QEA",7,137164,-42.4272,119.4516,17.09178
"y1_d016_OXG_QEA",7,137214,-44.508,124.8522,17.05065
"y1_d016_OXG_QEA",7,137264,-46.5741,130.182,16.93131
"y1_d016_OXG_QEA",7,137314,-48.6252,135.4413,16.73376
"y1_d016_OXG_QEA",7,137364,-50.6619,140.6295,16.45794
"y1_d016_OXG_QEA",7,137414,-52.6836,145.7475,16.10391
"y1_d016_OXG_QEA",7,137464,-54.6906,150.7944,15.67164
"y1_d016_OXG_QEA",7,137514,-56.6829,155.7708,15.16113
"y1_d016_OXG_QEA",7,137564,-58.6605,160.6764,14.57238
"y1_d016_OXG_QEA",7,137614,-60.6234,165.5115,13.90542
"y1_d016_OXG_QEA",7,137664,-62.5713,170.2755,13.16022
"y1_d016_OXG_QEA",7,137714,-64.5048,174.969,12.33678
"y1_d016_OXG_QEA",7,137764,-66.4233,179.592,11.4351
"y1_d016_OXG_QEA",7,137814,-68.3271,184.1442,10.45521
"y1_d016_OXG_QEA",7,137864,-70.2162,188.6256,9.39708
"y1_d016_OXG_QEA",7,137914,-72.0906,193.0362,8.26071
"y1_d016_OXG_QEA",7,137964,-73.9503,197.3763,7.04613
"y1_d016_OXG_QEA",7,138014,-75.795,201.6456,5.75328
"y1_d016_OXG_QEA",7,138064,-77.6253,205.8441,4.38222
"y1_d016_OXG_QEA",7,138114,-79.4406,209.9718,2.93292
"y1_d016_OXG_QEA",7,138164,-81.2412,214.029,1.405392
"y1_d016_OXG_QEA",7,138214,-83.0271,218.0157,-0.2003679
"y1_d016_OXG_QEA",7,138264,-84.4461,222.1482,-0.02273751
"y1_d016_OXG_QEA",7,138314,-85.2465,224.4174,0.776463
"y1_d016_OXG_QEA",7,138364,-86.0475,226.6746,1.481613
"y1_d016_OXG_QEA",7,138414,-86.8494,228.9192,2.092716
"y1_d016_OXG_QEA",7,138464,-87.6519,231.1518,2.609772
"y1_d016_OXG_QEA",7,138514,-88.4553,233.3724,3.03279
"y1_d016_OXG_QEA",7,138564,-89.2593,235.5804,3.36174
"y1_d016_OXG_QEA",7,138614,-90.0642,237.7764,3.59664
"y1_d016_OXG_QEA",7,138664,-90.8697,239.9601,3.73752
"y1_d016_OXG_QEA",7,138714,-91.6761,242.1315,3.78432
"y1_d016_OXG_QEA",7,138764,-92.4834,244.2906,3.7371
"y1_d016_OXG_QEA",7,138814,-93.2913,246.4377,3.5958
"y1_d016_OXG_QEA",7,138864,-94.0998,248.5725,3.36048
"y1_d016_OXG_QEA",7,138914,-94.9092,250.695,3.03108
"y1_d016_OXG_QEA",7,138964,-95.7195,252.8052,2.60766
"y1_d016_OXG_QEA",7,139014,-96.5304,254.9034,2.090181
"y1_d016_OXG_QEA",7,139064,-97.3419,256.9893,1.478655
"y1_d016_OXG_QEA",7,139114,-98.1543,259.0629,0.773082
"y1_d016_OXG_QEA",7,140614,-87.6012,245.517,5.98182
"y1_d016_OXG_QEA",7,140664,-86.985,241.6827,6.82134
"y1_d016_OXG_QEA",7,140714,-86.3697,237.8754,7.58841
"y1_d016_OXG_QEA",7,140764,-85.755,234.0957,8.28303
"y1_d016_OXG_QEA",7,140814,-85.1409,230.343,8.9052
"y1_d016_OXG_QEA",7,140864,-84.5277,226.6173,9.45489
"y1_d016_OXG_QEA",7,140914,-83.9154,222.9192,9.9321
"y1_d016_OXG_QEA",7,140964,-83.3037,219.2481,10.33689
"y1_d016_OXG_QEA",7,141014,-82.6926,215.6043,10.6692
"y1_d016_OXG_QEA",7,141064,-82.0824,211.9878,10.92903
"y1_d016_OXG_QEA",7,141114,-81.4731,208.3986,11.11644
"y1_d016_OXG_QEA",7,141164,-80.8644,204.8364,11.23137
"y1_d016_OXG_QEA",7,141214,-80.2566,201.3015,11.27382
"y1_d016_OXG_QEA",7,141264,-79.6494,197.7939,11.24382
"y1_d016_OXG_QEA",7,141314,-79.0428,194.3136,11.14137
"y1_d016_OXG_QEA",7,141364,-78.4374,190.8603,10.96647
"y1_d016_OXG_QEA",7,141414,-77.8323,187.4343,10.71909
"y1_d016_OXG_QEA",7,141464,-77.2281,184.0356,10.39926
"y1_d016_OXG_QEA",7,141514,-76.6248,180.6642,10.00695
"y1_d016_OXG_QEA",7,141564,-76.0221,177.3198,9.54219
"y1_d016_OXG_QEA",7,141614,-75.4203,174.0027,9.00498
"y1_d016_OXG_QEA",7,141664,-74.8191,170.7129,8.39532
"y1_d016_OXG_QEA",7,141714,-74.2188,167.4504,7.71318
"y1_d016_OXG_QEA",7,141764,-73.6191,164.2152,6.95856
"y1_d016_OXG_QEA",7,141814,-73.02,161.007,6.13152
"y1_d016_OXG_QEA",7,141864,-72.4221,157.8261,5.232
"y1_d016_OXG_QEA",7,141914,-71.8245,154.6725,4.26
"y1_d016_OXG_QEA",7,141964,-71.2281,151.5459,3.21558
"y1_d016_OXG_QEA",7,142014,-70.632,148.4466,2.098671
"y1_d016_OXG_QEA",7,142064,-70.0371,145.3749,0.909309
"y1_d016_OXG_QEA",7,142114,-69.4425,142.3299,-0.352512
"y1_d016_OXG_QEA",7,142164,-68.8491,139.3125,-1.686792
"y1_d016_OXG_QEA",8,179064,-0.775692,53.9742,5.79525
"y1_d016_OXG_QEA",8,179114,-0.654339,47.1795,5.46672
"y1_d016_OXG_QEA",8,179164,-0.535521,40.4532,5.07042
"y1_d016_OXG_QEA",8,179214,-0.419235,33.7947,4.60635
"y1_d016_OXG_QEA",8,179264,-0.305481,27.20436,4.07451
"y1_d016_OXG_QEA",8,179314,-0.1942617,20.68224,3.47493
"y1_d016_OXG_QEA",8,179364,-0.085575,14.22822,2.80758
"y1_d016_OXG_QEA",8,179414,0.02057871,7.84233,2.072472
"y1_d016_OXG_QEA",8,179464,0.1241994,1.524576,1.269603
"y1_d016_OXG_QEA",8,179514,0.2252874,-4.72509,0.398967
"y1_d016_OXG_QEA",9,196564,-0.743199,53.2263,5.98341
"y1_d016_OXG_QEA",9,196614,-0.579654,46.3557,5.70192
"y1_d016_OXG_QEA",9,196664,-0.416328,39.5562,5.39262
"y1_d016_OXG_QEA",9,196714,-0.2532234,32.8275,5.05548
"y1_d016_OXG_QEA",9,196764,-0.0903372,26.16978,4.69053
"y1_d016_OXG_QEA",9,196814,0.0723285,19.58301,4.29777
"y1_d016_OXG_QEA",9,196864,0.2347743,13.06719,3.87717
"y1_d016_OXG_QEA",9,196914,0.396999,6.62235,3.42876
"y1_d016_OXG_QEA",9,196964,0.559005,0.248424,2.952537
"y1_d016_OXG_QEA",10,220364,-0.454533,53.2566,6.16575
"y1_d016_OXG_QEA",10,220414,-0.557154,46.3695,5.86044
"y1_d016_OXG_QEA",10,220464,-0.682707,39.5745,5.52849
"y1_d016_OXG_QEA",10,220514,-0.831195,32.8722,5.16993
"y1_d016_OXG_QEA",10,220564,-1.002615,26.26236,4.78476
"y1_d016_OXG_QEA",10,220614,-1.196973,19.74498,4.37295
"y1_d016_OXG_QEA",10,220664,-1.41426,13.32012,3.93453
"y1_d016_OXG_QEA",10,220714,-1.654485,6.98775,3.46947
"y1_d016_OXG_QEA",10,220764,-1.917642,0.747828,2.977788
"y1_d016_OXG_QEA",10,220814,-2.203734,-5.39958,2.45949
"y1_d016_OXG_QEA",11,237964,-1.053852,55.3893,5.76813
"y1_d016_OXG_QEA",11,238014,-0.757965,49.041,5.71941
"y1_d016_OXG_QEA",11,238064,-0.501738,42.7551,5.6046
"y1_d016_OXG_QEA",11,238114,-0.2851743,36.5316,5.4237
"y1_d016_OXG_QEA",11,238164,-0.10827,30.3708,5.17671
"y1_d016_OXG_QEA",11,238214,0.02897373,24.27246,4.86363
"y1_d016_OXG_QEA",11,238264,0.1265571,18.23655,4.48443
"y1_d016_OXG_QEA",11,238314,0.1844793,12.26316,4.03914
"y1_d016_OXG_QEA",11,238364,0.2027406,6.35229,3.52776
"y1_d016_OXG_QEA",11,238414,0.1813413,0.503886,2.950284
"y1_d016_OXG_QEA",11,238464,0.1202814,-5.28201,2.306709
"y1_d016_OXG_QEA",12,257264,-0.738453,52.431,5.88084
"y1_d016_OXG_QEA",12,257314,-0.643398,45.9573,5.74296
"y1_d016_OXG_QEA",12,257364,-0.575007,39.5616,5.54769
"y1_d016_OXG_QEA",12,257414,-0.53328,33.2439,5.29509
"y1_d016_OXG_QEA",12,257464,-0.518217,27.00399,4.9851
"y1_d016_OXG_QEA",12,257514,-0.529818,20.84217,4.61778
"y1_d016_OXG_QEA",12,257564,-0.568083,14.75835,4.1931
"y1_d016_OXG_QEA",12,257614,-0.633012,8.7525,3.71106
"y1_d016_OXG_QEA",12,257664,-0.724605,2.824611,3.17169
"y1_d016_OXG_QEA",12,257714,-0.203478,7.11909,6.60471
"y1_d016_OXG_QEA",12,257764,-0.2781306,10.58034,9.65397
"y1_d016_OXG_QEA",12,257814,-0.355803,14.02107,12.62952
"y1_d016_OXG_QEA",12,257864,-0.436494,17.44128,15.53136
"y1_d016_OXG_QEA",12,257914,-0.520203,20.84097,18.35946
"y1_d016_OXG_QEA",12,257964,-0.606933,24.22011,21.11385
"y1_d016_OXG_QEA",12,258014,-0.696681,27.57876,23.79456
