"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d050.5_STK_QEA",1,9945,-2.031114,55.3704,5.74263
"y1_d050.5_STK_QEA",1,9995,-1.670406,48.5355,5.45061
"y1_d050.5_STK_QEA",1,10045,-1.339593,41.7615,5.09715
"y1_d050.5_STK_QEA",1,10095,-1.038669,35.0484,4.68231
"y1_d050.5_STK_QEA",1,10145,-0.76764,28.39617,4.20606
"y1_d050.5_STK_QEA",1,10195,-0.5265,21.80466,3.6684
"y1_d050.5_STK_QEA",1,10245,-0.315255,15.2739,3.06936
"y1_d050.5_STK_QEA",1,10295,-0.133899,8.80401,2.408886
"y1_d050.5_STK_QEA",1,10345,0.01756365,2.3949,1.687026
"y1_d050.5_STK_QEA",1,10395,0.1391346,-3.9534,0.903762
"y1_d050.5_STK_QEA",2,24595,-1.778475,52.6311,5.80275
"y1_d050.5_STK_QEA",2,24645,-1.511739,45.7848,5.49963
"y1_d050.5_STK_QEA",2,24695,-1.273452,39.0033,5.15748
"y1_d050.5_STK_QEA",2,24745,-1.063614,32.2869,4.77627
"y1_d050.5_STK_QEA",2,24795,-0.882231,25.63596,4.356
"y1_d050.5_STK_QEA",2,24845,-0.7293,19.05003,3.89673
"y1_d050.5_STK_QEA",2,24895,-0.604818,12.52926,3.3984
"y1_d050.5_STK_QEA",2,24945,-0.508791,6.07368,2.861022
"y1_d050.5_STK_QEA",2,24995,-0.441213,-0.316815,2.284605
"y1_d050.5_STK_QEA",2,25045,-4.84758,7.6842,2.364651
"y1_d050.5_STK_QEA",2,25095,-8.45574,13.01157,2.018313
"y1_d050.5_STK_QEA",2,25145,-12.04311,18.25329,1.657557
"y1_d050.5_STK_QEA",2,25195,-15.60963,23.40939,1.28238
"y1_d050.5_STK_QEA",2,25245,-19.15536,28.47987,0.892782
"y1_d050.5_STK_QEA",2,25295,-22.68027,33.4647,0.488766
"y1_d050.5_STK_QEA",2,25345,-26.18436,38.364,0.0703302
"y1_d050.5_STK_QEA",2,25395,-29.05713,42.1122,0.324621
"y1_d050.5_STK_QEA",2,25445,-32.0973,46.1793,0.593934
"y1_d050.5_STK_QEA",2,25495,-35.0877,50.1516,0.744345
"y1_d050.5_STK_QEA",2,25545,-38.0283,54.0291,0.775854
"y1_d050.5_STK_QEA",2,25595,-40.9194,57.8121,0.688458
"y1_d050.5_STK_QEA",2,25645,-43.7604,61.5,0.48216
"y1_d050.5_STK_QEA",2,25695,-46.5516,65.0931,0.1569615
"y1_d050.5_STK_QEA",2,25745,-49.2933,68.5914,-0.2871435
"y1_d050.5_STK_QEA",2,25795,-51.5154,72.1293,0.2902041
"y1_d050.5_STK_QEA",2,25845,-53.8491,75.2388,0.42021
"y1_d050.5_STK_QEA",2,25895,-56.1942,78.2283,0.523344
"y1_d050.5_STK_QEA",2,25945,-58.551,81.0987,0.599607
"y1_d050.5_STK_QEA",2,25995,-60.9195,83.8491,0.648999
"y1_d050.5_STK_QEA",2,26045,-63.2994,86.4798,0.67152
"y1_d050.5_STK_QEA",2,26095,-65.691,88.9911,0.66717
"y1_d050.5_STK_QEA",2,26145,-68.094,91.3827,0.635952
"y1_d050.5_STK_QEA",2,26195,-70.509,93.6546,0.577863
"y1_d050.5_STK_QEA",2,27745,-60.2559,88.3767,5.4882
"y1_d050.5_STK_QEA",2,27795,-54.9207,87.5688,6.24363
"y1_d050.5_STK_QEA",2,27845,-49.6344,86.745,6.93525
"y1_d050.5_STK_QEA",2,27895,-44.3967,85.9053,7.56309
"y1_d050.5_STK_QEA",2,27945,-39.2076,85.05,8.12712
"y1_d050.5_STK_QEA",2,27995,-34.0674,84.1785,8.62734
"y1_d050.5_STK_QEA",2,28045,-28.97568,83.2914,9.06381
"y1_d050.5_STK_QEA",2,28095,-23.93277,82.3881,9.43644
"y1_d050.5_STK_QEA",2,28145,-18.93855,81.4692,9.74529
"y1_d050.5_STK_QEA",2,28195,-13.99302,80.5344,9.99036
"y1_d050.5_STK_QEA",2,28245,-9.09618,79.5837,10.17162
"y1_d050.5_STK_QEA",2,28295,-4.24806,78.6171,10.2891
"y1_d050.5_STK_QEA",2,28345,0.551349,77.6346,10.34277
"y1_d050.5_STK_QEA",2,28395,5.30208,76.6362,10.33266
