"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d045_WJU_QEA",1,41869,-2.484654,58.7019,6.10257
"y1_d045_WJU_QEA",1,41919,-1.96686,52.1574,5.96256
"y1_d045_WJU_QEA",1,41969,-1.50759,45.6717,5.76858
"y1_d045_WJU_QEA",1,42019,-1.106844,39.2445,5.52063
"y1_d045_WJU_QEA",1,42069,-0.764616,32.8758,5.21871
"y1_d045_WJU_QEA",1,42119,-0.480912,26.56605,4.86282
"y1_d045_WJU_QEA",1,42169,-0.2557284,20.31489,4.45296
"y1_d045_WJU_QEA",1,42219,-0.0890682,14.12238,3.98913
"y1_d045_WJU_QEA",1,42269,0.01907046,7.98858,3.47136
"y1_d045_WJU_QEA",1,42319,0.0686871,1.91343,2.899599
"y1_d045_WJU_QEA",1,42369,0.0597816,-4.10307,2.273871
"y1_d045_WJU_QEA",1,42419,-0.00764565,-10.06086,1.594176
"y1_d045_WJU_QEA",2,59069,1.152372,57.7731,6.87327
"y1_d045_WJU_QEA",2,59119,6.78243,58.1928,6.84207
"y1_d045_WJU_QEA",2,59169,12.36051,58.6152,6.74454
"y1_d045_WJU_QEA",2,59219,17.88657,59.0403,6.58068
"y1_d045_WJU_QEA",2,59269,23.36064,59.4681,6.35049
"y1_d045_WJU_QEA",2,59319,28.78275,59.8986,6.054
"y1_d045_WJU_QEA",2,59369,34.1529,60.3315,5.69115
"y1_d045_WJU_QEA",2,59419,39.471,60.7671,5.262
"y1_d045_WJU_QEA",2,59469,44.7372,61.2054,4.76652
"y1_d045_WJU_QEA",2,59519,49.9512,61.6464,4.20471
"y1_d045_WJU_QEA",2,59569,55.1136,62.0901,3.57657
"y1_d045_WJU_QEA",2,59619,60.2238,62.5362,2.882121
"y1_d045_WJU_QEA",3,118409,1.351629,57.51,7.27461
"y1_d045_WJU_QEA",3,118459,6.9678,58.1283,7.13679
"y1_d045_WJU_QEA",3,118509,12.53181,58.7016,6.97614
"y1_d045_WJU_QEA",3,118559,18.04362,59.2293,6.79263
"y1_d045_WJU_QEA",3,118609,23.50329,59.712,6.58629
"y1_d045_WJU_QEA",3,118659,28.91079,60.1494,6.35709
"y1_d045_WJU_QEA",3,118709,34.266,60.5415,6.10503
"y1_d045_WJU_QEA",3,118759,39.5691,60.8883,5.83011
"y1_d045_WJU_QEA",3,118809,44.8203,61.1898,5.53236
"y1_d045_WJU_QEA",3,118859,50.019,61.446,5.21178
"y1_d045_WJU_QEA",3,118909,55.1655,61.6569,4.86831
"y1_d045_WJU_QEA",3,118959,60.2601,61.8228,4.50201
"y1_d045_WJU_QEA",4,137559,2.030796,57.8175,7.06254
"y1_d045_WJU_QEA",4,137609,7.37367,58.3548,7.01517
"y1_d045_WJU_QEA",4,137659,12.66324,58.8771,6.91602
"y1_d045_WJU_QEA",4,137709,17.89953,59.3838,6.76509
"y1_d045_WJU_QEA",4,137759,23.08257,59.8752,6.56235
"y1_d045_WJU_QEA",4,137809,28.21233,60.3513,6.30783
"y1_d045_WJU_QEA",4,137859,33.2889,60.8118,6.00153
"y1_d045_WJU_QEA",4,137909,38.3121,61.257,5.64345
"y1_d045_WJU_QEA",4,137959,43.2819,61.6872,5.23356
"y1_d045_WJU_QEA",4,138009,48.1986,62.1018,4.77189
"y1_d045_WJU_QEA",4,138059,53.0622,62.5008,4.25844
"y1_d045_WJU_QEA",4,138109,57.8724,62.8848,3.69318
"y1_d045_WJU_QEA",5,161659,-1.959303,56.4282,5.50791
"y1_d045_WJU_QEA",5,161709,-1.852854,50.1036,5.43702
"y1_d045_WJU_QEA",5,161759,-1.756059,43.842,5.28237
"y1_d045_WJU_QEA",5,161809,-1.668921,37.6431,5.04396
"y1_d045_WJU_QEA",5,161859,-1.59144,31.5069,4.72179
"y1_d045_WJU_QEA",5,161909,-1.523616,25.43367,4.31586
"y1_d045_WJU_QEA",5,161959,-1.465446,19.4232,3.82617
"y1_d045_WJU_QEA",5,162009,-1.416936,13.47555,3.25272
"y1_d045_WJU_QEA",5,162059,-1.37808,7.59072,2.595513
"y1_d045_WJU_QEA",5,162109,-1.348878,1.768695,1.854543
"y1_d045_WJU_QEA",5,162159,-1.329336,-3.99048,1.029816
"y1_d045_WJU_QEA",6,181109,-2.066793,51.9285,5.69208
"y1_d045_WJU_QEA",6,181159,-1.80447,45.6858,5.58282
"y1_d045_WJU_QEA",6,181209,-1.564584,39.4998,5.41269
