game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y1_d094_XAX_QEA,1,50201,-1.999806,55.5216,5.63439
y1_d094_XAX_QEA,1,50251,-1.76883,49.0347,5.56593
y1_d094_XAX_QEA,1,50301,-1.544568,42.6078,5.43342
y1_d094_XAX_QEA,1,50351,-1.327023,36.2415,5.23692
y1_d094_XAX_QEA,1,50401,-1.116192,29.93535,4.9764
y1_d094_XAX_QEA,1,50451,-0.912075,23.68962,4.65186
y1_d094_XAX_QEA,1,50501,-0.714678,17.50425,4.2633
y1_d094_XAX_QEA,1,50551,-0.523995,11.37921,3.81069
y1_d094_XAX_QEA,1,50601,-0.340029,5.31453,3.29409
y1_d094_XAX_QEA,1,50651,-0.1627761,-0.689856,2.71347
y1_d094_XAX_QEA,1,50701,0.00775899,-6.63387,2.068821
y1_d094_XAX_QEA,2,63251,-1.74693,55.6542,5.73423
y1_d094_XAX_QEA,2,63301,-1.459917,48.9333,5.61534
y1_d094_XAX_QEA,2,63351,-1.198476,42.3015,5.43369
y1_d094_XAX_QEA,2,63401,-0.962604,35.7594,5.18928
y1_d094_XAX_QEA,2,63451,-0.752307,29.30694,4.88214
y1_d094_XAX_QEA,2,63501,-0.567582,22.94379,4.51224
y1_d094_XAX_QEA,2,63551,-0.408426,16.67013,4.07958
y1_d094_XAX_QEA,2,63601,-0.2748429,10.4859,3.58419
y1_d094_XAX_QEA,2,63651,-0.1668309,4.3911,3.02601
y1_d094_XAX_QEA,2,63701,1.317123,4.73655,2.785086
y1_d094_XAX_QEA,2,63751,4.09083,10.22973,2.68077
y1_d094_XAX_QEA,2,63801,6.84213,15.60309,2.48196
y1_d094_XAX_QEA,2,63851,9.57105,20.85666,2.18865
y1_d094_XAX_QEA,2,63901,12.27753,25.99047,1.800843
y1_d094_XAX_QEA,2,63951,14.9616,31.0044,1.318542
y1_d094_XAX_QEA,2,64001,17.62329,35.8986,0.741744
y1_d094_XAX_QEA,2,64051,20.26254,40.6728,0.0704475
y1_d094_XAX_QEA,2,64101,22.16937,44.5257,0.671496
y1_d094_XAX_QEA,2,64151,24.16317,48.3357,0.909657
y1_d094_XAX_QEA,2,64201,26.14995,52.0917,1.04373
y1_d094_XAX_QEA,2,64251,28.12971,55.7934,1.073718
y1_d094_XAX_QEA,2,64301,30.1023,59.4408,0.999621
y1_d094_XAX_QEA,2,64351,32.0682,63.0342,0.821439
y1_d094_XAX_QEA,2,64401,34.0266,66.573,0.539166
y1_d094_XAX_QEA,2,64451,35.9784,70.0578,0.1528107
y1_d094_XAX_QEA,2,64501,37.4586,73.11,0.522252
y1_d094_XAX_QEA,2,64551,39.0618,76.1367,0.648615
y1_d094_XAX_QEA,2,64601,40.6587,79.0884,0.661329
y1_d094_XAX_QEA,2,64651,42.2487,81.9654,0.560391
y1_d094_XAX_QEA,2,64701,43.8324,84.7674,0.345801
y1_d094_XAX_QEA,2,64751,45.4098,87.4941,0.0175599
y1_d094_XAX_QEA,2,64801,46.7907,90.3144,0.504903
y1_d094_XAX_QEA,2,64851,48.2484,92.9388,0.796359
y1_d094_XAX_QEA,2,64901,49.7097,95.5425,0.972477
y1_d094_XAX_QEA,2,64951,51.1752,98.1252,1.03326
y1_d094_XAX_QEA,2,65001,52.6449,100.6872,0.978708
y1_d094_XAX_QEA,2,65051,54.1182,103.2285,0.808821
y1_d094_XAX_QEA,2,65101,55.5957,105.7488,0.523596
y1_d094_XAX_QEA,2,65151,57.0774,108.2487,0.1230357
y1_d094_XAX_QEA,2,65201,58.347,110.661,0.2082042
y1_d094_XAX_QEA,2,65251,59.7789,113.0307,0.379572
y1_d094_XAX_QEA,2,65301,61.1814,115.3968,0.415398
y1_d094_XAX_QEA,2,65351,62.5548,117.7596,0.315684
y1_d094_XAX_QEA,2,65401,63.8991,120.1188,0.0804267
y1_d094_XAX_QEA,2,65451,65.2131,122.3919,0.1221012
y1_d094_XAX_QEA,2,65501,66.5478,124.6272,0.094917
y1_d094_XAX_QEA,2,65551,67.9737,126.8595,-0.0912621
y1_d094_XAX_QEA,2,65601,68.9844,131.5269,-0.1006503
y1_d094_XAX_QEA,2,65651,70.2141,134.0535,0
y1_d094_XAX_QEA,2,66901,87.7812,127.8126,4.80117
y1_d094_XAX_QEA,2,66951,85.8336,123.3009,5.13945
y1_d094_XAX_QEA,2,67001,83.889,118.8324,5.40693
y1_d094_XAX_QEA,2,67051,81.9474,114.4068,5.60364
y1_d094_XAX_QEA,2,67101,80.0091,110.0241,5.72958
y1_d094_XAX_QEA,2,67151,78.0738,105.6846,5.78475
y1_d094_XAX_QEA,2,67201,76.1418,101.3883,5.76915
y1_d094_XAX_QEA,2,67251,74.2128,97.1346,5.68278
y1_d094_XAX_QEA,2,67301,72.2871,92.9244,5.52561
y1_d094_XAX_QEA,2,67351,70.3647,88.7571,5.2977
y1_d094_XAX_QEA,2,67401,68.445,84.6327,4.99899
y1_d094_XAX_QEA,2,67451,66.5289,80.5515,4.62951
y1_d094_XAX_QEA,2,67501,64.6158,76.5135,4.18926
y1_d094_XAX_QEA,2,67551,62.7057,72.5184,3.67824
y1_d094_XAX_QEA,2,67601,60.7989,68.5662,3.09645
y1_d094_XAX_QEA,3,99001,-1.762971,55.8417,5.73522
y1_d094_XAX_QEA,3,99051,-1.39161,49.1916,5.6853
y1_d094_XAX_QEA,3,99101,-1.055484,42.6201,5.58144
y1_d094_XAX_QEA,3,99151,-0.754596,36.1272,5.42367
y1_d094_XAX_QEA,3,99201,-0.488946,29.7126,5.21196
y1_d094_XAX_QEA,3,99251,-0.2585355,23.37657,4.94634
y1_d094_XAX_QEA,3,99301,-0.0633615,17.11899,4.62678
y1_d094_XAX_QEA,3,99351,0.0965745,10.93989,4.25328
y1_d094_XAX_QEA,3,99401,0.2212737,4.83927,3.82587
y1_d094_XAX_QEA,3,99451,0.310734,-1.182858,3.34452
y1_d094_XAX_QEA,3,99501,0.364956,-7.1265,2.809251
y1_d094_XAX_QEA,4,112101,-1.862334,56.1576,5.75694
y1_d094_XAX_QEA,4,112151,-1.702086,50.1549,5.82096
y1_d094_XAX_QEA,4,112201,-1.535973,44.2062,5.78859
y1_d094_XAX_QEA,4,112251,-1.363995,38.3112,5.65989
y1_d094_XAX_QEA,4,112301,-1.186149,32.4699,5.4348
y1_d094_XAX_QEA,4,112351,-1.002438,26.68236,5.11338
y1_d094_XAX_QEA,4,112401,-0.812859,20.94849,4.69557
y1_d094_XAX_QEA,4,112451,-0.617415,15.26838,4.1814
y1_d094_XAX_QEA,4,112501,-0.416106,9.642,3.57084
y1_d094_XAX_QEA,4,112551,-0.2089296,4.06935,2.863953
y1_d094_XAX_QEA,4,112601,0.00411297,-1.449579,2.060688
y1_d094_XAX_QEA,4,112651,0.2230227,-6.91479,1.161054
y1_d094_XAX_QEA,5,124651,-2.064849,56.6217,5.89524
y1_d094_XAX_QEA,5,124701,-1.740822,50.31,5.78709
y1_d094_XAX_QEA,5,124751,-1.45968,44.0379,5.62113
y1_d094_XAX_QEA,5,124801,-1.221429,37.8054,5.39739
y1_d094_XAX_QEA,5,124851,-1.026063,31.6122,5.11587
y1_d094_XAX_QEA,5,124901,-0.873588,25.45827,4.77651
y1_d094_XAX_QEA,5,124951,-0.763998,19.34391,4.3794
y1_d094_XAX_QEA,5,125001,-0.697296,13.269,3.92445
y1_d094_XAX_QEA,5,125051,-0.673482,7.23351,3.41172
y1_d094_XAX_QEA,5,125101,-0.692556,1.237491,2.841198
y1_d094_XAX_QEA,6,145001,-1.8381,52.7817,5.7639
y1_d094_XAX_QEA,6,145051,-1.812522,46.9623,5.76435
y1_d094_XAX_QEA,6,145101,-1.761321,41.1795,5.67579
y1_d094_XAX_QEA,6,145151,-1.684494,35.4336,5.49819
y1_d094_XAX_QEA,6,145201,-1.582044,29.7246,5.23161
y1_d094_XAX_QEA,6,145251,-1.453968,24.0525,4.87599
y1_d094_XAX_QEA,6,145301,-1.300266,18.4173,4.43139
y1_d094_XAX_QEA,6,145351,-1.120941,12.81897,3.89778
y1_d094_XAX_QEA,6,145401,-0.915987,7.25748,3.27513
y1_d094_XAX_QEA,6,145451,-0.685413,1.73292,2.563488
y1_d094_XAX_QEA,7,188301,-1.564218,57.5775,5.57058
y1_d094_XAX_QEA,7,188351,-1.526997,51.4278,5.66154
y1_d094_XAX_QEA,7,188401,-1.455453,45.3435,5.64909
y1_d094_XAX_QEA,7,188451,-1.349592,39.3249,5.53323
y1_d094_XAX_QEA,7,188501,-1.209408,33.3717,5.31399
y1_d094_XAX_QEA,7,188551,-1.034901,27.48414,4.99131
y1_d094_XAX_QEA,7,188601,-0.826077,21.66216,4.56525
y1_d094_XAX_QEA,7,188651,-0.58293,15.9057,4.03575
y1_d094_XAX_QEA,7,188701,-0.305463,10.21485,3.40287
y1_d094_XAX_QEA,7,188751,0.00632379,4.58955,2.666559
y1_d094_XAX_QEA,7,188801,0.352431,-0.970212,1.826853
y1_d094_XAX_QEA,7,188851,3.95457,9.98886,2.195172
y1_d094_XAX_QEA,7,188901,6.48069,15.4437,2.012571
y1_d094_XAX_QEA,7,188951,8.99904,20.71143,1.715544
y1_d094_XAX_QEA,7,189001,11.50962,25.79208,1.304091
y1_d094_XAX_QEA,7,189051,14.01243,30.6855,0.778215
y1_d094_XAX_QEA,7,189101,16.50747,35.3922,0.137913
y1_d094_XAX_QEA,7,189151,18.50817,39.9009,0.694791
y1_d094_XAX_QEA,7,189201,20.49957,43.857,1.021899
y1_d094_XAX_QEA,7,189251,22.47684,47.7642,1.245237
y1_d094_XAX_QEA,7,189301,24.43998,51.6225,1.364805
y1_d094_XAX_QEA,7,189351,26.38896,55.4319,1.380603
y1_d094_XAX_QEA,7,189401,28.32381,59.1921,1.292628
y1_d094_XAX_QEA,7,189451,30.2445,62.9037,1.100883
y1_d094_XAX_QEA,7,189501,32.151,66.5661,0.805368
y1_d094_XAX_QEA,7,189551,34.0434,70.1799,0.40608
y1_d094_XAX_QEA,7,189601,35.7285,73.4769,0.553317
y1_d094_XAX_QEA,7,189651,37.278,76.6056,0.741246
y1_d094_XAX_QEA,7,189701,38.8026,79.6803,0.861699
y1_d094_XAX_QEA,7,189751,40.3017,82.7013,0.914673
y1_d094_XAX_QEA,7,189801,41.7756,85.6683,0.900171
y1_d094_XAX_QEA,7,189851,43.2243,88.5816,0.818196
y1_d094_XAX_QEA,7,189901,44.6478,91.4409,0.668739
y1_d094_XAX_QEA,7,189951,46.0461,94.2462,0.451809
