"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d001_BEJ_RZQ",1,11789,-1.430433,51.9648,5.59518
"y2_d001_BEJ_RZQ",1,11839,-1.270503,45.4614,5.24787
"y2_d001_BEJ_RZQ",1,11889,-1.119759,39.0294,4.87506
"y2_d001_BEJ_RZQ",1,11939,-0.978198,32.6682,4.47681
"y2_d001_BEJ_RZQ",1,11989,-0.845823,26.3784,4.05306
"y2_d001_BEJ_RZQ",1,12039,-0.722631,20.15973,3.60384
"y2_d001_BEJ_RZQ",1,12089,-0.608625,14.01225,3.12918
"y2_d001_BEJ_RZQ",1,12139,-0.503805,7.9359,2.629029
"y2_d001_BEJ_RZQ",1,12189,-0.408168,1.930746,2.103408
"y2_d001_BEJ_RZQ",1,12239,-0.321717,-4.00329,1.552317
"y2_d001_BEJ_RZQ",2,27089,-1.612977,56.9862,5.59683
"y2_d001_BEJ_RZQ",2,27139,-1.399527,50.2329,5.44701
"y2_d001_BEJ_RZQ",2,27189,-1.223475,43.566,5.25465
"y2_d001_BEJ_RZQ",2,27239,-1.084824,36.9852,5.01978
"y2_d001_BEJ_RZQ",2,27289,-0.983571,30.4905,4.7424
"y2_d001_BEJ_RZQ",2,27339,-0.919722,24.08214,4.42251
"y2_d001_BEJ_RZQ",2,27389,-0.893271,17.76003,4.06011
"y2_d001_BEJ_RZQ",2,27439,-0.904221,11.52417,3.6552
"y2_d001_BEJ_RZQ",2,27489,-0.952569,5.37453,3.20778
"y2_d001_BEJ_RZQ",2,27539,-1.038321,-0.688839,2.717829
"y2_d001_BEJ_RZQ",2,27589,-1.161471,-6.66597,2.185371
"y2_d001_BEJ_RZQ",3,44189,-1.518612,52.347,5.38275
"y2_d001_BEJ_RZQ",3,44239,-1.214442,45.9552,5.22495
"y2_d001_BEJ_RZQ",3,44289,-0.937905,39.6339,5.00883
"y2_d001_BEJ_RZQ",3,44339,-0.689004,33.3831,4.73445
"y2_d001_BEJ_RZQ",3,44389,-0.467739,27.20328,4.40175
"y2_d001_BEJ_RZQ",3,44439,-0.274107,21.09411,4.01079
"y2_d001_BEJ_RZQ",3,44489,-0.1081092,15.05559,3.56154
"y2_d001_BEJ_RZQ",3,44539,0.0302532,9.08784,3.054
"y2_d001_BEJ_RZQ",3,44589,0.1409811,3.19077,2.488194
"y2_d001_BEJ_RZQ",3,44639,2.615802,7.29156,1.825956
"y2_d001_BEJ_RZQ",3,44689,5.76822,13.94178,1.060248
"y2_d001_BEJ_RZQ",3,44739,8.87154,20.48247,0.1557405
"y2_d001_BEJ_RZQ",3,44789,11.57526,26.10144,0.463098
"y2_d001_BEJ_RZQ",3,44839,14.35728,31.9521,0.857859
"y2_d001_BEJ_RZQ",3,44889,17.06217,37.5819,1.169268
"y2_d001_BEJ_RZQ",3,44939,19.68996,42.9903,1.397328
"y2_d001_BEJ_RZQ",3,44989,22.24062,48.1776,1.542033
"y2_d001_BEJ_RZQ",3,45039,24.71415,53.1438,1.603389
"y2_d001_BEJ_RZQ",3,45089,27.11058,57.8889,1.581393
"y2_d001_BEJ_RZQ",3,45139,29.42985,62.4129,1.476045
"y2_d001_BEJ_RZQ",3,45189,31.6719,66.7155,1.287345
"y2_d001_BEJ_RZQ",3,45239,33.837,70.7973,1.015293
"y2_d001_BEJ_RZQ",3,45289,35.925,74.6577,0.659892
"y2_d001_BEJ_RZQ",3,45339,37.9359,78.297,0.2211375
"y2_d001_BEJ_RZQ",3,45389,40.7685,84.5136,0.1516476
"y2_d001_BEJ_RZQ",3,45439,42.816,88.8567,0.465198
"y2_d001_BEJ_RZQ",3,45489,44.8614,92.7381,0.703965
"y2_d001_BEJ_RZQ",3,45539,46.9041,96.1575,0.867945
