"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d013_BVD_RZQ",1,26290,1.949151,52.1547,5.76822
"y2_d013_BVD_RZQ",1,26340,1.772166,45.8658,5.40012
"y2_d013_BVD_RZQ",1,26390,1.608081,39.642,5.0037
"y2_d013_BVD_RZQ",1,26440,1.456896,33.4833,4.5789
"y2_d013_BVD_RZQ",1,26490,1.318608,27.38976,4.12578
"y2_d013_BVD_RZQ",1,26540,1.193223,21.36141,3.64428
"y2_d013_BVD_RZQ",1,26590,1.080735,15.39819,3.13443
"y2_d013_BVD_RZQ",1,26640,0.981147,9.5001,2.596254
"y2_d013_BVD_RZQ",1,26690,0.894459,3.66714,2.02971
"y2_d013_BVD_RZQ",1,26740,0.820671,-2.100621,1.434822
"y2_d013_BVD_RZQ",1,26790,0.75978,-7.80324,0.811581
"y2_d013_BVD_RZQ",2,41140,2.111103,54.747,5.91159
"y2_d013_BVD_RZQ",2,41190,2.083272,48.369,5.50449
"y2_d013_BVD_RZQ",2,41240,2.064729,42.0549,5.07411
"y2_d013_BVD_RZQ",2,41290,2.055468,35.8047,4.62048
"y2_d013_BVD_RZQ",2,41340,2.055492,29.61876,4.14357
"y2_d013_BVD_RZQ",2,41390,2.064804,23.49684,3.64341
"y2_d013_BVD_RZQ",2,41440,2.083398,17.43891,3.11994
"y2_d013_BVD_RZQ",2,41490,2.111277,11.44509,2.573232
"y2_d013_BVD_RZQ",2,41540,2.148444,5.51535,2.003244
"y2_d013_BVD_RZQ",2,41590,2.194893,-0.350367,1.409985
"y2_d013_BVD_RZQ",2,41640,2.250627,-6.15201,0.793455
"y2_d013_BVD_RZQ",3,56790,1.872282,57.1812,5.90715
"y2_d013_BVD_RZQ",3,56840,1.696188,51.2928,5.76534
"y2_d013_BVD_RZQ",3,56890,1.536735,45.4611,5.56482
"y2_d013_BVD_RZQ",3,56940,1.393914,39.6858,5.30559
"y2_d013_BVD_RZQ",3,56990,1.267737,33.9675,4.98759
"y2_d013_BVD_RZQ",3,57040,1.158195,28.30584,4.61088
"y2_d013_BVD_RZQ",3,57090,1.065291,22.70085,4.17546
"y2_d013_BVD_RZQ",3,57140,0.989025,17.15256,3.68127
"y2_d013_BVD_RZQ",3,57190,0.929397,11.66091,3.12837
"y2_d013_BVD_RZQ",3,57240,0.886407,6.22599,2.516754
"y2_d013_BVD_RZQ",3,57290,0.860055,0.847743,1.846398
"y2_d013_BVD_RZQ",3,57340,0.850338,-4.47381,1.117311
"y2_d013_BVD_RZQ",4,75890,2.220108,54.7053,5.59842
"y2_d013_BVD_RZQ",4,75940,1.853415,48.5667,5.41101
"y2_d013_BVD_RZQ",4,75990,1.48134,42.4734,5.1618
"y2_d013_BVD_RZQ",4,76040,1.103886,36.426,4.85082
"y2_d013_BVD_RZQ",4,76090,0.721053,30.4239,4.47807
"y2_d013_BVD_RZQ",4,76140,0.332841,24.46767,4.04355
"y2_d013_BVD_RZQ",4,76190,-0.0607566,18.55683,3.54723
"y2_d013_BVD_RZQ",4,76240,-0.459732,12.69159,2.989152
"y2_d013_BVD_RZQ",4,76290,-0.864087,6.87195,2.369298
"y2_d013_BVD_RZQ",4,76340,-1.273821,1.097862,1.687671
"y2_d013_BVD_RZQ",4,76390,-1.688937,-4.63065,0.944265
"y2_d013_BVD_RZQ",5,106340,1.970253,57.4431,5.81787
"y2_d013_BVD_RZQ",5,106390,1.817181,50.9772,5.62842
"y2_d013_BVD_RZQ",5,106440,1.671903,44.5755,5.39778
"y2_d013_BVD_RZQ",5,106490,1.534419,38.2377,5.12589
"y2_d013_BVD_RZQ",5,106540,1.404726,31.9641,4.81278
"y2_d013_BVD_RZQ",5,106590,1.28283,25.75449,4.45845
"y2_d013_BVD_RZQ",5,106640,1.168725,19.60899,4.0629
"y2_d013_BVD_RZQ",5,106690,1.062411,13.52751,3.62613
"y2_d013_BVD_RZQ",5,106740,0.963894,7.51014,3.14814
"y2_d013_BVD_RZQ",5,106790,0.873168,1.556823,2.628939
"y2_d013_BVD_RZQ",6,126540,1.975368,55.5009,5.82426
"y2_d013_BVD_RZQ",6,126590,1.632471,49.0809,5.53722
"y2_d013_BVD_RZQ",6,126640,1.301268,42.7146,5.21754
"y2_d013_BVD_RZQ",6,126690,0.981756,36.4023,4.86519
"y2_d013_BVD_RZQ",6,126740,0.673938,30.1437,4.48014
"y2_d013_BVD_RZQ",6,126790,0.377817,23.93892,4.06245
"y2_d013_BVD_RZQ",6,126840,0.093387,17.78796,3.61209
"y2_d013_BVD_RZQ",6,126890,-0.1793487,11.69079,3.12906
