game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y2_d023_DMS_RZQ,1,4125701,-1.882401,52.2696,5.32233
y2_d023_DMS_RZQ,1,4125751,-1.334232,45.8106,4.99272
y2_d023_DMS_RZQ,1,4125801,-0.798705,39.4059,4.60122
y2_d023_DMS_RZQ,1,4125851,-0.2758182,33.0555,4.14783
y2_d023_DMS_RZQ,1,4125901,0.2344263,26.75907,3.63258
y2_d023_DMS_RZQ,1,4125951,0.73203,20.51697,3.05544
y2_d023_DMS_RZQ,1,4126001,1.216992,14.32908,2.416452
y2_d023_DMS_RZQ,1,4126051,1.689312,8.1954,1.71558
y2_d023_DMS_RZQ,1,4126101,2.148996,2.115927,0.95283
y2_d023_DMS_RZQ,1,4126151,2.596035,-3.9093,0.1282065
y2_d023_DMS_RZQ,2,4142101,-2.740548,57.6018,5.47845
y2_d023_DMS_RZQ,2,4142151,-2.336838,51.2403,5.27877
y2_d023_DMS_RZQ,2,4142201,-1.953888,44.9232,5.02542
y2_d023_DMS_RZQ,2,4142251,-1.591701,38.6508,4.71837
y2_d023_DMS_RZQ,2,4142301,-1.250274,32.4231,4.35762
y2_d023_DMS_RZQ,2,4142351,-0.929607,26.24019,3.94317
y2_d023_DMS_RZQ,2,4142401,-0.629703,20.10183,3.47505
y2_d023_DMS_RZQ,2,4142451,-0.350559,14.00814,2.953218
y2_d023_DMS_RZQ,2,4142501,-0.092178,7.95909,2.377695
y2_d023_DMS_RZQ,2,4142551,0.1454421,1.954692,1.748475
y2_d023_DMS_RZQ,3,4159901,-2.261214,56.0052,5.39703
y2_d023_DMS_RZQ,3,4159951,-1.846587,49.263,5.2686
y2_d023_DMS_RZQ,3,4160001,-1.441044,42.5892,5.10348
y2_d023_DMS_RZQ,3,4160051,-1.044582,35.9835,4.90167
y2_d023_DMS_RZQ,3,4160101,-0.657198,29.44587,4.66314
y2_d023_DMS_RZQ,3,4160151,-0.278898,22.97646,4.38795
y2_d023_DMS_RZQ,3,4160201,0.0903201,16.57521,4.07607
y2_d023_DMS_RZQ,3,4160251,0.450456,10.24215,3.72747
y2_d023_DMS_RZQ,3,4160301,0.801513,3.97722,3.34218
y2_d023_DMS_RZQ,3,4160351,1.143486,-2.219574,2.920209
y2_d023_DMS_RZQ,4,4188451,-1.960053,52.7967,5.21625
y2_d023_DMS_RZQ,4,4188501,-1.513575,46.4895,4.9488
y2_d023_DMS_RZQ,4,4188551,-1.069545,40.2381,4.60359
y2_d023_DMS_RZQ,4,4188601,-0.62796,34.0422,4.18062
y2_d023_DMS_RZQ,4,4188651,-0.1888236,27.90183,3.67986
y2_d023_DMS_RZQ,4,4188701,0.2478633,21.81717,3.10134
y2_d023_DMS_RZQ,4,4188751,0.682101,15.7881,2.445063
y2_d023_DMS_RZQ,4,4188801,1.113894,9.81465,1.711005
y2_d023_DMS_RZQ,4,4188851,1.543239,3.89676,0.899175
y2_d023_DMS_RZQ,4,4188901,1.970133,-1.965489,0.00957666
y2_d023_DMS_RZQ,5,4209801,-2.548866,58.2027,5.22855
y2_d023_DMS_RZQ,5,4209851,-2.381418,51.7314,5.29974
y2_d023_DMS_RZQ,5,4209901,-2.217219,45.3603,5.29959
y2_d023_DMS_RZQ,5,4209951,-2.056266,39.0894,5.2281
y2_d023_DMS_RZQ,5,4210001,-1.898559,32.9184,5.0853
y2_d023_DMS_RZQ,5,4210051,-1.744098,26.8473,4.87119
y2_d023_DMS_RZQ,5,4210101,-1.592883,20.87628,4.58574
y2_d023_DMS_RZQ,5,4210151,-1.444914,15.00531,4.22895
y2_d023_DMS_RZQ,5,4210201,-1.300191,9.23433,3.80082
y2_d023_DMS_RZQ,5,4210251,-1.158714,3.56337,3.30138
y2_d023_DMS_RZQ,5,4210301,-1.02048,-2.007576,2.730615
y2_d023_DMS_RZQ,5,4210351,-0.885495,-7.47852,2.088513
y2_d023_DMS_RZQ,6,4224901,-2.572641,55.3287,5.35701
y2_d023_DMS_RZQ,6,4224951,-2.184474,49.164,5.3892
y2_d023_DMS_RZQ,6,4225001,-1.824324,43.0518,5.36121
y2_d023_DMS_RZQ,6,4225051,-1.492191,36.9924,5.27307
y2_d023_DMS_RZQ,6,4225101,-1.188078,30.9858,5.12475
y2_d023_DMS_RZQ,6,4225151,-0.911982,25.03218,4.91628
y2_d023_DMS_RZQ,6,4225201,-0.663906,19.1313,4.64766
y2_d023_DMS_RZQ,6,4225251,-0.443847,13.28322,4.31886
y2_d023_DMS_RZQ,6,4225301,-0.251805,7.48794,3.92991
y2_d023_DMS_RZQ,6,4225351,-0.0877812,1.74543,3.48078
y2_d023_DMS_RZQ,6,4225401,0.0482235,-3.94422,2.971515
y2_d023_DMS_RZQ,7,4237501,-2.539722,53.2239,5.27487
y2_d023_DMS_RZQ,7,4237551,-2.082057,46.5861,4.95141
y2_d023_DMS_RZQ,7,4237601,-1.644723,40.0128,4.59687
y2_d023_DMS_RZQ,7,4237651,-1.227723,33.5037,4.21119
y2_d023_DMS_RZQ,7,4237701,-0.831057,27.05874,3.79443
y2_d023_DMS_RZQ,7,4237751,-0.454722,20.67804,3.34653
y2_d023_DMS_RZQ,7,4237801,-0.0987213,14.36157,2.867532
y2_d023_DMS_RZQ,7,4237851,0.2369484,8.1093,2.357418
y2_d023_DMS_RZQ,7,4237901,0.552285,1.921266,1.816191
y2_d023_DMS_RZQ,7,4237951,0.847287,-4.20252,1.243854
y2_d023_DMS_RZQ,8,4252001,-2.497548,52.5963,5.20797
y2_d023_DMS_RZQ,8,4252051,-2.131989,45.8748,4.96641
y2_d023_DMS_RZQ,8,4252101,-1.783092,39.2253,4.68435
y2_d023_DMS_RZQ,8,4252151,-1.450863,32.6484,4.36179
y2_d023_DMS_RZQ,8,4252201,-1.135296,26.14344,3.99876
y2_d023_DMS_RZQ,8,4252251,-0.836394,19.71072,3.59526
y2_d023_DMS_RZQ,8,4252301,-0.554157,13.35018,3.15126
y2_d023_DMS_RZQ,8,4252351,-0.288585,7.06176,2.666802
y2_d023_DMS_RZQ,8,4252401,-0.039678,0.84555,2.141856
y2_d023_DMS_RZQ,9,4271301,-2.56518,51.8166,5.11968
y2_d023_DMS_RZQ,9,4271351,-2.200758,45.0993,4.83228
y2_d023_DMS_RZQ,9,4271401,-1.872102,38.4519,4.50651
y2_d023_DMS_RZQ,9,4271451,-1.579209,31.8744,4.14234
y2_d023_DMS_RZQ,9,4271501,-1.322079,25.36647,3.73977
y2_d023_DMS_RZQ,9,4271551,-1.100712,18.92838,3.2988
y2_d023_DMS_RZQ,9,4271601,-0.915108,12.56007,2.819427
y2_d023_DMS_RZQ,9,4271651,-0.765267,6.26154,2.301663
y2_d023_DMS_RZQ,9,4271701,-0.651189,0.0328032,1.745499
y2_d023_DMS_RZQ,9,4271751,2.239212,10.52595,3.54528
y2_d023_DMS_RZQ,9,4271801,4.60869,16.94952,4.47903
y2_d023_DMS_RZQ,9,4271851,6.98088,23.29302,5.32311
y2_d023_DMS_RZQ,9,4271901,9.3558,29.55645,6.07752
y2_d023_DMS_RZQ,9,4271951,11.73339,35.7399,6.74223
y2_d023_DMS_RZQ,9,4272001,14.11368,41.8431,7.3173
