"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d005_DYE_RZQ",1,22104,2.1468,52.2846,5.21646
"y2_d005_DYE_RZQ",1,22154,1.876149,45.81,4.88673
"y2_d005_DYE_RZQ",1,22204,1.613595,39.4317,4.52073
"y2_d005_DYE_RZQ",1,22254,1.359141,33.1497,4.1184
"y2_d005_DYE_RZQ",1,22304,1.112787,26.96406,3.6798
"y2_d005_DYE_RZQ",1,22354,0.87453,20.87451,3.20487
"y2_d005_DYE_RZQ",1,22404,0.644373,14.88123,2.693658
"y2_d005_DYE_RZQ",1,22454,0.422313,8.98416,2.14614
"y2_d005_DYE_RZQ",1,22504,0.208353,3.18336,1.562322
"y2_d005_DYE_RZQ",1,22554,0.00249180899999999,-2.521239,0.942204
"y2_d005_DYE_RZQ",2,33804,1.715343,53.8212,5.50917
"y2_d005_DYE_RZQ",2,33854,1.402656,47.4465,5.20935
"y2_d005_DYE_RZQ",2,33904,1.095456,41.1285,4.87251
"y2_d005_DYE_RZQ",2,33954,0.793746,34.8675,4.49871
"y2_d005_DYE_RZQ",2,34004,0.497529,28.66314,4.08789
"y2_d005_DYE_RZQ",2,34054,0.2067984,22.51563,3.64005
"y2_d005_DYE_RZQ",2,34104,-0.0784428,16.42491,3.15525
"y2_d005_DYE_RZQ",2,34154,-0.358194,10.39101,2.633436
"y2_d005_DYE_RZQ",2,34204,-0.632454,4.41393,2.074629
"y2_d005_DYE_RZQ",2,34254,-0.901224,-1.50636,1.478826
"y2_d005_DYE_RZQ",2,34304,-1.164504,-7.36983,0.846024
"y2_d005_DYE_RZQ",3,53154,2.0166,56.4726,5.59533
"y2_d005_DYE_RZQ",3,53204,1.808415,50.5731,5.50953
"y2_d005_DYE_RZQ",3,53254,1.57728,44.7141,5.34348
"y2_d005_DYE_RZQ",3,53304,1.323198,38.8962,5.09712
"y2_d005_DYE_RZQ",3,53354,1.046169,33.1185,4.77048
"y2_d005_DYE_RZQ",3,53404,0.746193,27.38187,4.36356
"y2_d005_DYE_RZQ",3,53454,0.42327,21.68577,3.87633
"y2_d005_DYE_RZQ",3,53504,0.0774006,16.03038,3.30885
"y2_d005_DYE_RZQ",3,53554,-0.2914164,10.41567,2.661063
"y2_d005_DYE_RZQ",3,53604,-0.683181,4.84158,1.932996
"y2_d005_DYE_RZQ",3,53654,-1.097892,-0.691767,1.124649
"y2_d005_DYE_RZQ",3,53704,0.140391,9.3798,0.473907
"y2_d005_DYE_RZQ",3,53754,0.91605,15.29613,0.495837
"y2_d005_DYE_RZQ",3,53804,1.686747,21.07281,0.504381
"y2_d005_DYE_RZQ",3,53854,2.452485,26.7099,0.499536
"y2_d005_DYE_RZQ",3,53904,3.21324,32.2074,0.481305
"y2_d005_DYE_RZQ",3,53954,3.96906,37.5651,0.449682
"y2_d005_DYE_RZQ",3,54004,4.7199,42.7833,0.404673
"y2_d005_DYE_RZQ",3,54054,5.46579,47.862,0.346278
"y2_d005_DYE_RZQ",3,54104,6.2067,52.8009,0.2744922
"y2_d005_DYE_RZQ",3,54154,6.94266,57.6003,0.1893192
"y2_d005_DYE_RZQ",3,54204,7.67364,62.2602,0.0907581
"y2_d005_DYE_RZQ",3,54254,8.39967,66.7803,-0.02119098
"y2_d005_DYE_RZQ",3,54304,9.12072,71.1609,-0.1465281
"y2_d005_DYE_RZQ",3,54354,9.70191,75.3345,-0.1377285
"y2_d005_DYE_RZQ",3,54404,10.37559,79.3569,0.1339662
"y2_d005_DYE_RZQ",3,54454,11.00205,83.2902,0.2480157
"y2_d005_DYE_RZQ",3,54504,11.58129,87.1338,0.2044206
"y2_d005_DYE_RZQ",3,54554,12.11334,90.8883,0.00318012
"y2_d005_DYE_RZQ",3,54604,12.5982,94.5537,-0.355707
"y2_d005_DYE_RZQ",3,54654,13.03581,98.1297,-0.872238
"y2_d005_DYE_RZQ",3,54704,13.72827,101.8251,-0.0988755
"y2_d005_DYE_RZQ",3,54754,14.23653,105.2973,-0.1177449
"y2_d005_DYE_RZQ",3,54804,14.73663,108.7437,-0.2160786
"y2_d005_DYE_RZQ",3,54854,15.22857,112.1646,-0.393879
"y2_d005_DYE_RZQ",3,54904,15.73539,115.4352,-0.375045
"y2_d005_DYE_RZQ",3,54954,16.28058,118.6281,-0.303957
"y2_d005_DYE_RZQ",3,55004,16.82541,121.8375,-0.30756
"y2_d005_DYE_RZQ",3,55054,17.36994,125.0631,-0.385854
"y2_d005_DYE_RZQ",3,55104,17.91417,128.3049,-0.538839
"y2_d005_DYE_RZQ",3,55154,18.46689,131.2101,-0.584163
