"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d017_GIS_RZQ",1,4935,-1.037949,56.2119,6.2874
"y2_d017_GIS_RZQ",1,4985,-0.882213,49.6998,5.95497
"y2_d017_GIS_RZQ",1,5035,-0.74832,43.2534,5.58957
"y2_d017_GIS_RZQ",1,5085,-0.63627,36.8727,5.19123
"y2_d017_GIS_RZQ",1,5135,-0.546066,30.5583,4.75992
"y2_d017_GIS_RZQ",1,5185,-0.477708,24.30945,4.29564
"y2_d017_GIS_RZQ",1,5235,-0.431193,18.12663,3.79842
"y2_d017_GIS_RZQ",1,5285,-0.406524,12.00975,3.26826
"y2_d017_GIS_RZQ",1,5335,-0.403698,5.95875,2.705118
"y2_d017_GIS_RZQ",1,5385,-0.422718,-0.02634402,2.10903
"y2_d017_GIS_RZQ",1,5435,-0.463581,-5.94552,1.479987
"y2_d017_GIS_RZQ",2,23335,-1.261437,56.1528,6.04707
"y2_d017_GIS_RZQ",2,23385,-1.110324,49.9374,5.74857
"y2_d017_GIS_RZQ",2,23435,-0.94713,43.7907,5.38884
"y2_d017_GIS_RZQ",2,23485,-0.771852,37.713,4.96785
"y2_d017_GIS_RZQ",2,23535,-0.584493,31.7046,4.48563
"y2_d017_GIS_RZQ",2,23585,-0.38505,25.76511,3.94218
"y2_d017_GIS_RZQ",2,23635,-0.173526,19.89471,3.33753
"y2_d017_GIS_RZQ",2,23685,0.0500802,14.09331,2.671602
"y2_d017_GIS_RZQ",2,23735,0.2857698,8.36094,1.944453
"y2_d017_GIS_RZQ",2,23785,0.533541,2.697654,1.156071
"y2_d017_GIS_RZQ",2,23835,0.793392,-2.896605,0.306456
"y2_d017_GIS_RZQ",3,37835,-1.255053,55.9182,5.98788
"y2_d017_GIS_RZQ",3,37885,-1.113492,49.7517,5.83065
"y2_d017_GIS_RZQ",3,37935,-0.958008,43.6497,5.61621
"y2_d017_GIS_RZQ",3,37985,-0.788598,37.6125,5.34447
"y2_d017_GIS_RZQ",3,38035,-0.605262,31.6395,5.01549
"y2_d017_GIS_RZQ",3,38085,-0.408003,25.73145,4.62927
"y2_d017_GIS_RZQ",3,38135,-0.1968186,19.88784,4.18578
"y2_d017_GIS_RZQ",3,38185,0.02829066,14.10879,3.68502
"y2_d017_GIS_RZQ",3,38235,0.2673258,8.3943,3.12702
"y2_d017_GIS_RZQ",3,38285,0.520284,2.744397,2.51175
"y2_d017_GIS_RZQ",3,38335,0.78717,-2.84094,1.839231
"y2_d017_GIS_RZQ",3,38385,1.067976,-8.36172,1.109457
"y2_d017_GIS_RZQ",4,56185,-0.84522,53.3583,5.99637
"y2_d017_GIS_RZQ",4,56235,-0.583698,46.6881,5.7588
"y2_d017_GIS_RZQ",4,56285,-0.345495,40.08,5.48658
"y2_d017_GIS_RZQ",4,56335,-0.1306104,33.534,5.17968
"y2_d017_GIS_RZQ",4,56385,0.0609537,27.04965,4.83813
"y2_d017_GIS_RZQ",4,56435,0.2291982,20.62734,4.4619
"y2_d017_GIS_RZQ",4,56485,0.374124,14.26692,4.05099
"y2_d017_GIS_RZQ",4,56535,0.495729,7.96845,3.60543
"y2_d017_GIS_RZQ",4,56585,0.594015,1.731885,3.12519
"y2_d017_GIS_RZQ",4,56635,0.668982,-4.44276,2.610297
"y2_d017_GIS_RZQ",5,71435,-1.288902,54.9774,5.96715
"y2_d017_GIS_RZQ",5,71485,-0.882399,48.2688,5.63475
"y2_d017_GIS_RZQ",5,71535,-0.536454,41.6412,5.26041
"y2_d017_GIS_RZQ",5,71585,-0.2510562,35.0943,4.84416
"y2_d017_GIS_RZQ",5,71635,-0.0262107,28.6281,4.38594
"y2_d017_GIS_RZQ",5,71685,0.1380837,22.24263,3.88581
"y2_d017_GIS_RZQ",5,71735,0.2418276,15.93789,3.34377
"y2_d017_GIS_RZQ",5,71785,0.2850198,9.71388,2.759766
"y2_d017_GIS_RZQ",5,71835,0.2676612,3.57063,2.13384
"y2_d017_GIS_RZQ",5,71885,0.1897512,-2.491899,1.465983
"y2_d017_GIS_RZQ",6,102085,-1.425525,57.8001,6.32166
"y2_d017_GIS_RZQ",6,102135,-1.167573,51.2511,5.99814
"y2_d017_GIS_RZQ",6,102185,-0.947295,44.7753,5.63295
"y2_d017_GIS_RZQ",6,102235,-0.764697,38.3724,5.22612
"y2_d017_GIS_RZQ",6,102285,-0.619776,32.0427,4.77759
"y2_d017_GIS_RZQ",6,102335,-0.512535,25.78572,4.28739
"y2_d017_GIS_RZQ",6,102385,-0.442968,19.60188,3.75552
"y2_d017_GIS_RZQ",6,102435,-0.411081,13.491,3.18198
"y2_d017_GIS_RZQ",6,102485,-0.416871,7.45311,2.566767
"y2_d017_GIS_RZQ",6,102535,-0.460341,1.488264,1.90989
"y2_d017_GIS_RZQ",6,102585,-0.541485,-4.40358,1.21134
"y2_d017_GIS_RZQ",7,115235,-1.132644,55.8846,6.02211
"y2_d017_GIS_RZQ",7,115285,-1.086648,50.2989,6.18228
"y2_d017_GIS_RZQ",7,115335,-1.033566,44.7651,6.23997
"y2_d017_GIS_RZQ",7,115385,-0.973398,39.2835,6.19515
"y2_d017_GIS_RZQ",7,115435,-0.906141,33.8535,6.04785
"y2_d017_GIS_RZQ",7,115485,-0.831798,28.4757,5.79804
"y2_d017_GIS_RZQ",7,115535,-0.750369,23.14983,5.44575
"y2_d017_GIS_RZQ",7,115585,-0.661854,17.87592,4.99098
"y2_d017_GIS_RZQ",7,115635,-0.566253,12.65397,4.4337
"y2_d017_GIS_RZQ",7,115685,-0.463563,7.48401,3.77391
"y2_d017_GIS_RZQ",7,115735,-0.353787,2.365965,3.01167
"y2_d017_GIS_RZQ",7,115785,-0.2369232,-2.700075,2.146899
"y2_d017_GIS_RZQ",8,128285,-1.07259,52.29,5.94438
"y2_d017_GIS_RZQ",8,128335,-0.722367,45.7809,5.58453
"y2_d017_GIS_RZQ",8,128385,-0.395061,39.3321,5.19213
"y2_d017_GIS_RZQ",8,128435,-0.0906789,32.9439,4.76712
"y2_d017_GIS_RZQ",8,128485,0.190785,26.61612,4.30956
"y2_d017_GIS_RZQ",8,128535,0.449328,20.34882,3.81939
"y2_d017_GIS_RZQ",8,128585,0.684948,14.14203,3.2967
"y2_d017_GIS_RZQ",8,128635,0.897648,7.99566,2.741394
"y2_d017_GIS_RZQ",8,128685,1.087428,1.909794,2.153526
"y2_d017_GIS_RZQ",8,128735,1.254288,-4.11564,1.533081
"y2_d017_GIS_RZQ",9,144385,-1.343169,58.113,6.05808
"y2_d017_GIS_RZQ",9,144435,-1.209945,52.3455,5.99892
"y2_d017_GIS_RZQ",9,144485,-1.111164,46.6335,5.86932
"y2_d017_GIS_RZQ",9,144535,-1.04682,40.977,5.66922
"y2_d017_GIS_RZQ",9,144585,-1.016919,35.3763,5.39865
"y2_d017_GIS_RZQ",9,144635,-1.021455,29.83125,5.05764
"y2_d017_GIS_RZQ",9,144685,-1.060431,24.34173,4.64613
"y2_d017_GIS_RZQ",9,144735,-1.13385,18.9078,4.16418
"y2_d017_GIS_RZQ",9,144785,-1.241706,13.52946,3.61176
"y2_d017_GIS_RZQ",9,144835,-1.384002,8.20674,2.988876
"y2_d017_GIS_RZQ",9,144885,-1.560738,2.939625,2.295522
"y2_d017_GIS_RZQ",9,144935,-1.771914,-2.2719,1.531707
