"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d063_HCI_RZQ",1,24157,-0.2965413,51.996,6.41913
"y1_d063_HCI_RZQ",1,24207,-0.2523186,45.1728,6.00588
"y1_d063_HCI_RZQ",1,24257,-0.2398698,38.4378,5.53953
"y1_d063_HCI_RZQ",1,24307,-0.2591949,31.7907,5.02002
"y1_d063_HCI_RZQ",1,24357,-0.310293,25.23195,4.44741
"y1_d063_HCI_RZQ",1,24407,-0.393168,18.76134,3.82164
"y1_d063_HCI_RZQ",1,24457,-0.507813,12.37887,3.14277
"y1_d063_HCI_RZQ",1,24507,-0.654234,6.08457,2.41077
"y1_d063_HCI_RZQ",1,24557,-0.832428,-0.121566,1.625637
"y1_d063_HCI_RZQ",1,24607,-1.042398,-6.23952,0.787377
"y1_d063_HCI_RZQ",2,43357,-0.2227017,53.2629,6.47502
"y1_d063_HCI_RZQ",2,43407,-0.2545461,47.1018,6.38295
"y1_d063_HCI_RZQ",2,43457,-0.2802384,41.0199,6.20628
"y1_d063_HCI_RZQ",2,43507,-0.2997789,35.0166,5.94507
"y1_d063_HCI_RZQ",2,43557,-0.313167,29.09247,5.59926
"y1_d063_HCI_RZQ",2,43607,-0.320403,23.24721,5.16888
"y1_d063_HCI_RZQ",2,43657,-0.321489,17.48088,4.65393
"y1_d063_HCI_RZQ",2,43707,-0.316422,11.79345,4.05441
"y1_d063_HCI_RZQ",2,43757,-0.305202,6.18492,3.37029
"y1_d063_HCI_RZQ",2,43807,-0.2878299,0.655341,2.601612
"y1_d063_HCI_RZQ",2,43857,-0.2643066,-4.79532,1.748361
"y1_d063_HCI_RZQ",3,62157,0.0985494,52.5414,6.65412
"y1_d063_HCI_RZQ",3,62207,0.1822182,46.2843,6.24306
"y1_d063_HCI_RZQ",3,62257,0.2825091,40.0944,5.75655
"y1_d063_HCI_RZQ",3,62307,0.39942,33.972,5.19456
"y1_d063_HCI_RZQ",3,62357,0.532953,27.91659,4.55709
"y1_d063_HCI_RZQ",3,62407,0.683109,21.92844,3.84417
"y1_d063_HCI_RZQ",3,62457,0.849885,16.00749,3.05574
"y1_d063_HCI_RZQ",3,62507,1.033284,10.15371,2.191869
"y1_d063_HCI_RZQ",3,62557,1.233303,4.36716,1.252518
"y1_d063_HCI_RZQ",3,62607,1.449945,-1.352166,0.2376939
"y1_d063_HCI_RZQ",3,62657,1.683207,-7.00431,-0.852603
"y1_d063_HCI_RZQ",4,94307,-0.0528558,57.5475,6.73659
"y1_d063_HCI_RZQ",4,94357,0.02089947,50.7462,6.26442
"y1_d063_HCI_RZQ",4,94407,0.0659373,44.0097,5.74944
"y1_d063_HCI_RZQ",4,94457,0.0822576,37.3386,5.19168
"y1_d063_HCI_RZQ",4,94507,0.0698604,30.732,4.59111
"y1_d063_HCI_RZQ",4,94557,0.02874573,24.19062,3.94776
"y1_d063_HCI_RZQ",4,94607,-0.0410862,17.71419,3.26157
"y1_d063_HCI_RZQ",4,94657,-0.1396356,11.30268,2.532594
"y1_d063_HCI_RZQ",4,94707,-0.2669025,4.95615,1.760814
"y1_d063_HCI_RZQ",4,94757,-0.422889,-1.325445,0.946227
"y1_d063_HCI_RZQ",4,94807,-0.60759,-7.54206,0.0888393
"y1_d063_HCI_RZQ",5,107607,-0.1787979,57.3477,6.44928
"y1_d063_HCI_RZQ",5,107657,-0.1343778,50.3535,6.23514
"y1_d063_HCI_RZQ",5,107707,-0.1251456,43.4781,5.94627
"y1_d063_HCI_RZQ",5,107757,-0.1511016,36.7215,5.58273
"y1_d063_HCI_RZQ",5,107807,-0.2122458,30.0834,5.14446
"y1_d063_HCI_RZQ",5,107857,-0.308577,23.5644,4.63152
"y1_d063_HCI_RZQ",5,107907,-0.440097,17.16402,4.04388
"y1_d063_HCI_RZQ",5,107957,-0.606807,10.88241,3.38151
"y1_d063_HCI_RZQ",5,108007,-0.808704,4.71954,2.644461
"y1_d063_HCI_RZQ",5,108057,-1.045788,-1.324533,1.832706
"y1_d063_HCI_RZQ",6,127157,0.0802119,52.3263,6.52563
"y1_d063_HCI_RZQ",6,127207,0.1957185,45.4965,6.23553
"y1_d063_HCI_RZQ",6,127257,0.2807733,38.7531,5.895
"y1_d063_HCI_RZQ",6,127307,0.335376,32.0964,5.50395
"y1_d063_HCI_RZQ",6,127357,0.359526,25.52634,5.06244
"y1_d063_HCI_RZQ",6,127407,0.353223,19.04286,4.57047
"y1_d063_HCI_RZQ",6,127457,0.31647,12.64596,4.02801
"y1_d063_HCI_RZQ",6,127507,0.2492628,6.33564,3.43506
"y1_d063_HCI_RZQ",6,127557,0.1516041,0.1119507,2.79165
"y1_d063_HCI_RZQ",6,127607,0.02349363,-6.02514,2.097759
"y1_d063_HCI_RZQ",7,146407,0.38763,58.2642,6.92271
"y1_d063_HCI_RZQ",7,146457,0.397878,52.0005,6.61896
"y1_d063_HCI_RZQ",7,146507,0.421296,45.7986,6.23949
"y1_d063_HCI_RZQ",7,146557,0.457884,39.6582,5.7843
"y1_d063_HCI_RZQ",7,146607,0.507639,33.579,5.25336
"y1_d063_HCI_RZQ",7,146657,0.570561,27.56151,4.64673
"y1_d063_HCI_RZQ",7,146707,0.646653,21.60543,3.96432
"y1_d063_HCI_RZQ",7,146757,0.735915,15.71085,3.20622
"y1_d063_HCI_RZQ",7,146807,0.838344,9.87777,2.372373
"y1_d063_HCI_RZQ",7,146857,0.95394,4.10619,1.4628
"y1_d063_HCI_RZQ",7,146907,1.082706,-1.603923,0.477501
"y1_d063_HCI_RZQ",7,146957,1.224642,-7.25253,-0.583527
"y1_d063_HCI_RZQ",8,178307,0.1170666,56.1024,6.53148
"y1_d063_HCI_RZQ",8,178357,0.1863501,49.1259,6.21333
"y1_d063_HCI_RZQ",8,178407,0.2315103,42.258,5.82507
