"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d064_HKR_RZQ",1,7230,-1.869327,57.9717,6.38895
"y2_d064_HKR_RZQ",1,7280,-1.723293,51.2514,6.04374
"y2_d064_HKR_RZQ",1,7330,-1.594446,44.6052,5.66751
"y2_d064_HKR_RZQ",1,7380,-1.482786,38.0325,5.26023
"y2_d064_HKR_RZQ",1,7430,-1.388313,31.5339,4.82187
"y2_d064_HKR_RZQ",1,7480,-1.311027,25.10886,4.35249
"y2_d064_HKR_RZQ",1,7530,-1.250928,18.75768,3.85203
"y2_d064_HKR_RZQ",1,7580,-1.208019,12.4803,3.32055
"y2_d064_HKR_RZQ",1,7630,-1.182294,6.27672,2.757993
"y2_d064_HKR_RZQ",1,7680,-1.173756,0.1469031,2.164395
"y2_d064_HKR_RZQ",1,7730,-1.182408,-5.90913,1.539741
"y2_d064_HKR_RZQ",2,21380,-1.745835,55.0617,6.15633
"y2_d064_HKR_RZQ",2,21430,-1.621338,48.2721,5.76792
"y2_d064_HKR_RZQ",2,21480,-1.513431,41.5632,5.34465
"y2_d064_HKR_RZQ",2,21530,-1.422111,34.9347,4.88652
"y2_d064_HKR_RZQ",2,21580,-1.347381,28.38648,4.39353
"y2_d064_HKR_RZQ",2,21630,-1.289238,21.91881,3.86568
"y2_d064_HKR_RZQ",2,21680,-1.247685,15.53157,3.30297
"y2_d064_HKR_RZQ",2,21730,-1.222722,9.22476,2.705409
"y2_d064_HKR_RZQ",2,21780,-1.214346,2.998401,2.072994
"y2_d064_HKR_RZQ",2,21830,-1.22256,-3.14751,1.405725
"y2_d064_HKR_RZQ",3,37030,-1.554663,52.143,6.08181
"y2_d064_HKR_RZQ",3,37080,-1.364061,45.3462,5.69916
"y2_d064_HKR_RZQ",3,37130,-1.1853,38.6361,5.30142
"y2_d064_HKR_RZQ",3,37180,-1.01838,32.013,4.88859
"y2_d064_HKR_RZQ",3,37230,-0.863298,25.47708,4.46067
"y2_d064_HKR_RZQ",3,37280,-0.720057,19.02807,4.01769
"y2_d064_HKR_RZQ",3,37330,-0.588657,12.66603,3.55965
"y2_d064_HKR_RZQ",3,37380,-0.469098,6.39102,3.08649
"y2_d064_HKR_RZQ",3,37430,-0.361377,0.2029734,2.598279
"y2_d064_HKR_RZQ",4,56280,-1.606218,57.1296,6.2319
"y2_d064_HKR_RZQ",4,56330,-1.500219,50.3019,6.06903
"y2_d064_HKR_RZQ",4,56380,-1.395276,43.5633,5.86395
"y2_d064_HKR_RZQ",4,56430,-1.291389,36.9135,5.61672
"y2_d064_HKR_RZQ",4,56480,-1.188558,30.3525,5.32728
"y2_d064_HKR_RZQ",4,56530,-1.086786,23.88054,4.99569
"y2_d064_HKR_RZQ",4,56580,-0.98607,17.49738,4.62189
"y2_d064_HKR_RZQ",4,56630,-0.886413,11.20311,4.20591
"y2_d064_HKR_RZQ",4,56680,-0.787809,4.99773,3.74775
"y2_d064_HKR_RZQ",4,56730,-0.690264,-1.118793,3.24744
"y2_d064_HKR_RZQ",4,56780,-0.593778,-7.14639,2.704908
"y2_d064_HKR_RZQ",5,74330,-1.549341,55.9701,6.23196
"y2_d064_HKR_RZQ",5,74380,-1.352952,49.1694,5.99136
"y2_d064_HKR_RZQ",5,74430,-1.159308,42.4374,5.71716
"y2_d064_HKR_RZQ",5,74480,-0.968406,35.7741,5.40939
"y2_d064_HKR_RZQ",5,74530,-0.780249,29.17899,5.06805
"y2_d064_HKR_RZQ",5,74580,-0.594834,22.65252,4.69314
"y2_d064_HKR_RZQ",5,74630,-0.412164,16.19454,4.28466
"y2_d064_HKR_RZQ",5,74680,-0.2322348,9.80505,3.84261
"y2_d064_HKR_RZQ",5,74730,-0.0550494,3.48402,3.36696
"y2_d064_HKR_RZQ",5,74780,-0.62331,6.44649,3.69453
"y2_d064_HKR_RZQ",5,74830,-1.524966,12.10176,5.6421
"y2_d064_HKR_RZQ",5,74880,-2.449383,17.72016,7.51059
"y2_d064_HKR_RZQ",5,74930,-3.39618,23.30127,9.30042
"y2_d064_HKR_RZQ",5,74980,-4.36503,28.84482,11.01207
"y2_d064_HKR_RZQ",5,75030,-5.35551,34.3503,12.64593
"y2_d064_HKR_RZQ",5,75080,-6.36732,39.8175,14.20245
"y2_d064_HKR_RZQ",5,75130,-7.40004,45.246,15.68205
"y2_d064_HKR_RZQ",5,75180,-8.45331,50.6355,17.08521
"y2_d064_HKR_RZQ",5,75230,-9.52677,55.9857,18.41232
"y2_d064_HKR_RZQ",5,75280,-10.62006,61.296,19.66383
"y2_d064_HKR_RZQ",5,75330,-11.73282,66.5661,20.84019
"y2_d064_HKR_RZQ",5,75380,-12.86469,71.7957,21.94185
"y2_d064_HKR_RZQ",5,75430,-14.01525,76.9845,22.9692
"y2_d064_HKR_RZQ",5,75480,-15.1842,82.1322,23.92272
"y2_d064_HKR_RZQ",5,75530,-16.37115,87.2382,24.8028
"y2_d064_HKR_RZQ",5,75580,-17.57571,92.3022,25.60992
"y2_d064_HKR_RZQ",5,75630,-18.79752,97.3239,26.3445
"y2_d064_HKR_RZQ",5,75680,-20.03625,102.303,27.00696
"y2_d064_HKR_RZQ",5,75730,-21.29151,107.2392,27.59775
"y2_d064_HKR_RZQ",5,75780,-22.56291,112.1319,28.11732
"y2_d064_HKR_RZQ",5,75830,-23.85012,116.9808,28.56609
"y2_d064_HKR_RZQ",5,75880,-25.15275,121.7856,28.94451
"y2_d064_HKR_RZQ",5,75930,-26.47047,126.546,29.253
"y2_d064_HKR_RZQ",5,75980,-27.80286,131.2617,29.49198
"y2_d064_HKR_RZQ",5,76030,-29.14959,135.9321,29.66193
"y2_d064_HKR_RZQ",5,76080,-30.5103,140.5569,29.76327
"y2_d064_HKR_RZQ",5,76130,-31.8846,145.1358,29.79642
"y2_d064_HKR_RZQ",5,76180,-33.2721,149.6685,29.76183
"y2_d064_HKR_RZQ",5,76230,-34.6725,154.1544,29.65995
"y2_d064_HKR_RZQ",5,76280,-36.0852,158.5935,29.49117
"y2_d064_HKR_RZQ",5,76330,-37.5102,162.9852,29.25597
"y2_d064_HKR_RZQ",5,76380,-38.9472,167.3292,28.95477
"y2_d064_HKR_RZQ",5,76430,-40.3953,171.6249,28.58802
"y2_d064_HKR_RZQ",5,76480,-41.8545,175.8726,28.15614
"y2_d064_HKR_RZQ",5,76530,-43.3242,180.0711,27.65955
"y2_d064_HKR_RZQ",5,76580,-44.8044,184.2207,27.09873
"y2_d064_HKR_RZQ",5,76630,-46.2945,188.3208,26.47407
"y2_d064_HKR_RZQ",5,76680,-47.7942,192.3708,25.78605
"y2_d064_HKR_RZQ",5,76730,-49.3032,196.371,25.03509
"y2_d064_HKR_RZQ",5,76780,-50.8209,200.3202,24.22161
"y2_d064_HKR_RZQ",5,76830,-52.347,204.2187,23.34606
"y2_d064_HKR_RZQ",5,76880,-53.8812,208.0656,22.40886
"y2_d064_HKR_RZQ",5,76930,-55.4232,211.8609,21.41049
"y2_d064_HKR_RZQ",5,76980,-56.9724,215.6043,20.35131
"y2_d064_HKR_RZQ",5,77030,-58.5288,219.2952,19.23183
"y2_d064_HKR_RZQ",5,77080,-60.0918,222.9336,18.05247
"y2_d064_HKR_RZQ",5,77130,-61.6611,226.5186,16.81365
"y2_d064_HKR_RZQ",5,77180,-63.2364,230.0502,15.51582
"y2_d064_HKR_RZQ",5,77230,-64.8171,233.5278,14.15937
"y2_d064_HKR_RZQ",5,77280,-66.4029,236.9514,12.74481
"y2_d064_HKR_RZQ",5,77330,-67.9935,240.3204,11.27253
"y2_d064_HKR_RZQ",5,77380,-69.5886,243.6345,9.74295
"y2_d064_HKR_RZQ",5,77430,-71.1876,246.8931,8.15658
"y2_d064_HKR_RZQ",5,77480,-72.7905,250.0962,6.51378
"y2_d064_HKR_RZQ",5,77530,-74.3967,253.2435,4.815
"y2_d064_HKR_RZQ",5,77580,-76.0059,256.3341,3.06072
"y2_d064_HKR_RZQ",5,77630,-77.6178,259.3683,1.25133
"y2_d064_HKR_RZQ",5,77680,-79.2315,262.3452,-0.612708
"y2_d064_HKR_RZQ",5,77730,-80.1459,262.6848,0.544611
"y2_d064_HKR_RZQ",5,77780,-80.9775,263.0541,1.603932
"y2_d064_HKR_RZQ",5,77830,-81.801,263.6349,2.514372
"y2_d064_HKR_RZQ",5,77880,-82.6158,264.4269,3.27591
"y2_d064_HKR_RZQ",5,77930,-83.4222,265.4301,3.8886
"y2_d064_HKR_RZQ",5,77980,-84.2202,266.6448,4.35237
"y2_d064_HKR_RZQ",5,78030,-85.0098,268.0707,4.66728
"y2_d064_HKR_RZQ",5,78080,-85.7907,269.7078,4.8333
"y2_d064_HKR_RZQ",5,78130,-86.5635,271.5561,4.85043
"y2_d064_HKR_RZQ",5,78180,-87.3276,273.6159,4.71867
"y2_d064_HKR_RZQ",5,78230,-88.0833,275.8869,4.43805
"y2_d064_HKR_RZQ",5,78280,-88.8306,278.3691,4.00851
"y2_d064_HKR_RZQ",5,78330,-89.5695,281.0628,3.43011
"y2_d064_HKR_RZQ",5,78380,-90.2997,283.9677,2.702829
"y2_d064_HKR_RZQ",5,78430,-91.0218,287.0838,1.826658
"y2_d064_HKR_RZQ",5,78480,-91.7352,290.4114,0.801594
"y2_d064_HKR_RZQ",5,80480,-100.1841,292.1883,4.00155
"y2_d064_HKR_RZQ",5,80530,-96.9735,287.2299,4.70436
"y2_d064_HKR_RZQ",5,80580,-93.7947,282.312,5.35359
"y2_d064_HKR_RZQ",5,80630,-90.6477,277.4343,5.94927
"y2_d064_HKR_RZQ",5,80680,-87.5328,272.5968,6.49134
"y2_d064_HKR_RZQ",5,80730,-84.4494,267.7998,6.97986
"y2_d064_HKR_RZQ",5,80780,-81.3981,263.043,7.4148
"y2_d064_HKR_RZQ",5,80830,-78.3786,258.3267,7.79619
"y2_d064_HKR_RZQ",5,80880,-75.3912,253.6506,8.124
"y2_d064_HKR_RZQ",5,80930,-72.4353,249.015,8.3982
"y2_d064_HKR_RZQ",5,80980,-69.5115,244.4193,8.61888
"y2_d064_HKR_RZQ",5,81030,-66.6195,239.8641,8.78595
"y2_d064_HKR_RZQ",5,81080,-63.7593,235.3494,8.89947
"y2_d064_HKR_RZQ",5,81130,-60.9312,230.8749,8.95938
"y2_d064_HKR_RZQ",5,81180,-58.1349,226.4406,8.96577
"y2_d064_HKR_RZQ",5,81230,-55.3704,222.0468,8.91855
"y2_d064_HKR_RZQ",5,81280,-52.6377,217.6932,8.81778
"y2_d064_HKR_RZQ",5,81330,-49.9368,213.3801,8.6634
"y2_d064_HKR_RZQ",5,81380,-47.268,209.1072,8.45547
"y2_d064_HKR_RZQ",5,81430,-44.631,204.8745,8.19399
"y2_d064_HKR_RZQ",5,81480,-42.0258,200.6823,7.8789
"y2_d064_HKR_RZQ",5,81530,-39.4524,196.5303,7.51026
"y2_d064_HKR_RZQ",5,81580,-36.9108,192.4185,7.08804
"y2_d064_HKR_RZQ",5,81630,-34.4013,188.3472,6.61224
"y2_d064_HKR_RZQ",5,81680,-31.9236,184.3161,6.08289
"y2_d064_HKR_RZQ",5,81730,-29.47779,180.3255,5.49996
"y2_d064_HKR_RZQ",5,81780,-27.06381,176.3751,4.86345
"y2_d064_HKR_RZQ",5,81830,-24.68172,172.4649,4.17336
"y2_d064_HKR_RZQ",5,81880,-22.33149,168.5952,3.42972
"y2_d064_HKR_RZQ",5,81930,-20.01312,164.7657,2.632479
"y2_d064_HKR_RZQ",5,81980,-17.72661,160.9767,1.781673
"y2_d064_HKR_RZQ",5,82030,-15.47199,157.2276,0.877302
"y2_d064_HKR_RZQ",5,82080,-13.24923,153.5193,-0.0806448
"y2_d064_HKR_RZQ",5,82130,-11.05833,149.8509,-1.092162
"y2_d064_HKR_RZQ",5,82180,-8.62977,144.0984,0.2886498
"y2_d064_HKR_RZQ",5,82230,-7.06938,141.345,0.770499
"y2_d064_HKR_RZQ",5,82280,-5.50233,138.5538,1.18782
"y2_d064_HKR_RZQ",5,82330,-3.92865,135.7254,1.540614
"y2_d064_HKR_RZQ",5,82380,-2.348295,132.8589,1.828887
"y2_d064_HKR_RZQ",5,82430,-0.761298,129.9552,2.052633
"y2_d064_HKR_RZQ",6,133730,-1.381383,52.1052,6.13047
"y2_d064_HKR_RZQ",6,133780,-1.15884,45.3351,5.67234
"y2_d064_HKR_RZQ",6,133830,-0.950397,38.6322,5.18622
"y2_d064_HKR_RZQ",6,133880,-0.756051,31.9968,4.67211
"y2_d064_HKR_RZQ",6,133930,-0.575799,25.42848,4.12995
"y2_d064_HKR_RZQ",6,133980,-0.409647,18.92754,3.5598
"y2_d064_HKR_RZQ",6,134030,-0.2575929,12.49392,2.961609
"y2_d064_HKR_RZQ",6,134080,-0.1196358,6.12759,2.335416
