"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d056_IAK_RZQ",1,21014,-0.937191,56.5977,6.20673
"y2_d056_IAK_RZQ",1,21064,-0.860394,50.0175,6.0408
"y2_d056_IAK_RZQ",1,21114,-0.792216,43.497,5.83149
"y2_d056_IAK_RZQ",1,21164,-0.732651,37.0356,5.5788
"y2_d056_IAK_RZQ",1,21214,-0.681705,30.6333,5.28276
"y2_d056_IAK_RZQ",1,21264,-0.639372,24.29061,4.94331
"y2_d056_IAK_RZQ",1,21314,-0.605658,18.00708,4.56051
"y2_d056_IAK_RZQ",1,21364,-0.580557,11.78292,4.13433
"y2_d056_IAK_RZQ",1,21414,-0.564075,5.61804,3.66477
"y2_d056_IAK_RZQ",1,21464,-0.556209,-0.487551,3.15186
"y2_d056_IAK_RZQ",1,21514,-0.556959,-6.53382,2.595555
"y2_d056_IAK_RZQ",2,35764,-1.180002,52.8573,5.94849
"y2_d056_IAK_RZQ",2,35814,-1.018386,46.0677,5.53065
"y2_d056_IAK_RZQ",2,35864,-0.888945,39.3891,5.08695
"y2_d056_IAK_RZQ",2,35914,-0.791676,32.8215,4.61739
"y2_d056_IAK_RZQ",2,35964,-0.726582,26.36493,4.12197
"y2_d056_IAK_RZQ",2,36014,-0.69366,20.01933,3.60069
"y2_d056_IAK_RZQ",2,36064,-0.692913,13.7847,3.05352
"y2_d056_IAK_RZQ",2,36114,-0.724341,7.66113,2.480526
"y2_d056_IAK_RZQ",2,36164,-0.787938,1.648527,1.881657
"y2_d056_IAK_RZQ",2,36214,-0.883713,-4.25307,1.256931
"y2_d056_IAK_RZQ",3,52864,-1.117584,53.5197,5.89968
"y2_d056_IAK_RZQ",3,52914,-0.78456,46.6494,5.46402
"y2_d056_IAK_RZQ",3,52964,-0.506604,39.8895,4.98777
"y2_d056_IAK_RZQ",3,53014,-0.2837139,33.24,4.47093
"y2_d056_IAK_RZQ",3,53064,-0.1158915,26.70144,3.91347
"y2_d056_IAK_RZQ",3,53114,-0.003138,20.27346,3.31542
"y2_d056_IAK_RZQ",3,53164,0.0545481,13.95612,2.676768
"y2_d056_IAK_RZQ",3,53214,0.0571662,7.74945,1.997517
"y2_d056_IAK_RZQ",3,53264,0.00471699,1.653411,1.277664
"y2_d056_IAK_RZQ",3,53314,-0.446574,8.5458,4.35159
"y2_d056_IAK_RZQ",3,53364,-1.10589,13.91109,7.71237
"y2_d056_IAK_RZQ",3,53414,-1.769796,19.23225,11.00079
"y2_d056_IAK_RZQ",3,53464,-2.438289,24.50922,14.21685
"y2_d056_IAK_RZQ",3,53514,-3.11136,29.74203,17.36058
"y2_d056_IAK_RZQ",3,53564,-3.78903,34.9308,20.43195
"y2_d056_IAK_RZQ",3,53614,-4.47129,40.0752,23.43099
"y2_d056_IAK_RZQ",3,53664,-5.15814,45.1755,26.35764
"y2_d056_IAK_RZQ",3,53714,-5.84955,50.2317,29.21196
"y2_d056_IAK_RZQ",3,53764,-6.54558,55.2438,31.9938
"y2_d056_IAK_RZQ",3,53814,-7.2462,60.2115,34.7037
"y2_d056_IAK_RZQ",3,53864,-7.95138,65.1354,37.3407
"y2_d056_IAK_RZQ",3,53914,-8.66115,70.0149,39.9057
"y2_d056_IAK_RZQ",3,53964,-9.37551,74.8503,42.3984
"y2_d056_IAK_RZQ",3,54014,-10.09449,79.6413,44.8185
"y2_d056_IAK_RZQ",3,54064,-10.81803,84.3885,47.1663
"y2_d056_IAK_RZQ",3,54114,-11.54616,89.0913,49.4418
"y2_d056_IAK_RZQ",3,54164,-12.27885,93.75,51.645
"y2_d056_IAK_RZQ",3,54214,-13.01616,98.3646,53.7759
"y2_d056_IAK_RZQ",3,54264,-13.75806,102.9351,55.8345
"y2_d056_IAK_RZQ",3,54314,-14.50455,107.4615,57.8205
"y2_d056_IAK_RZQ",3,54364,-15.2556,111.9435,59.7342
"y2_d056_IAK_RZQ",3,54414,-16.01124,116.3814,61.5756
"y2_d056_IAK_RZQ",3,54464,-16.7715,120.7752,63.3447
"y2_d056_IAK_RZQ",3,54514,-17.53632,125.1246,65.0415
"y2_d056_IAK_RZQ",3,54564,-18.30573,129.4302,66.6657
"y2_d056_IAK_RZQ",3,54614,-19.07973,133.6914,68.2179
"y2_d056_IAK_RZQ",3,54664,-19.85832,137.9085,69.6975
"y2_d056_IAK_RZQ",3,54714,-20.6415,142.0815,71.1048
"y2_d056_IAK_RZQ",3,54764,-21.42927,146.2104,72.4398
"y2_d056_IAK_RZQ",3,54814,-22.22163,150.2949,73.7022
"y2_d056_IAK_RZQ",3,54864,-23.01855,154.3356,74.8926
"y2_d056_IAK_RZQ",3,54914,-23.82009,158.3319,76.0104
"y2_d056_IAK_RZQ",3,54964,-24.62619,162.2841,77.0559
"y2_d056_IAK_RZQ",3,55014,-25.43691,166.1919,78.0291
"y2_d056_IAK_RZQ",3,55064,-26.25219,170.0559,78.93
"y2_d056_IAK_RZQ",3,55114,-27.07206,173.8755,79.7586
"y2_d056_IAK_RZQ",3,55164,-27.89652,177.651,80.5149
"y2_d056_IAK_RZQ",3,55214,-28.72557,181.3824,81.1986
"y2_d056_IAK_RZQ",3,55264,-29.55921,185.0697,81.81
"y2_d056_IAK_RZQ",3,55314,-30.3975,188.7126,82.3491
"y2_d056_IAK_RZQ",3,55364,-31.2402,192.3114,82.8159
"y2_d056_IAK_RZQ",3,55414,-32.0877,195.8664,83.2104
"y2_d056_IAK_RZQ",3,55464,-32.9397,199.3767,83.5323
"y2_d056_IAK_RZQ",3,55514,-33.7962,202.8432,83.7819
"y2_d056_IAK_RZQ",3,55564,-34.6575,206.2656,83.9595
"y2_d056_IAK_RZQ",3,55614,-35.523,209.6436,84.0642
"y2_d056_IAK_RZQ",3,55664,-36.3936,212.9775,84.0969
"y2_d056_IAK_RZQ",3,55714,-37.2684,216.2673,84.0573
"y2_d056_IAK_RZQ",3,55764,-38.148,219.5127,83.9451
"y2_d056_IAK_RZQ",3,55814,-39.0321,222.7143,83.7609
"y2_d056_IAK_RZQ",3,55864,-39.9207,225.8715,83.5041
"y2_d056_IAK_RZQ",3,55914,-40.8141,228.9846,83.175
"y2_d056_IAK_RZQ",3,55964,-41.7117,232.0536,82.7736
"y2_d056_IAK_RZQ",3,56014,-42.6144,235.0785,82.2996
"y2_d056_IAK_RZQ",3,56064,-43.5213,238.059,81.7536
"y2_d056_IAK_RZQ",3,56114,-44.433,240.9954,81.135
"y2_d056_IAK_RZQ",3,56164,-45.3492,243.8877,80.4441
"y2_d056_IAK_RZQ",3,56214,-46.2699,246.7359,79.6809
"y2_d056_IAK_RZQ",3,56264,-47.1954,249.54,78.8454
"y2_d056_IAK_RZQ",3,56314,-48.1254,252.2997,77.9376
"y2_d056_IAK_RZQ",3,56364,-49.0599,255.0153,76.9572
"y2_d056_IAK_RZQ",3,56414,-49.9989,257.6868,75.9045
"y2_d056_IAK_RZQ",3,56464,-50.9427,260.3142,74.7795
"y2_d056_IAK_RZQ",3,56514,-51.891,262.8975,73.5822
"y2_d056_IAK_RZQ",3,56564,-52.8441,265.4364,72.3126
"y2_d056_IAK_RZQ",3,56614,-53.8014,267.9312,70.9707
"y2_d056_IAK_RZQ",3,56664,-54.7635,270.3819,69.5562
"y2_d056_IAK_RZQ",3,56714,-55.7301,272.7885,68.0694
"y2_d056_IAK_RZQ",3,56764,-56.7015,275.151,66.5106
"y2_d056_IAK_RZQ",3,56814,-57.6774,277.4691,64.8792
"y2_d056_IAK_RZQ",3,56864,-58.6578,279.7431,63.1752
"y2_d056_IAK_RZQ",3,56914,-59.6427,281.973,61.3992
"y2_d056_IAK_RZQ",3,56964,-60.6324,284.1588,59.5506
"y2_d056_IAK_RZQ",3,57014,-61.6266,286.3005,57.63
"y2_d056_IAK_RZQ",3,57064,-62.6253,288.3978,55.6368
"y2_d056_IAK_RZQ",3,57114,-63.6288,290.451,53.5713
"y2_d056_IAK_RZQ",3,57164,-64.6368,292.4601,51.4332
"y2_d056_IAK_RZQ",3,57214,-65.6493,294.4251,49.2231
"y2_d056_IAK_RZQ",3,57264,-66.6663,296.346,46.9404
"y2_d056_IAK_RZQ",3,57314,-67.6881,298.2225,44.5857
"y2_d056_IAK_RZQ",3,57364,-68.7144,300.054,42.1584
"y2_d056_IAK_RZQ",3,57414,-69.7452,301.842,39.6588
"y2_d056_IAK_RZQ",3,57464,-70.7808,303.588,37.0866
"y2_d056_IAK_RZQ",3,57514,-71.8209,305.286,34.4424
"y2_d056_IAK_RZQ",3,57564,-72.8655,306.942,31.7256
"y2_d056_IAK_RZQ",3,57614,-73.9146,308.556,28.93665
"y2_d056_IAK_RZQ",3,57664,-74.9685,310.122,26.07528
"y2_d056_IAK_RZQ",3,57714,-76.0269,311.646,23.14155
"y2_d056_IAK_RZQ",3,57764,-77.0901,313.125,20.13546
"y2_d056_IAK_RZQ",3,57814,-78.1575,314.559,17.05701
"y2_d056_IAK_RZQ",3,57864,-79.2297,315.951,13.90623
"y2_d056_IAK_RZQ",3,57914,-80.3064,317.298,10.68309
"y2_d056_IAK_RZQ",3,57964,-81.3879,318.6,7.38762
"y2_d056_IAK_RZQ",3,58014,-82.4739,319.857,4.01979
"y2_d056_IAK_RZQ",4,91614,-0.745833,54.1635,5.96634
"y2_d056_IAK_RZQ",4,91664,-0.496347,47.8149,5.61954
"y2_d056_IAK_RZQ",4,91714,-0.269124,41.4741,5.21946
"y2_d056_IAK_RZQ",4,91764,-0.0641628,35.1408,4.7661
"y2_d056_IAK_RZQ",4,91814,0.1185375,28.81551,4.25946
"y2_d056_IAK_RZQ",4,91864,0.2789751,22.49784,3.69951
"y2_d056_IAK_RZQ",4,91914,0.41715,16.18788,3.08631
"y2_d056_IAK_RZQ",4,91964,0.533064,9.88566,2.419803
"y2_d056_IAK_RZQ",4,92014,0.626718,3.59115,1.700016
"y2_d056_IAK_RZQ",4,92064,0.698106,-2.695647,0.926937
"y2_d056_IAK_RZQ",5,106064,-1.038426,54.6513,5.84643
"y2_d056_IAK_RZQ",5,106114,-0.840015,48.2316,5.59242
"y2_d056_IAK_RZQ",5,106164,-0.628515,41.8998,5.26761
"y2_d056_IAK_RZQ",5,106214,-0.403923,35.6562,4.87206
"y2_d056_IAK_RZQ",5,106264,-0.1662396,29.50029,4.40574
"y2_d056_IAK_RZQ",5,106314,0.0845376,23.43246,3.86865
"y2_d056_IAK_RZQ",5,106364,0.348405,17.45268,3.26082
"y2_d056_IAK_RZQ",5,106414,0.625365,11.56089,2.582196
"y2_d056_IAK_RZQ",5,106464,0.915417,5.75706,1.832817
"y2_d056_IAK_RZQ",5,106514,1.218558,0.041259,1.012671
"y2_d056_IAK_RZQ",5,106564,-0.4392,9.3483,-0.1485
"y2_d056_IAK_RZQ",5,106614,-0.92925,13.66011,0.372207
"y2_d056_IAK_RZQ",5,106664,-1.629924,17.97963,0.910659
"y2_d056_IAK_RZQ",5,106714,-2.330223,22.24206,1.330296
"y2_d056_IAK_RZQ",5,106764,-3.03015,26.44734,1.631124
"y2_d056_IAK_RZQ",5,106814,-3.72972,30.5955,1.81314
"y2_d056_IAK_RZQ",5,106864,-4.4289,34.6866,1.876341
"y2_d056_IAK_RZQ",5,106914,-5.12769,38.7204,1.820733
"y2_d056_IAK_RZQ",5,106964,-5.82612,42.6972,1.64631
"y2_d056_IAK_RZQ",5,107014,-6.52419,46.617,1.353075
"y2_d056_IAK_RZQ",5,107064,-7.2219,50.4795,0.941025
"y2_d056_IAK_RZQ",5,107114,-7.91919,54.285,0.410166
"y2_d056_IAK_RZQ",5,107164,-8.61615,58.0332,-0.2395068
"y2_d056_IAK_RZQ",5,107214,-9.31272,61.7244,-1.007991
"y2_d056_IAK_RZQ",5,107264,-10.0641,64.992,0.945453
"y2_d056_IAK_RZQ",5,107314,-10.77675,68.388,1.190322
"y2_d056_IAK_RZQ",5,107364,-11.48121,71.7285,1.33635
"y2_d056_IAK_RZQ",5,107414,-12.17754,75.0138,1.383537
"y2_d056_IAK_RZQ",5,107464,-12.86568,78.2436,1.331886
"y2_d056_IAK_RZQ",5,107514,-13.54563,81.4182,1.181394
"y2_d056_IAK_RZQ",5,107564,-14.21742,84.5373,0.932061
"y2_d056_IAK_RZQ",5,107614,-14.88105,87.6012,0.583887
"y2_d056_IAK_RZQ",5,107664,-15.53649,90.6096,0.1368744
"y2_d056_IAK_RZQ",5,107714,-16.32657,93.9291,-0.02585547
"y2_d056_IAK_RZQ",5,107764,-16.94466,96.6171,0.30819
"y2_d056_IAK_RZQ",5,107814,-17.56692,99.3069,0.540576
"y2_d056_IAK_RZQ",5,107864,-18.19338,101.9979,0.671301
"y2_d056_IAK_RZQ",5,107914,-18.82398,104.6901,0.700368
"y2_d056_IAK_RZQ",5,107964,-19.45878,107.3841,0.627774
