"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d057.5_IAK_RZQ",1,18456,-2.427642,57.8343,6.23289
"y2_d057.5_IAK_RZQ",1,18506,-2.272998,51.0645,5.99976
"y2_d057.5_IAK_RZQ",1,18556,-2.129796,44.3799,5.71779
"y2_d057.5_IAK_RZQ",1,18606,-1.998036,37.7799,5.38704
"y2_d057.5_IAK_RZQ",1,18656,-1.877724,31.2651,5.00745
"y2_d057.5_IAK_RZQ",1,18706,-1.768854,24.83511,4.57905
"y2_d057.5_IAK_RZQ",1,18756,-1.671429,18.49008,4.10184
"y2_d057.5_IAK_RZQ",1,18806,-1.585449,12.22995,3.57579
"y2_d057.5_IAK_RZQ",1,18856,-1.510911,6.05475,3.00096
"y2_d057.5_IAK_RZQ",1,18906,-1.447821,-0.0354978,2.37729
"y2_d057.5_IAK_RZQ",1,18956,-1.396173,-6.04083,1.704807
"y2_d057.5_IAK_RZQ",2,30856,-2.250588,53.5851,6.0792
"y2_d057.5_IAK_RZQ",2,30906,-1.938198,47.0514,5.60592
"y2_d057.5_IAK_RZQ",2,30956,-1.653828,40.5513,5.0817
"y2_d057.5_IAK_RZQ",2,31006,-1.397478,34.0857,4.50654
"y2_d057.5_IAK_RZQ",2,31056,-1.169145,27.65379,3.88041
"y2_d057.5_IAK_RZQ",2,31106,-0.968832,21.25605,3.20337
"y2_d057.5_IAK_RZQ",2,31156,-0.796539,14.89233,2.475345
"y2_d057.5_IAK_RZQ",2,31206,-0.652266,8.56269,1.69638
"y2_d057.5_IAK_RZQ",2,31256,-0.53601,2.267091,0.866466
"y2_d057.5_IAK_RZQ",2,31306,0.2409,5.9823,-0.1626
"y2_d057.5_IAK_RZQ",2,31356,0.0709614,9.19155,0.992919
"y2_d057.5_IAK_RZQ",2,31406,0.306756,13.07436,1.788771
"y2_d057.5_IAK_RZQ",2,31456,0.540978,16.93095,2.475858
