"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d031_IKJ_RZQ",1,45077,-2.008482,58.1142,6.09075
"y2_d031_IKJ_RZQ",1,45127,-1.564023,51.3708,5.7189
"y2_d031_IKJ_RZQ",1,45177,-1.145943,44.703,5.31603
"y2_d031_IKJ_RZQ",1,45227,-0.754242,38.1117,4.88211
"y2_d031_IKJ_RZQ",1,45277,-0.38892,31.5966,4.41714
"y2_d031_IKJ_RZQ",1,45327,-0.0499767,25.1574,3.92112
"y2_d031_IKJ_RZQ",1,45377,0.2625873,18.79443,3.39408
"y2_d031_IKJ_RZQ",1,45427,0.548775,12.50757,2.836005
"y2_d031_IKJ_RZQ",1,45477,0.808581,6.29688,2.246883
"y2_d031_IKJ_RZQ",1,45527,1.042008,0.1623378,1.62672
"y2_d031_IKJ_RZQ",1,45577,1.249056,-5.89608,0.975516
"y2_d031_IKJ_RZQ",2,59827,-1.679484,55.0371,6.02568
"y2_d031_IKJ_RZQ",2,59877,-1.350927,48.4479,5.66409
"y2_d031_IKJ_RZQ",2,59927,-1.030197,41.9097,5.28234
"y2_d031_IKJ_RZQ",2,59977,-0.7173,35.4231,4.88046
"y2_d031_IKJ_RZQ",2,60027,-0.412233,28.98792,4.45845
"y2_d031_IKJ_RZQ",2,60077,-0.1149972,22.60416,4.01631
"y2_d031_IKJ_RZQ",2,60127,0.1744077,16.27185,3.55401
"y2_d031_IKJ_RZQ",2,60177,0.455982,9.99096,3.07158
"y2_d031_IKJ_RZQ",2,60227,0.729726,3.76152,2.569008
"y2_d031_IKJ_RZQ",2,60277,0.995637,-2.416503,2.046303
"y2_d031_IKJ_RZQ",3,77627,-1.649652,52.7895,5.79306
"y2_d031_IKJ_RZQ",3,77677,-1.54827,46.8642,5.74236
"y2_d031_IKJ_RZQ",3,77727,-1.446549,41.0073,5.60223
"y2_d031_IKJ_RZQ",3,77777,-1.344489,35.2185,5.37264
"y2_d031_IKJ_RZQ",3,77827,-1.24209,29.49855,5.05362
"y2_d031_IKJ_RZQ",3,77877,-1.139355,23.84691,4.64517
"y2_d031_IKJ_RZQ",3,77927,-1.036278,18.2637,4.14726
"y2_d031_IKJ_RZQ",3,77977,-0.932862,12.74895,3.55992
"y2_d031_IKJ_RZQ",3,78027,-0.829107,7.30263,2.88315
"y2_d031_IKJ_RZQ",3,78077,-0.725013,1.924752,2.116938
"y2_d031_IKJ_RZQ",3,78127,-0.62058,-3.38469,1.261287
"y2_d031_IKJ_RZQ",4,96027,-2.067246,57.204,5.72076
"y2_d031_IKJ_RZQ",4,96077,-1.597317,50.6226,5.40261
"y2_d031_IKJ_RZQ",4,96127,-1.135515,44.1003,5.03751
"y2_d031_IKJ_RZQ",4,96177,-0.681837,37.6371,4.62546
"y2_d031_IKJ_RZQ",4,96227,-0.2362866,31.233,4.16643
"y2_d031_IKJ_RZQ",4,96277,0.2011383,24.88785,3.66045
"y2_d031_IKJ_RZQ",4,96327,0.630438,18.60189,3.10752
"y2_d031_IKJ_RZQ",4,96377,1.051611,12.37503,2.507643
"y2_d031_IKJ_RZQ",4,96427,1.464663,6.20721,1.860789
"y2_d031_IKJ_RZQ",4,96477,1.869585,0.0985494,1.166982
"y2_d031_IKJ_RZQ",4,96527,2.266383,-5.95104,0.426216
"y2_d031_IKJ_RZQ",5,113877,-1.346844,51.1296,5.62182
"y2_d031_IKJ_RZQ",5,113927,-0.862218,44.478,5.19597
"y2_d031_IKJ_RZQ",5,113977,-0.389487,37.8579,4.74486
"y2_d031_IKJ_RZQ",5,114027,0.0713586,31.2693,4.26855
"y2_d031_IKJ_RZQ",5,114077,0.520317,24.71217,3.76698
"y2_d031_IKJ_RZQ",5,114127,0.957387,18.1866,3.24015
"y2_d031_IKJ_RZQ",5,114177,1.382568,11.69253,2.68809
"y2_d031_IKJ_RZQ",5,114227,1.795863,5.22999,2.110788
"y2_d031_IKJ_RZQ",5,114277,2.197269,-1.201047,1.508244
"y2_d031_IKJ_RZQ",6,133027,-1.742949,56.1813,6.01296
"y2_d031_IKJ_RZQ",6,133077,-1.44033,49.5213,5.47965
"y2_d031_IKJ_RZQ",6,133127,-1.156269,42.9072,4.9317
"y2_d031_IKJ_RZQ",6,133177,-0.890766,36.3384,4.36908
"y2_d031_IKJ_RZQ",6,133227,-0.643821,29.8155,3.79185
"y2_d031_IKJ_RZQ",6,133277,-0.415437,23.33814,3.19998
"y2_d031_IKJ_RZQ",6,133327,-0.2056131,16.90638,2.593479
"y2_d031_IKJ_RZQ",6,133377,-0.01434669,10.52022,1.972329
"y2_d031_IKJ_RZQ",6,133427,0.1583616,4.17966,1.336539
"y2_d031_IKJ_RZQ",6,133477,-1.1352,4.6158,-0.1668
"y2_d031_IKJ_RZQ",6,133527,-1.173519,8.40522,0.500766
"y2_d031_IKJ_RZQ",6,133577,-1.930128,12.51246,1.203741
"y2_d031_IKJ_RZQ",6,133627,-2.683719,16.58043,1.795767
"y2_d031_IKJ_RZQ",6,133677,-3.43428,20.60919,2.276838
"y2_d031_IKJ_RZQ",6,133727,-4.18185,24.59865,2.646957
"y2_d031_IKJ_RZQ",6,133777,-4.92639,28.54887,2.906121
"y2_d031_IKJ_RZQ",6,133827,-5.6679,32.46,3.05433
"y2_d031_IKJ_RZQ",6,133877,-6.40641,36.3315,3.09159
"y2_d031_IKJ_RZQ",6,133927,-7.14189,40.164,3.01791
"y2_d031_IKJ_RZQ",6,133977,-7.87434,43.9572,2.833257
"y2_d031_IKJ_RZQ",6,134027,-8.60379,47.7111,2.537658
"y2_d031_IKJ_RZQ",6,134077,-9.33021,51.426,2.131107
"y2_d031_IKJ_RZQ",6,134127,-10.0536,55.1013,1.613601
"y2_d031_IKJ_RZQ",6,134177,-10.77399,58.7376,0.985143
"y2_d031_IKJ_RZQ",6,134227,-11.49138,62.3346,0.2457324
"y2_d031_IKJ_RZQ",6,134277,-12.08847,65.5062,0.553128
"y2_d031_IKJ_RZQ",6,134327,-12.69315,68.5266,0.922263
"y2_d031_IKJ_RZQ",6,134377,-13.29237,71.52,1.2036
"y2_d031_IKJ_RZQ",6,134427,-13.88613,74.4861,1.397142
"y2_d031_IKJ_RZQ",6,134477,-14.47443,77.4252,1.502883
"y2_d031_IKJ_RZQ",6,134527,-15.05727,80.337,1.520829
"y2_d031_IKJ_RZQ",6,134577,-15.63462,83.2218,1.450977
"y2_d031_IKJ_RZQ",6,134627,-16.20651,86.0793,1.293327
"y2_d031_IKJ_RZQ",6,134677,-16.77294,88.9098,1.047876
"y2_d031_IKJ_RZQ",6,134727,-17.33391,91.713,0.714633
"y2_d031_IKJ_RZQ",6,134777,-17.88942,94.4889,0.2935896
"y2_d031_IKJ_RZQ",6,134827,-18.45426,97.1526,0.41937
"y2_d031_IKJ_RZQ",6,134877,-19.00293,99.6624,0.700986
"y2_d031_IKJ_RZQ",6,134927,-19.54731,102.1458,0.912993
"y2_d031_IKJ_RZQ",6,134977,-20.0874,104.6025,1.055388
"y2_d031_IKJ_RZQ",6,135027,-20.62314,107.0328,1.128174
"y2_d031_IKJ_RZQ",6,135077,-21.15459,109.437,1.131348
"y2_d031_IKJ_RZQ",6,135127,-21.68175,111.8145,1.064913
"y2_d031_IKJ_RZQ",6,135177,-22.20459,114.1656,0.928869
"y2_d031_IKJ_RZQ",6,135227,-22.72314,116.4903,0.723213
"y2_d031_IKJ_RZQ",6,135277,-23.23737,118.7883,0.447945
"y2_d031_IKJ_RZQ",6,135327,-23.57469,121.0497,0.116139
"y2_d031_IKJ_RZQ",6,135377,-24.18135,123.4188,0.318771
"y2_d031_IKJ_RZQ",6,135427,-24.74892,125.6613,0.456849
"y2_d031_IKJ_RZQ",6,135477,-25.2774,127.7766,0.53037
"y2_d031_IKJ_RZQ",6,135527,-25.76682,129.765,0.539337
"y2_d031_IKJ_RZQ",6,135577,-26.21718,131.6268,0.48375
"y2_d031_IKJ_RZQ",6,135627,-26.62845,133.3614,0.363609
"y2_d031_IKJ_RZQ",6,136427,-19.03662,130.2045,5.63859
"y2_d031_IKJ_RZQ",6,136477,-14.12985,126.9576,6.10365
"y2_d031_IKJ_RZQ",6,136527,-9.28539,123.7077,6.51621
"y2_d031_IKJ_RZQ",6,136577,-4.50321,120.4545,6.87621
"y2_d031_IKJ_RZQ",6,136627,0.2166372,117.198,7.18371
"y2_d031_IKJ_RZQ",6,136677,4.87422,113.9385,7.43868
"y2_d031_IKJ_RZQ",6,136727,9.46944,110.6757,7.64112
"y2_d031_IKJ_RZQ",6,136777,14.00238,107.4096,7.79103
"y2_d031_IKJ_RZQ",6,136827,18.47304,104.1402,7.88841
"y2_d031_IKJ_RZQ",6,136877,22.88136,100.8678,7.93326
"y2_d031_IKJ_RZQ",6,136927,27.2274,97.5921,7.92558
"y2_d031_IKJ_RZQ",6,136977,31.5111,94.3134,7.86537
"y2_d031_IKJ_RZQ",6,137027,35.7324,91.0314,7.75266
"y2_d031_IKJ_RZQ",6,137077,39.8916,87.7461,7.58739
"y2_d031_IKJ_RZQ",6,137127,43.9884,84.4575,7.36962
"y2_d031_IKJ_RZQ",6,137177,48.0231,81.1659,7.09932
"y2_d031_IKJ_RZQ",6,137227,51.9951,77.871,6.77649
"y2_d031_IKJ_RZQ",6,137277,55.905,74.5728,6.40113
"y2_d031_IKJ_RZQ",6,137327,59.7525,71.2716,5.97324
"y2_d031_IKJ_RZQ",6,137377,63.5379,67.9671,5.49282
"y2_d031_IKJ_RZQ",7,167027,-1.773444,55.2396,5.39805
"y2_d031_IKJ_RZQ",7,167077,-1.460013,48.7332,5.19453
"y2_d031_IKJ_RZQ",7,167127,-1.165986,42.2592,4.93209
"y2_d031_IKJ_RZQ",7,167177,-0.891363,35.8182,4.61073
"y2_d031_IKJ_RZQ",7,167227,-0.63615,29.41014,4.23042
"y2_d031_IKJ_RZQ",7,167277,-0.400341,23.03487,3.79122
"y2_d031_IKJ_RZQ",7,167327,-0.1839402,16.69242,3.29304
"y2_d031_IKJ_RZQ",7,167377,0.01305564,10.38279,2.735973
"y2_d031_IKJ_RZQ",7,167427,0.1906464,4.10601,2.119962
"y2_d031_IKJ_RZQ",7,167477,0.348831,-2.13792,1.445025
"y2_d031_IKJ_RZQ",8,183777,-2.068068,57.879,5.67831
"y2_d031_IKJ_RZQ",8,183827,-1.718814,51.1701,5.47152
"y2_d031_IKJ_RZQ",8,183877,-1.408524,44.5356,5.19321
"y2_d031_IKJ_RZQ",8,183927,-1.137195,37.9755,4.84335
"y2_d031_IKJ_RZQ",8,183977,-0.904827,31.4898,4.42197
"y2_d031_IKJ_RZQ",8,184027,-0.711423,25.07865,3.92907
"y2_d031_IKJ_RZQ",8,184077,-0.55698,18.74193,3.36465
"y2_d031_IKJ_RZQ",8,184127,-0.441498,12.47961,2.728686
"y2_d031_IKJ_RZQ",8,184177,-0.364977,6.29172,2.021193
"y2_d031_IKJ_RZQ",8,184227,-0.327417,0.1783062,1.242177
"y2_d031_IKJ_RZQ",8,184277,-0.328821,-5.86068,0.391632
"y2_d031_IKJ_RZQ",9,202077,-1.768131,55.5816,5.6106
"y2_d031_IKJ_RZQ",9,202127,-1.412934,49.0107,5.39526
"y2_d031_IKJ_RZQ",9,202177,-1.097385,42.4884,5.10954
"y2_d031_IKJ_RZQ",9,202227,-0.82149,36.0153,4.75347
"y2_d031_IKJ_RZQ",9,202277,-0.585243,29.59128,4.32699
"y2_d031_IKJ_RZQ",9,202327,-0.388647,23.21622,3.83013
"y2_d031_IKJ_RZQ",9,202377,-0.2317017,16.89015,3.26292
"y2_d031_IKJ_RZQ",9,202427,-0.1144062,10.61307,2.625297
"y2_d031_IKJ_RZQ",9,202477,-0.036762,4.38501,1.917303
"y2_d031_IKJ_RZQ",9,202527,-1.7748,3.5808,-0.1818
"y2_d031_IKJ_RZQ",9,202577,-1.352856,4.99875,1.9194
"y2_d031_IKJ_RZQ",9,202627,-2.202987,7.8276,3.33573
"y2_d031_IKJ_RZQ",9,202677,-3.04974,10.63575,4.65495
"y2_d031_IKJ_RZQ",9,202727,-3.89313,13.42317,5.877
"y2_d031_IKJ_RZQ",9,202777,-4.73316,16.18992,7.00194
"y2_d031_IKJ_RZQ",9,202827,-5.56983,18.93597,8.02974
