"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d026_JIL_RZQ",1,1015,-2.174838,57.3255,5.92068
"y1_d026_JIL_RZQ",1,1065,-1.875582,50.6202,5.68098
"y1_d026_JIL_RZQ",1,1115,-1.590675,43.9827,5.38584
"y1_d026_JIL_RZQ",1,1165,-1.320117,37.4133,5.03526
"y1_d026_JIL_RZQ",1,1215,-1.063908,30.9117,4.62924
"y1_d026_JIL_RZQ",1,1265,-0.822051,24.47835,4.16778
"y1_d026_JIL_RZQ",1,1315,-0.594543,18.11286,3.65091
"y1_d026_JIL_RZQ",1,1365,-0.381381,11.81532,3.07857
"y1_d026_JIL_RZQ",1,1415,-0.1825713,5.58579,2.450781
"y1_d026_JIL_RZQ",1,1465,0.001889133,-0.575754,1.767564
"y1_d026_JIL_RZQ",2,24965,-2.733054,54.9396,6.07467
"y1_d026_JIL_RZQ",2,25015,-2.025705,49.5207,5.78685
"y1_d026_JIL_RZQ",2,25065,-1.380279,44.0376,5.44011
"y1_d026_JIL_RZQ",2,25115,-0.796767,38.4903,5.03439
"y1_d026_JIL_RZQ",2,25165,-0.2751774,32.8791,4.56972
"y1_d026_JIL_RZQ",2,25215,0.1844919,27.20376,4.0461
"y1_d026_JIL_RZQ",2,25265,0.582243,21.4644,3.46353
"y1_d026_JIL_RZQ",2,25315,0.918072,15.66099,2.822016
"y1_d026_JIL_RZQ",2,25365,1.191984,9.79347,2.121537
"y1_d026_JIL_RZQ",2,25415,1.403976,3.86193,1.362105
"y1_d026_JIL_RZQ",2,25465,1.554048,-2.133687,0.543723
"y1_d026_JIL_RZQ",2,25515,1.6422,-8.19336,-0.333615
"y1_d026_JIL_RZQ",3,48415,-1.822647,57.5631,6.17556
"y1_d026_JIL_RZQ",3,48465,-1.63353,51.0414,5.8665
"y1_d026_JIL_RZQ",3,48515,-1.421781,44.5185,5.52039
"y1_d026_JIL_RZQ",3,48565,-1.187397,37.9941,5.13726
"y1_d026_JIL_RZQ",3,48615,-0.930381,31.4685,4.71711
"y1_d026_JIL_RZQ",3,48665,-0.650733,24.94158,4.25991
"y1_d026_JIL_RZQ",3,48715,-0.348453,18.41334,3.76572
"y1_d026_JIL_RZQ",3,48765,-0.02353821,11.88378,3.23448
"y1_d026_JIL_RZQ",3,48815,0.324009,5.3529,2.666229
"y1_d026_JIL_RZQ",3,48865,0.694191,-1.179336,2.060943
"y1_d026_JIL_RZQ",3,48915,-0.2644509,8.68698,5.08809
"y1_d026_JIL_RZQ",3,48965,-0.383616,15.86838,8.59581
"y1_d026_JIL_RZQ",3,49015,-0.50376,22.98564,12.03291
"y1_d026_JIL_RZQ",3,49065,-0.624873,30.0387,15.39933
"y1_d026_JIL_RZQ",3,49115,-0.746967,37.0278,18.69516
"y1_d026_JIL_RZQ",3,49165,-0.87003,43.9527,21.92031
"y1_d026_JIL_RZQ",3,49215,-0.994071,50.8134,25.07484
"y1_d026_JIL_RZQ",3,49265,-1.119084,57.6099,28.15872
"y1_d026_JIL_RZQ",3,49315,-1.245075,64.3422,31.1721
"y1_d026_JIL_RZQ",3,49365,-1.372038,71.0106,34.1145
"y1_d026_JIL_RZQ",3,49415,-1.499976,77.6145,36.9867
"y1_d026_JIL_RZQ",3,49465,-1.628889,84.1545,39.7878
"y1_d026_JIL_RZQ",3,49515,-1.758777,90.6306,42.5187
"y1_d026_JIL_RZQ",3,49565,-1.88964,97.0422,45.1788
"y1_d026_JIL_RZQ",3,49615,-2.021478,103.3899,47.7681
"y1_d026_JIL_RZQ",3,49665,-2.154288,109.6731,50.2869
"y1_d026_JIL_RZQ",3,49715,-2.288076,115.8924,52.7349
"y1_d026_JIL_RZQ",3,49765,-2.422836,122.0475,55.1124
"y1_d026_JIL_RZQ",3,49815,-2.558571,128.1387,57.4194
"y1_d026_JIL_RZQ",3,49865,-2.695284,134.1654,59.6556
"y1_d026_JIL_RZQ",3,49915,-2.832969,140.1282,61.8213
"y1_d026_JIL_RZQ",3,49965,-2.971626,146.0268,63.9162
"y1_d026_JIL_RZQ",3,50015,-3.11127,151.8612,65.9403
"y1_d026_JIL_RZQ",3,50065,-3.25188,157.6314,67.8942
"y1_d026_JIL_RZQ",3,50115,-3.39345,163.3377,69.777
"y1_d026_JIL_RZQ",3,50165,-3.53601,168.9798,71.5896
"y1_d026_JIL_RZQ",3,50215,-3.67956,174.5577,73.3311
"y1_d026_JIL_RZQ",3,50265,-3.82404,180.0714,75.0024
"y1_d026_JIL_RZQ",3,50315,-3.96954,185.5209,76.6029
"y1_d026_JIL_RZQ",3,50365,-4.116,190.9065,78.1326
"y1_d026_JIL_RZQ",3,50415,-4.26342,196.2276,79.5918
"y1_d026_JIL_RZQ",3,50465,-4.41183,201.4848,80.9805
"y1_d026_JIL_RZQ",3,50515,-4.5612,206.6778,82.2984
"y1_d026_JIL_RZQ",3,50565,-4.71156,211.8069,83.5455
"y1_d026_JIL_RZQ",3,50615,-4.86291,216.8715,84.7224
"y1_d026_JIL_RZQ",3,50665,-5.01519,221.8722,85.8282
"y1_d026_JIL_RZQ",3,50715,-5.16849,226.8087,86.8635
"y1_d026_JIL_RZQ",3,50765,-5.32272,231.681,87.8283
"y1_d026_JIL_RZQ",3,50815,-5.47797,236.4891,88.7223
"y1_d026_JIL_RZQ",3,50865,-5.63418,241.2333,89.5458
"y1_d026_JIL_RZQ",3,50915,-5.79135,245.9133,90.2988
"y1_d026_JIL_RZQ",3,50965,-5.94951,250.5288,90.9807
"y1_d026_JIL_RZQ",3,51015,-6.10863,255.0807,91.5924
"y1_d026_JIL_RZQ",3,51065,-6.26874,259.5681,92.1333
"y1_d026_JIL_RZQ",3,51115,-6.42981,263.9913,92.6034
"y1_d026_JIL_RZQ",3,51165,-6.59187,268.3506,93.003
"y1_d026_JIL_RZQ",3,51215,-6.75489,272.6457,93.3321
"y1_d026_JIL_RZQ",3,51265,-6.91887,276.8766,93.5904
"y1_d026_JIL_RZQ",3,51315,-7.08387,281.0433,93.7782
"y1_d026_JIL_RZQ",3,51365,-7.2498,285.1461,93.8952
"y1_d026_JIL_RZQ",3,51415,-7.41672,289.1844,93.9417
"y1_d026_JIL_RZQ",3,51465,-7.58463,293.1588,93.9174
"y1_d026_JIL_RZQ",3,51515,-7.7535,297.069,93.8226
"y1_d026_JIL_RZQ",3,51565,-7.92336,300.915,93.657
"y1_d026_JIL_RZQ",3,51615,-8.09418,304.698,93.4209
"y1_d026_JIL_RZQ",3,51665,-8.26596,308.415,93.114
"y1_d026_JIL_RZQ",3,51715,-8.43876,312.069,92.7366
"y1_d026_JIL_RZQ",3,51765,-8.61249,315.657,92.2887
"y1_d026_JIL_RZQ",3,51815,-8.78721,319.182,91.77
"y1_d026_JIL_RZQ",3,51865,-8.96292,322.644,91.1805
"y1_d026_JIL_RZQ",3,51915,-9.13959,326.043,90.5205
"y1_d026_JIL_RZQ",3,51965,-9.31722,329.376,89.79
"y1_d026_JIL_RZQ",3,52015,-9.49584,332.643,88.9887
"y1_d026_JIL_RZQ",3,52065,-9.67545,335.847,88.1169
"y1_d026_JIL_RZQ",3,52115,-9.85602,338.988,87.1743
"y1_d026_JIL_RZQ",3,52165,-10.03755,342.066,86.1612
"y1_d026_JIL_RZQ",3,52215,-10.22007,345.078,85.0773
"y1_d026_JIL_RZQ",3,52265,-10.40358,348.027,83.9229
"y1_d026_JIL_RZQ",3,52315,-10.58805,350.91,82.6977
"y1_d026_JIL_RZQ",3,52365,-10.77348,353.73,81.402
"y1_d026_JIL_RZQ",3,52415,-10.9599,356.484,80.0358
"y1_d026_JIL_RZQ",3,52465,-11.14728,359.178,78.5988
"y1_d026_JIL_RZQ",3,52515,-11.33565,361.803,77.091
"y1_d026_JIL_RZQ",3,52565,-11.52501,364.368,75.5127
"y1_d026_JIL_RZQ",3,52615,-11.71533,366.867,73.8639
"y1_d026_JIL_RZQ",3,52665,-11.90661,369.3,72.1443
"y1_d026_JIL_RZQ",3,52715,-12.09888,371.673,70.3542
"y1_d026_JIL_RZQ",3,52765,-12.29211,373.98,68.4933
"y1_d026_JIL_RZQ",3,52815,-12.48633,376.221,66.5619
"y1_d026_JIL_RZQ",3,52865,-12.68151,378.399,64.5597
"y1_d026_JIL_RZQ",3,52915,-12.87768,380.514,62.487
"y1_d026_JIL_RZQ",3,52965,-13.07481,382.563,60.3435
"y1_d026_JIL_RZQ",3,53015,-13.27293,384.549,58.1295
"y1_d026_JIL_RZQ",3,53065,-13.47201,386.472,55.845
"y1_d026_JIL_RZQ",3,53115,-13.67208,388.329,53.4897
"y1_d026_JIL_RZQ",3,53165,-13.87311,390.123,51.0636
"y1_d026_JIL_RZQ",3,53215,-14.07513,391.854,48.567
"y1_d026_JIL_RZQ",3,53265,-14.27811,393.519,45.9999
"y1_d026_JIL_RZQ",3,53315,-14.48208,395.118,43.362
"y1_d026_JIL_RZQ",3,53365,-14.68701,396.657,40.6536
"y1_d026_JIL_RZQ",3,53415,-14.89293,398.13,37.8744
"y1_d026_JIL_RZQ",3,53465,-15.09981,399.537,35.0247
"y1_d026_JIL_RZQ",3,53515,-15.30768,400.884,32.1042
"y1_d026_JIL_RZQ",3,53565,-15.51651,402.162,29.11308
"y1_d026_JIL_RZQ",3,53615,-15.72633,403.38,26.05137
"y1_d026_JIL_RZQ",3,53665,-15.93711,404.532,22.91904
"y1_d026_JIL_RZQ",3,53715,-16.14885,405.621,19.71606
"y1_d026_JIL_RZQ",3,53765,-16.36158,406.644,16.44246
"y1_d026_JIL_RZQ",3,53815,-16.5753,407.604,13.09821
"y1_d026_JIL_RZQ",3,53865,-16.78998,408.498,9.68331
"y1_d026_JIL_RZQ",3,53915,-17.00565,409.329,6.19779
"y1_d026_JIL_RZQ",3,53965,-17.22228,410.097,2.64162
"y1_d026_JIL_RZQ",3,54015,-17.43987,410.802,-0.985185
"y1_d026_JIL_RZQ",4,93115,-1.53462,54.51,5.70528
"y1_d026_JIL_RZQ",4,93165,-1.081134,47.9202,5.49561
"y1_d026_JIL_RZQ",4,93215,-0.626298,41.3649,5.23176
"y1_d026_JIL_RZQ",4,93265,-0.1701141,34.8438,4.91376
"y1_d026_JIL_RZQ",4,93315,0.2874213,28.35696,4.54155
"y1_d026_JIL_RZQ",4,93365,0.74631,21.90447,4.11519
"y1_d026_JIL_RZQ",4,93415,1.206546,15.48633,3.63462
"y1_d026_JIL_RZQ",4,93465,1.668132,9.10251,3.0999
"y1_d026_JIL_RZQ",4,93515,2.131068,2.752998,2.510991
"y1_d026_JIL_RZQ",4,93565,2.595357,-3.5622,1.867902
"y1_d026_JIL_RZQ",5,110265,-1.667028,58.467,5.84865
"y1_d026_JIL_RZQ",5,110315,-1.57332,52.0773,5.79165
"y1_d026_JIL_RZQ",5,110365,-1.437135,45.8211,5.60937
"y1_d026_JIL_RZQ",5,110415,-1.258479,39.6984,5.30184
"y1_d026_JIL_RZQ",5,110465,-1.037346,33.7095,4.869
"y1_d026_JIL_RZQ",5,110515,-0.773739,27.85437,4.31088
"y1_d026_JIL_RZQ",5,110565,-0.467658,22.1328,3.62745
"y1_d026_JIL_RZQ",5,110615,-0.1191,16.54491,2.818773
"y1_d026_JIL_RZQ",5,110665,0.2719314,11.0907,1.884807
"y1_d026_JIL_RZQ",5,110715,0.705438,5.77014,0.825555
"y1_d026_JIL_RZQ",5,110765,1.181418,0.58326,-0.358974
"y1_d026_JIL_RZQ",5,110815,1.699872,-4.46997,-1.668789
"y1_d026_JIL_RZQ",6,129765,-1.955877,54.7188,6.11178
"y1_d026_JIL_RZQ",6,129815,-1.581006,48.5691,5.76963
"y1_d026_JIL_RZQ",6,129865,-1.201347,42.5082,5.35209
"y1_d026_JIL_RZQ",6,129915,-0.816903,36.5361,4.85925
"y1_d026_JIL_RZQ",6,129965,-0.427674,30.6528,4.29102
"y1_d026_JIL_RZQ",6,130015,-0.0336606,24.85845,3.64749
"y1_d026_JIL_RZQ",6,130065,0.365139,19.15293,2.928603
"y1_d026_JIL_RZQ",6,130115,0.768726,13.53621,2.134371
"y1_d026_JIL_RZQ",6,130165,1.177095,8.00838,1.264803
"y1_d026_JIL_RZQ",6,130215,1.590252,2.569419,0.31989
"y1_d026_JIL_RZQ",6,130265,2.008194,-2.7807,-0.700362
"y1_d026_JIL_RZQ",7,153465,-1.876176,56.6541,5.81883
"y1_d026_JIL_RZQ",7,153515,-1.482825,49.8801,5.66682
"y1_d026_JIL_RZQ",7,153565,-1.114062,43.1757,5.45727
"y1_d026_JIL_RZQ",7,153615,-0.769887,36.5418,5.19015
"y1_d026_JIL_RZQ",7,153665,-0.4503,29.9781,4.86552
"y1_d026_JIL_RZQ",7,153715,-0.1553025,23.48451,4.48332
"y1_d026_JIL_RZQ",7,153765,0.1151076,17.06109,4.04358
"y1_d026_JIL_RZQ",7,153815,0.36093,10.70784,3.54627
"y1_d026_JIL_RZQ",7,153865,0.582165,4.42476,2.991435
"y1_d026_JIL_RZQ",8,180365,-1.943637,58.023,5.96931
"y1_d026_JIL_RZQ",8,180415,-1.908414,51.8958,6.05775
"y1_d026_JIL_RZQ",8,180465,-1.84875,45.8358,6.06081
