"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d051_JZK_RZQ",1,39817,2.732367,56.6952,6.04293
"y1_d051_JZK_RZQ",1,39867,2.412267,50.4243,5.76438
"y1_d051_JZK_RZQ",1,39917,2.108175,44.1981,5.43261
"y1_d051_JZK_RZQ",1,39967,1.820097,38.0166,5.04768
"y1_d051_JZK_RZQ",1,40017,1.54803,31.8798,4.60953
"y1_d051_JZK_RZQ",1,40067,1.291974,25.78791,4.11819
"y1_d051_JZK_RZQ",1,40117,1.051932,19.74069,3.57366
"y1_d051_JZK_RZQ",1,40167,0.827901,13.73823,2.975961
"y1_d051_JZK_RZQ",1,40217,0.619881,7.78053,2.325057
"y1_d051_JZK_RZQ",1,40267,0.427875,1.867533,1.620957
"y1_d051_JZK_RZQ",1,40317,0.2518782,-4.00068,0.86367
"y1_d051_JZK_RZQ",2,54917,2.619882,55.0626,5.91423
"y1_d051_JZK_RZQ",2,54967,2.223234,48.6258,5.6268
"y1_d051_JZK_RZQ",2,55017,1.85997,42.2586,5.29407
"y1_d051_JZK_RZQ",2,55067,1.530087,35.9616,4.91601
"y1_d051_JZK_RZQ",2,55117,1.233588,29.73402,4.49262
"y1_d051_JZK_RZQ",2,55167,0.97047,23.57631,4.02393
"y1_d051_JZK_RZQ",2,55217,0.740733,17.48835,3.50991
"y1_d051_JZK_RZQ",2,55267,0.54438,11.47014,2.950584
"y1_d051_JZK_RZQ",2,55317,0.381408,5.52171,2.345934
"y1_d051_JZK_RZQ",2,55367,0.2518164,-0.356934,1.695966
"y1_d051_JZK_RZQ",2,55417,1.589046,12.05421,5.31
"y1_d051_JZK_RZQ",2,55467,2.800722,18.71592,7.61286
"y1_d051_JZK_RZQ",2,55517,4.014,25.31757,9.84828
"y1_d051_JZK_RZQ",2,55567,5.22891,31.8591,12.0162
"y1_d051_JZK_RZQ",2,55617,6.44541,38.3406,14.11668
"y1_d051_JZK_RZQ",2,55667,7.6635,44.7618,16.14969
"y1_d051_JZK_RZQ",2,55717,8.88321,51.1233,18.11523
"y1_d051_JZK_RZQ",2,55767,10.10454,57.4245,20.01333
"y1_d051_JZK_RZQ",2,55817,11.32746,63.6654,21.84393
"y1_d051_JZK_RZQ",2,55867,12.552,69.8466,23.60706
"y1_d051_JZK_RZQ",2,55917,13.77813,75.9675,25.30275
"y1_d051_JZK_RZQ",2,55967,15.00588,82.0281,26.93097
"y1_d051_JZK_RZQ",2,56017,16.23525,88.029,28.49172
"y1_d051_JZK_RZQ",2,56067,17.46621,93.9696,29.985
"y1_d051_JZK_RZQ",2,56117,18.69879,99.8502,31.4109
"y1_d051_JZK_RZQ",2,56167,19.93296,105.6705,32.769
"y1_d051_JZK_RZQ",2,56217,21.16872,111.4308,34.0599
"y1_d051_JZK_RZQ",2,56267,22.40613,117.1311,35.2836
"y1_d051_JZK_RZQ",2,56317,23.64513,122.7714,36.4395
"y1_d051_JZK_RZQ",2,56367,24.88572,128.3514,37.5279
"y1_d051_JZK_RZQ",2,56417,26.12793,133.8714,38.5488
"y1_d051_JZK_RZQ",2,56467,27.37176,139.3311,39.5025
"y1_d051_JZK_RZQ",2,56517,28.61718,144.7311,40.3884
"y1_d051_JZK_RZQ",2,56567,29.86422,150.0708,41.2071
"y1_d051_JZK_RZQ",2,56617,31.1127,155.3505,41.9583
"y1_d051_JZK_RZQ",2,56667,32.3631,160.5699,42.642
"y1_d051_JZK_RZQ",2,56717,33.615,165.7293,43.2582
"y1_d051_JZK_RZQ",2,56767,34.8684,170.8287,43.8069
"y1_d051_JZK_RZQ",2,56817,36.1236,175.8681,44.2884
"y1_d051_JZK_RZQ",2,56867,37.38,180.8472,44.7021
"y1_d051_JZK_RZQ",2,56917,38.6385,185.7663,45.0486
"y1_d051_JZK_RZQ",2,56967,39.8982,190.6251,45.3273
"y1_d051_JZK_RZQ",2,57017,41.1597,195.4242,45.5388
"y1_d051_JZK_RZQ",2,57067,42.423,200.163,45.6828
"y1_d051_JZK_RZQ",2,57117,43.6875,204.8415,45.7593
"y1_d051_JZK_RZQ",2,57167,44.9538,209.4603,45.7683
"y1_d051_JZK_RZQ",2,57217,46.2219,214.0188,45.7098
"y1_d051_JZK_RZQ",2,57267,47.4915,218.517,45.5838
"y1_d051_JZK_RZQ",2,57317,48.7626,222.9555,45.3906
"y1_d051_JZK_RZQ",2,57367,50.0352,227.3337,45.1296
"y1_d051_JZK_RZQ",2,57417,51.3096,231.6519,44.8014
"y1_d051_JZK_RZQ",2,57467,52.5855,235.9098,44.4057
"y1_d051_JZK_RZQ",2,57517,53.8632,240.108,43.9425
"y1_d051_JZK_RZQ",2,57567,55.1424,244.2459,43.4118
"y1_d051_JZK_RZQ",2,57617,56.4231,248.3235,42.8136
"y1_d051_JZK_RZQ",2,57667,57.7053,252.3414,42.1479
"y1_d051_JZK_RZQ",2,57717,58.9893,256.299,41.415
"y1_d051_JZK_RZQ",2,57767,60.2751,260.1963,40.6143
"y1_d051_JZK_RZQ",2,57817,61.5621,264.0339,39.7464
"y1_d051_JZK_RZQ",2,57867,62.8509,267.8112,38.8107
"y1_d051_JZK_RZQ",2,57917,64.1415,271.5285,37.8078
"y1_d051_JZK_RZQ",2,57967,65.4336,275.1855,36.7374
"y1_d051_JZK_RZQ",2,58017,66.7272,278.7825,35.5995
"y1_d051_JZK_RZQ",2,58067,68.0223,282.3195,34.3941
"y1_d051_JZK_RZQ",2,58117,69.3192,285.7965,33.1212
"y1_d051_JZK_RZQ",2,58167,70.6176,289.2132,31.7811
"y1_d051_JZK_RZQ",2,58217,71.9178,292.5699,30.3732
"y1_d051_JZK_RZQ",2,58267,73.2195,295.8666,28.89807
"y1_d051_JZK_RZQ",2,58317,74.5227,299.103,27.35538
"y1_d051_JZK_RZQ",2,58367,75.8274,302.28,25.74522
"y1_d051_JZK_RZQ",2,58417,77.1339,305.397,24.06762
"y1_d051_JZK_RZQ",2,58467,78.4422,308.451,22.32252
"y1_d051_JZK_RZQ",2,58517,79.7517,311.448,20.50998
"y1_d051_JZK_RZQ",2,58567,81.063,314.385,18.62994
"y1_d051_JZK_RZQ",2,58617,82.3761,317.259,16.68246
"y1_d051_JZK_RZQ",2,58667,83.6907,320.076,14.66751
"y1_d051_JZK_RZQ",2,58717,85.0068,322.833,12.58512
"y1_d051_JZK_RZQ",2,58767,86.3244,325.527,10.43523
"y1_d051_JZK_RZQ",2,58817,87.6438,328.164,8.21787
"y1_d051_JZK_RZQ",2,58867,88.9647,330.738,5.93307
"y1_d051_JZK_RZQ",2,58917,90.2874,333.255,3.5808
"y1_d051_JZK_RZQ",2,58967,91.6113,335.709,1.161054
"y1_d051_JZK_RZQ",2,59017,92.9373,338.103,-1.326165
"y1_d051_JZK_RZQ",2,59067,92.7573,341.445,-0.603861
"y1_d051_JZK_RZQ",2,59117,93.2466,342.753,-0.464919
"y1_d051_JZK_RZQ",2,59167,93.7362,344.061,-0.32598
"y1_d051_JZK_RZQ",2,59217,94.2258,345.369,-0.1870404
"y1_d051_JZK_RZQ",2,59267,94.7154,346.674,-0.0480999
"y1_d051_JZK_RZQ",2,59317,95.2047,347.982,0.09084
"y1_d051_JZK_RZQ",2,59367,95.6943,349.29,0.2297796
"y1_d051_JZK_RZQ",2,59417,96.1839,350.598,0.368721
"y1_d051_JZK_RZQ",2,59467,96.6735,351.906,0.50766
"y1_d051_JZK_RZQ",2,59517,97.1628,353.214,0.646599
"y1_d051_JZK_RZQ",2,59567,97.6524,354.522,0.785541
"y1_d051_JZK_RZQ",2,59617,98.142,355.83,0.92448
"y1_d051_JZK_RZQ",2,59667,98.6316,357.138,1.063419
"y1_d051_JZK_RZQ",2,59717,99.1209,358.446,1.202358
"y1_d051_JZK_RZQ",2,59767,99.6105,359.754,1.3413
"y1_d051_JZK_RZQ",2,59817,99.2373,360.024,1.046913
"y1_d051_JZK_RZQ",2,59867,98.8641,360.291,0.752529
"y1_d051_JZK_RZQ",2,59917,98.4909,360.561,0.458142
"y1_d051_JZK_RZQ",2,59967,98.1174,360.831,0.163758
"y1_d051_JZK_RZQ",2,60017,97.7442,361.101,-0.130629
"y1_d051_JZK_RZQ",2,60067,97.371,361.371,-0.425013
"y1_d051_JZK_RZQ",2,60117,96.9978,361.638,-0.7194
"y1_d051_JZK_RZQ",2,60167,96.8607,361.737,-0.692757
"y1_d051_JZK_RZQ",2,60217,96.7236,361.836,-0.666111
"y1_d051_JZK_RZQ",2,60267,96.5865,361.935,-0.639468
"y1_d051_JZK_RZQ",2,60317,96.4494,362.034,-0.612822
"y1_d051_JZK_RZQ",2,60367,96.3123,362.133,-0.586179
"y1_d051_JZK_RZQ",2,60417,96.1752,362.232,-0.559533
"y1_d051_JZK_RZQ",2,60467,96.0384,362.331,-0.53289
"y1_d051_JZK_RZQ",2,60517,95.9013,362.43,-0.506244
"y1_d051_JZK_RZQ",2,60567,95.7642,362.529,-0.479601
"y1_d051_JZK_RZQ",2,60617,95.6271,362.628,-0.452955
"y1_d051_JZK_RZQ",2,60667,95.49,362.727,-0.426312
"y1_d051_JZK_RZQ",2,60717,95.3529,362.823,-0.399666
"y1_d051_JZK_RZQ",2,60767,95.2158,362.922,-0.373023
"y1_d051_JZK_RZQ",2,60817,95.0787,363.021,-0.346377
"y1_d051_JZK_RZQ",2,60867,94.9416,363.12,-0.319734
"y1_d051_JZK_RZQ",2,60917,94.8045,363.219,-0.2930889
"y1_d051_JZK_RZQ",2,60967,94.6674,363.318,-0.2664444
"y1_d051_JZK_RZQ",2,61017,94.5303,363.417,-0.2397999
"y1_d051_JZK_RZQ",2,61067,94.3932,363.516,-0.2131554
"y1_d051_JZK_RZQ",2,61117,94.2561,363.615,-0.1865112
"y1_d051_JZK_RZQ",2,61167,94.1193,363.714,-0.1598667
"y1_d051_JZK_RZQ",2,61217,93.9822,363.813,-0.1332222
"y1_d051_JZK_RZQ",2,61267,93.8451,363.912,-0.1065777
"y1_d051_JZK_RZQ",2,61317,93.708,364.011,-0.0799332
"y1_d051_JZK_RZQ",2,61367,93.5709,364.107,-0.0532887
"y1_d051_JZK_RZQ",2,61417,93.4338,364.206,-0.02664441
"y1_d051_JZK_RZQ",2,61467,93.2967,364.305,0
"y1_d051_JZK_RZQ",2,62117,93.0429,364.536,5.61315
"y1_d051_JZK_RZQ",2,62167,90.6816,359.718,6.55425
"y1_d051_JZK_RZQ",2,62217,88.3458,354.939,7.4337
"y1_d051_JZK_RZQ",2,62267,86.0355,350.196,8.25153
"y1_d051_JZK_RZQ",2,62317,83.7504,345.492,9.00771
"y1_d051_JZK_RZQ",2,62367,81.4911,340.83,9.70227
"y1_d051_JZK_RZQ",2,62417,79.257,336.204,10.33521
"y1_d051_JZK_RZQ",2,62467,77.0484,331.617,10.9065
"y1_d051_JZK_RZQ",2,62517,74.8653,327.069,11.41614
"y1_d051_JZK_RZQ",2,62567,72.7074,322.557,11.86419
"y1_d051_JZK_RZQ",2,62617,70.575,318.087,12.25059
"y1_d051_JZK_RZQ",2,62667,68.4681,313.653,12.57534
"y1_d051_JZK_RZQ",2,62717,66.3867,309.258,12.8385
"y1_d051_JZK_RZQ",2,62767,64.3305,304.905,13.03998
"y1_d051_JZK_RZQ",2,62817,62.3001,300.588,13.17987
"y1_d051_JZK_RZQ",2,62867,60.2949,296.3085,13.25811
"y1_d051_JZK_RZQ",2,62917,58.3152,292.0686,13.2747
"y1_d051_JZK_RZQ",2,62967,56.3607,287.8674,13.2297
"y1_d051_JZK_RZQ",2,63017,54.432,283.7046,13.12302
"y1_d051_JZK_RZQ",2,63067,52.5285,279.5808,12.95475
"y1_d051_JZK_RZQ",2,63117,50.6505,275.4954,12.72483
"y1_d051_JZK_RZQ",2,63167,48.7977,271.4484,12.43329
"y1_d051_JZK_RZQ",2,63217,46.9707,267.4401,12.0801
"y1_d051_JZK_RZQ",2,63267,45.1689,263.4705,11.66529
"y1_d051_JZK_RZQ",2,63317,43.3926,259.5396,11.18883
"y1_d051_JZK_RZQ",2,63367,41.6418,255.6471,10.65075
