"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d077_MGJ_RZQ",1,38390,-1.877727,55.2315,4.67511
"y2_d077_MGJ_RZQ",1,38440,-1.397106,48.7779,4.62825
"y2_d077_MGJ_RZQ",1,38490,-0.954963,42.3951,4.4997
"y2_d077_MGJ_RZQ",1,38540,-0.551295,36.0834,4.28946
"y2_d077_MGJ_RZQ",1,38590,-0.186105,29.84286,3.9975
"y2_d077_MGJ_RZQ",1,38640,0.1406103,23.67315,3.62385
"y2_d077_MGJ_RZQ",1,38690,0.42885,17.57445,3.16845
"y2_d077_MGJ_RZQ",1,38740,0.678615,11.54673,2.631387
"y2_d077_MGJ_RZQ",1,38790,0.889902,5.59005,2.012604
"y2_d077_MGJ_RZQ",1,38840,1.062714,-0.2956605,1.312116
"y2_d077_MGJ_RZQ",1,38890,1.197051,-6.11037,0.529923
"y2_d077_MGJ_RZQ",2,50940,-1.848759,53.5818,4.71201
"y2_d077_MGJ_RZQ",2,50990,-1.522512,47.1243,4.56258
"y2_d077_MGJ_RZQ",2,51040,-1.239039,40.7352,4.34919
"y2_d077_MGJ_RZQ",2,51090,-0.99834,34.4145,4.07175
"y2_d077_MGJ_RZQ",2,51140,-0.800418,28.16223,3.73032
"y2_d077_MGJ_RZQ",2,51190,-0.645264,21.97818,3.32487
"y2_d077_MGJ_RZQ",2,51240,-0.532887,15.86253,2.855427
"y2_d077_MGJ_RZQ",2,51290,-0.463284,9.81522,2.32197
"y2_d077_MGJ_RZQ",2,51340,-0.436455,3.83625,1.724508
"y2_d077_MGJ_RZQ",2,51390,-0.452397,-2.074356,1.063035
"y2_d077_MGJ_RZQ",2,51440,-0.511116,-7.91664,0.337551
"y2_d077_MGJ_RZQ",3,72540,-1.584975,56.1375,4.64853
"y2_d077_MGJ_RZQ",3,72590,-1.15347,49.8798,4.55547
"y2_d077_MGJ_RZQ",3,72640,-0.736434,43.6458,4.38915
"y2_d077_MGJ_RZQ",3,72690,-0.333864,37.4358,4.14957
"y2_d077_MGJ_RZQ",3,72740,0.054237,31.2495,3.83667
"y2_d077_MGJ_RZQ",3,72790,0.427869,25.08687,3.45048
"y2_d077_MGJ_RZQ",3,72840,0.787032,18.94806,2.991036
"y2_d077_MGJ_RZQ",3,72890,1.131726,12.83301,2.458296
"y2_d077_MGJ_RZQ",3,72940,1.461954,6.74175,1.852266
"y2_d077_MGJ_RZQ",3,72990,1.777713,0.67425,1.172958
"y2_d077_MGJ_RZQ",3,73040,2.079003,-5.36946,0.420363
"y2_d077_MGJ_RZQ",4,85790,-1.988061,54.3441,4.91751
"y2_d077_MGJ_RZQ",4,85840,-1.900593,48.7899,5.04216
"y2_d077_MGJ_RZQ",4,85890,-1.800966,43.2834,5.07195
"y2_d077_MGJ_RZQ",4,85940,-1.689171,37.8243,5.00691
"y2_d077_MGJ_RZQ",4,85990,-1.565214,32.4126,4.84701
"y2_d077_MGJ_RZQ",4,86040,-1.429092,27.04854,4.59228
"y2_d077_MGJ_RZQ",4,86090,-1.280805,21.732,4.24269
"y2_d077_MGJ_RZQ",4,86140,-1.120356,16.46298,3.79827
"y2_d077_MGJ_RZQ",4,86190,-0.947742,11.24142,3.25899
"y2_d077_MGJ_RZQ",4,86240,-0.762966,6.06744,2.624883
"y2_d077_MGJ_RZQ",4,86290,-0.566025,0.940929,1.895922
"y2_d077_MGJ_RZQ",5,108740,-2.180094,57.522,4.87815
"y2_d077_MGJ_RZQ",5,108790,-1.781037,51.0567,4.82184
"y2_d077_MGJ_RZQ",5,108840,-1.420665,44.6379,4.69488
"y2_d077_MGJ_RZQ",5,108890,-1.098978,38.2653,4.49724
"y2_d077_MGJ_RZQ",5,108940,-0.815973,31.9395,4.22892
"y2_d077_MGJ_RZQ",5,108990,-0.571653,25.65987,3.88995
"y2_d077_MGJ_RZQ",5,109040,-0.366018,19.4268,3.48033
"y2_d077_MGJ_RZQ",5,109090,-0.1990677,13.24014,3.00003
"y2_d077_MGJ_RZQ",5,109140,-0.0708006,7.09992,2.449068
"y2_d077_MGJ_RZQ",5,109190,0.01878264,1.006098,1.827444
"y2_d077_MGJ_RZQ",5,109240,-0.01071069,11.74347,1.809918
"y2_d077_MGJ_RZQ",5,109290,0.382458,17.57058,2.874039
"y2_d077_MGJ_RZQ",5,109340,0.781914,23.26716,3.86571
"y2_d077_MGJ_RZQ",5,109390,1.187661,28.83321,4.78497
"y2_d077_MGJ_RZQ",5,109440,1.599699,34.2687,5.63178
"y2_d077_MGJ_RZQ",5,109490,2.018028,39.5739,6.40614
"y2_d077_MGJ_RZQ",5,109540,2.442642,44.7483,7.10808
"y2_d077_MGJ_RZQ",5,109590,2.87355,49.7922,7.73757
"y2_d077_MGJ_RZQ",5,109640,3.31074,54.7056,8.29464
"y2_d077_MGJ_RZQ",5,109690,3.75423,59.4885,8.77926
"y2_d077_MGJ_RZQ",5,109740,4.20402,64.1409,9.19146
"y2_d077_MGJ_RZQ",5,109790,4.66008,68.6625,9.53118
"y2_d077_MGJ_RZQ",5,109840,5.12244,73.0539,9.79851
"y2_d077_MGJ_RZQ",5,109890,5.59107,77.3148,9.99336
"y2_d077_MGJ_RZQ",5,109940,6.06603,81.4449,10.11579
"y2_d077_MGJ_RZQ",5,109990,6.54723,85.4448,10.1658
"y2_d077_MGJ_RZQ",5,110040,7.03476,89.3139,10.14336
"y2_d077_MGJ_RZQ",5,110090,7.52856,93.0525,10.04847
"y2_d077_MGJ_RZQ",5,110140,8.02866,96.6606,9.88116
"y2_d077_MGJ_RZQ",5,110190,8.53503,100.1382,9.6414
"y2_d077_MGJ_RZQ",5,110240,9.04773,103.4853,9.32919
"y2_d077_MGJ_RZQ",5,110290,9.56667,106.7019,8.94456
"y2_d077_MGJ_RZQ",5,110340,10.09194,109.788,8.48751
"y2_d077_MGJ_RZQ",5,110390,10.62348,112.7433,7.95798
"y2_d077_MGJ_RZQ",5,110440,11.16132,115.5684,7.35603
"y2_d077_MGJ_RZQ",5,110490,11.70543,118.2627,6.68166
"y2_d077_MGJ_RZQ",5,110540,12.25584,120.8265,5.93484
"y2_d077_MGJ_RZQ",5,110590,12.81255,123.2601,5.11557
"y2_d077_MGJ_RZQ",5,110640,13.37556,125.5629,4.22388
"y2_d077_MGJ_RZQ",5,110690,13.94484,127.7352,3.25974
"y2_d077_MGJ_RZQ",5,110740,14.52042,129.777,2.223177
"y2_d077_MGJ_RZQ",5,110790,15.10227,131.6883,1.11417
"y2_d077_MGJ_RZQ",5,110840,15.69042,133.4688,-0.0672774
"y2_d077_MGJ_RZQ",5,110890,15.82887,139.7226,0.39486
"y2_d077_MGJ_RZQ",5,110940,16.11837,142.0359,1.02588
"y2_d077_MGJ_RZQ",5,110990,16.39587,144.2649,1.559667
"y2_d077_MGJ_RZQ",5,111040,16.66137,146.4096,1.996221
"y2_d077_MGJ_RZQ",5,111090,16.9149,148.47,2.335548
"y2_d077_MGJ_RZQ",5,111140,17.15643,150.4461,2.577642
"y2_d077_MGJ_RZQ",5,111190,17.38599,152.3379,2.722506
"y2_d077_MGJ_RZQ",5,111240,17.60355,154.1457,2.77014
"y2_d077_MGJ_RZQ",5,111290,17.80911,155.8689,2.720541
"y2_d077_MGJ_RZQ",5,112190,21.59595,155.4858,2.979897
"y2_d077_MGJ_RZQ",5,112240,23.80293,151.1772,3.68178
"y2_d077_MGJ_RZQ",5,112290,25.97988,146.8896,4.30734
"y2_d077_MGJ_RZQ",5,112340,28.1268,142.623,4.85655
"y2_d077_MGJ_RZQ",5,112390,30.2436,138.3777,5.32944
"y2_d077_MGJ_RZQ",5,112440,32.3304,134.1531,5.72601
"y2_d077_MGJ_RZQ",5,112490,34.3875,129.9501,6.04623
"y2_d077_MGJ_RZQ",5,112540,36.4143,125.7678,6.29013
"y2_d077_MGJ_RZQ",5,112590,38.4108,121.6068,6.45771
"y2_d077_MGJ_RZQ",5,112640,40.3776,117.4668,6.54894
"y2_d077_MGJ_RZQ",5,112690,42.3144,113.3478,6.56385
"y2_d077_MGJ_RZQ",5,112740,44.2209,109.2498,6.50244
"y2_d077_MGJ_RZQ",5,112790,46.0977,105.1731,6.36471
"y2_d077_MGJ_RZQ",5,112840,47.9442,101.1174,6.15063
"y2_d077_MGJ_RZQ",5,112890,49.761,97.083,5.8602
"y2_d077_MGJ_RZQ",5,112940,51.5475,93.0693,5.49348
