game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y2_d078_MGJ_RZQ,1,43299,-0.525549,57.7176,6.13818
y2_d078_MGJ_RZQ,1,43349,-0.49593,50.9136,6.00621
y2_d078_MGJ_RZQ,1,43399,-0.492732,44.1912,5.82885
y2_d078_MGJ_RZQ,1,43449,-0.515952,37.551,5.60619
y2_d078_MGJ_RZQ,1,43499,-0.565596,30.993,5.33814
y2_d078_MGJ_RZQ,1,43549,-0.641661,24.51669,5.02476
y2_d078_MGJ_RZQ,1,43599,-0.744144,18.12252,4.66605
y2_d078_MGJ_RZQ,1,43649,-0.873048,11.81034,4.26198
y2_d078_MGJ_RZQ,1,43699,-1.028373,5.58021,3.81255
y2_d078_MGJ_RZQ,1,43749,-1.210119,-0.567933,3.31779
y2_d078_MGJ_RZQ,1,43799,-1.418286,-6.63408,2.777664
y2_d078_MGJ_RZQ,2,54899,-0.370677,52.3326,6.01527
y2_d078_MGJ_RZQ,2,54949,-0.325065,45.6711,5.66493
y2_d078_MGJ_RZQ,2,54999,-0.2864682,39.0861,5.28969
y2_d078_MGJ_RZQ,2,55049,-0.2548914,32.5779,4.88961
y2_d078_MGJ_RZQ,2,55099,-0.2303331,26.14605,4.46469
y2_d078_MGJ_RZQ,2,55149,-0.2127933,19.79073,4.01493
y2_d078_MGJ_RZQ,2,55199,-0.202272,13.51197,3.54027
y2_d078_MGJ_RZQ,2,55249,-0.1987692,7.30971,3.0408
y2_d078_MGJ_RZQ,2,55299,-0.2022849,1.183959,2.516457
y2_d078_MGJ_RZQ,3,75299,-0.841371,55.1106,5.96034
y2_d078_MGJ_RZQ,3,75349,-0.70713,48.7548,5.86203
y2_d078_MGJ_RZQ,3,75399,-0.581736,42.4662,5.69289
y2_d078_MGJ_RZQ,3,75449,-0.465189,36.2451,5.45283
y2_d078_MGJ_RZQ,3,75499,-0.357486,30.0912,5.14191
y2_d078_MGJ_RZQ,3,75549,-0.2586303,24.00468,4.7601
y2_d078_MGJ_RZQ,3,75599,-0.1686207,17.98545,4.3074
y2_d078_MGJ_RZQ,3,75649,-0.0874578,12.03351,3.78384
y2_d078_MGJ_RZQ,3,75699,-0.01514085,6.14892,3.18939
y2_d078_MGJ_RZQ,3,75749,0.0483297,0.331617,2.524065
y2_d078_MGJ_RZQ,3,75799,-4.53399,10.41366,1.888893
y2_d078_MGJ_RZQ,3,75849,-7.86675,16.34919,1.134666
y2_d078_MGJ_RZQ,3,75899,-11.27049,22.21644,0.2238336
y2_d078_MGJ_RZQ,3,75949,-13.77807,26.86608,0.728661
y2_d078_MGJ_RZQ,3,75999,-16.20132,31.2975,1.30227
y2_d078_MGJ_RZQ,3,76049,-18.6084,35.6646,1.765743
y2_d078_MGJ_RZQ,3,76099,-20.99928,39.9669,2.119071
y2_d078_MGJ_RZQ,3,76149,-23.37399,44.2047,2.36226
y2_d078_MGJ_RZQ,3,76199,-25.7325,48.3777,2.495307
