"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d045_MHY_RZQ",1,6260,-0.561141,56.8293,6.01431
"y1_d045_MHY_RZQ",1,6310,-0.564603,49.9242,5.67021
"y1_d045_MHY_RZQ",1,6360,-0.572118,43.0998,5.27055
"y1_d045_MHY_RZQ",1,6410,-0.58368,36.3564,4.81533
"y1_d045_MHY_RZQ",1,6460,-0.599292,29.69409,4.30452
"y1_d045_MHY_RZQ",1,6510,-0.618957,23.11257,3.73815
"y1_d045_MHY_RZQ",1,6560,-0.642669,16.61199,3.11622
"y1_d045_MHY_RZQ",1,6610,-0.670434,10.19238,2.438712
"y1_d045_MHY_RZQ",1,6660,-0.702246,3.85368,1.705641
"y1_d045_MHY_RZQ",1,6710,-0.738111,-2.404089,0.916998
"y1_d045_MHY_RZQ",2,20460,-0.686742,58.5915,6.40362
"y1_d045_MHY_RZQ",2,20510,-0.744432,51.7767,5.97672
"y1_d045_MHY_RZQ",2,20560,-0.807945,45.0228,5.52951
"y1_d045_MHY_RZQ",2,20610,-0.877275,38.3295,5.06193
"y1_d045_MHY_RZQ",2,20660,-0.952431,31.6968,4.57398
"y1_d045_MHY_RZQ",2,20710,-1.033404,25.12494,4.06569
"y1_d045_MHY_RZQ",2,20760,-1.1202,18.6138,3.53706
"y1_d045_MHY_RZQ",2,20810,-1.212819,12.16341,2.988081
"y1_d045_MHY_RZQ",2,20860,-1.311255,5.7738,2.418744
"y1_d045_MHY_RZQ",2,20910,-1.415514,-0.555105,1.829058
"y1_d045_MHY_RZQ",2,20960,-1.525596,-6.82326,1.21902
"y1_d045_MHY_RZQ",3,33560,-0.558999,53.4723,6.05475
"y1_d045_MHY_RZQ",3,33610,-0.407994,47.5143,5.80083
"y1_d045_MHY_RZQ",3,33660,-0.2866029,41.5893,5.4807
"y1_d045_MHY_RZQ",3,33710,-0.1948221,35.697,5.09436
"y1_d045_MHY_RZQ",3,33760,-0.1326531,29.83746,4.64181
"y1_d045_MHY_RZQ",3,33810,-0.1000959,24.01089,4.12305
"y1_d045_MHY_RZQ",3,33860,-0.0971505,18.21717,3.53811
"y1_d045_MHY_RZQ",3,33910,-0.1238169,12.4563,2.886933
"y1_d045_MHY_RZQ",3,33960,-0.1800951,6.72828,2.169564
"y1_d045_MHY_RZQ",3,34010,-0.2659854,1.033098,1.385985
"y1_d045_MHY_RZQ",4,55410,-0.468042,51.8961,5.89725
"y1_d045_MHY_RZQ",4,55460,-0.1878438,45.8373,5.72544
"y1_d045_MHY_RZQ",4,55510,0.0528816,39.8259,5.47164
"y1_d045_MHY_RZQ",4,55560,0.2541327,33.8616,5.13582
"y1_d045_MHY_RZQ",4,55610,0.415911,27.94479,4.71798
"y1_d045_MHY_RZQ",4,55660,0.538215,22.0752,4.21815
"y1_d045_MHY_RZQ",4,55710,0.621048,16.25289,3.6363
"y1_d045_MHY_RZQ",4,55760,0.664407,10.47783,2.972436
"y1_d045_MHY_RZQ",4,55810,0.668292,4.75008,2.226567
"y1_d045_MHY_RZQ",4,55860,0.632703,-0.930414,1.39869
"y1_d045_MHY_RZQ",4,55910,0.55764,-6.56361,0.488802
"y1_d045_MHY_RZQ",5,90260,-0.367845,51.3453,6.0966
"y1_d045_MHY_RZQ",5,90310,-0.1843632,44.5089,5.70816
"y1_d045_MHY_RZQ",5,90360,-0.00946005,37.7256,5.29356
"y1_d045_MHY_RZQ",5,90410,0.1568643,30.9948,4.85277
"y1_d045_MHY_RZQ",5,90460,0.31461,24.31695,4.38582
"y1_d045_MHY_RZQ",5,90510,0.463779,17.69178,3.89268
"y1_d045_MHY_RZQ",5,90560,0.604365,11.11941,3.37335
"y1_d045_MHY_RZQ",5,90610,0.736377,4.59984,2.827839
"y1_d045_MHY_RZQ",5,90660,0.859806,-1.86699,2.256156
"y1_d045_MHY_RZQ",6,118860,-0.373359,52.0695,5.98002
"y1_d045_MHY_RZQ",6,118910,-0.1510239,46.4868,5.76546
"y1_d045_MHY_RZQ",6,118960,0.053262,40.9374,5.45916
"y1_d045_MHY_RZQ",6,119010,0.2395008,35.421,5.06109
"y1_d045_MHY_RZQ",6,119060,0.407691,29.9379,4.57125
"y1_d045_MHY_RZQ",6,119110,0.557832,24.4878,3.98967
"y1_d045_MHY_RZQ",6,119160,0.689925,19.07082,3.31632
"y1_d045_MHY_RZQ",6,119210,0.803973,13.68696,2.551218
"y1_d045_MHY_RZQ",6,119260,0.89997,8.33616,1.694352
"y1_d045_MHY_RZQ",6,119310,0.977919,3.01854,0.745731
"y1_d045_MHY_RZQ",6,119360,1.037823,-2.265987,-0.2946495
"y1_d045_MHY_RZQ",6,119410,1.079676,-7.5174,-1.426788
"y1_d045_MHY_RZQ",7,145510,-0.549795,56.2041,6.51501
"y1_d045_MHY_RZQ",7,145560,-0.445743,50.0163,6.13419
"y1_d045_MHY_RZQ",7,145610,-0.341412,43.8642,5.70432
"y1_d045_MHY_RZQ",7,145660,-0.2368029,37.7478,5.2254
"y1_d045_MHY_RZQ",7,145710,-0.1319136,31.6671,4.69743
"y1_d045_MHY_RZQ",7,145760,-0.02674431,25.62219,4.12035
"y1_d045_MHY_RZQ",7,145810,0.0787038,19.61286,3.49425
"y1_d045_MHY_RZQ",7,145860,0.1844307,13.6392,2.819067
"y1_d045_MHY_RZQ",7,145910,0.2904372,7.70124,2.094825
"y1_d045_MHY_RZQ",7,145960,0.396723,1.798929,1.321521
"y1_d045_MHY_RZQ",7,146010,0.503289,-4.06773,0.499152
"y1_d045_MHY_RZQ",8,166860,-0.436953,52.0812,6.12198
"y1_d045_MHY_RZQ",8,166910,-0.351891,45.1848,5.88687
"y1_d045_MHY_RZQ",8,166960,-0.2778843,38.3799,5.6112
"y1_d045_MHY_RZQ",8,167010,-0.2149329,31.6665,5.29497
"y1_d045_MHY_RZQ",8,167060,-0.1630368,25.04427,4.93821
"y1_d045_MHY_RZQ",8,167110,-0.1221957,18.51354,4.54092
"y1_d045_MHY_RZQ",8,167160,-0.0924102,12.07425,4.10304
"y1_d045_MHY_RZQ",8,167210,-0.0736797,5.72637,3.62466
"y1_d045_MHY_RZQ",8,167260,-0.0660042,-0.530151,3.10572
"y1_d045_MHY_RZQ",8,167310,1.397565,5.66352,9.51882
"y1_d045_MHY_RZQ",8,167360,2.581113,9.15267,14.31537
"y1_d045_MHY_RZQ",8,167410,3.76038,12.61329,19.02867
"y1_d045_MHY_RZQ",8,167460,4.93536,16.04538,23.65875
"y1_d045_MHY_RZQ",8,167510,6.10608,19.44891,28.20561
"y1_d045_MHY_RZQ",8,167560,7.27251,22.82391,32.6691
"y1_d045_MHY_RZQ",8,167610,8.43465,26.17038,37.0497
"y1_d045_MHY_RZQ",8,167660,9.59253,29.48829,41.3466
"y1_d045_MHY_RZQ",8,167710,10.74609,32.7777,45.5607
"y1_d045_MHY_RZQ",8,167760,11.89542,36.0384,49.6914
"y1_d045_MHY_RZQ",8,167810,13.04043,39.2709,53.7387
"y1_d045_MHY_RZQ",8,167860,14.18118,42.4746,57.7029
"y1_d045_MHY_RZQ",8,167910,15.31764,45.6498,61.584
"y1_d045_MHY_RZQ",8,167960,16.44984,48.7965,65.3817
"y1_d045_MHY_RZQ",8,168010,17.57772,51.9147,69.0963
"y1_d045_MHY_RZQ",8,168060,18.70134,55.0044,72.7275
"y1_d045_MHY_RZQ",8,168110,19.8207,58.0653,76.2756
"y1_d045_MHY_RZQ",8,168160,20.93577,61.098,79.7403
"y1_d045_MHY_RZQ",8,168210,22.04652,64.1019,83.1219
"y1_d045_MHY_RZQ",8,168260,23.15304,67.0773,86.4201
"y1_d045_MHY_RZQ",8,168310,24.25527,70.0242,89.6352
"y1_d045_MHY_RZQ",8,168360,25.35321,72.9426,92.7672
"y1_d045_MHY_RZQ",8,168410,26.44686,75.8325,95.8158
"y1_d045_MHY_RZQ",8,168460,27.53622,78.6936,98.781
"y1_d045_MHY_RZQ",8,168510,28.62132,81.5265,101.6631
"y1_d045_MHY_RZQ",8,168560,29.70216,84.3306,104.4621
"y1_d045_MHY_RZQ",8,168610,30.7788,87.1065,107.1777
"y1_d045_MHY_RZQ",8,168660,31.851,89.8536,109.8102
"y1_d045_MHY_RZQ",8,168710,32.919,92.5722,112.3596
"y1_d045_MHY_RZQ",8,168760,33.9825,95.2623,114.8253
"y1_d045_MHY_RZQ",8,168810,35.0421,97.9236,117.2082
"y1_d045_MHY_RZQ",8,168860,36.0972,100.5567,119.5077
"y1_d045_MHY_RZQ",8,168910,37.1481,103.161,121.7238
"y1_d045_MHY_RZQ",8,168960,38.1945,105.7371,123.8571
"y1_d045_MHY_RZQ",8,169010,39.237,108.2844,125.9067
"y1_d045_MHY_RZQ",8,169060,40.275,110.8032,127.8732
"y1_d045_MHY_RZQ",8,169110,41.3085,113.2935,129.7566
"y1_d045_MHY_RZQ",8,169160,42.3381,115.7553,131.5566
"y1_d045_MHY_RZQ",8,169210,43.3632,118.1886,133.2735
"y1_d045_MHY_RZQ",8,169260,44.3841,120.5931,134.9073
"y1_d045_MHY_RZQ",8,169310,45.4008,122.9694,136.4577
"y1_d045_MHY_RZQ",8,169360,46.413,125.3169,137.9247
"y1_d045_MHY_RZQ",8,169410,47.421,127.6359,139.3086
"y1_d045_MHY_RZQ",8,169460,48.4248,129.9264,140.6094
"y1_d045_MHY_RZQ",8,169510,49.4244,132.1884,141.8268
"y1_d045_MHY_RZQ",8,169560,50.4195,134.4219,142.9611
"y1_d045_MHY_RZQ",8,169610,51.4104,136.6266,144.012
"y1_d045_MHY_RZQ",8,169660,52.3971,138.8031,144.9798
"y1_d045_MHY_RZQ",8,169710,53.3796,140.9508,145.8642
"y1_d045_MHY_RZQ",8,169760,54.3576,143.0703,146.6655
"y1_d045_MHY_RZQ",8,169810,55.3314,145.161,147.3834
"y1_d045_MHY_RZQ",8,169860,56.301,147.2232,148.0182
"y1_d045_MHY_RZQ",8,169910,57.2661,149.2569,148.5699
"y1_d045_MHY_RZQ",8,169960,58.227,151.2618,149.0382
"y1_d045_MHY_RZQ",8,170010,59.1837,153.2385,149.4234
"y1_d045_MHY_RZQ",8,170060,60.1362,155.1867,149.7252
"y1_d045_MHY_RZQ",8,170110,61.0842,157.1061,149.9439
"y1_d045_MHY_RZQ",8,170160,62.0283,158.997,150.0792
"y1_d045_MHY_RZQ",8,170210,62.9676,160.8594,150.1314
"y1_d045_MHY_RZQ",8,170260,63.903,162.6933,150.1002
"y1_d045_MHY_RZQ",8,170310,64.8339,164.4987,149.9859
"y1_d045_MHY_RZQ",8,170360,65.7606,166.2756,149.7882
"y1_d045_MHY_RZQ",8,170410,66.6831,168.0237,149.5077
"y1_d045_MHY_RZQ",8,170460,67.6014,169.7436,149.1435
"y1_d045_MHY_RZQ",8,170510,68.5152,171.4347,148.6962
"y1_d045_MHY_RZQ",8,170560,69.4248,173.0973,148.1658
"y1_d045_MHY_RZQ",8,170610,70.3302,174.7314,147.552
"y1_d045_MHY_RZQ",8,170660,71.2311,176.337,146.8551
"y1_d045_MHY_RZQ",8,170710,72.1278,177.9141,146.0748
"y1_d045_MHY_RZQ",8,170760,73.0203,179.4627,145.2114
"y1_d045_MHY_RZQ",8,170810,73.9086,180.9825,144.2649
"y1_d045_MHY_RZQ",8,170860,74.7924,182.4741,143.235
