"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d079_PVJ_RZQ",1,23066,2.372343,54.5808,5.63307
"y1_d079_PVJ_RZQ",1,23116,1.872348,48.072,5.16798
"y1_d079_PVJ_RZQ",1,23166,1.390212,41.6235,4.66926
"y1_d079_PVJ_RZQ",1,23216,0.925941,35.2353,4.13685
"y1_d079_PVJ_RZQ",1,23266,0.479532,28.90758,3.57081
"y1_d079_PVJ_RZQ",1,23316,0.0509859,22.64004,2.971086
"y1_d079_PVJ_RZQ",1,23366,-0.359697,16.4328,2.337711
"y1_d079_PVJ_RZQ",1,23416,-0.752523,10.28586,1.670676
"y1_d079_PVJ_RZQ",1,23466,-1.127481,4.19922,0.969987
"y1_d079_PVJ_RZQ",1,23516,-1.48458,-1.827099,0.2356377
"y1_d079_PVJ_RZQ",2,44216,2.538462,53.3868,5.24364
"y1_d079_PVJ_RZQ",2,44266,2.140695,46.9344,5.04951
"y1_d079_PVJ_RZQ",2,44316,1.777386,40.5486,4.78188
"y1_d079_PVJ_RZQ",2,44366,1.448535,34.2291,4.44069
"y1_d079_PVJ_RZQ",2,44416,1.154139,27.9765,4.02594
"y1_d079_PVJ_RZQ",2,44466,0.894201,21.79035,3.53769
"y1_d079_PVJ_RZQ",2,44516,0.668721,15.6708,2.97591
"y1_d079_PVJ_RZQ",2,44566,0.477699,9.61779,2.340588
"y1_d079_PVJ_RZQ",2,44616,0.321132,3.63132,1.631733
"y1_d079_PVJ_RZQ",2,44666,0.1990236,-2.288574,0.849342
"y1_d079_PVJ_RZQ",3,66166,2.893512,56.9145,5.54424
"y1_d079_PVJ_RZQ",3,66216,2.387712,50.7921,5.31192
"y1_d079_PVJ_RZQ",3,66266,1.917927,44.7342,5.01186
"y1_d079_PVJ_RZQ",3,66316,1.48416,38.7411,4.64403
"y1_d079_PVJ_RZQ",3,66366,1.086411,32.8122,4.20849
"y1_d079_PVJ_RZQ",3,66416,0.724677,26.94786,3.70518
"y1_d079_PVJ_RZQ",3,66466,0.398964,21.14811,3.13416
"y1_d079_PVJ_RZQ",3,66516,0.1092645,15.41286,2.495391
"y1_d079_PVJ_RZQ",3,66566,-0.1444167,9.74217,1.788882
"y1_d079_PVJ_RZQ",3,66616,-0.362082,4.13601,1.014633
"y1_d079_PVJ_RZQ",3,66666,-0.543729,-1.405665,0.1726437
"y1_d079_PVJ_RZQ",3,66716,-0.689358,-6.88278,-0.737082
"y1_d079_PVJ_RZQ",4,82966,2.706951,54.9765,5.463
"y1_d079_PVJ_RZQ",4,83016,2.470725,48.8553,5.50959
"y1_d079_PVJ_RZQ",4,83066,2.257872,42.8022,5.47431
"y1_d079_PVJ_RZQ",4,83116,2.068392,36.8166,5.35719
