"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d095_QZE_RZQ",1,28948,-0.794868,51.2964,5.97786
"y2_d095_QZE_RZQ",1,28998,-0.747498,44.5857,5.78439
"y2_d095_QZE_RZQ",1,29048,-0.707781,37.9929,5.54259
"y2_d095_QZE_RZQ",1,29098,-0.675723,31.5186,5.25249
"y2_d095_QZE_RZQ",1,29148,-0.651321,25.16253,4.91403
"y2_d095_QZE_RZQ",1,29198,-0.634575,18.92478,4.52724
"y2_d095_QZE_RZQ",1,29248,-0.625485,12.80532,4.09212
"y2_d095_QZE_RZQ",1,29298,-0.624054,6.80418,3.60867
"y2_d095_QZE_RZQ",1,29348,-0.630276,0.921324,3.07689
"y2_d095_QZE_RZQ",1,29398,-0.644157,-4.84323,2.496759
"y2_d095_QZE_RZQ",2,43448,-1.106511,52.1298,5.92803
"y2_d095_QZE_RZQ",2,43498,-1.05546,46.311,5.70891
"y2_d095_QZE_RZQ",2,43548,-1.021953,40.5552,5.44563
"y2_d095_QZE_RZQ",2,43598,-1.005987,34.8621,5.13819
"y2_d095_QZE_RZQ",2,43648,-1.007568,29.23191,4.78659
"y2_d095_QZE_RZQ",2,43698,-1.02669,23.66433,4.39083
"y2_d095_QZE_RZQ",2,43748,-1.063356,18.15954,3.95094
"y2_d095_QZE_RZQ",2,43798,-1.117569,12.71751,3.46686
"y2_d095_QZE_RZQ",2,43848,-1.18932,7.33824,2.93865
"y2_d095_QZE_RZQ",2,43898,-1.278618,2.021733,2.366274
"y2_d095_QZE_RZQ",2,43948,-1.38546,-3.23202,1.749738
"y2_d095_QZE_RZQ",3,56798,-0.607092,55.0443,6.22707
"y2_d095_QZE_RZQ",3,56848,-0.558105,48.4833,5.96376
"y2_d095_QZE_RZQ",3,56898,-0.50799,41.9919,5.67645
"y2_d095_QZE_RZQ",3,56948,-0.456747,35.5701,5.36511
"y2_d095_QZE_RZQ",3,56998,-0.404379,29.21787,5.02974
"y2_d095_QZE_RZQ",3,57048,-0.350886,22.93512,4.67034
"y2_d095_QZE_RZQ",3,57098,-0.296268,16.72194,4.28694
"y2_d095_QZE_RZQ",3,57148,-0.2405226,10.5783,3.87951
"y2_d095_QZE_RZQ",3,57198,-0.183651,4.50417,3.44805
"y2_d095_QZE_RZQ",3,57248,-0.1256535,-1.500381,2.992572
"y2_d095_QZE_RZQ",3,57298,0.6972,8.5434,-0.1476
"y2_d095_QZE_RZQ",3,57348,2.943945,10.46097,3.36873
"y2_d095_QZE_RZQ",3,57398,3.94551,13.86627,4.94499
"y2_d095_QZE_RZQ",3,57448,4.94151,17.24226,6.4188
"y2_d095_QZE_RZQ",3,57498,5.9319,20.58888,7.79013
"y2_d095_QZE_RZQ",3,57548,6.91668,23.90622,9.05901
"y2_d095_QZE_RZQ",3,57598,7.89588,27.19419,10.22544
"y2_d095_QZE_RZQ",3,57648,8.86947,30.453,11.28936
"y2_d095_QZE_RZQ",3,57698,9.83751,33.6822,12.25086
"y2_d095_QZE_RZQ",3,57748,10.79991,36.8823,13.10988
"y2_d095_QZE_RZQ",3,57798,11.75673,40.053,13.86642
"y2_d095_QZE_RZQ",3,57848,12.70797,43.1943,14.52051
"y2_d095_QZE_RZQ",3,57898,13.6536,46.3062,15.07215
"y2_d095_QZE_RZQ",3,57948,14.59365,49.389,15.52131
"y2_d095_QZE_RZQ",3,57998,15.52809,52.4424,15.86802
"y2_d095_QZE_RZQ",3,58048,16.45695,55.4664,16.11225
"y2_d095_QZE_RZQ",3,58098,17.3802,58.4613,16.254
"y2_d095_QZE_RZQ",3,58148,18.29787,61.4268,16.2933
"y2_d095_QZE_RZQ",3,58198,19.20993,64.3629,16.23015
"y2_d095_QZE_RZQ",3,58248,20.11641,67.2696,16.06452
"y2_d095_QZE_RZQ",3,58298,21.01728,70.1469,15.79644
"y2_d095_QZE_RZQ",3,58348,21.91257,72.9951,15.42588
"y2_d095_QZE_RZQ",3,58398,22.80228,75.8139,14.95287
"y2_d095_QZE_RZQ",3,58448,23.68638,78.6033,14.37738
"y2_d095_QZE_RZQ",3,58498,24.56487,81.3636,13.69941
"y2_d095_QZE_RZQ",3,58548,25.43778,84.0942,12.91902
"y2_d095_QZE_RZQ",3,58598,26.30511,86.7957,12.03612
"y2_d095_QZE_RZQ",3,58648,27.16683,89.4678,11.0508
"y2_d095_QZE_RZQ",3,58698,28.02297,92.1108,9.96297
"y2_d095_QZE_RZQ",3,58748,28.8735,94.7244,8.77272
"y2_d095_QZE_RZQ",3,58798,29.71845,97.3083,7.47996
"y2_d095_QZE_RZQ",3,58848,30.5577,99.8634,6.08478
"y2_d095_QZE_RZQ",3,58898,31.3914,102.3888,4.58712
"y2_d095_QZE_RZQ",3,58948,32.2197,104.8851,2.986974
"y2_d095_QZE_RZQ",3,58998,33.0423,107.352,1.284381
"y2_d095_QZE_RZQ",3,59048,33.8592,109.7895,-0.520674
"y2_d095_QZE_RZQ",3,59098,34.4979,112.0503,0.835935
"y2_d095_QZE_RZQ",3,59148,35.2767,114.486,1.580817
"y2_d095_QZE_RZQ",3,59198,36.0396,116.8611,2.23359
"y2_d095_QZE_RZQ",3,59248,36.7869,119.1747,2.794248
"y2_d095_QZE_RZQ",3,59298,37.5186,121.4274,3.2628
"y2_d095_QZE_RZQ",3,59348,38.2347,123.6192,3.63924
"y2_d095_QZE_RZQ",3,59398,38.9352,125.7498,3.92358
"y2_d095_QZE_RZQ",3,59448,39.6201,127.8192,4.11579
"y2_d095_QZE_RZQ",3,59498,40.2891,129.8277,4.2159
"y2_d095_QZE_RZQ",3,59548,40.9428,131.775,4.22391
"y2_d095_QZE_RZQ",3,59598,41.5806,133.6611,4.13979
"y2_d095_QZE_RZQ",3,60448,41.9613,130.1169,4.59453
"y2_d095_QZE_RZQ",3,60498,43.0926,126.4449,5.2695
"y2_d095_QZE_RZQ",3,60548,44.2053,122.7891,5.86836
"y2_d095_QZE_RZQ",3,60598,45.2997,119.1495,6.39108
"y2_d095_QZE_RZQ",3,60648,46.3758,115.5261,6.83763
"y2_d095_QZE_RZQ",3,60698,47.4333,111.9186,7.20807
"y2_d095_QZE_RZQ",3,60748,48.4725,108.3276,7.50237
"y2_d095_QZE_RZQ",3,60798,49.4931,104.7528,7.72053
"y2_d095_QZE_RZQ",3,60848,50.4954,101.1942,7.86252
"y2_d095_QZE_RZQ",3,60898,51.4794,97.6515,7.9284
"y2_d095_QZE_RZQ",3,60948,52.4448,94.1253,7.91814
"y2_d095_QZE_RZQ",3,60998,53.3919,90.615,7.83174
"y2_d095_QZE_RZQ",3,61048,54.3204,87.1212,7.66917
"y2_d095_QZE_RZQ",3,61098,55.2306,83.6433,7.43049
"y2_d095_QZE_RZQ",3,61148,56.1222,80.1819,7.11567
"y2_d095_QZE_RZQ",3,61198,56.9958,76.7364,6.72471
"y2_d095_QZE_RZQ",3,61248,57.8505,73.3071,6.25761
"y2_d095_QZE_RZQ",3,61298,58.6869,69.894,5.71437
"y2_d095_QZE_RZQ",3,61348,59.505,66.4974,5.09496
"y2_d095_QZE_RZQ",4,91248,-0.637833,51.6177,5.98476
"y2_d095_QZE_RZQ",4,91298,-0.633471,44.9583,5.70252
"y2_d095_QZE_RZQ",4,91348,-0.638577,38.3826,5.38461
"y2_d095_QZE_RZQ",4,91398,-0.653151,31.8903,5.03103
"y2_d095_QZE_RZQ",4,91448,-0.677196,25.48167,4.64178
"y2_d095_QZE_RZQ",4,91498,-0.710709,19.15665,4.21686
"y2_d095_QZE_RZQ",4,91548,-0.753693,12.91521,3.75624
"y2_d095_QZE_RZQ",4,91598,-0.806148,6.75738,3.25995
"y2_d095_QZE_RZQ",4,91648,-0.868071,0.683145,2.727978
"y2_d095_QZE_RZQ",5,108048,-1.030377,55.5936,6.12645
"y2_d095_QZE_RZQ",5,108098,-1.001199,49.5762,5.9202
"y2_d095_QZE_RZQ",5,108148,-1.007334,43.6293,5.667
"y2_d095_QZE_RZQ",5,108198,-1.048782,37.7526,5.36691
"y2_d095_QZE_RZQ",5,108248,-1.125543,31.9464,5.0199
"y2_d095_QZE_RZQ",5,108298,-1.237617,26.21019,4.626
"y2_d095_QZE_RZQ",5,108348,-1.385004,20.54442,4.18515
"y2_d095_QZE_RZQ",5,108398,-1.567704,14.94897,3.69744
"y2_d095_QZE_RZQ",5,108448,-1.785717,9.42381,3.16278
"y2_d095_QZE_RZQ",5,108498,-2.039046,3.96897,2.581221
"y2_d095_QZE_RZQ",5,108548,-2.327685,-1.415538,1.952754
"y2_d095_QZE_RZQ",5,108598,-2.651637,-6.72975,1.277376
"y2_d095_QZE_RZQ",6,120648,-1.070448,56.8956,6.09603
"y2_d095_QZE_RZQ",6,120698,-0.910995,50.9232,5.77989
"y2_d095_QZE_RZQ",6,120748,-0.775809,45.0213,5.40981
"y2_d095_QZE_RZQ",6,120798,-0.664881,39.1899,4.98582
"y2_d095_QZE_RZQ",6,120848,-0.578217,33.429,4.50786
"y2_d095_QZE_RZQ",6,120898,-0.515817,27.73848,3.97596
"y2_d095_QZE_RZQ",6,120948,-0.477675,22.11849,3.39012
"y2_d095_QZE_RZQ",6,120998,-0.4638,16.569,2.750367
"y2_d095_QZE_RZQ",6,121048,-0.474183,11.09001,2.056662
"y2_d095_QZE_RZQ",6,121098,-0.50883,5.68152,1.30902
"y2_d095_QZE_RZQ",6,121148,-0.567741,0.343488,0.507438
"y2_d095_QZE_RZQ",6,121198,-0.650913,-4.92408,-0.348084
"y2_d095_QZE_RZQ",7,140348,-0.682875,53.739,6.07959
"y2_d095_QZE_RZQ",7,140398,-0.689592,47.1663,5.87715
"y2_d095_QZE_RZQ",7,140448,-0.710175,40.6557,5.63556
"y2_d095_QZE_RZQ",7,140498,-0.744633,34.2078,5.35482
"y2_d095_QZE_RZQ",7,140548,-0.79296,27.82245,5.03487
"y2_d095_QZE_RZQ",7,140598,-0.855156,21.49953,4.67577
"y2_d095_QZE_RZQ",7,140648,-0.931224,15.2391,4.27752
"y2_d095_QZE_RZQ",7,140698,-1.021164,9.04113,3.84006
"y2_d095_QZE_RZQ",7,140748,-1.124973,2.905653,3.36345
"y2_d095_QZE_RZQ",7,140798,-1.242654,-3.16731,2.847663
"y2_d095_QZE_RZQ",8,154748,-0.79734,53.5458,6.22233
"y2_d095_QZE_RZQ",8,154798,-0.760824,47.0067,6.01158
"y2_d095_QZE_RZQ",8,154848,-0.756927,40.5468,5.75991
"y2_d095_QZE_RZQ",8,154898,-0.785643,34.1661,5.46732
"y2_d095_QZE_RZQ",8,154948,-0.846978,27.86451,5.13384
"y2_d095_QZE_RZQ",8,154998,-0.940926,21.64227,4.75944
"y2_d095_QZE_RZQ",8,155048,-1.06749,15.4992,4.34412
"y2_d095_QZE_RZQ",8,155098,-1.22667,9.43539,3.88791
"y2_d095_QZE_RZQ",8,155148,-1.418466,3.45078,3.39078
"y2_d095_QZE_RZQ",8,155198,-1.642881,-2.454645,2.852721
"y2_d095_QZE_RZQ",9,185448,-0.80526,54.1308,6.09003
"y2_d095_QZE_RZQ",9,185498,-0.723255,47.481,5.84487
"y2_d095_QZE_RZQ",9,185548,-0.661158,40.9023,5.55828
"y2_d095_QZE_RZQ",9,185598,-0.618975,34.3944,5.23023
"y2_d095_QZE_RZQ",9,185648,-0.5967,27.95757,4.86075
"y2_d095_QZE_RZQ",9,185698,-0.594339,21.59169,4.44984
"y2_d095_QZE_RZQ",9,185748,-0.611889,15.29685,3.99747
"y2_d095_QZE_RZQ",9,185798,-0.64935,9.07299,3.50367
"y2_d095_QZE_RZQ",9,185848,-0.706722,2.920083,2.968422
"y2_d095_QZE_RZQ",9,185898,-0.784005,-3.16182,2.391738
"y2_d095_QZE_RZQ",10,200848,-1.091502,55.2783,5.99166
"y2_d095_QZE_RZQ",10,200898,-1.164207,49.6776,6.20148
"y2_d095_QZE_RZQ",10,200948,-1.23372,44.1267,6.31503
"y2_d095_QZE_RZQ",10,200998,-1.300041,38.6259,6.33234
"y2_d095_QZE_RZQ",10,201048,-1.363173,33.1749,6.25338
"y2_d095_QZE_RZQ",10,201098,-1.423116,27.77391,6.07815
"y2_d095_QZE_RZQ",10,201148,-1.479867,22.4229,5.80665
"y2_d095_QZE_RZQ",10,201198,-1.533429,17.12184,5.43888
"y2_d095_QZE_RZQ",10,201248,-1.583799,11.87076,4.97487
"y2_d095_QZE_RZQ",10,201298,-1.63098,6.66963,4.41459
"y2_d095_QZE_RZQ",10,201348,-1.674969,1.518459,3.75804
