"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d010_TSZ_RZQ",1,33161,-2.106252,57.9039,5.59971
"y2_d010_TSZ_RZQ",1,33211,-1.815966,51.243,5.27715
"y2_d010_TSZ_RZQ",1,33261,-1.554006,44.6541,4.91454
"y2_d010_TSZ_RZQ",1,33311,-1.320369,38.1378,4.51185
"y2_d010_TSZ_RZQ",1,33361,-1.115055,31.6935,4.06908
"y2_d010_TSZ_RZQ",1,33411,-0.938064,25.32162,3.58623
"y2_d010_TSZ_RZQ",1,33461,-0.789399,19.02207,3.0633
"y2_d010_TSZ_RZQ",1,33511,-0.669057,12.79479,2.500314
"y2_d010_TSZ_RZQ",1,33561,-0.577038,6.63981,1.897248
"y2_d010_TSZ_RZQ",1,33611,-0.513342,0.557118,1.254099
"y2_d010_TSZ_RZQ",1,33661,-0.477972,-5.45325,0.570882
"y2_d010_TSZ_RZQ",2,48311,-1.938921,58.0209,5.65605
"y2_d010_TSZ_RZQ",2,48361,-1.711305,51.2775,5.41698
"y2_d010_TSZ_RZQ",2,48411,-1.512363,44.5971,5.13687
"y2_d010_TSZ_RZQ",2,48461,-1.342089,37.98,4.81569
"y2_d010_TSZ_RZQ",2,48511,-1.200489,31.4259,4.45347
"y2_d010_TSZ_RZQ",2,48561,-1.08756,24.93486,4.05021
"y2_d010_TSZ_RZQ",2,48611,-1.003302,18.50694,3.60588
"y2_d010_TSZ_RZQ",2,48661,-0.947715,12.14214,3.12051
"y2_d010_TSZ_RZQ",2,48711,-0.920799,5.84043,2.594082
"y2_d010_TSZ_RZQ",2,48761,-0.922554,-0.398175,2.026599
"y2_d010_TSZ_RZQ",3,70261,-1.862349,55.1004,5.62329
"y2_d010_TSZ_RZQ",3,70311,-1.410183,48.4425,5.18622
"y2_d010_TSZ_RZQ",3,70361,-1.000131,41.8452,4.72176
"y2_d010_TSZ_RZQ",3,70411,-0.632196,35.3088,4.22994
"y2_d010_TSZ_RZQ",3,70461,-0.306375,28.83327,3.71076
"y2_d010_TSZ_RZQ",3,70511,-0.02267115,22.41849,3.16422
"y2_d010_TSZ_RZQ",3,70561,0.2189178,16.06455,2.590299
"y2_d010_TSZ_RZQ",3,70611,0.418392,9.77139,1.989024
"y2_d010_TSZ_RZQ",3,70661,0.575751,3.53904,1.360389
"y2_d010_TSZ_RZQ",3,70711,0.690993,-2.632485,0.704391
"y2_d010_TSZ_RZQ",4,87161,-1.732053,53.6643,5.41761
"y2_d010_TSZ_RZQ",4,87211,-1.523697,47.856,5.39997
"y2_d010_TSZ_RZQ",4,87261,-1.329195,42.1062,5.30982
"y2_d010_TSZ_RZQ",4,87311,-1.14855,36.4155,5.1471
"y2_d010_TSZ_RZQ",4,87361,-0.981759,30.7833,4.91187
"y2_d010_TSZ_RZQ",4,87411,-0.828822,25.20996,4.6041
"y2_d010_TSZ_RZQ",4,87461,-0.689739,19.69539,4.22379
"y2_d010_TSZ_RZQ",4,87511,-0.56451,14.23959,3.77094
"y2_d010_TSZ_RZQ",4,87561,-0.453135,8.84253,3.24555
"y2_d010_TSZ_RZQ",4,87611,-0.355617,3.50424,2.647617
"y2_d010_TSZ_RZQ",4,87661,0.1229916,7.33443,3.60861
"y2_d010_TSZ_RZQ",4,87711,-0.705018,14.11062,5.1807
"y2_d010_TSZ_RZQ",4,87761,-1.543785,20.82654,6.68496
"y2_d010_TSZ_RZQ",4,87811,-2.39331,27.48219,8.12142
"y2_d010_TSZ_RZQ",4,87861,-3.25359,34.0776,9.49008
"y2_d010_TSZ_RZQ",4,87911,-4.12464,40.6125,10.79091
"y2_d010_TSZ_RZQ",4,87961,-5.00643,47.0874,12.02394
"y2_d010_TSZ_RZQ",4,88011,-5.89899,53.502,13.18914
"y2_d010_TSZ_RZQ",4,88061,-6.80232,59.8563,14.28654
"y2_d010_TSZ_RZQ",4,88111,-7.71639,66.15,15.31614
"y2_d010_TSZ_RZQ",4,88161,-8.64123,72.3837,16.27791
"y2_d010_TSZ_RZQ",4,88211,-9.57681,78.5571,17.17188
"y2_d010_TSZ_RZQ",4,88261,-10.52316,84.6702,17.99805
"y2_d010_TSZ_RZQ",4,88311,-11.48025,90.723,18.75639
"y2_d010_TSZ_RZQ",4,88361,-12.44814,96.7155,19.44693
"y2_d010_TSZ_RZQ",4,88411,-13.42677,102.648,20.06964
"y2_d010_TSZ_RZQ",4,88461,-14.41614,108.5199,20.62455
"y2_d010_TSZ_RZQ",4,88511,-15.41628,114.3315,21.11166
"y2_d010_TSZ_RZQ",4,88561,-16.42716,120.0828,21.53094
"y2_d010_TSZ_RZQ",4,88611,-17.44884,125.7741,21.88242
"y2_d010_TSZ_RZQ",4,88661,-18.48123,131.4048,22.16607
"y2_d010_TSZ_RZQ",4,88711,-19.52442,136.9755,22.38195
