"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d064_UEX_RZQ",1,8084798,-0.914541,56.4801,6.14595
"y1_d064_UEX_RZQ",1,8084848,-0.780036,49.854,5.86578
"y1_d064_UEX_RZQ",1,8084898,-0.666015,43.329,5.5224
"y1_d064_UEX_RZQ",1,8084948,-0.572478,36.9057,5.11581
"y1_d064_UEX_RZQ",1,8084998,-0.499425,30.5835,4.64604
"y1_d064_UEX_RZQ",1,8085048,-0.446853,24.36282,4.11306
"y1_d064_UEX_RZQ",1,8085098,-0.414765,18.24357,3.51687
"y1_d064_UEX_RZQ",1,8085148,-0.403161,12.22575,2.857506
"y1_d064_UEX_RZQ",1,8085198,-0.412041,6.30936,2.134941
"y1_d064_UEX_RZQ",1,8085248,-0.441402,0.494355,1.349175
"y1_d064_UEX_RZQ",1,8085298,-0.491247,-5.21925,0.500211
"y1_d064_UEX_RZQ",2,8105698,-0.788304,52.4793,5.84412
"y1_d064_UEX_RZQ",2,8105748,-0.843696,46.0209,5.66088
"y1_d064_UEX_RZQ",2,8105798,-0.914274,39.6015,5.41299
"y1_d064_UEX_RZQ",2,8105848,-1.000041,33.222,5.10045
"y1_d064_UEX_RZQ",2,8105898,-1.100997,26.88177,4.72332
"y1_d064_UEX_RZQ",2,8105948,-1.217139,20.58099,4.28151
"y1_d064_UEX_RZQ",2,8105998,-1.34847,14.31966,3.77511
"y1_d064_UEX_RZQ",2,8106048,-1.49499,8.09775,3.20406
"y1_d064_UEX_RZQ",2,8106098,-1.656696,1.915302,2.568378
"y1_d064_UEX_RZQ",2,8106148,-1.833588,-4.22769,1.868067
"y1_d064_UEX_RZQ",3,8123848,-1.128444,53.3853,5.90142
"y1_d064_UEX_RZQ",3,8123898,-0.921408,47.2107,5.74422
"y1_d064_UEX_RZQ",3,8123948,-0.740289,41.1033,5.51067
"y1_d064_UEX_RZQ",3,8123998,-0.585078,35.0637,5.20077
"y1_d064_UEX_RZQ",3,8124048,-0.455784,29.09151,4.81449
"y1_d064_UEX_RZQ",3,8124098,-0.352398,23.187,4.35186
"y1_d064_UEX_RZQ",3,8124148,-0.2749281,17.35008,3.81288
"y1_d064_UEX_RZQ",3,8124198,-0.2233695,11.58075,3.19755
"y1_d064_UEX_RZQ",3,8124248,-0.1977234,5.87898,2.505849
"y1_d064_UEX_RZQ",3,8124298,-0.1979901,0.244788,1.737795
"y1_d064_UEX_RZQ",4,8146898,-0.949653,52.5573,6.02418
"y1_d064_UEX_RZQ",4,8146948,-0.731307,46.116,5.81616
"y1_d064_UEX_RZQ",4,8146998,-0.536721,39.7044,5.56245
"y1_d064_UEX_RZQ",4,8147048,-0.365895,33.3228,5.26302
"y1_d064_UEX_RZQ",4,8147098,-0.2188266,26.97105,4.91793
"y1_d064_UEX_RZQ",4,8147148,-0.0955173,20.64915,4.52718
"y1_d064_UEX_RZQ",4,8147198,0.00403281,14.3571,4.09071
"y1_d064_UEX_RZQ",4,8147248,0.079824,8.0949,3.60855
"y1_d064_UEX_RZQ",4,8147298,0.1318566,1.862538,3.08073
"y1_d064_UEX_RZQ",4,8147348,0.1116624,6.40083,4.91133
"y1_d064_UEX_RZQ",4,8147398,0.0683532,11.76441,7.65591
"y1_d064_UEX_RZQ",4,8147448,0.0337629,17.08944,10.32972
"y1_d064_UEX_RZQ",4,8147498,0.00789129,22.37589,12.93276
"y1_d064_UEX_RZQ",4,8147548,-0.00926142,27.62379,15.46506
"y1_d064_UEX_RZQ",4,8147598,-0.0176952,32.8332,17.92662
"y1_d064_UEX_RZQ",4,8147648,-0.01741014,38.004,20.31738
"y1_d064_UEX_RZQ",4,8147698,-0.00840624,43.1361,22.6374
"y1_d064_UEX_RZQ",4,8147748,0.00931653,48.2298,24.88665
"y1_d064_UEX_RZQ",4,8147798,0.0357582,53.2848,27.06516
"y1_d064_UEX_RZQ",4,8147848,0.0709188,58.3011,29.1729
"y1_d064_UEX_RZQ",4,8147898,0.114798,63.279,31.2099
"y1_d064_UEX_RZQ",4,8147948,0.1673964,68.2185,33.1761
"y1_d064_UEX_RZQ",4,8147998,0.2287134,73.1193,35.0715
"y1_d064_UEX_RZQ",4,8148048,0.2987496,77.9814,36.8961
"y1_d064_UEX_RZQ",4,8148098,0.377505,82.8051,38.6502
"y1_d064_UEX_RZQ",4,8148148,0.464979,87.5901,40.3335
"y1_d064_UEX_RZQ",4,8148198,0.561171,92.3367,41.9457
"y1_d064_UEX_RZQ",4,8148248,0.666081,97.0446,43.4874
"y1_d064_UEX_RZQ",4,8148298,0.779712,101.7138,44.9583
