"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d072_XFE_RZQ",1,23859,-2.418468,58.1343,5.124
"y2_d072_XFE_RZQ",1,23909,-1.866714,51.5676,5.02308
"y2_d072_XFE_RZQ",1,23959,-1.363644,45.0834,4.84743
"y2_d072_XFE_RZQ",1,24009,-0.909255,38.6817,4.59711
"y2_d072_XFE_RZQ",1,24059,-0.50355,32.3625,4.27206
"y2_d072_XFE_RZQ",1,24109,-0.1465266,26.12595,3.87234
"y2_d072_XFE_RZQ",1,24159,0.1618158,19.97178,3.39789
"y2_d072_XFE_RZQ",1,24209,0.421476,13.90014,2.848773
"y2_d072_XFE_RZQ",1,24259,0.632451,7.91103,2.224941
"y2_d072_XFE_RZQ",1,24309,0.794745,2.004402,1.526412
"y2_d072_XFE_RZQ",1,24359,0.908358,-3.81972,0.753183
"y2_d072_XFE_RZQ",2,36009,-1.556829,52.0011,4.97982
"y2_d072_XFE_RZQ",2,36059,-0.977511,45.5067,4.7076
"y2_d072_XFE_RZQ",2,36109,-0.434889,39.0846,4.3686
"y2_d072_XFE_RZQ",2,36159,0.0710361,32.7345,3.96282
"y2_d072_XFE_RZQ",2,36209,0.540264,26.45637,3.49023
"y2_d072_XFE_RZQ",2,36259,0.972792,20.25027,2.950893
"y2_d072_XFE_RZQ",2,36309,1.368627,14.1162,2.344761
"y2_d072_XFE_RZQ",2,36359,1.727763,8.05413,1.671849
"y2_d072_XFE_RZQ",2,36409,2.050203,2.064069,0.932148
"y2_d072_XFE_RZQ",2,36459,2.335944,-3.85395,0.1256718
"y2_d072_XFE_RZQ",3,48659,-1.946439,57.2058,5.01768
"y2_d072_XFE_RZQ",3,48709,-1.689114,50.6553,4.95048
"y2_d072_XFE_RZQ",3,48759,-1.457016,44.1729,4.8156
"y2_d072_XFE_RZQ",3,48809,-1.250151,37.7583,4.6131
"y2_d072_XFE_RZQ",3,48859,-1.068513,31.4115,4.34292
"y2_d072_XFE_RZQ",3,48909,-0.912102,25.13226,4.00509
"y2_d072_XFE_RZQ",3,48959,-0.780924,18.92091,3.59958
"y2_d072_XFE_RZQ",3,49009,-0.674973,12.77733,3.12645
"y2_d072_XFE_RZQ",3,49059,-0.594252,6.70155,2.585649
"y2_d072_XFE_RZQ",3,49109,-0.538758,0.693522,1.977192
"y2_d072_XFE_RZQ",4,69859,-2.120283,56.805,5.06049
"y2_d072_XFE_RZQ",4,69909,-1.66404,50.202,4.93836
"y2_d072_XFE_RZQ",4,69959,-1.24614,43.6662,4.75065
"y2_d072_XFE_RZQ",4,70009,-0.866583,37.1976,4.49739
"y2_d072_XFE_RZQ",4,70059,-0.525366,30.7962,4.17855
"y2_d072_XFE_RZQ",4,70109,-0.2224917,24.46224,3.7941
"y2_d072_XFE_RZQ",4,70159,0.0420441,18.19539,3.3441
"y2_d072_XFE_RZQ",4,70209,0.2682375,11.99577,2.82852
"y2_d072_XFE_RZQ",4,70259,0.45609,5.86338,2.247363
"y2_d072_XFE_RZQ",4,70309,0.605601,-0.2017953,1.600632
"y2_d072_XFE_RZQ",5,91659,-1.925865,56.9241,5.02593
"y2_d072_XFE_RZQ",5,91709,-1.539117,50.994,4.93071
"y2_d072_XFE_RZQ",5,91759,-1.177923,45.1236,4.76106
"y2_d072_XFE_RZQ",5,91809,-0.84228,39.3135,4.51698
"y2_d072_XFE_RZQ",5,91859,-0.532191,33.5637,4.19847
"y2_d072_XFE_RZQ",5,91909,-0.2476554,27.8736,3.8055
"y2_d072_XFE_RZQ",5,91959,0.01132656,22.24365,3.33813
"y2_d072_XFE_RZQ",5,92009,0.2447556,16.67379,2.796297
"y2_d072_XFE_RZQ",5,92059,0.452631,11.16396,2.180037
"y2_d072_XFE_RZQ",5,92109,0.634953,5.71416,1.489344
"y2_d072_XFE_RZQ",5,92159,0.791724,0.324417,0.724212
"y2_d072_XFE_RZQ",5,92209,0.922941,-5.00526,-0.1153509
"y2_d072_XFE_RZQ",6,105459,-1.958196,56.3418,5.03673
"y2_d072_XFE_RZQ",6,105509,-1.625871,49.6731,4.99392
"y2_d072_XFE_RZQ",6,105559,-1.333071,43.0839,4.88169
"y2_d072_XFE_RZQ",6,105609,-1.079787,36.5748,4.70007
"y2_d072_XFE_RZQ",6,105659,-0.866025,30.1452,4.44906
"y2_d072_XFE_RZQ",6,105709,-0.691785,23.79528,4.12863
"y2_d072_XFE_RZQ",6,105759,-0.557067,17.52516,3.73881
"y2_d072_XFE_RZQ",6,105809,-0.461868,11.33475,3.2796
"y2_d072_XFE_RZQ",6,105859,-0.406191,5.22408,2.750982
"y2_d072_XFE_RZQ",6,105909,-0.390033,-0.806913,2.152959
"y2_d072_XFE_RZQ",7,124559,-1.88883,56.1525,5.40192
"y2_d072_XFE_RZQ",7,124609,-1.762866,50.4576,5.41287
"y2_d072_XFE_RZQ",7,124659,-1.608105,44.8179,5.34084
"y2_d072_XFE_RZQ",7,124709,-1.424553,39.234,5.18583
"y2_d072_XFE_RZQ",7,124759,-1.212204,33.7056,4.94781
"y2_d072_XFE_RZQ",7,124809,-0.971061,28.23258,4.62678
"y2_d072_XFE_RZQ",7,124859,-0.701121,22.81515,4.22277
"y2_d072_XFE_RZQ",7,124909,-0.40239,17.45322,3.73578
"y2_d072_XFE_RZQ",7,124959,-0.0748617,12.14682,3.16578
"y2_d072_XFE_RZQ",7,125009,0.2814597,6.89595,2.512785
"y2_d072_XFE_RZQ",7,125059,0.666576,1.700589,1.776798
"y2_d072_XFE_RZQ",7,125109,0.517527,6.85731,5.22699
"y2_d072_XFE_RZQ",7,125159,0.56559,11.77401,8.66451
"y2_d072_XFE_RZQ",7,125209,0.623841,16.6461,12.02652
"y2_d072_XFE_RZQ",7,125259,0.692283,21.47361,15.31299
"y2_d072_XFE_RZQ",7,125309,0.770916,26.25657,18.52398
"y2_d072_XFE_RZQ",7,125359,0.859743,30.9948,21.65943
"y2_d072_XFE_RZQ",7,125409,0.958758,35.6886,24.7194
"y2_d072_XFE_RZQ",7,125459,1.067964,40.338,27.70386
"y2_d072_XFE_RZQ",7,125509,1.187361,44.9427,30.6129
"y2_d072_XFE_RZQ",7,125559,1.316949,49.5027,33.4461
"y2_d072_XFE_RZQ",7,125609,1.456731,54.018,36.204
"y2_d072_XFE_RZQ",7,125659,1.606701,58.4889,38.8866
"y2_d072_XFE_RZQ",7,125709,1.766862,62.9154,41.4933
"y2_d072_XFE_RZQ",7,125759,1.937214,67.2972,44.0247
"y2_d072_XFE_RZQ",7,125809,2.117757,71.6343,46.4808
"y2_d072_XFE_RZQ",7,125859,2.308494,75.9267,48.861
"y2_d072_XFE_RZQ",7,125909,2.509419,80.175,51.1659
"y2_d072_XFE_RZQ",7,125959,2.720535,84.3783,53.3952
"y2_d072_XFE_RZQ",7,126009,2.941842,88.5372,55.5492
"y2_d072_XFE_RZQ",7,126059,3.17334,92.6514,57.6273
"y2_d072_XFE_RZQ",7,126109,3.41502,96.7212,59.6301
"y2_d072_XFE_RZQ",7,126159,3.6669,100.7463,61.5576
"y2_d072_XFE_RZQ",7,126209,3.92898,104.7267,63.4092
"y2_d072_XFE_RZQ",7,126259,4.20123,108.6627,65.1855
"y2_d072_XFE_RZQ",7,126309,4.48371,112.5543,66.8865
"y2_d072_XFE_RZQ",7,126359,4.77633,116.4009,68.5116
"y2_d072_XFE_RZQ",7,126409,5.07918,120.2034,70.0614
"y2_d072_XFE_RZQ",7,126459,5.3922,123.9609,71.5356
"y2_d072_XFE_RZQ",7,126509,5.71542,127.674,72.9345
"y2_d072_XFE_RZQ",7,126559,6.04884,131.3424,74.2575
"y2_d072_XFE_RZQ",7,126609,6.39243,134.9664,75.5052
"y2_d072_XFE_RZQ",7,126659,6.74622,138.5457,76.6776
"y2_d072_XFE_RZQ",7,126709,7.11021,142.0806,77.7741
"y2_d072_XFE_RZQ",7,126759,7.48437,145.5708,78.7953
"y2_d072_XFE_RZQ",7,126809,7.86873,149.0163,79.7412
"y2_d072_XFE_RZQ",7,126859,8.26329,152.4174,80.6112
"y2_d072_XFE_RZQ",7,126909,8.66805,155.7741,81.4059
"y2_d072_XFE_RZQ",7,126959,9.08298,159.0858,82.125
"y2_d072_XFE_RZQ",7,127009,9.50811,162.3531,82.7685
"y2_d072_XFE_RZQ",7,127059,9.94341,165.576,83.3367
"y2_d072_XFE_RZQ",7,127109,10.38894,168.7542,83.8293
"y2_d072_XFE_RZQ",7,127159,10.84464,171.8877,84.2466
"y2_d072_XFE_RZQ",7,127209,11.31051,174.9768,84.588
"y2_d072_XFE_RZQ",7,127259,11.78661,178.0212,84.8541
"y2_d072_XFE_RZQ",7,127309,12.27288,181.0209,85.0446
"y2_d072_XFE_RZQ",7,127359,12.76935,183.9762,85.1598
"y2_d072_XFE_RZQ",7,127409,13.27599,186.8868,85.1994
"y2_d072_XFE_RZQ",7,127459,13.79283,189.753,85.1634
"y2_d072_XFE_RZQ",7,127509,14.31987,192.5745,85.0518
"y2_d072_XFE_RZQ",7,127559,14.85711,195.3516,84.8649
"y2_d072_XFE_RZQ",7,127609,15.40452,198.084,84.6024
"y2_d072_XFE_RZQ",7,127659,15.96213,200.7717,84.2643
"y2_d072_XFE_RZQ",7,127709,16.52994,203.415,83.8509
"y2_d072_XFE_RZQ",7,127759,17.10792,206.0136,83.3619
"y2_d072_XFE_RZQ",7,127809,17.6961,208.5678,82.7973
"y2_d072_XFE_RZQ",7,127859,18.29448,211.0773,82.1574
"y2_d072_XFE_RZQ",7,127909,18.90306,213.5421,81.4416
"y2_d072_XFE_RZQ",7,127959,19.52181,215.9625,80.6508
"y2_d072_XFE_RZQ",7,128009,20.15076,218.3382,79.7841
"y2_d072_XFE_RZQ",7,128059,20.78988,220.6695,78.8421
"y2_d072_XFE_RZQ",7,128109,21.43923,222.9561,77.8245
"y2_d072_XFE_RZQ",7,128159,22.09875,225.198,76.7313
"y2_d072_XFE_RZQ",7,128209,22.76844,227.3955,75.5628
"y2_d072_XFE_RZQ",7,128259,23.44836,229.5483,74.3187
"y2_d072_XFE_RZQ",7,128309,24.13845,231.6567,72.999
"y2_d072_XFE_RZQ",7,128359,24.83874,233.7204,71.6037
"y2_d072_XFE_RZQ",7,128409,25.5492,235.7397,70.1331
"y2_d072_XFE_RZQ",7,128459,26.26986,237.7143,68.5869
"y2_d072_XFE_RZQ",7,128509,27.00072,239.6442,66.9654
"y2_d072_XFE_RZQ",7,128559,27.74178,241.5297,65.268
"y2_d072_XFE_RZQ",7,128609,28.49301,243.3705,63.4953
"y2_d072_XFE_RZQ",7,128659,29.25444,245.1666,61.6473
"y2_d072_XFE_RZQ",7,128709,30.0261,246.9183,59.7234
"y2_d072_XFE_RZQ",7,128759,30.8079,248.6256,57.7242
"y2_d072_XFE_RZQ",7,128809,31.5999,250.2879,55.6494
"y2_d072_XFE_RZQ",7,128859,32.4021,251.9058,53.4993
"y2_d072_XFE_RZQ",7,128909,33.2145,253.4793,51.2736
"y2_d072_XFE_RZQ",7,128959,34.0371,255.0081,48.9723
"y2_d072_XFE_RZQ",7,129009,34.8699,256.4922,46.5954
"y2_d072_XFE_RZQ",7,129059,35.7129,257.9319,44.1432
"y2_d072_XFE_RZQ",7,129109,36.5658,259.3272,41.6154
"y2_d072_XFE_RZQ",7,129159,37.4292,260.6775,39.012
"y2_d072_XFE_RZQ",7,129209,38.3028,261.9834,36.3333
"y2_d072_XFE_RZQ",7,129259,39.1866,263.2449,33.579
"y2_d072_XFE_RZQ",7,129309,40.0803,264.4614,30.7491
"y2_d072_XFE_RZQ",7,129359,40.9845,265.6338,27.84375
"y2_d072_XFE_RZQ",7,129409,41.8989,266.7612,24.86286
"y2_d072_XFE_RZQ",7,129459,42.8232,267.8445,21.80649
"y2_d072_XFE_RZQ",7,129509,43.758,268.8828,18.67461
"y2_d072_XFE_RZQ",7,129559,44.7027,269.8767,15.46722
"y2_d072_XFE_RZQ",7,129609,45.6579,270.8259,12.18432
"y2_d072_XFE_RZQ",7,129659,46.623,271.7307,8.82591
"y2_d072_XFE_RZQ",7,129709,47.5986,272.5908,5.39199
"y2_d072_XFE_RZQ",8,162659,-1.839675,52.074,5.07141
"y2_d072_XFE_RZQ",8,162709,-1.58868,45.543,5.03814
"y2_d072_XFE_RZQ",8,162759,-1.374462,39.0825,4.93383
"y2_d072_XFE_RZQ",8,162809,-1.197024,32.6922,4.75839
"y2_d072_XFE_RZQ",8,162859,-1.056366,26.37198,4.51191
"y2_d072_XFE_RZQ",8,162909,-0.952488,20.12211,4.19436
"y2_d072_XFE_RZQ",8,162959,-0.885387,13.94253,3.80571
"y2_d072_XFE_RZQ",8,163009,-0.855066,7.83321,3.34599
"y2_d072_XFE_RZQ",8,163059,-0.861522,1.794162,2.815206
"y2_d072_XFE_RZQ",8,163109,-0.904758,-4.17465,2.213343
"y2_d072_XFE_RZQ",9,176709,-1.748361,55.8363,4.9734
"y2_d072_XFE_RZQ",9,176759,-1.426107,49.2525,5.07834
"y2_d072_XFE_RZQ",9,176809,-1.138182,42.7431,5.10381
"y2_d072_XFE_RZQ",9,176859,-0.88458,36.3078,5.04978
"y2_d072_XFE_RZQ",9,176909,-0.665301,29.94645,4.91625
"y2_d072_XFE_RZQ",9,176959,-0.480351,23.65935,4.70322
"y2_d072_XFE_RZQ",9,177009,-0.329727,17.44638,4.41072
"y2_d072_XFE_RZQ",9,177059,-0.2134257,11.30754,4.03872
"y2_d072_XFE_RZQ",9,177109,-0.1314507,5.24286,3.58722
"y2_d072_XFE_RZQ",9,177159,-0.0838011,-0.747708,3.05622
"y2_d072_XFE_RZQ",9,177209,-0.0704772,-6.66411,2.445741
"y2_d072_XFE_RZQ",10,193409,-1.871982,57.5211,5.04237
"y2_d072_XFE_RZQ",10,193459,-1.998735,51.8721,5.2704
"y2_d072_XFE_RZQ",10,193509,-2.09136,46.2738,5.39715
"y2_d072_XFE_RZQ",10,193559,-2.14986,40.7259,5.42265
"y2_d072_XFE_RZQ",10,193609,-2.174229,35.2281,5.34684
"y2_d072_XFE_RZQ",10,193659,-2.164473,29.78058,5.16975
"y2_d072_XFE_RZQ",10,193709,-2.120586,24.38352,4.89141
"y2_d072_XFE_RZQ",10,193759,-2.042574,19.03677,4.51176
"y2_d072_XFE_RZQ",10,193809,-1.930437,13.74036,4.03086
"y2_d072_XFE_RZQ",10,193859,-1.784169,8.49429,3.44865
"y2_d072_XFE_RZQ",10,193909,-1.603773,3.29853,2.76519
"y2_d072_XFE_RZQ",10,193959,-1.389252,-1.846881,1.980438
"y2_d072_XFE_RZQ",10,194009,-1.140603,-6.94194,1.094406
"y2_d072_XFE_RZQ",11,209509,-1.567395,52.6179,5.04333
"y2_d072_XFE_RZQ",11,209559,-1.148661,46.0197,4.98873
"y2_d072_XFE_RZQ",11,209609,-0.775065,39.4944,4.86306
"y2_d072_XFE_RZQ",11,209659,-0.44661,33.0414,4.66632
"y2_d072_XFE_RZQ",11,209709,-0.163296,26.66118,4.39854
"y2_d072_XFE_RZQ",11,209759,0.0748761,20.35359,4.05972
"y2_d072_XFE_RZQ",11,209809,0.2679075,14.1186,3.64983
"y2_d072_XFE_RZQ",11,209859,0.415797,7.95627,3.16887
"y2_d072_XFE_RZQ",11,209909,0.518547,1.86651,2.616864
"y2_d072_XFE_RZQ",11,209959,0.576156,-4.15059,1.993809
"y2_d072_XFE_RZQ",12,237659,-1.902567,56.1843,4.97712
"y2_d072_XFE_RZQ",12,237709,-1.539021,49.5711,5.01246
"y2_d072_XFE_RZQ",12,237759,-1.211592,43.0359,4.97751
"y2_d072_XFE_RZQ",12,237809,-0.920274,36.5787,4.87227
"y2_d072_XFE_RZQ",12,237859,-0.665067,30.1992,4.69674
"y2_d072_XFE_RZQ",12,237909,-0.445974,23.89725,4.45092
"y2_d072_XFE_RZQ",12,237959,-0.2629968,17.6733,4.13481
"y2_d072_XFE_RZQ",12,238009,-0.1161318,11.52711,3.74841
"y2_d072_XFE_RZQ",12,238059,-0.00538005,5.45877,3.29172
"y2_d072_XFE_RZQ",12,238109,0.0692583,-0.531807,2.764746
"y2_d072_XFE_RZQ",13,258659,-1.805478,53.7243,5.03148
"y2_d072_XFE_RZQ",13,258709,-1.562568,47.6682,4.96464
"y2_d072_XFE_RZQ",13,258759,-1.345683,41.6733,4.8318
"y2_d072_XFE_RZQ",13,258809,-1.154826,35.7393,4.63293
"y2_d072_XFE_RZQ",13,258859,-0.989997,29.86635,4.36803
"y2_d072_XFE_RZQ",13,258909,-0.851193,24.05421,4.03713
"y2_d072_XFE_RZQ",13,258959,-0.738417,18.30303,3.64023
"y2_d072_XFE_RZQ",13,259009,-0.651669,12.61278,3.17727
"y2_d072_XFE_RZQ",13,259059,-0.590946,6.98346,2.648316
"y2_d072_XFE_RZQ",13,259109,-0.556254,1.415094,2.053338
"y2_d072_XFE_RZQ",13,259159,-1.222938,7.10106,5.14479
"y2_d072_XFE_RZQ",13,259209,-1.838268,12.73128,8.71287
"y2_d072_XFE_RZQ",13,259259,-2.454399,18.30735,12.20427
"y2_d072_XFE_RZQ",13,259309,-3.07134,23.82924,15.61899
"y2_d072_XFE_RZQ",13,259359,-3.68904,29.29695,18.95703
"y2_d072_XFE_RZQ",13,259409,-4.30758,34.7106,22.21839
"y2_d072_XFE_RZQ",13,259459,-4.9269,40.0698,25.40307
"y2_d072_XFE_RZQ",13,259509,-5.54703,45.375,28.51104
"y2_d072_XFE_RZQ",13,259559,-6.16794,50.6262,31.5423
"y2_d072_XFE_RZQ",13,259609,-6.78966,55.8228,34.497
"y2_d072_XFE_RZQ",13,259659,-7.41219,60.9657,37.3749
"y2_d072_XFE_RZQ",13,259709,-8.0355,66.054,40.1763
"y2_d072_XFE_RZQ",13,259759,-8.65962,71.0883,42.9006
"y2_d072_XFE_RZQ",13,259809,-9.28452,76.0686,45.5487
"y2_d072_XFE_RZQ",13,259859,-9.91023,80.9943,48.1197
"y2_d072_XFE_RZQ",13,259909,-10.53672,85.8663,50.6145
"y2_d072_XFE_RZQ",13,259959,-11.16405,90.6837,53.0322
"y2_d072_XFE_RZQ",13,260009,-11.79213,95.4471,55.3734
"y2_d072_XFE_RZQ",13,260059,-12.42105,100.1565,57.6378
"y2_d072_XFE_RZQ",13,260109,-13.05075,104.8116,59.8257
"y2_d072_XFE_RZQ",13,260159,-13.68123,109.4124,61.9368
"y2_d072_XFE_RZQ",13,260209,-14.31255,113.9592,63.9711
"y2_d072_XFE_RZQ",13,260259,-14.94462,118.4517,65.9289
"y2_d072_XFE_RZQ",13,260309,-15.57753,122.8899,67.8099
"y2_d072_XFE_RZQ",13,260359,-16.21122,127.2741,69.6144
"y2_d072_XFE_RZQ",13,260409,-16.84569,131.6043,71.3418
"y2_d072_XFE_RZQ",13,260459,-17.481,135.8802,72.993
"y2_d072_XFE_RZQ",13,260509,-18.11706,140.1018,74.5674
"y2_d072_XFE_RZQ",13,260559,-18.75396,144.2691,76.065
"y2_d072_XFE_RZQ",13,260609,-19.39164,148.3824,77.4858
"y2_d072_XFE_RZQ",13,260659,-20.03013,152.4417,78.8301
"y2_d072_XFE_RZQ",13,260709,-20.6694,156.4467,80.0976
"y2_d072_XFE_RZQ",13,260759,-21.30948,160.3974,81.2886
"y2_d072_XFE_RZQ",13,260809,-21.95034,164.2938,82.4028
"y2_d072_XFE_RZQ",13,260859,-22.59201,168.1362,83.4402
"y2_d072_XFE_RZQ",13,260909,-23.23449,171.9246,84.4011
"y2_d072_XFE_RZQ",13,260959,-23.87775,175.6587,85.2852
"y2_d072_XFE_RZQ",13,261009,-24.52182,179.3385,86.0928
"y2_d072_XFE_RZQ",13,261059,-25.1667,182.9643,86.8236
"y2_d072_XFE_RZQ",13,261109,-25.81236,186.5358,87.4776
