"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d039_XLB_RZQ",1,5699915,-1.776234,55.9422,5.27643
"y2_d039_XLB_RZQ",1,5699965,-1.539795,49.7646,5.29734
"y2_d039_XLB_RZQ",1,5700015,-1.305375,43.6623,5.23836
"y2_d039_XLB_RZQ",1,5700065,-1.072977,37.6356,5.09946
"y2_d039_XLB_RZQ",1,5700115,-0.842598,31.6839,4.88064
"y2_d039_XLB_RZQ",1,5700165,-0.614241,25.80768,4.58193
"y2_d039_XLB_RZQ",1,5700215,-0.387906,20.00679,4.2033
"y2_d039_XLB_RZQ",1,5700265,-0.1635933,14.28123,3.74475
"y2_d039_XLB_RZQ",1,5700315,0.058701,8.63097,3.20631
"y2_d039_XLB_RZQ",1,5700365,0.278973,3.05607,2.587941
"y2_d039_XLB_RZQ",1,5700415,1.19964,5.21931,7.6512
"y2_d039_XLB_RZQ",1,5700465,2.241324,8.61606,13.47885
"y2_d039_XLB_RZQ",1,5700515,3.26151,11.97738,19.16772
"y2_d039_XLB_RZQ",1,5700565,4.26048,15.30363,24.71892
"y2_d039_XLB_RZQ",1,5700615,5.23851,18.59508,30.1335
"y2_d039_XLB_RZQ",1,5700665,6.1959,21.85197,35.4126
"y2_d039_XLB_RZQ",1,5700715,7.13289,25.07466,40.557
"y2_d039_XLB_RZQ",1,5700765,8.04978,28.26339,45.5685
"y2_d039_XLB_RZQ",1,5700815,8.94684,31.4184,50.4474
"y2_d039_XLB_RZQ",1,5700865,9.82437,34.5402,55.1952
"y2_d039_XLB_RZQ",1,5700915,10.68261,37.629,59.8131
"y2_d039_XLB_RZQ",1,5700965,11.52189,40.6848,64.302
"y2_d039_XLB_RZQ",1,5701015,12.34242,43.7082,68.6628
"y2_d039_XLB_RZQ",1,5701065,13.14456,46.6992,72.897
"y2_d039_XLB_RZQ",1,5701115,13.92855,49.6587,77.0052
"y2_d039_XLB_RZQ",1,5701165,14.69463,52.5861,80.9892
"y2_d039_XLB_RZQ",1,5701215,15.44316,55.4826,84.8493
"y2_d039_XLB_RZQ",1,5701265,16.17435,58.3479,88.587
"y2_d039_XLB_RZQ",1,5701315,16.8885,61.1823,92.2035
"y2_d039_XLB_RZQ",1,5701365,17.58588,63.9864,95.6997
"y2_d039_XLB_RZQ",1,5701415,18.26682,66.7602,99.0768
"y2_d039_XLB_RZQ",1,5701465,18.93153,69.5043,102.3357
"y2_d039_XLB_RZQ",1,5701515,19.58031,72.2187,105.4776
"y2_d039_XLB_RZQ",1,5701565,20.21349,74.9037,108.5034
"y2_d039_XLB_RZQ",1,5701615,20.83125,77.5599,111.4146
"y2_d039_XLB_RZQ",1,5701665,21.43395,80.1873,114.2121
"y2_d039_XLB_RZQ",1,5701715,22.02186,82.7862,116.8968
"y2_d039_XLB_RZQ",1,5701765,22.59522,85.3569,119.4702
"y2_d039_XLB_RZQ",1,5701815,23.15433,87.9,121.9329
"y2_d039_XLB_RZQ",1,5701865,23.69949,90.4155,124.2864
"y2_d039_XLB_RZQ",1,5701915,24.23094,92.9034,126.5316
"y2_d039_XLB_RZQ",1,5701965,24.74898,95.3646,128.6694
"y2_d039_XLB_RZQ",1,5702015,25.25388,97.7991,130.7013
"y2_d039_XLB_RZQ",1,5702065,25.74591,100.2072,132.6282
"y2_d039_XLB_RZQ",1,5702115,26.22537,102.5889,134.451
"y2_d039_XLB_RZQ",1,5702165,26.69256,104.9451,136.1712
"y2_d039_XLB_RZQ",1,5702215,27.14769,107.2755,137.7894
"y2_d039_XLB_RZQ",1,5702265,27.59109,109.581,139.3071
"y2_d039_XLB_RZQ",1,5702315,28.02306,111.8613,140.7252
"y2_d039_XLB_RZQ",1,5702365,28.44381,114.117,142.0449
"y2_d039_XLB_RZQ",1,5702415,28.85364,116.3481,143.2671
"y2_d039_XLB_RZQ",1,5702465,29.25288,118.5555,144.393
"y2_d039_XLB_RZQ",1,5702515,29.64174,120.7389,145.4238
"y2_d039_XLB_RZQ",1,5702565,30.0207,122.8989,146.3604
"y2_d039_XLB_RZQ",1,5702615,30.3897,125.0355,147.204
"y2_d039_XLB_RZQ",1,5702665,30.7491,127.1493,147.9558
"y2_d039_XLB_RZQ",1,5702715,31.0992,129.2406,148.6164
"y2_d039_XLB_RZQ",1,5702765,31.4406,131.3094,149.1876
"y2_d039_XLB_RZQ",1,5702815,31.7733,133.356,149.67
"y2_d039_XLB_RZQ",1,5702865,32.0976,135.381,150.0648
"y2_d039_XLB_RZQ",1,5702915,32.4138,137.3844,150.3729
"y2_d039_XLB_RZQ",1,5702965,32.7219,139.3668,150.5958
"y2_d039_XLB_RZQ",1,5703015,33.0228,141.3282,150.7344
"y2_d039_XLB_RZQ",1,5703065,33.3162,143.2689,150.7899
"y2_d039_XLB_RZQ",1,5703115,33.6024,145.1895,150.7632
"y2_d039_XLB_RZQ",1,5703165,33.8823,147.09,150.6552
"y2_d039_XLB_RZQ",1,5703215,34.1556,148.9707,150.4674
"y2_d039_XLB_RZQ",1,5703265,34.4226,150.8319,150.201
"y2_d039_XLB_RZQ",1,5703315,34.6839,152.6742,149.8566
