"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d081_YJD_RZQ",1,55636,-1.023486,56.2977,6.14016
"y2_d081_YJD_RZQ",1,55686,-0.875376,50.0247,5.95722
"y2_d081_YJD_RZQ",1,55736,-0.74151,43.7643,5.71089
"y2_d081_YJD_RZQ",1,55786,-0.621882,37.5165,5.4012
"y2_d081_YJD_RZQ",1,55836,-0.516495,31.2813,5.02812
"y2_d081_YJD_RZQ",1,55886,-0.425352,25.05849,4.59165
"y2_d081_YJD_RZQ",1,55936,-0.348447,18.84831,4.09182
"y2_d081_YJD_RZQ",1,55986,-0.2857848,12.65067,3.52857
"y2_d081_YJD_RZQ",1,56036,-0.2373627,6.46557,2.901981
"y2_d081_YJD_RZQ",1,56086,-0.2031816,0.2930694,2.211999
"y2_d081_YJD_RZQ",3,87386,-1.558491,56.9325,6.43872
"y2_d081_YJD_RZQ",3,87436,-1.130376,50.217,6.38544
"y2_d081_YJD_RZQ",3,87486,-0.734622,43.578,6.29847
"y2_d081_YJD_RZQ",3,87536,-0.371229,37.0158,6.17784
"y2_d081_YJD_RZQ",3,87586,-0.0401961,30.5301,6.02349
"y2_d081_YJD_RZQ",3,87636,0.2584755,24.12114,5.83545
"y2_d081_YJD_RZQ",3,87686,0.524787,17.78877,5.61372
"y2_d081_YJD_RZQ",3,87736,0.758736,11.53302,5.3583
"y2_d081_YJD_RZQ",3,87786,0.960327,5.35389,5.06919
"y2_d081_YJD_RZQ",3,87836,1.129557,-0.748602,4.74639
"y2_d081_YJD_RZQ",3,87886,1.266423,-6.77445,4.3899
"y2_d081_YJD_RZQ",4,103536,-1.227789,57.5895,6.57672
"y2_d081_YJD_RZQ",4,103586,-1.02726,50.8116,6.2508
"y2_d081_YJD_RZQ",4,103636,-0.850839,44.1066,5.89962
"y2_d081_YJD_RZQ",4,103686,-0.698532,37.4748,5.52315
"y2_d081_YJD_RZQ",4,103736,-0.570336,30.9162,5.12145
"y2_d081_YJD_RZQ",4,103786,-0.466251,24.43047,4.69443
"y2_d081_YJD_RZQ",4,103836,-0.38628,18.01785,4.24218
"y2_d081_YJD_RZQ",4,103886,-0.330417,11.67834,3.76461
"y2_d081_YJD_RZQ",4,103936,-0.2986689,5.41188,3.26181
"y2_d081_YJD_RZQ",4,103986,-0.2910312,-0.781533,2.733717
"y2_d081_YJD_RZQ",5,120586,-1.247637,52.4076,6.35739
"y2_d081_YJD_RZQ",5,120636,-1.123884,46.3149,6.28488
"y2_d081_YJD_RZQ",5,120686,-0.991932,40.2759,6.13995
"y2_d081_YJD_RZQ",5,120736,-0.851781,34.2903,5.92263
"y2_d081_YJD_RZQ",5,120786,-0.703431,28.35831,5.63289
"y2_d081_YJD_RZQ",5,120836,-0.546882,22.47975,5.27073
"y2_d081_YJD_RZQ",5,120886,-0.382134,16.65471,4.83618
"y2_d081_YJD_RZQ",5,120936,-0.2091879,10.88319,4.32924
"y2_d081_YJD_RZQ",5,120986,-0.02804205,5.16513,3.74988
"y2_d081_YJD_RZQ",5,121036,0.1613037,-0.499416,3.0981
"y2_d081_YJD_RZQ",6,143136,-1.396845,56.3592,6.3384
"y2_d081_YJD_RZQ",6,143186,-1.019304,49.6284,6.09096
"y2_d081_YJD_RZQ",6,143236,-0.705186,42.9792,5.80452
"y2_d081_YJD_RZQ",6,143286,-0.454488,36.4116,5.47908
"y2_d081_YJD_RZQ",6,143336,-0.2672169,29.9259,5.11464
"y2_d081_YJD_RZQ",6,143386,-0.1433685,23.52195,4.7112
"y2_d081_YJD_RZQ",6,143436,-0.0829431,17.19972,4.26873
"y2_d081_YJD_RZQ",6,143486,-0.085941,10.95921,3.78729
"y2_d081_YJD_RZQ",6,143536,-0.1523625,4.80042,3.26682
"y2_d081_YJD_RZQ",7,167886,-1.21137,55.038,6.44364
"y2_d081_YJD_RZQ",7,167936,-0.990345,49.2879,6.1854
"y2_d081_YJD_RZQ",7,167986,-0.792105,43.5921,5.85546
"y2_d081_YJD_RZQ",7,168036,-0.616647,37.9506,5.45388
"y2_d081_YJD_RZQ",7,168086,-0.463974,32.364,4.98063
"y2_d081_YJD_RZQ",7,168136,-0.334083,26.83158,4.43574
"y2_d081_YJD_RZQ",7,168186,-0.2269773,21.35376,3.81915
"y2_d081_YJD_RZQ",7,168236,-0.1426551,15.93045,3.13092
"y2_d081_YJD_RZQ",7,168286,-0.0811164,10.56159,2.37102
