"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d026_YUH_RZQ",1,57042,-0.892797,52.2576,5.24028
"y2_d026_YUH_RZQ",1,57092,-0.794304,45.5331,4.89138
"y2_d026_YUH_RZQ",1,57142,-0.713427,38.8926,4.5138
"y2_d026_YUH_RZQ",1,57192,-0.650169,32.3361,4.10754
"y2_d026_YUH_RZQ",1,57242,-0.604524,25.86384,3.67257
"y2_d026_YUH_RZQ",1,57292,-0.576498,19.4757,3.20895
"y2_d026_YUH_RZQ",1,57342,-0.566085,13.17168,2.716638
"y2_d026_YUH_RZQ",1,57392,-0.573291,6.95178,2.19564
"y2_d026_YUH_RZQ",1,57442,-0.59811,0.816036,1.645965
"y2_d026_YUH_RZQ",1,57492,-0.640548,-5.2356,1.067604
"y2_d026_YUH_RZQ",2,72942,-0.740046,53.8389,5.26995
"y2_d026_YUH_RZQ",2,72992,-0.584691,47.7843,5.20605
"y2_d026_YUH_RZQ",2,73042,-0.447516,41.8002,5.08473
"y2_d026_YUH_RZQ",2,73092,-0.328515,35.886,4.90599
"y2_d026_YUH_RZQ",2,73142,-0.2276937,30.0423,4.6698
"y2_d026_YUH_RZQ",2,73192,-0.14505,24.2685,4.37622
"y2_d026_YUH_RZQ",2,73242,-0.0805836,18.56499,4.02525
"y2_d026_YUH_RZQ",2,73292,-0.0342945,12.93165,3.61683
"y2_d026_YUH_RZQ",2,73342,-0.00618294,7.36848,3.15099
"y2_d026_YUH_RZQ",2,73392,0.00375104999999999,1.875519,2.627736
"y2_d026_YUH_RZQ",3,96242,-1.010613,54.6024,5.36361
"y2_d026_YUH_RZQ",3,96292,-0.962904,48.555,5.2653
"y2_d026_YUH_RZQ",3,96342,-0.942477,42.5571,5.10879
"y2_d026_YUH_RZQ",3,96392,-0.949338,36.609,4.89408
"y2_d026_YUH_RZQ",3,96442,-0.983481,30.7101,4.62114
"y2_d026_YUH_RZQ",3,96492,-1.044909,24.86082,4.28997
"y2_d026_YUH_RZQ",3,96542,-1.133622,19.06104,3.9006
"y2_d026_YUH_RZQ",3,96592,-1.24962,13.31076,3.453
"y2_d026_YUH_RZQ",3,96642,-1.3929,7.61001,2.947173
"y2_d026_YUH_RZQ",3,96692,-1.563468,1.958772,2.38314
"y2_d026_YUH_RZQ",3,96742,-1.761318,-3.64296,1.760886
"y2_d026_YUH_RZQ",4,112592,-0.466788,54.9243,5.50464
"y2_d026_YUH_RZQ",4,112642,-0.316566,48.2079,5.31948
"y2_d026_YUH_RZQ",4,112692,-0.1794252,41.5482,5.10192
"y2_d026_YUH_RZQ",4,112742,-0.0553671,34.9449,4.8519
"y2_d026_YUH_RZQ",4,112792,0.0556086,28.39797,4.56942
"y2_d026_YUH_RZQ",4,112842,0.1535022,21.90738,4.25454
"y2_d026_YUH_RZQ",4,112892,0.2383128,15.47322,3.9072
"y2_d026_YUH_RZQ",4,112942,0.310041,9.09546,3.52743
"y2_d026_YUH_RZQ",4,112992,0.368688,2.774088,3.1152
"y2_d026_YUH_RZQ",4,113042,0.414252,-3.49089,2.670555
"y2_d026_YUH_RZQ",5,141292,-0.47091,53.8908,5.29377
"y2_d026_YUH_RZQ",5,141342,-0.1611549,47.0223,5.04789
"y2_d026_YUH_RZQ",5,141392,0.1206447,40.2375,4.75002
"y2_d026_YUH_RZQ",5,141442,0.37449,33.5373,4.40013
"y2_d026_YUH_RZQ",5,141492,0.600381,26.92086,3.99822
"y2_d026_YUH_RZQ",5,141542,0.798315,20.38863,3.54432
"y2_d026_YUH_RZQ",5,141592,0.968298,13.94052,3.03837
"y2_d026_YUH_RZQ",5,141642,1.110327,7.57653,2.4804
"y2_d026_YUH_RZQ",5,141692,1.224399,1.296669,1.870422
"y2_d026_YUH_RZQ",5,141742,1.310517,-4.89909,1.208424
"y2_d026_YUH_RZQ",6,154592,-0.648336,55.6233,5.3385
"y2_d026_YUH_RZQ",6,154642,-0.456699,49.5204,5.2296
"y2_d026_YUH_RZQ",6,154692,-0.2587128,43.4697,5.03739
"y2_d026_YUH_RZQ",6,154742,-0.0543792,37.4715,4.76187
"y2_d026_YUH_RZQ",6,154792,0.1563024,31.5255,4.40304
"y2_d026_YUH_RZQ",6,154842,0.373332,25.63185,3.96093
"y2_d026_YUH_RZQ",6,154892,0.596712,19.79049,3.43551
"y2_d026_YUH_RZQ",6,154942,0.826437,14.00145,2.826792
"y2_d026_YUH_RZQ",6,154992,1.06251,8.2647,2.134776
"y2_d026_YUH_RZQ",6,155042,1.304931,2.580237,1.359465
"y2_d026_YUH_RZQ",6,155092,1.553703,-3.05193,0.500847
"y2_d026_YUH_RZQ",7,168742,-0.490635,54.9672,5.37333
"y2_d026_YUH_RZQ",7,168792,-0.1396095,48.2256,5.12022
"y2_d026_YUH_RZQ",7,168842,0.1959336,41.5401,4.83435
"y2_d026_YUH_RZQ",7,168892,0.515991,34.9107,4.51572
"y2_d026_YUH_RZQ",7,168942,0.820566,28.33761,4.16433
"y2_d026_YUH_RZQ",7,168992,1.109655,21.82074,3.78015
"y2_d026_YUH_RZQ",7,169042,1.383264,15.36006,3.36318
"y2_d026_YUH_RZQ",7,169092,1.641387,8.95554,2.913462
"y2_d026_YUH_RZQ",7,169142,1.884027,2.6073,2.430966
"y2_d026_YUH_RZQ",7,169192,2.111184,-3.68475,1.915695
"y2_d026_YUH_RZQ",8,184442,-0.482007,53.4789,5.21412
"y2_d026_YUH_RZQ",8,184492,-0.2979801,46.7673,4.89768
"y2_d026_YUH_RZQ",8,184542,-0.123336,40.1301,4.55142
"y2_d026_YUH_RZQ",8,184592,0.0419268,33.5667,4.17537
"y2_d026_YUH_RZQ",8,184642,0.1978065,27.07752,3.76953
"y2_d026_YUH_RZQ",8,184692,0.344304,20.66253,3.3339
"y2_d026_YUH_RZQ",8,184742,0.481419,14.3217,2.868462
"y2_d026_YUH_RZQ",8,184792,0.60915,8.055,2.373243
"y2_d026_YUH_RZQ",8,184842,0.7275,1.862436,1.848228
"y2_d026_YUH_RZQ",8,184892,0.836469,-4.25595,1.293423
"y2_d026_YUH_RZQ",9,196292,-0.597348,52.9722,5.26044
"y2_d026_YUH_RZQ",9,196342,-0.395373,46.3146,5.05773
"y2_d026_YUH_RZQ",9,196392,-0.2055906,39.7203,4.82904
"y2_d026_YUH_RZQ",9,196442,-0.02799948,33.1896,4.57437
"y2_d026_YUH_RZQ",9,196492,0.1374003,26.72235,4.29369
"y2_d026_YUH_RZQ",9,196542,0.2906088,20.31864,3.98703
"y2_d026_YUH_RZQ",9,196592,0.431628,13.97838,3.65439
"y2_d026_YUH_RZQ",9,196642,0.560451,7.70166,3.29574
"y2_d026_YUH_RZQ",9,196692,0.677088,1.488456,2.911131
"y2_d026_YUH_RZQ",10,215242,-0.436875,55.1649,5.40777
"y2_d026_YUH_RZQ",10,215292,-0.492153,48.4215,5.06598
"y2_d026_YUH_RZQ",10,215342,-0.549594,41.7495,4.70142
"y2_d026_YUH_RZQ",10,215392,-0.609195,35.1489,4.31412
"y2_d026_YUH_RZQ",10,215442,-0.670962,28.61976,3.90405
"y2_d026_YUH_RZQ",10,215492,-0.734889,22.16199,3.47124
"y2_d026_YUH_RZQ",10,215542,-0.800979,15.77565,3.01566
"y2_d026_YUH_RZQ",10,215592,-0.869235,9.46071,2.537325
"y2_d026_YUH_RZQ",10,215642,-0.939651,3.21717,2.036247
"y2_d026_YUH_RZQ",10,215692,-1.012227,-2.954916,1.512414
"y2_d026_YUH_RZQ",11,248992,-0.623529,54.7656,5.50491
"y2_d026_YUH_RZQ",11,249042,-0.470364,48.9993,5.50497
"y2_d026_YUH_RZQ",11,249092,-0.33459,43.2795,5.46192
"y2_d026_YUH_RZQ",11,249142,-0.2162094,37.6062,5.37576
"y2_d026_YUH_RZQ",11,249192,-0.1152183,31.9797,5.24649
"y2_d026_YUH_RZQ",11,249242,-0.0316182,26.39955,5.07408
"y2_d026_YUH_RZQ",11,249292,0.0345909,20.86614,4.85856
"y2_d026_YUH_RZQ",11,249342,0.0834093,15.37929,4.5999
"y2_d026_YUH_RZQ",11,249392,0.1148364,9.93912,4.29813
"y2_d026_YUH_RZQ",11,249442,0.1288725,4.54551,3.95325
"y2_d026_YUH_RZQ",11,249492,0.1255176,-0.801465,3.56526
"y2_d026_YUH_RZQ",11,249542,0.104772,-6.10185,3.13416
"y2_d026_YUH_RZQ",12,270042,-0.396816,56.8881,5.49408
"y2_d026_YUH_RZQ",12,270092,-0.458484,50.1813,5.18445
"y2_d026_YUH_RZQ",12,270142,-0.522462,43.5336,4.85313
"y2_d026_YUH_RZQ",12,270192,-0.58875,36.9456,4.50012
"y2_d026_YUH_RZQ",12,270242,-0.657345,30.4164,4.12539
"y2_d026_YUH_RZQ",12,270292,-0.72825,23.9469,3.72894
"y2_d026_YUH_RZQ",12,270342,-0.801465,17.53653,3.31083
"y2_d026_YUH_RZQ",12,270392,-0.87699,11.18553,2.870988
"y2_d026_YUH_RZQ",12,270442,-0.954825,4.89381,2.409453
"y2_d026_YUH_RZQ",12,270492,-1.034967,-1.338579,1.926219
"y2_d026_YUH_RZQ",12,270542,-1.117422,-7.51167,1.42128
"y2_d026_YUH_RZQ",13,292492,-0.402033,55.3332,5.50602
"y2_d026_YUH_RZQ",13,292542,-0.391686,48.6267,5.00316
