"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d024_ALA_YJD",1,6497,1.619574,54.8961,5.69844
"y2_d024_ALA_YJD",1,6547,1.289334,48.144,5.23929
"y2_d024_ALA_YJD",1,6597,1.014558,41.4819,4.74012
"y2_d024_ALA_YJD",1,6647,0.795246,34.9101,4.2009
"y2_d024_ALA_YJD",1,6697,0.631404,28.42875,3.6216
"y2_d024_ALA_YJD",1,6747,0.523026,22.03746,3.00225
"y2_d024_ALA_YJD",1,6797,0.470115,15.73641,2.342832
"y2_d024_ALA_YJD",1,6847,0.472668,9.5256,1.64337
"y2_d024_ALA_YJD",1,6897,0.530691,3.405,0.903852
"y2_d024_ALA_YJD",1,6947,0.644178,-2.625357,0.1242783
"y2_d024_ALA_YJD",2,21697,1.335411,52.6011,5.57583
"y2_d024_ALA_YJD",2,21747,1.101843,45.8562,5.55747
"y2_d024_ALA_YJD",2,21797,0.875037,39.1815,5.50008
"y2_d024_ALA_YJD",2,21847,0.654993,32.5776,5.4036
"y2_d024_ALA_YJD",2,21897,0.441708,26.04387,5.26806
"y2_d024_ALA_YJD",2,21947,0.2351823,19.5807,5.09346
"y2_d024_ALA_YJD",2,21997,0.0354174,13.18791,4.8798
"y2_d024_ALA_YJD",2,22047,-0.1575864,6.86559,4.62708
"y2_d024_ALA_YJD",2,22097,-0.34383,0.613692,4.33527
"y2_d024_ALA_YJD",2,22147,-0.523311,-5.56776,4.00443
"y2_d024_ALA_YJD",3,36647,1.199616,54.6114,5.55891
"y2_d024_ALA_YJD",3,36697,0.874701,47.8734,5.32491
"y2_d024_ALA_YJD",3,36747,0.548304,41.2023,5.06085
"y2_d024_ALA_YJD",3,36797,0.2204241,34.5987,4.76676
"y2_d024_ALA_YJD",3,36847,-0.1089366,28.06254,4.44264
"y2_d024_ALA_YJD",3,36897,-0.439779,21.5937,4.08846
"y2_d024_ALA_YJD",3,36947,-0.772104,15.19221,3.70428
"y2_d024_ALA_YJD",3,36997,-1.105911,8.85804,3.29004
"y2_d024_ALA_YJD",3,37047,-1.441197,2.591274,2.845746
"y2_d024_ALA_YJD",3,37097,-1.777968,-3.60813,2.371428
"y2_d024_ALA_YJD",4,53247,1.205097,55.3827,5.25228
"y2_d024_ALA_YJD",4,53297,0.909069,48.81,5.25192
"y2_d024_ALA_YJD",4,53347,0.612465,42.2715,5.18973
"y2_d024_ALA_YJD",4,53397,0.315285,35.7672,5.06577
"y2_d024_ALA_YJD",4,53447,0.01752495,29.29707,4.87998
"y2_d024_ALA_YJD",4,53497,-0.2808126,22.86105,4.63242
"y2_d024_ALA_YJD",4,53547,-0.579726,16.45923,4.32303
"y2_d024_ALA_YJD",4,53597,-0.879216,10.09155,3.95184
"y2_d024_ALA_YJD",4,53647,-1.179285,3.75804,3.51885
