"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d030_CMS_YJD",1,15231,-3.17967,56.2365,5.63508
"y1_d030_CMS_YJD",1,15264,-2.728941,51.6219,5.37876
"y1_d030_CMS_YJD",1,15297,-2.290068,47.0607,5.10432
"y1_d030_CMS_YJD",1,15330,-1.863051,42.5538,4.81182
"y1_d030_CMS_YJD",1,15363,-1.447884,38.1006,4.5012
"y1_d030_CMS_YJD",1,15396,-1.044573,33.7011,4.17246
"y1_d030_CMS_YJD",1,15429,-0.653115,29.35566,3.82563
"y1_d030_CMS_YJD",1,15462,-0.2735127,25.06398,3.46068
"y1_d030_CMS_YJD",1,15495,0.0942363,20.82615,3.07767
"y1_d030_CMS_YJD",1,15528,0.450132,16.64217,2.676513
"y1_d030_CMS_YJD",1,15561,0.794172,12.51201,2.257269
"y1_d030_CMS_YJD",1,15594,1.126359,8.43573,1.819923
"y1_d030_CMS_YJD",1,15627,1.446693,4.4133,1.364472
"y1_d030_CMS_YJD",1,15660,1.755174,0.444663,0.890913
"y1_d030_CMS_YJD",1,15693,2.051796,-3.4701,0.399255
"y1_d030_CMS_YJD",2,25527,-3.1215,56.8854,4.96878
"y1_d030_CMS_YJD",2,25560,-2.890332,52.4163,5.00418
"y1_d030_CMS_YJD",2,25593,-2.64468,48.0024,4.97784
"y1_d030_CMS_YJD",2,25626,-2.384559,43.6431,4.88976
"y1_d030_CMS_YJD",2,25659,-2.109972,39.339,4.73994
"y1_d030_CMS_YJD",2,25692,-1.820916,35.0901,4.52835
"y1_d030_CMS_YJD",2,25725,-1.517391,30.8961,4.25505
"y1_d030_CMS_YJD",2,25758,-1.1994,26.75685,3.91998
"y1_d030_CMS_YJD",2,25791,-0.866937,22.67277,3.52314
"y1_d030_CMS_YJD",2,25824,-0.520008,18.64368,3.06459
"y1_d030_CMS_YJD",2,25857,-0.1586115,14.66958,2.54427
"y1_d030_CMS_YJD",2,25890,0.2172543,10.75047,1.96221
"y1_d030_CMS_YJD",2,25923,0.607587,6.88638,1.318401
"y1_d030_CMS_YJD",2,25956,1.012392,3.07728,0.612846
"y1_d030_CMS_YJD",2,25989,-1.298448,6.46965,4.18851
"y1_d030_CMS_YJD",2,26022,-2.57661,11.32551,6.75672
"y1_d030_CMS_YJD",2,26055,-3.84927,16.14837,9.28944
"y1_d030_CMS_YJD",2,26088,-5.11641,20.9382,11.78667
"y1_d030_CMS_YJD",2,26121,-6.37806,25.695,14.24844
"y1_d030_CMS_YJD",2,26154,-7.63422,30.4188,16.67472
"y1_d030_CMS_YJD",2,26187,-8.88483,35.1096,19.06551
"y1_d030_CMS_YJD",2,26220,-10.12995,39.7671,21.42081
"y1_d030_CMS_YJD",2,26253,-11.36958,44.3919,23.74065
"y1_d030_CMS_YJD",2,26286,-12.60369,48.9834,26.025
"y1_d030_CMS_YJD",2,26319,-13.83231,53.5422,28.27386
"y1_d030_CMS_YJD",2,26352,-15.05541,58.0677,30.4872
"y1_d030_CMS_YJD",2,26385,-16.27299,62.5602,32.6652
"y1_d030_CMS_YJD",2,26418,-17.48508,67.0197,34.8075
"y1_d030_CMS_YJD",2,26451,-18.69168,71.4462,36.9144
"y1_d030_CMS_YJD",2,26484,-19.89273,75.8397,38.9859
"y1_d030_CMS_YJD",2,26517,-21.08832,80.2002,41.022
"y1_d030_CMS_YJD",2,26550,-22.27836,84.5277,43.0224
"y1_d030_CMS_YJD",2,26583,-23.46291,88.8219,44.9874
"y1_d030_CMS_YJD",2,26616,-24.64197,93.0834,46.917
"y1_d030_CMS_YJD",2,26649,-25.81551,97.3116,48.8109
"y1_d030_CMS_YJD",2,26682,-26.98356,101.5071,50.6697
"y1_d030_CMS_YJD",2,26715,-28.14609,105.6693,52.4928
"y1_d030_CMS_YJD",2,26748,-29.3031,109.7985,54.2802
"y1_d030_CMS_YJD",2,26781,-30.4545,113.8947,56.0325
"y1_d030_CMS_YJD",2,26814,-31.6005,117.9579,57.7491
"y1_d030_CMS_YJD",2,26847,-32.7411,121.9881,59.4303
"y1_d030_CMS_YJD",2,26880,-33.876,125.985,61.0758
"y1_d030_CMS_YJD",2,26913,-35.0055,129.9492,62.6862
"y1_d030_CMS_YJD",2,26946,-36.1296,133.8801,64.2609
"y1_d030_CMS_YJD",2,26979,-37.248,137.7783,65.8002
"y1_d030_CMS_YJD",2,27012,-38.361,141.6432,67.3038
"y1_d030_CMS_YJD",2,27045,-39.4686,145.4751,68.772
"y1_d030_CMS_YJD",2,27078,-40.5705,149.274,70.2048
"y1_d030_CMS_YJD",2,27111,-41.667,153.0399,71.6022
"y1_d030_CMS_YJD",2,27144,-42.7578,156.7728,72.9639
"y1_d030_CMS_YJD",2,27177,-43.8432,160.4727,74.2905
"y1_d030_CMS_YJD",2,27210,-44.9232,164.1396,75.5811
"y1_d030_CMS_YJD",2,27243,-45.9978,167.7735,76.8366
"y1_d030_CMS_YJD",2,27276,-47.0667,171.3741,78.0564
"y1_d030_CMS_YJD",2,27309,-48.1299,174.9417,79.2408
"y1_d030_CMS_YJD",2,27342,-49.188,178.4766,80.3898
"y1_d030_CMS_YJD",2,27375,-50.2404,181.9782,81.5034
"y1_d030_CMS_YJD",2,27408,-51.2871,185.4468,82.5813
"y1_d030_CMS_YJD",2,27441,-52.3287,188.8824,83.6238
"y1_d030_CMS_YJD",2,27474,-53.3646,192.285,84.6309
"y1_d030_CMS_YJD",2,27507,-54.3948,195.6546,85.6023
"y1_d030_CMS_YJD",2,27540,-55.4196,198.9912,86.5383
"y1_d030_CMS_YJD",2,27573,-56.439,202.2945,87.4389
"y1_d030_CMS_YJD",2,27606,-57.453,205.5651,88.3041
"y1_d030_CMS_YJD",2,27639,-58.4613,208.8024,89.1336
"y1_d030_CMS_YJD",2,27672,-59.4642,212.007,89.9277
"y1_d030_CMS_YJD",2,27705,-60.4614,215.1783,90.6864
"y1_d030_CMS_YJD",2,27738,-61.4532,218.3166,91.4097
"y1_d030_CMS_YJD",2,27771,-62.4396,221.4219,92.0973
"y1_d030_CMS_YJD",2,27804,-63.4203,224.4942,92.7495
"y1_d030_CMS_YJD",2,27837,-64.3956,227.5335,93.3663
"y1_d030_CMS_YJD",2,27870,-65.3655,230.5395,93.9474
"y1_d030_CMS_YJD",2,27903,-66.3297,233.5128,94.4931
"y1_d030_CMS_YJD",2,27936,-67.2885,236.4531,95.0034
"y1_d030_CMS_YJD",2,27969,-68.2419,239.3601,95.4783
