game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y2_d071_DYE_YJD,1,51652,-1.471371,57.462,6.78426
y2_d071_DYE_YJD,1,51702,-1.2894,50.6442,6.52221
y2_d071_DYE_YJD,1,51752,-1.12851,43.8864,6.24666
y2_d071_DYE_YJD,1,51802,-0.988695,37.1895,5.95758
y2_d071_DYE_YJD,1,51852,-0.869958,30.5526,5.655
y2_d071_DYE_YJD,1,51902,-0.772296,23.97615,5.33892
y2_d071_DYE_YJD,1,51952,-0.695712,17.46012,5.00934
y2_d071_DYE_YJD,1,52002,-0.640206,11.00448,4.66623
y2_d071_DYE_YJD,1,52052,-0.605778,4.60923,4.30962
y2_d071_DYE_YJD,1,52102,-0.592425,-1.725675,3.93951
y2_d071_DYE_YJD,1,52152,-0.600153,-8.00016,3.55587
y2_d071_DYE_YJD,2,64502,-1.239153,55.6665,6.64734
y2_d071_DYE_YJD,2,64552,-0.99471,48.849,6.25125
y2_d071_DYE_YJD,2,64602,-0.795486,42.1194,5.82972
y2_d071_DYE_YJD,2,64652,-0.641487,35.4774,5.38275
y2_d071_DYE_YJD,2,64702,-0.53271,28.9233,4.91034
y2_d071_DYE_YJD,2,64752,-0.469155,22.45707,4.41249
y2_d071_DYE_YJD,2,64802,-0.450819,16.07868,3.88917
y2_d071_DYE_YJD,2,64852,-0.477705,9.7881,3.34041
y2_d071_DYE_YJD,2,64902,-0.549813,3.58539,2.766207
y2_d071_DYE_YJD,2,64952,-0.667143,-2.529498,2.166558
y2_d071_DYE_YJD,3,78402,-1.262187,55.4082,6.64977
y2_d071_DYE_YJD,3,78452,-1.089543,48.4569,6.26277
y2_d071_DYE_YJD,3,78502,-0.942522,41.5812,5.85429
y2_d071_DYE_YJD,3,78552,-0.821127,34.7811,5.4243
y2_d071_DYE_YJD,3,78602,-0.725355,28.05693,4.97283
y2_d071_DYE_YJD,3,78652,-0.655212,21.40848,4.49985
y2_d071_DYE_YJD,3,78702,-0.610692,14.83578,4.00536
y2_d071_DYE_YJD,3,78752,-0.591798,8.3388,3.48939
y2_d071_DYE_YJD,3,78802,-0.598527,1.9176,2.951934
