"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d073_DYE_YJD",1,17493,1.570089,53.5485,6.09411
"y2_d073_DYE_YJD",1,17526,1.448745,49.4319,5.91378
"y2_d073_DYE_YJD",1,17559,1.34406,45.3369,5.72559
"y2_d073_DYE_YJD",1,17592,1.256034,41.2641,5.52957
"y2_d073_DYE_YJD",1,17625,1.184664,37.2129,5.32572
"y2_d073_DYE_YJD",1,17658,1.12995,33.1839,5.11401
"y2_d073_DYE_YJD",1,17691,1.091895,29.17656,4.89447
"y2_d073_DYE_YJD",1,17724,1.070499,25.19124,4.6671
"y2_d073_DYE_YJD",1,17757,1.065759,21.22779,4.43187
"y2_d073_DYE_YJD",1,17790,1.077675,17.28624,4.18881
"y2_d073_DYE_YJD",1,17823,1.106247,13.36659,3.93792
"y2_d073_DYE_YJD",1,17856,1.151481,9.46884,3.67917
"y2_d073_DYE_YJD",1,17889,1.213368,5.59299,3.41259
"y2_d073_DYE_YJD",1,17922,1.291914,1.739049,3.13818
"y2_d073_DYE_YJD",2,33102,1.083423,55.8252,5.92152
"y2_d073_DYE_YJD",2,33135,0.969594,51.6432,5.91993
"y2_d073_DYE_YJD",2,33168,0.85584,47.4858,5.90277
"y2_d073_DYE_YJD",2,33201,0.742155,43.353,5.87001
"y2_d073_DYE_YJD",2,33234,0.628542,39.2448,5.82168
"y2_d073_DYE_YJD",2,33267,0.515001,35.1612,5.75772
"y2_d073_DYE_YJD",2,33300,0.401529,31.1025,5.67822
"y2_d073_DYE_YJD",2,33333,0.2881305,27.0681,5.58309
"y2_d073_DYE_YJD",2,33366,0.1748028,23.05845,5.47239
"y2_d073_DYE_YJD",2,33399,0.0615462,19.07337,5.34609
"y2_d073_DYE_YJD",2,33432,-0.051639,15.11295,5.20422
"y2_d073_DYE_YJD",2,33465,-0.1647528,11.17713,5.04675
"y2_d073_DYE_YJD",2,33498,-0.2777952,7.26591,4.87368
"y2_d073_DYE_YJD",2,33531,-0.390765,3.37932,4.68504
"y2_d073_DYE_YJD",2,33564,-0.503667,-0.482658,4.4808
"y2_d073_DYE_YJD",2,33597,-0.616494,-4.32003,4.26096
"y2_d073_DYE_YJD",3,48315,3.49842,56.8095,5.48898
"y2_d073_DYE_YJD",3,48348,3.17217,52.6296,5.33037
