"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d078_GAX_YJD",1,52468,-1.379445,54.1749,5.66709
"y1_d078_GAX_YJD",1,52518,-1.257864,47.6403,5.41674
"y1_d078_GAX_YJD",1,52568,-1.13679,41.169,5.11563
"y1_d078_GAX_YJD",1,52618,-1.016229,34.761,4.76373
"y1_d078_GAX_YJD",1,52668,-0.896178,28.41636,4.3611
"y1_d078_GAX_YJD",1,52718,-0.776634,22.13496,3.90771
"y1_d078_GAX_YJD",1,52768,-0.6576,15.91692,3.40356
"y1_d078_GAX_YJD",1,52818,-0.539079,9.76215,2.848638
"y1_d078_GAX_YJD",1,52868,-0.421065,3.67071,2.242965
"y1_d078_GAX_YJD",1,52918,-0.303564,-2.357418,1.586532
"y1_d078_GAX_YJD",2,66568,-1.711038,55.2081,5.95281
"y1_d078_GAX_YJD",2,66618,-1.630176,49.5219,5.8698
"y1_d078_GAX_YJD",2,66668,-1.543464,43.8813,5.70897
"y1_d078_GAX_YJD",2,66718,-1.450902,38.2863,5.47035
"y1_d078_GAX_YJD",2,66768,-1.35249,32.7372,5.15394
"y1_d078_GAX_YJD",2,66818,-1.248231,27.23376,4.75968
"y1_d078_GAX_YJD",2,66868,-1.138119,21.77607,4.28763
"y1_d078_GAX_YJD",2,66918,-1.022157,16.3641,3.73779
"y1_d078_GAX_YJD",2,66968,-0.900348,10.99782,3.1101
"y1_d078_GAX_YJD",2,67018,-0.772686,5.67729,2.404632
"y1_d078_GAX_YJD",2,67068,-0.639177,0.402489,1.621347
"y1_d078_GAX_YJD",3,91918,-1.72542,52.3908,5.70957
"y1_d078_GAX_YJD",3,91968,-1.592415,46.1301,5.74416
"y1_d078_GAX_YJD",3,92018,-1.47498,39.8697,5.71662
"y1_d078_GAX_YJD",3,92068,-1.373115,33.6102,5.62692
"y1_d078_GAX_YJD",3,92118,-1.286814,27.35088,5.47509
"y1_d078_GAX_YJD",3,92168,-1.216083,21.09225,5.26107
"y1_d078_GAX_YJD",3,92218,-1.160916,14.83413,4.98492
"y1_d078_GAX_YJD",3,92268,-1.121319,8.57661,4.64664
"y1_d078_GAX_YJD",3,92318,-1.097289,2.319618,4.24617
"y1_d078_GAX_YJD",3,92368,-1.088829,-3.93681,3.78357
"y1_d078_GAX_YJD",4,106418,-1.844916,57.0315,5.95605
"y1_d078_GAX_YJD",4,106468,-1.553436,51.399,5.68515
"y1_d078_GAX_YJD",4,106518,-1.248684,45.7905,5.33376
"y1_d078_GAX_YJD",4,106568,-0.930654,40.2063,4.90188
"y1_d078_GAX_YJD",4,106618,-0.599349,34.6464,4.38948
"y1_d078_GAX_YJD",4,106668,-0.2547684,29.11098,3.79659
"y1_d078_GAX_YJD",4,106718,0.1030899,23.59965,3.12318
"y1_d078_GAX_YJD",4,106768,0.474222,18.11268,2.36928
"y1_d078_GAX_YJD",4,106818,0.85863,12.64995,1.534875
"y1_d078_GAX_YJD",4,106868,1.256313,7.21152,0.619971
"y1_d078_GAX_YJD",4,106918,1.667274,1.797369,-0.375438
"y1_d078_GAX_YJD",4,106968,2.09151,-3.59253,-1.451352
"y1_d078_GAX_YJD",5,126818,-0.1226301,56.7027,4.92723
"y1_d078_GAX_YJD",5,126868,-0.434628,49.2912,4.88535
"y1_d078_GAX_YJD",5,126918,-0.771783,42,4.82382
"y1_d078_GAX_YJD",5,126968,-1.134093,34.8294,4.74258
"y1_d078_GAX_YJD",5,127018,-1.521555,27.7794,4.64163
"y1_d078_GAX_YJD",5,127068,-1.934172,20.84976,4.52103
"y1_d078_GAX_YJD",5,127118,-2.371944,14.04057,4.38072
"y1_d078_GAX_YJD",5,127168,-2.834868,7.35183,4.22073
"y1_d078_GAX_YJD",5,127218,-3.32295,0.783513,4.04106
"y1_d078_GAX_YJD",6,149868,-1.305249,51.6639,5.60733
"y1_d078_GAX_YJD",6,149918,-1.097685,45.0699,5.43486
"y1_d078_GAX_YJD",6,149968,-0.893403,38.5344,5.21193
"y1_d078_GAX_YJD",6,150018,-0.692403,32.0577,4.93857
"y1_d078_GAX_YJD",6,150068,-0.494685,25.64007,4.61478
"y1_d078_GAX_YJD",6,150118,-0.300246,19.28103,4.24056
"y1_d078_GAX_YJD",6,150168,-0.1090878,12.98079,3.81588
"y1_d078_GAX_YJD",6,150218,0.0787902,6.73926,3.34077
"y1_d078_GAX_YJD",6,150268,0.2633865,0.556554,2.815236
"y1_d078_GAX_YJD",6,150318,-0.0455382,5.1,7.49943
"y1_d078_GAX_YJD",6,150368,-0.0633549,8.69223,13.29735
"y1_d078_GAX_YJD",6,150418,-0.0921231,12.24171,18.94668
"y1_d078_GAX_YJD",6,150468,-0.1316751,15.74877,24.44877
"y1_d078_GAX_YJD",6,150518,-0.1818432,19.21365,29.80479
"y1_d078_GAX_YJD",6,150568,-0.2424597,22.63665,35.016
"y1_d078_GAX_YJD",6,150618,-0.313356,26.0181,40.0839
"y1_d078_GAX_YJD",6,150668,-0.394368,29.35821,45.0099
"y1_d078_GAX_YJD",6,150718,-0.485325,32.6574,49.7949
"y1_d078_GAX_YJD",6,150768,-0.586059,35.9157,54.4401
"y1_d078_GAX_YJD",6,150818,-0.696402,39.1338,58.9473
"y1_d078_GAX_YJD",6,150868,-0.816189,42.3117,63.3174
"y1_d078_GAX_YJD",6,150918,-0.945252,45.4497,67.5519
"y1_d078_GAX_YJD",6,150968,-1.083423,48.5481,71.652
"y1_d078_GAX_YJD",6,151018,-1.230531,51.6075,75.6192
"y1_d078_GAX_YJD",6,151068,-1.386411,54.6279,79.4544
"y1_d078_GAX_YJD",6,151118,-1.550898,57.6093,83.1591
"y1_d078_GAX_YJD",6,151168,-1.723821,60.5526,86.7345
"y1_d078_GAX_YJD",6,151218,-1.905012,63.4578,90.1824
"y1_d078_GAX_YJD",6,151268,-2.094306,66.3252,93.5031
"y1_d078_GAX_YJD",6,151318,-2.291532,69.1548,96.699
"y1_d078_GAX_YJD",6,151368,-2.496525,71.9475,99.7704
"y1_d078_GAX_YJD",6,151418,-2.709117,74.703,102.7194
"y1_d078_GAX_YJD",6,151468,-2.929143,77.4222,105.5469
"y1_d078_GAX_YJD",6,151518,-3.15642,80.1048,108.2541
"y1_d078_GAX_YJD",6,151568,-3.39081,82.7514,110.8425
"y1_d078_GAX_YJD",6,151618,-3.63213,85.3623,113.3133
"y1_d078_GAX_YJD",6,151668,-3.8802,87.9378,115.6677
"y1_d078_GAX_YJD",6,151718,-4.13484,90.4779,117.9072
"y1_d078_GAX_YJD",6,151768,-4.39593,92.9832,120.033
"y1_d078_GAX_YJD",6,151818,-4.66329,95.454,122.0463
"y1_d078_GAX_YJD",6,151868,-4.93671,97.8903,123.9486
"y1_d078_GAX_YJD",6,151918,-5.21607,100.2927,125.7411
"y1_d078_GAX_YJD",6,151968,-5.50119,102.6615,127.425
"y1_d078_GAX_YJD",6,152018,-5.79189,104.9967,129.0015
"y1_d078_GAX_YJD",6,152068,-6.08802,107.2986,130.4724
"y1_d078_GAX_YJD",6,152118,-6.38937,109.5678,131.8383
"y1_d078_GAX_YJD",6,152168,-6.69585,111.8046,133.101
"y1_d078_GAX_YJD",6,152218,-7.00722,114.0087,134.2617
"y1_d078_GAX_YJD",6,152268,-7.32333,116.1813,135.3213
"y1_d078_GAX_YJD",6,152318,-7.64403,118.3218,136.2816
