"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d003_GHD_YJD",1,43762,2.358291,54.2607,6.11457
"y2_d003_GHD_YJD",1,43795,2.086431,49.9542,5.94582
"y2_d003_GHD_YJD",1,43828,1.825569,45.6687,5.75808
"y2_d003_GHD_YJD",1,43861,1.575705,41.4042,5.55138
"y2_d003_GHD_YJD",1,43894,1.336842,37.1607,5.32569
"y2_d003_GHD_YJD",1,43927,1.10898,32.9382,5.08104
"y2_d003_GHD_YJD",1,43960,0.892116,28.737,4.81743
"y2_d003_GHD_YJD",1,43993,0.686256,24.55674,4.53483
"y2_d003_GHD_YJD",1,44026,0.491394,20.39757,4.23327
"y2_d003_GHD_YJD",1,44059,0.30753,16.25943,3.91272
"y2_d003_GHD_YJD",1,44092,0.1346685,12.14235,3.57321
"y2_d003_GHD_YJD",1,44125,-0.02719371,8.04636,3.21471
"y2_d003_GHD_YJD",1,44158,-0.1780557,3.9714,2.837268
"y2_d003_GHD_YJD",1,44191,-0.317919,-0.0825012,2.440839
"y2_d003_GHD_YJD",1,44224,-2.526501,6.83094,4.86525
"y2_d003_GHD_YJD",1,44257,-4.27956,10.11954,5.84946
"y2_d003_GHD_YJD",1,44290,-6.02352,13.38576,6.79803
"y2_d003_GHD_YJD",1,44323,-7.7583,16.62954,7.71093
"y2_d003_GHD_YJD",1,44356,-9.48396,19.85088,8.58819
"y2_d003_GHD_YJD",1,44389,-11.20047,23.04984,9.42978
"y2_d003_GHD_YJD",1,44422,-12.90783,26.22636,10.23573
"y2_d003_GHD_YJD",1,44455,-14.60604,29.38047,11.00604
"y2_d003_GHD_YJD",1,44488,-16.29513,32.5122,11.74068
"y2_d003_GHD_YJD",1,44521,-17.97507,35.6214,12.43968
"y2_d003_GHD_YJD",1,44554,-19.64586,38.7084,13.10304
"y2_d003_GHD_YJD",1,44587,-21.30753,41.7726,13.73073
"y2_d003_GHD_YJD",1,44620,-22.96005,44.8149,14.32278
"y2_d003_GHD_YJD",1,44653,-24.60342,47.8344,14.87916
"y2_d003_GHD_YJD",1,44686,-26.23767,50.8317,15.3999
"y2_d003_GHD_YJD",1,44719,-27.86277,53.8062,15.88497
"y2_d003_GHD_YJD",1,44752,-29.47872,56.7588,16.33443
"y2_d003_GHD_YJD",1,44785,-31.0854,59.6886,16.74819
"y2_d003_GHD_YJD",1,44818,-32.6832,62.5962,17.12634
"y2_d003_GHD_YJD",1,44851,-34.2717,65.4813,17.46882
"y2_d003_GHD_YJD",1,44884,-35.8512,68.3439,17.77563
"y2_d003_GHD_YJD",1,44917,-37.4214,71.1843,18.0468
"y2_d003_GHD_YJD",1,44950,-38.9826,74.0019,18.28233
"y2_d003_GHD_YJD",1,44983,-40.5345,76.7973,18.48222
"y2_d003_GHD_YJD",1,45016,-42.0771,79.5705,18.64644
"y2_d003_GHD_YJD",1,45049,-43.611,82.3209,18.77499
"y2_d003_GHD_YJD",1,45082,-45.1356,85.0491,18.8679
"y2_d003_GHD_YJD",1,45115,-46.6509,87.7551,18.92517
"y2_d003_GHD_YJD",1,45148,-48.1572,90.4383,18.9468
"y2_d003_GHD_YJD",1,45181,-49.6542,93.0993,18.93276
"y2_d003_GHD_YJD",1,45214,-51.1422,95.7378,18.88305
"y2_d003_GHD_YJD",1,45247,-52.6209,98.3538,18.7977
"y2_d003_GHD_YJD",1,45280,-54.0906,100.9476,18.67671
