"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d067_IAQ_YJD",1,53716,-2.942313,55.1742,5.91489
"y1_d067_IAQ_YJD",1,53749,-2.608173,50.9031,5.8398
"y1_d067_IAQ_YJD",1,53782,-2.296221,46.6533,5.73117
"y1_d067_IAQ_YJD",1,53815,-2.006463,42.4248,5.58897
"y1_d067_IAQ_YJD",1,53848,-1.738896,38.2173,5.41326
"y1_d067_IAQ_YJD",1,53881,-1.49352,34.0311,5.20398
"y1_d067_IAQ_YJD",1,53914,-1.270335,29.8662,4.96116
"y1_d067_IAQ_YJD",1,53947,-1.069344,25.72248,4.6848
"y1_d067_IAQ_YJD",1,53980,-0.890544,21.59994,4.3749
"y1_d067_IAQ_YJD",1,54013,-0.733935,17.49864,4.03146
"y1_d067_IAQ_YJD",1,54046,-0.599517,13.41855,3.65448
"y1_d067_IAQ_YJD",1,54079,-0.487293,9.35967,3.24393
"y1_d067_IAQ_YJD",1,54112,-0.39726,5.322,2.799849
"y1_d067_IAQ_YJD",1,54145,-0.329418,1.305561,2.322222
"y1_d067_IAQ_YJD",1,54178,-0.2837664,-2.689674,1.811052
"y1_d067_IAQ_YJD",1,54211,-0.2603076,-6.66369,1.266339
"y1_d067_IAQ_YJD",2,64705,-2.210406,54.0543,6.25419
"y1_d067_IAQ_YJD",2,64738,-2.082225,50.2122,6.31209
"y1_d067_IAQ_YJD",2,64771,-1.952802,46.3974,6.32571
"y1_d067_IAQ_YJD",2,64804,-1.822134,42.6102,6.29502
"y1_d067_IAQ_YJD",2,64837,-1.690224,38.85,6.22005
"y1_d067_IAQ_YJD",2,64870,-1.557069,35.1174,6.10077
"y1_d067_IAQ_YJD",2,64903,-1.422672,31.4118,5.93721
"y1_d067_IAQ_YJD",2,64936,-1.287027,27.73371,5.72937
"y1_d067_IAQ_YJD",2,64969,-1.150143,24.08292,5.47722
"y1_d067_IAQ_YJD",2,65002,-1.012014,20.45943,5.18079
"y1_d067_IAQ_YJD",2,65035,-0.87264,16.86327,4.84008
"y1_d067_IAQ_YJD",2,65068,-0.732024,13.29444,4.45509
"y1_d067_IAQ_YJD",2,65101,-0.590163,9.75291,4.02579
"y1_d067_IAQ_YJD",2,65134,-0.44706,6.23871,3.55218
"y1_d067_IAQ_YJD",2,65167,-0.302712,2.751843,3.03432
"y1_d067_IAQ_YJD",2,65200,-0.1571217,-0.707718,2.472147
"y1_d067_IAQ_YJD",2,65233,-0.010287,-4.13997,1.865691
"y1_d067_IAQ_YJD",2,65266,0.1377915,-7.54488,1.214943
"y1_d067_IAQ_YJD",3,77080,-2.303472,56.4189,6.14127
"y1_d067_IAQ_YJD",3,77113,-2.261433,52.971,6.11238
"y1_d067_IAQ_YJD",3,77146,-2.214723,49.5006,6.03159
"y1_d067_IAQ_YJD",3,77179,-2.163339,46.0074,5.89884
"y1_d067_IAQ_YJD",3,77212,-2.107284,42.4917,5.71419
"y1_d067_IAQ_YJD",3,77245,-2.046555,38.9532,5.47758
"y1_d067_IAQ_YJD",3,77278,-1.981155,35.3925,5.18907
"y1_d067_IAQ_YJD",3,77311,-1.911081,31.8087,4.8486
"y1_d067_IAQ_YJD",3,77344,-1.836333,28.20258,4.45623
"y1_d067_IAQ_YJD",3,77377,-1.756914,24.57378,4.0119
"y1_d067_IAQ_YJD",3,77410,-1.672824,20.92236,3.51567
"y1_d067_IAQ_YJD",3,77443,-1.58406,17.24832,2.967489
"y1_d067_IAQ_YJD",3,77476,-1.490622,13.55166,2.367384
"y1_d067_IAQ_YJD",3,77509,-1.392513,9.83238,1.715349
"y1_d067_IAQ_YJD",3,77542,-1.28973,6.09051,1.011384
"y1_d067_IAQ_YJD",3,77575,-1.182276,2.325987,0.2554881
"y1_d067_IAQ_YJD",3,77608,2.078568,8.16876,1.74948
"y1_d067_IAQ_YJD",3,77641,3.58107,11.09403,1.715781
"y1_d067_IAQ_YJD",3,77674,5.09838,13.88019,1.641924
"y1_d067_IAQ_YJD",3,77707,6.63048,16.52718,1.527912
"y1_d067_IAQ_YJD",3,77740,8.17737,19.03503,1.373742
"y1_d067_IAQ_YJD",3,77773,9.73902,21.40377,1.179414
"y1_d067_IAQ_YJD",3,77806,11.31549,23.63334,0.944931
"y1_d067_IAQ_YJD",3,77839,12.90675,25.72377,0.67029
"y1_d067_IAQ_YJD",3,77872,14.5128,27.67509,0.355494
"y1_d067_IAQ_YJD",3,77905,16.13364,29.48724,0.000539547
"y1_d067_IAQ_YJD",3,77938,17.46951,34.8753,0.1251
"y1_d067_IAQ_YJD",3,77971,19.44729,36.9468,0.1287
"y1_d067_IAQ_YJD",3,78004,21.4251,39.018,0.1323
"y1_d067_IAQ_YJD",3,78037,22.42863,40.9725,0.1331061
"y1_d067_IAQ_YJD",3,78070,23.43213,42.9267,0.1339125
"y1_d067_IAQ_YJD",3,78103,24.43566,44.8812,0.1347186
"y1_d067_IAQ_YJD",3,78136,25.43916,46.8354,0.135525
"y1_d067_IAQ_YJD",3,78169,26.44269,48.7899,0.1363311
"y1_d067_IAQ_YJD",3,78202,27.44622,50.7444,0.1371375
"y1_d067_IAQ_YJD",3,78235,28.44972,52.6986,0.1379436
"y1_d067_IAQ_YJD",3,78268,29.45325,54.6531,0.13875
"y1_d067_IAQ_YJD",3,78301,30.4569,56.6076,0.1395561
"y1_d067_IAQ_YJD",3,78334,31.4604,58.5618,0.1403625
"y1_d067_IAQ_YJD",3,78367,32.4639,60.5163,0.1411689
"y1_d067_IAQ_YJD",3,78400,33.4674,62.4708,0.141975
"y1_d067_IAQ_YJD",3,78433,34.4709,64.425,0.1427814
"y1_d067_IAQ_YJD",3,78466,35.4744,66.3795,0.1435875
"y1_d067_IAQ_YJD",3,78499,36.4779,68.3337,0.1443939
"y1_d067_IAQ_YJD",3,78532,37.4814,70.2882,0.1452
"y1_d067_IAQ_YJD",3,78565,38.9658,71.3307,-1.213488
"y1_d067_IAQ_YJD",3,78598,39.8142,72.7974,-1.014078
"y1_d067_IAQ_YJD",3,78631,40.6635,74.2593,-0.827736
"y1_d067_IAQ_YJD",3,78664,41.5137,75.7167,-0.654462
"y1_d067_IAQ_YJD",3,78697,42.3648,77.1696,-0.494259
"y1_d067_IAQ_YJD",3,78730,43.2168,78.6177,-0.347124
"y1_d067_IAQ_YJD",3,78763,44.07,80.0613,-0.2130585
"y1_d067_IAQ_YJD",3,78796,44.9241,81.5004,-0.0920628
"y1_d067_IAQ_YJD",3,78829,45.7791,82.935,0.01586361
"y1_d067_IAQ_YJD",3,78862,46.635,84.3648,0.1107207
"y1_d067_IAQ_YJD",3,78895,47.4918,85.7901,0.1925085
"y1_d067_IAQ_YJD",3,78928,48.3498,87.2106,0.2612271
"y1_d067_IAQ_YJD",3,78961,49.2087,88.6266,0.316875
"y1_d067_IAQ_YJD",3,78994,50.0685,90.0381,0.359457
"y1_d067_IAQ_YJD",3,79027,50.9292,91.4451,0.388968
"y1_d067_IAQ_YJD",3,79060,51.7911,92.8473,0.405408
"y1_d067_IAQ_YJD",3,79093,52.6536,94.245,0.40878
"y1_d067_IAQ_YJD",3,79126,53.5173,95.6382,0.399081
"y1_d067_IAQ_YJD",3,79159,54.3819,97.0266,0.376317
"y1_d067_IAQ_YJD",3,79192,55.2474,98.4105,0.340479
"y1_d067_IAQ_YJD",3,79225,56.1141,99.7899,0.2915742
"y1_d067_IAQ_YJD",3,79258,56.9817,101.1645,0.2295996
"y1_d067_IAQ_YJD",3,79291,57.8502,102.5346,0.1545555
"y1_d067_IAQ_YJD",3,79324,58.7196,103.9002,0.0664422
"y1_d067_IAQ_YJD",3,80380,51.7554,90.6753,0.1215
"y1_d067_IAQ_YJD",3,80413,51.9774,89.3388,0.1193052
"y1_d067_IAQ_YJD",3,80446,52.1997,88.0026,0.1171104
"y1_d067_IAQ_YJD",3,80479,52.4217,86.6661,0.1149159
"y1_d067_IAQ_YJD",3,80512,52.6437,85.3299,0.1127211
"y1_d067_IAQ_YJD",3,80545,52.866,83.9934,0.1105263
"y1_d067_IAQ_YJD",3,80578,53.088,82.6572,0.1083315
"y1_d067_IAQ_YJD",3,80611,53.3103,81.3207,0.1061367
"y1_d067_IAQ_YJD",3,80644,53.5323,79.9842,0.1039422
"y1_d067_IAQ_YJD",3,80677,53.7543,78.648,0.1017474
"y1_d067_IAQ_YJD",3,80710,53.9766,77.3115,0.0995526
"y1_d067_IAQ_YJD",3,80743,54.1986,75.9753,0.0973578
"y1_d067_IAQ_YJD",3,80776,54.4206,74.6388,0.0951633
"y1_d067_IAQ_YJD",3,80809,54.6429,73.3023,0.0929685
"y1_d067_IAQ_YJD",3,80842,54.8649,71.9661,0.0907737
"y1_d067_IAQ_YJD",3,80875,55.0872,70.6296,0.0885789
"y1_d067_IAQ_YJD",3,80908,55.3092,69.2934,0.0863841
"y1_d067_IAQ_YJD",3,80941,55.5312,67.9569,0.0841896
"y1_d067_IAQ_YJD",3,80974,55.7535,66.6207,0.0819948
