"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d046_IHI_YJD",1,32730,-1.432506,52.6776,6.69501
"y2_d046_IHI_YJD",1,32780,-1.266936,46.1037,6.32547
"y2_d046_IHI_YJD",1,32830,-1.125528,39.5964,5.93049
"y2_d046_IHI_YJD",1,32880,-1.008285,33.156,5.51013
"y2_d046_IHI_YJD",1,32930,-0.915207,26.78235,5.06433
"y2_d046_IHI_YJD",1,32980,-0.846291,20.47563,4.59315
"y2_d046_IHI_YJD",1,33030,-0.80154,14.23572,4.09653
"y2_d046_IHI_YJD",1,33080,-0.780951,8.06262,3.57453
"y2_d046_IHI_YJD",1,33130,-0.784524,1.95633,3.02709
"y2_d046_IHI_YJD",1,33180,-0.812262,-4.08309,2.454252
"y2_d046_IHI_YJD",2,45380,-1.390797,52.4694,6.60264
"y2_d046_IHI_YJD",2,45430,-1.030854,45.8658,6.01608
"y2_d046_IHI_YJD",2,45480,-0.691959,39.3411,5.41431
"y2_d046_IHI_YJD",2,45530,-0.374112,32.8956,4.79736
"y2_d046_IHI_YJD",2,45580,-0.0773124,26.52861,4.1652
"y2_d046_IHI_YJD",2,45630,0.1984404,20.24067,3.51786
"y2_d046_IHI_YJD",2,45680,0.453144,14.03169,2.855346
"y2_d046_IHI_YJD",2,45730,0.686799,7.90164,2.177634
"y2_d046_IHI_YJD",2,45780,0.899409,1.850529,1.484733
"y2_d046_IHI_YJD",2,45830,1.090968,-4.12167,0.776643
"y2_d046_IHI_YJD",3,58830,-1.457457,51.7512,6.6075
"y2_d046_IHI_YJD",3,58880,-1.177311,45.1278,6.35382
"y2_d046_IHI_YJD",3,58930,-0.920028,38.5671,6.07638
"y2_d046_IHI_YJD",3,58980,-0.685608,32.0688,5.77515
"y2_d046_IHI_YJD",3,59030,-0.474045,25.6329,5.45016
"y2_d046_IHI_YJD",3,59080,-0.285342,19.25964,5.10144
"y2_d046_IHI_YJD",3,59130,-0.1194993,12.94881,4.72893
"y2_d046_IHI_YJD",3,59180,0.0234825,6.70056,4.33266
"y2_d046_IHI_YJD",3,59230,0.143604,0.514773,3.91263
"y2_d046_IHI_YJD",3,59280,0.2408655,-5.6085,3.46884
"y2_d046_IHI_YJD",4,74580,-1.593978,58.2432,6.9624
"y2_d046_IHI_YJD",4,74630,-1.373166,51.531,6.48747
"y2_d046_IHI_YJD",4,74680,-1.162248,44.8782,5.99406
"y2_d046_IHI_YJD",4,74730,-0.961224,38.2845,5.48217
"y2_d046_IHI_YJD",4,74780,-0.770091,31.7502,4.9518
"y2_d046_IHI_YJD",4,74830,-0.588855,25.27509,4.40295
"y2_d046_IHI_YJD",4,74880,-0.417507,18.85914,3.83565
"y2_d046_IHI_YJD",4,74930,-0.256056,12.50247,3.24984
"y2_d046_IHI_YJD",4,74980,-0.1044975,6.20502,2.64558
"y2_d046_IHI_YJD",4,75030,0.0371679,-0.0331887,2.022837
"y2_d046_IHI_YJD",4,75080,0.1689402,-6.21219,1.381614
"y2_d046_IHI_YJD",5,90480,-1.555185,53.3556,6.64926
"y2_d046_IHI_YJD",5,90530,-1.286838,46.5549,6.25134
"y2_d046_IHI_YJD",5,90580,-1.06089,39.8136,5.83707
"y2_d046_IHI_YJD",5,90630,-0.877338,33.1317,5.40654
"y2_d046_IHI_YJD",5,90680,-0.736185,26.50896,4.95966
"y2_d046_IHI_YJD",5,90730,-0.637431,19.94556,4.49652
"y2_d046_IHI_YJD",5,90780,-0.581073,13.44147,4.01703
"y2_d046_IHI_YJD",5,90830,-0.567111,6.99666,3.52128
"y2_d046_IHI_YJD",5,90880,-0.595551,0.611124,3.00918
"y2_d046_IHI_YJD",5,90930,-2.2158,7.91529,0.0237
"y2_d046_IHI_YJD",5,90980,-3.795,14.41401,0.0474
"y2_d046_IHI_YJD",5,91030,-5.3742,20.9127,0.0711
"y2_d046_IHI_YJD",5,91080,-6.87591,25.81872,0.672939
"y2_d046_IHI_YJD",5,91130,-8.14266,30.9444,1.168335
"y2_d046_IHI_YJD",5,91180,-9.41406,35.9973,1.532763
"y2_d046_IHI_YJD",5,91230,-10.69005,40.9776,1.76622
"y2_d046_IHI_YJD",5,91280,-11.97063,45.8856,1.868706
"y2_d046_IHI_YJD",5,91330,-13.25583,50.7207,1.840227
"y2_d046_IHI_YJD",5,91380,-14.54565,55.4832,1.680774
"y2_d046_IHI_YJD",5,91430,-15.84009,60.1731,1.390356
"y2_d046_IHI_YJD",5,91480,-17.13912,64.7904,0.968967
"y2_d046_IHI_YJD",5,91530,-18.44274,69.3351,0.41661
"y2_d046_IHI_YJD",5,91580,-19.75101,73.8075,-0.2667183
"y2_d046_IHI_YJD",5,91630,-20.44008,77.2275,0.753684
"y2_d046_IHI_YJD",5,91680,-21.40716,80.7273,1.0854
"y2_d046_IHI_YJD",5,91730,-22.36908,84.3123,1.296729
"y2_d046_IHI_YJD",5,91780,-23.32584,87.9825,1.387671
"y2_d046_IHI_YJD",5,91830,-24.27747,91.7382,1.358223
"y2_d046_IHI_YJD",5,91880,-25.22394,95.5791,1.208391
"y2_d046_IHI_YJD",5,91930,-26.16525,99.5052,0.938172
"y2_d046_IHI_YJD",5,91980,-27.10143,103.5165,0.547563
"y2_d046_IHI_YJD",5,92030,-28.03245,107.6133,0.03657
"y2_d046_IHI_YJD",5,92080,-29.12637,108.6015,0.388275
"y2_d046_IHI_YJD",5,92130,-30.0072,111.8412,0.563526
"y2_d046_IHI_YJD",5,92180,-30.8937,115.0344,0.665121
"y2_d046_IHI_YJD",5,92230,-31.7859,118.1805,0.693063
"y2_d046_IHI_YJD",5,92280,-32.6838,121.2798,0.647352
"y2_d046_IHI_YJD",5,92330,-33.5874,124.3323,0.527985
"y2_d046_IHI_YJD",5,92380,-34.4967,127.338,0.334965
"y2_d046_IHI_YJD",5,92430,-35.4117,130.2966,0.0682908
"y2_d046_IHI_YJD",5,92480,-36.1584,134.0232,0.0321999
"y2_d046_IHI_YJD",5,92530,-36.9705,136.284,0.01610001
"y2_d046_IHI_YJD",5,92580,-37.7826,138.5451,0
"y2_d046_IHI_YJD",5,93530,-30.2073,145.9575,5.54823
"y2_d046_IHI_YJD",5,93580,-26.55957,142.9848,6.42756
