"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d020_JFU_YJD",1,1102,-1.349142,57.8349,6.24039
"y1_d020_JFU_YJD",1,1152,-1.223343,51.1239,6.04935
"y1_d020_JFU_YJD",1,1202,-1.112028,44.4933,5.80905
"y1_d020_JFU_YJD",1,1252,-1.0152,37.9437,5.51946
"y1_d020_JFU_YJD",1,1302,-0.932859,31.4748,5.18061
"y1_d020_JFU_YJD",1,1352,-0.865005,25.08666,4.7925
"y1_d020_JFU_YJD",1,1402,-0.811638,18.77919,4.3551
"y1_d020_JFU_YJD",1,1452,-0.772755,12.55239,3.86844
"y1_d020_JFU_YJD",1,1502,-0.748359,6.40638,3.33249
"y1_d020_JFU_YJD",1,1552,-0.73845,0.341076,2.747304
"y1_d020_JFU_YJD",1,1602,-0.743028,-5.64351,2.112834
"y1_d020_JFU_YJD",2,11752,-1.240026,52.1898,6.05904
"y1_d020_JFU_YJD",2,11802,-0.96978,46.1397,5.67777
"y1_d020_JFU_YJD",2,11852,-0.730191,40.1391,5.23476
"y1_d020_JFU_YJD",2,11902,-0.521259,34.188,4.72998
"y1_d020_JFU_YJD",2,11952,-0.342984,28.28622,4.16346
"y1_d020_JFU_YJD",2,12002,-0.195369,22.434,3.53517
"y1_d020_JFU_YJD",2,12052,-0.0784116,16.63122,2.845137
"y1_d020_JFU_YJD",2,12102,0.00788823,10.87794,2.093349
"y1_d020_JFU_YJD",2,12152,0.0635301,5.17416,1.279803
"y1_d020_JFU_YJD",2,12202,0.0885141,-0.48021,0.404502
"y1_d020_JFU_YJD",2,12252,0.0828402,-6.08508,-0.532551
"y1_d020_JFU_YJD",3,25352,-0.871938,54.543,5.907
"y1_d020_JFU_YJD",3,25402,-0.765429,48.0498,5.76564
"y1_d020_JFU_YJD",3,25452,-0.634704,41.5599,5.5479
"y1_d020_JFU_YJD",3,25502,-0.479757,35.0736,5.25378
"y1_d020_JFU_YJD",3,25552,-0.300594,28.59078,4.88328
"y1_d020_JFU_YJD",3,25602,-0.0972123,22.11153,4.43643
"y1_d020_JFU_YJD",3,25652,0.1303887,15.63582,3.91317
"y1_d020_JFU_YJD",3,25702,0.382209,9.16359,3.31356
"y1_d020_JFU_YJD",3,25752,0.658248,2.694897,2.637564
"y1_d020_JFU_YJD",4,38752,-1.009845,52.3791,6.10548
"y1_d020_JFU_YJD",4,38802,-0.788508,45.636,5.96433
"y1_d020_JFU_YJD",4,38852,-0.57909,38.9736,5.77854
"y1_d020_JFU_YJD",4,38902,-0.381591,32.3916,5.54808
"y1_d020_JFU_YJD",4,38952,-0.1960083,25.89045,5.27295
"y1_d020_JFU_YJD",4,39002,-0.0223443,19.46988,4.95318
"y1_d020_JFU_YJD",4,39052,0.1394019,13.12992,4.58877
"y1_d020_JFU_YJD",4,39102,0.2892303,6.8706,4.17969
"y1_d020_JFU_YJD",4,39152,0.42714,0.691911,3.72594
"y1_d020_JFU_YJD",4,39202,-0.647025,4.9758,9.87576
"y1_d020_JFU_YJD",4,39252,-1.763796,6.99219,14.01015
"y1_d020_JFU_YJD",4,39302,-2.882301,8.99382,18.06804
"y1_d020_JFU_YJD",4,39352,-4.00254,10.98069,22.04946
"y1_d020_JFU_YJD",4,39402,-5.12451,12.95277,25.95438
"y1_d020_JFU_YJD",4,39452,-6.24822,14.91015,29.78286
"y1_d020_JFU_YJD",4,39502,-7.37367,16.85271,33.5349
"y1_d020_JFU_YJD",4,39552,-8.50086,18.78054,37.2102
"y1_d020_JFU_YJD",4,39602,-9.62976,20.69361,40.8093
"y1_d020_JFU_YJD",4,39652,-10.76043,22.59192,44.3319
"y1_d020_JFU_YJD",4,39702,-11.89281,24.47547,47.778
"y1_d020_JFU_YJD",4,39752,-13.02693,26.34426,51.1476
"y1_d020_JFU_YJD",4,39802,-14.16279,28.19829,54.4407
"y1_d020_JFU_YJD",4,39852,-15.30036,30.0375,57.6573
"y1_d020_JFU_YJD",4,39902,-16.4397,31.8621,60.7974
"y1_d020_JFU_YJD",4,39952,-17.58075,33.6717,63.8613
"y1_d020_JFU_YJD",4,40002,-18.72357,35.4669,66.8484
"y1_d020_JFU_YJD",4,40052,-19.8681,37.2471,69.759
"y1_d020_JFU_YJD",4,40102,-21.01434,39.0126,72.5934
"y1_d020_JFU_YJD",4,40152,-22.16235,40.7631,75.351
"y1_d020_JFU_YJD",4,40202,-23.3121,42.4992,78.0324
"y1_d020_JFU_YJD",4,40252,-24.46356,44.2203,80.6373
"y1_d020_JFU_YJD",4,40302,-25.61676,45.9267,83.1654
"y1_d020_JFU_YJD",4,40352,-26.7717,47.6184,85.6173
"y1_d020_JFU_YJD",4,40402,-27.92838,49.2954,87.9927
"y1_d020_JFU_YJD",4,40452,-29.0868,50.9574,90.2916
"y1_d020_JFU_YJD",4,40502,-30.2469,52.605,92.514
"y1_d020_JFU_YJD",4,40552,-31.4088,54.2376,94.6599
"y1_d020_JFU_YJD",4,40602,-32.5725,55.8555,96.7296
"y1_d020_JFU_YJD",4,40652,-33.7377,57.4584,98.7225
"y1_d020_JFU_YJD",4,40702,-34.905,59.0469,100.6389
"y1_d020_JFU_YJD",4,40752,-36.0738,60.6204,102.4791
"y1_d020_JFU_YJD",4,40802,-37.2441,62.1792,104.2425
"y1_d020_JFU_YJD",4,40852,-38.4165,63.7233,105.9297
"y1_d020_JFU_YJD",4,40902,-39.5904,65.2527,107.5404
"y1_d020_JFU_YJD",4,40952,-40.7664,66.7671,109.0743
"y1_d020_JFU_YJD",4,41002,-41.9439,68.2668,110.532
"y1_d020_JFU_YJD",4,41052,-43.1229,69.7521,111.9132
"y1_d020_JFU_YJD",4,41102,-44.304,71.2221,113.2179
"y1_d020_JFU_YJD",4,41152,-45.4866,72.6777,114.4461
"y1_d020_JFU_YJD",4,41202,-46.671,74.1186,115.5978
"y1_d020_JFU_YJD",4,41252,-47.8572,75.5445,116.673
"y1_d020_JFU_YJD",4,41302,-49.0452,76.9557,117.6717
"y1_d020_JFU_YJD",4,41352,-50.2347,78.3522,118.5942
"y1_d020_JFU_YJD",4,41402,-51.4263,79.734,119.4399
"y1_d020_JFU_YJD",4,41452,-52.6194,81.1008,120.2094
"y1_d020_JFU_YJD",4,41502,-53.8143,82.4529,120.9021
"y1_d020_JFU_YJD",4,41552,-55.0107,83.7903,121.5186
"y1_d020_JFU_YJD",4,41602,-56.2089,85.113,122.0583
"y1_d020_JFU_YJD",4,41652,-57.4092,86.421,122.5218
"y1_d020_JFU_YJD",4,41702,-58.611,87.7143,122.9088
"y1_d020_JFU_YJD",4,41752,-59.8143,88.9926,123.2193
"y1_d020_JFU_YJD",4,41802,-61.0197,90.2562,123.4533
"y1_d020_JFU_YJD",4,41852,-62.2266,91.5051,123.6108
"y1_d020_JFU_YJD",4,41902,-63.4353,92.7393,123.6918
"y1_d020_JFU_YJD",4,41952,-64.6458,93.9585,123.6963
"y1_d020_JFU_YJD",4,42002,-65.8581,95.163,123.6246
"y1_d020_JFU_YJD",4,42052,-67.0719,96.3528,123.4761
"y1_d020_JFU_YJD",4,42102,-68.2875,97.5279,123.2511
"y1_d020_JFU_YJD",4,42152,-69.5049,98.6883,122.9499
"y1_d020_JFU_YJD",4,42202,-70.7241,99.834,122.5719
"y1_d020_JFU_YJD",4,42252,-71.9451,100.9647,122.1177
"y1_d020_JFU_YJD",4,42302,-73.1676,102.0807,121.587
"y1_d020_JFU_YJD",4,42352,-74.3919,103.182,120.9795
"y1_d020_JFU_YJD",4,42402,-75.618,104.2683,120.2958
"y1_d020_JFU_YJD",4,42452,-76.8459,105.3402,119.5356
"y1_d020_JFU_YJD",4,42502,-78.0753,106.3971,118.6989
"y1_d020_JFU_YJD",4,42552,-79.3065,107.4393,117.7857
"y1_d020_JFU_YJD",4,42602,-80.5395,108.4668,116.796
"y1_d020_JFU_YJD",4,42652,-81.7743,109.4796,115.7301
"y1_d020_JFU_YJD",4,42702,-83.0109,110.4774,114.5874
"y1_d020_JFU_YJD",4,42752,-84.249,111.4608,113.3682
"y1_d020_JFU_YJD",4,42802,-85.4889,112.4292,112.0728
"y1_d020_JFU_YJD",4,42852,-86.7306,113.3829,110.7006
"y1_d020_JFU_YJD",4,42902,-87.9741,114.3216,109.2522
"y1_d020_JFU_YJD",4,42952,-89.2194,115.2459,107.727
"y1_d020_JFU_YJD",4,43002,-90.4662,116.1552,106.1256
"y1_d020_JFU_YJD",4,43052,-91.7148,117.0498,104.4477
"y1_d020_JFU_YJD",4,43102,-92.9652,117.9297,102.6933
"y1_d020_JFU_YJD",4,43152,-94.2174,118.7949,100.8624
"y1_d020_JFU_YJD",4,43202,-95.4711,119.6451,98.955
"y1_d020_JFU_YJD",4,43252,-96.7266,120.4809,96.9711
"y1_d020_JFU_YJD",4,43302,-97.9839,121.3017,94.9107
"y1_d020_JFU_YJD",4,43352,-99.243,122.1078,92.7738
"y1_d020_JFU_YJD",4,43402,-100.5039,122.8989,90.5607
"y1_d020_JFU_YJD",4,43452,-101.7663,123.6756,88.2708
"y1_d020_JFU_YJD",4,43502,-103.0305,124.4373,85.9044
