"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d006_JJS_YJD",1,45903,-2.367618,52.5432,5.97153
"y1_d006_JJS_YJD",1,45953,-2.167662,45.8115,5.65038
"y1_d006_JJS_YJD",1,46003,-1.985916,39.1296,5.27328
"y1_d006_JJS_YJD",1,46053,-1.822377,32.4975,4.84029
"y1_d006_JJS_YJD",1,46103,-1.677042,25.91556,4.35132
"y1_d006_JJS_YJD",1,46153,-1.549917,19.38345,3.80646
"y1_d006_JJS_YJD",1,46203,-1.440996,12.90123,3.20562
"y1_d006_JJS_YJD",1,46253,-1.350282,6.46893,2.548875
"y1_d006_JJS_YJD",1,46303,-1.277775,0.0865692,1.836186
"y1_d006_JJS_YJD",1,46353,-1.223475,-6.24588,1.067562
"y1_d006_JJS_YJD",2,60053,-2.3079,55.1835,6.12798
"y1_d006_JJS_YJD",2,60103,-2.008728,48.4506,6.00543
"y1_d006_JJS_YJD",2,60153,-1.719813,41.7744,5.81715
"y1_d006_JJS_YJD",2,60203,-1.441152,35.1549,5.56311
"y1_d006_JJS_YJD",2,60253,-1.172742,28.59246,5.24328
"y1_d006_JJS_YJD",2,60303,-0.914586,22.08687,4.85772
"y1_d006_JJS_YJD",2,60353,-0.666684,15.63813,4.40643
"y1_d006_JJS_YJD",2,60403,-0.429036,9.24624,3.88935
"y1_d006_JJS_YJD",2,60453,-0.2016408,2.911224,3.30654
"y1_d006_JJS_YJD",2,60503,-1.296009,7.65582,5.7066
"y1_d006_JJS_YJD",2,60553,-2.530878,13.44114,8.63481
"y1_d006_JJS_YJD",2,60603,-3.76494,19.16973,11.49129
"y1_d006_JJS_YJD",2,60653,-4.99815,24.84156,14.2761
"y1_d006_JJS_YJD",2,60703,-6.23058,30.4566,16.98918
"y1_d006_JJS_YJD",2,60753,-7.46217,36.015,19.63056
"y1_d006_JJS_YJD",2,60803,-8.69295,41.5167,22.20021
"y1_d006_JJS_YJD",2,60853,-9.92292,46.9614,24.69816
"y1_d006_JJS_YJD",2,60903,-11.15205,52.3497,27.12441
"y1_d006_JJS_YJD",2,60953,-12.38037,57.681,29.47893
"y1_d006_JJS_YJD",2,61003,-13.60785,62.9556,31.7619
"y1_d006_JJS_YJD",2,61053,-14.83455,68.1735,33.9729
"y1_d006_JJS_YJD",2,61103,-16.06041,73.3347,36.1122
"y1_d006_JJS_YJD",2,61153,-17.28543,78.4392,38.1801
"y1_d006_JJS_YJD",2,61203,-18.50967,83.487,40.176
"y1_d006_JJS_YJD",2,61253,-19.73307,88.4778,42.1002
"y1_d006_JJS_YJD",2,61303,-20.95563,93.4122,43.953
"y1_d006_JJS_YJD",2,61353,-22.17741,98.2896,45.7338
"y1_d006_JJS_YJD",2,61403,-23.39835,103.1103,47.4429
"y1_d006_JJS_YJD",2,61453,-24.61848,107.8743,49.0803
"y1_d006_JJS_YJD",2,61503,-25.83777,112.5816,50.6463
"y1_d006_JJS_YJD",2,61553,-27.05625,117.2322,52.1403
"y1_d006_JJS_YJD",2,61603,-28.27392,121.8258,53.5626
"y1_d006_JJS_YJD",2,61653,-29.49078,126.363,54.9132
"y1_d006_JJS_YJD",2,61703,-30.7068,130.8432,56.1921
"y1_d006_JJS_YJD",2,61753,-31.9221,135.2667,57.3993
"y1_d006_JJS_YJD",2,61803,-33.1365,139.6335,58.5348
"y1_d006_JJS_YJD",2,61853,-34.35,143.9436,59.5986
"y1_d006_JJS_YJD",2,61903,-35.5626,148.197,60.5907
"y1_d006_JJS_YJD",2,61953,-36.7746,152.3934,61.5111
"y1_d006_JJS_YJD",2,62003,-37.9857,156.5334,62.3598
"y1_d006_JJS_YJD",2,62053,-39.1959,160.6164,63.1368
"y1_d006_JJS_YJD",2,62103,-40.4055,164.6427,63.8418
"y1_d006_JJS_YJD",2,62153,-41.6142,168.6123,64.4754
"y1_d006_JJS_YJD",2,62203,-42.822,172.5252,65.0373
"y1_d006_JJS_YJD",2,62253,-44.0289,176.3814,65.5275
"y1_d006_JJS_YJD",2,62303,-45.2352,180.1809,65.946
"y1_d006_JJS_YJD",2,62353,-46.4406,183.9234,66.2925
"y1_d006_JJS_YJD",2,62403,-47.6451,187.6095,66.5676
"y1_d006_JJS_YJD",2,62453,-48.849,191.2386,66.771
"y1_d006_JJS_YJD",2,62503,-50.0517,194.811,66.9024
"y1_d006_JJS_YJD",2,62553,-51.2538,198.3267,66.9624
"y1_d006_JJS_YJD",2,62603,-52.4553,201.7857,66.9504
"y1_d006_JJS_YJD",2,62653,-53.6556,205.188,66.867
"y1_d006_JJS_YJD",2,62703,-54.8553,208.5333,66.7119
"y1_d006_JJS_YJD",2,62753,-56.0541,211.8222,66.4848
"y1_d006_JJS_YJD",2,62803,-57.252,215.0541,66.1863
"y1_d006_JJS_YJD",2,62853,-58.4493,218.2293,65.8158
"y1_d006_JJS_YJD",2,62903,-59.6457,221.3478,65.3736
"y1_d006_JJS_YJD",2,62953,-60.8412,224.4096,64.86
"y1_d006_JJS_YJD",2,63003,-62.0358,227.4147,64.2744
"y1_d006_JJS_YJD",2,63053,-63.2298,230.3631,63.6171
"y1_d006_JJS_YJD",2,63103,-64.4229,233.2545,62.8884
"y1_d006_JJS_YJD",2,63153,-65.6151,236.0895,62.0877
"y1_d006_JJS_YJD",2,63203,-66.8067,238.8675,61.2153
"y1_d006_JJS_YJD",2,63253,-67.9971,241.5888,60.2715
"y1_d006_JJS_YJD",2,63303,-69.1869,244.2534,59.2557
"y1_d006_JJS_YJD",2,63353,-70.3761,246.8613,58.1682
"y1_d006_JJS_YJD",2,63403,-71.5641,249.4122,57.009
"y1_d006_JJS_YJD",2,63453,-72.7515,251.9067,55.7781
"y1_d006_JJS_YJD",2,63503,-73.938,254.3442,54.4755
"y1_d006_JJS_YJD",2,63553,-75.1239,256.7253,53.1012
"y1_d006_JJS_YJD",2,63603,-76.3086,259.0494,51.6552
"y1_d006_JJS_YJD",2,63653,-77.4927,261.3168,50.1375
"y1_d006_JJS_YJD",2,63703,-78.6759,263.5275,48.5481
"y1_d006_JJS_YJD",2,63753,-79.8585,265.6812,46.887
"y1_d006_JJS_YJD",2,63803,-81.0399,267.7785,45.1542
"y1_d006_JJS_YJD",2,63853,-82.2207,269.8191,43.3497
"y1_d006_JJS_YJD",2,63903,-83.4009,271.8027,41.4735
"y1_d006_JJS_YJD",2,63953,-84.5799,273.7296,39.5256
"y1_d006_JJS_YJD",2,64003,-85.7583,275.5998,37.506
"y1_d006_JJS_YJD",2,64053,-86.9358,277.4133,35.4147
"y1_d006_JJS_YJD",2,64103,-88.1124,279.1701,33.2514
"y1_d006_JJS_YJD",2,64153,-89.2884,280.8702,31.0167
"y1_d006_JJS_YJD",2,64203,-90.4635,282.5133,28.71027
"y1_d006_JJS_YJD",2,64253,-91.6377,284.0997,26.33205
"y1_d006_JJS_YJD",2,64303,-92.811,285.6297,23.88216
"y1_d006_JJS_YJD",2,64353,-93.9837,287.1027,21.36057
"y1_d006_JJS_YJD",2,64403,-95.1555,288.519,18.76725
"y1_d006_JJS_YJD",2,64453,-96.3264,289.8786,16.10223
"y1_d006_JJS_YJD",2,64503,-97.4967,291.1812,13.36548
"y1_d006_JJS_YJD",2,64553,-98.6658,292.4274,10.55706
"y1_d006_JJS_YJD",2,64603,-99.8343,293.6166,7.67691
"y1_d006_JJS_YJD",2,64653,-101.0022,294.7494,4.72506
"y1_d006_JJS_YJD",2,65603,-98.0037,293.5788,5.16006
"y1_d006_JJS_YJD",2,65653,-95.9451,289.9143,6.69531
"y1_d006_JJS_YJD",2,65703,-93.8931,286.2798,8.15679
"y1_d006_JJS_YJD",2,65753,-91.8483,282.6747,9.54453
"y1_d006_JJS_YJD",2,65803,-89.8104,279.0993,10.8585
"y1_d006_JJS_YJD",2,65853,-87.7794,275.5533,12.0987
"y1_d006_JJS_YJD",2,65903,-85.7553,272.0373,13.26516
