"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d009_JMJ_YJD",1,16041,-1.837938,56.6484,6.00045
"y2_d009_JMJ_YJD",1,16091,-1.493691,50.0724,5.81493
"y2_d009_JMJ_YJD",1,16141,-1.180818,43.5513,5.57286
"y2_d009_JMJ_YJD",1,16191,-0.899316,37.0854,5.27421
"y2_d009_JMJ_YJD",1,16241,-0.649188,30.6741,4.91904
"y2_d009_JMJ_YJD",1,16291,-0.430434,24.31809,4.50729
"y2_d009_JMJ_YJD",1,16341,-0.2430498,18.01689,4.03896
"y2_d009_JMJ_YJD",1,16391,-0.0870396,11.77065,3.51411
"y2_d009_JMJ_YJD",1,16441,0.0375981,5.57934,2.932671
"y2_d009_JMJ_YJD",1,16491,0.1308633,-0.556983,2.294682
"y2_d009_JMJ_YJD",1,16541,0.192756,-6.63837,1.600134
"y2_d009_JMJ_YJD",2,28091,-1.534836,52.7856,5.88726
"y2_d009_JMJ_YJD",2,28141,-1.070808,46.1976,5.58648
"y2_d009_JMJ_YJD",2,28191,-0.639354,39.6654,5.23791
"y2_d009_JMJ_YJD",2,28241,-0.2404779,33.1887,4.84152
"y2_d009_JMJ_YJD",2,28291,0.1258221,26.76783,4.39734
"y2_d009_JMJ_YJD",2,28341,0.459549,20.40261,3.90537
"y2_d009_JMJ_YJD",2,28391,0.760695,14.0931,3.36561
"y2_d009_JMJ_YJD",2,28441,1.029267,7.83927,2.778045
"y2_d009_JMJ_YJD",2,28491,1.265262,1.641165,2.142684
"y2_d009_JMJ_YJD",2,28541,1.46868,-4.50126,1.459524
"y2_d009_JMJ_YJD",3,39791,-1.916961,53.166,6.04116
"y2_d009_JMJ_YJD",3,39841,-1.631718,47.1801,5.78583
"y2_d009_JMJ_YJD",3,39891,-1.343718,41.2308,5.47005
"y2_d009_JMJ_YJD",3,39941,-1.052958,35.3184,5.09385
"y2_d009_JMJ_YJD",3,39991,-0.759441,29.44263,4.65726
"y2_d009_JMJ_YJD",3,40041,-0.463167,23.60376,4.16022
"y2_d009_JMJ_YJD",3,40091,-0.1641315,17.80164,3.60273
"y2_d009_JMJ_YJD",3,40141,0.1376607,12.03636,2.98485
"y2_d009_JMJ_YJD",3,40191,0.442212,6.30783,2.306532
"y2_d009_JMJ_YJD",3,40241,0.74952,0.616125,1.567791
"y2_d009_JMJ_YJD",3,40291,2.181495,6.0324,6.35763
"y2_d009_JMJ_YJD",3,40341,3.48273,10.10358,10.83165
"y2_d009_JMJ_YJD",3,40391,4.79538,14.11836,15.18351
"y2_d009_JMJ_YJD",3,40441,6.11916,18.07731,19.41426
"y2_d009_JMJ_YJD",3,40491,7.4538,21.98088,23.52498
"y2_d009_JMJ_YJD",3,40541,8.79897,25.82961,27.51669
"y2_d009_JMJ_YJD",3,40591,10.15443,29.62401,31.3905
"y2_d009_JMJ_YJD",3,40641,11.51985,33.3645,35.1474
"y2_d009_JMJ_YJD",3,40691,12.89496,37.0515,38.7885
"y2_d009_JMJ_YJD",3,40741,14.27946,40.686,42.3147
"y2_d009_JMJ_YJD",3,40791,15.67308,44.2677,45.7272
"y2_d009_JMJ_YJD",3,40841,17.07555,47.7978,49.0272
"y2_d009_JMJ_YJD",3,40891,18.48654,51.2763,52.2153
"y2_d009_JMJ_YJD",3,40941,19.90578,54.7041,55.293
"y2_d009_JMJ_YJD",3,40991,21.33297,58.0815,58.2609
"y2_d009_JMJ_YJD",3,41041,22.76784,61.4091,61.1205
"y2_d009_JMJ_YJD",3,41091,24.21009,64.6872,63.8727
"y2_d009_JMJ_YJD",3,41141,25.65945,67.9161,66.5187
"y2_d009_JMJ_YJD",3,41191,27.11559,71.097,69.0591
"y2_d009_JMJ_YJD",3,41241,28.57827,74.2299,71.4954
"y2_d009_JMJ_YJD",3,41291,30.0471,77.3154,73.8282
"y2_d009_JMJ_YJD",3,41341,31.5219,80.3541,76.059
"y2_d009_JMJ_YJD",3,41391,33.0024,83.346,78.1887
"y2_d009_JMJ_YJD",3,41441,34.4883,86.2923,80.2182
"y2_d009_JMJ_YJD",3,41491,35.9793,89.1933,82.149
"y2_d009_JMJ_YJD",3,41541,37.4751,92.049,83.9817
"y2_d009_JMJ_YJD",3,41591,38.9754,94.8606,85.7172
"y2_d009_JMJ_YJD",3,41641,40.4799,97.6281,87.357
"y2_d009_JMJ_YJD",3,41691,41.9883,100.3524,88.902
"y2_d009_JMJ_YJD",3,41741,43.5003,103.0335,90.3534
"y2_d009_JMJ_YJD",3,41791,45.0156,105.6723,91.7118
"y2_d009_JMJ_YJD",3,41841,46.5339,108.2691,92.9787
"y2_d009_JMJ_YJD",3,41891,48.0552,110.8248,94.155
"y2_d009_JMJ_YJD",3,41941,49.5789,113.3391,95.2419
"y2_d009_JMJ_YJD",3,41991,51.1047,115.8132,96.24
"y2_d009_JMJ_YJD",3,42041,52.6326,118.2471,97.1508
"y2_d009_JMJ_YJD",3,42091,54.162,120.642,97.9752
"y2_d009_JMJ_YJD",3,42141,55.6926,122.9976,98.7141
"y2_d009_JMJ_YJD",3,42191,57.2244,125.3148,99.3687
"y2_d009_JMJ_YJD",3,42241,58.7571,127.5942,99.9402
"y2_d009_JMJ_YJD",3,42291,60.2901,129.8358,100.4295
"y2_d009_JMJ_YJD",3,42341,61.8231,132.0408,100.8375
"y2_d009_JMJ_YJD",3,42391,63.3564,134.2092,101.1657
"y2_d009_JMJ_YJD",3,42441,64.8891,136.3416,101.4147
"y2_d009_JMJ_YJD",3,42491,66.4209,138.4386,101.5857
"y2_d009_JMJ_YJD",3,42541,67.9521,140.5005,101.6796
"y2_d009_JMJ_YJD",3,42591,69.4818,142.5279,101.6976
"y2_d009_JMJ_YJD",3,42641,71.01,144.5214,101.6409
"y2_d009_JMJ_YJD",3,42691,72.5364,146.4816,101.5104
"y2_d009_JMJ_YJD",3,42741,74.0604,148.4085,101.3073
"y2_d009_JMJ_YJD",3,42791,75.5823,150.303,101.0322
"y2_d009_JMJ_YJD",3,42841,77.1015,152.1657,100.6869
"y2_d009_JMJ_YJD",3,42891,78.6177,153.9966,100.2717
"y2_d009_JMJ_YJD",3,42941,80.1306,155.7966,99.7878
"y2_d009_JMJ_YJD",3,42991,81.6396,157.5663,99.2367
"y2_d009_JMJ_YJD",3,43041,83.1453,159.3057,98.6193
"y2_d009_JMJ_YJD",3,43091,84.6465,161.016,97.9362
"y2_d009_JMJ_YJD",3,43141,86.1432,162.6969,97.1889
"y2_d009_JMJ_YJD",3,43191,87.6354,164.3496,96.3783
"y2_d009_JMJ_YJD",3,43241,89.1225,165.9741,95.5056
"y2_d009_JMJ_YJD",3,43291,90.6045,167.571,94.5714
"y2_d009_JMJ_YJD",3,43341,92.0805,169.1409,93.5775
