"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d034_KNB_YJD",1,5777,-2.528328,55.5477,5.9022
"y2_d034_KNB_YJD",1,5810,-2.392836,51.1611,5.8041
"y2_d034_KNB_YJD",1,5843,-2.261712,46.8069,5.68959
"y2_d034_KNB_YJD",1,5876,-2.134959,42.4848,5.5587
"y2_d034_KNB_YJD",1,5909,-2.012574,38.1954,5.41134
"y2_d034_KNB_YJD",1,5942,-1.89456,33.9378,5.2476
"y2_d034_KNB_YJD",1,5975,-1.780914,29.71296,5.06745
"y2_d034_KNB_YJD",1,6008,-1.671639,25.52025,4.87086
"y2_d034_KNB_YJD",1,6041,-1.566735,21.35988,4.65786
"y2_d034_KNB_YJD",1,6074,-1.466199,17.23182,4.42845
"y2_d034_KNB_YJD",1,6107,-1.370034,13.13604,4.18263
"y2_d034_KNB_YJD",1,6140,-1.278237,9.0726,3.92037
"y2_d034_KNB_YJD",1,6173,-1.190811,5.04147,3.64173
"y2_d034_KNB_YJD",1,6206,-1.107756,1.042626,3.34665
"y2_d034_KNB_YJD",1,6239,-1.029069,-2.923893,3.03513
"y2_d034_KNB_YJD",1,6272,-0.954753,-6.85809,2.707233
"y2_d034_KNB_YJD",2,18449,-2.591631,53.9601,5.86143
"y2_d034_KNB_YJD",2,18482,-2.455149,49.584,5.57493
"y2_d034_KNB_YJD",2,18515,-2.32611,45.2358,5.27556
"y2_d034_KNB_YJD",2,18548,-2.20452,40.9161,4.96335
"y2_d034_KNB_YJD",2,18581,-2.090376,36.6246,4.63827
"y2_d034_KNB_YJD",2,18614,-1.983678,32.3613,4.30035
"y2_d034_KNB_YJD",2,18647,-1.884426,28.12635,3.94956
"y2_d034_KNB_YJD",2,18680,-1.79262,23.91957,3.58593
"y2_d034_KNB_YJD",2,18713,-1.708263,19.74108,3.20943
"y2_d034_KNB_YJD",2,18746,-1.631349,15.59085,2.820087
"y2_d034_KNB_YJD",2,18779,-1.561884,11.46885,2.417886
"y2_d034_KNB_YJD",2,18812,-1.499865,7.37511,2.00283
"y2_d034_KNB_YJD",2,18845,-1.445292,3.30963,1.574916
"y2_d034_KNB_YJD",2,18878,-1.398165,-0.727599,1.13415
"y2_d034_KNB_YJD",2,18911,-1.358484,-4.73658,0.680526
"y2_d034_KNB_YJD",3,31946,-2.658633,53.2332,5.75826
"y2_d034_KNB_YJD",3,31979,-2.455317,48.8916,5.54031
"y2_d034_KNB_YJD",3,32012,-2.263053,44.5761,5.30808
"y2_d034_KNB_YJD",3,32045,-2.081841,40.2864,5.0616
"y2_d034_KNB_YJD",3,32078,-1.911681,36.0225,4.80087
"y2_d034_KNB_YJD",3,32111,-1.752573,31.7844,4.52589
"y2_d034_KNB_YJD",3,32144,-1.604517,27.57231,4.23666
"y2_d034_KNB_YJD",3,32177,-1.467513,23.38611,3.93315
"y2_d034_KNB_YJD",3,32210,-1.341561,19.2258,3.61542
"y2_d034_KNB_YJD",3,32243,-1.226661,15.09135,3.28341
"y2_d034_KNB_YJD",3,32276,-1.122813,10.98279,2.937144
"y2_d034_KNB_YJD",3,32309,-1.030017,6.90015,2.576628
"y2_d034_KNB_YJD",3,32342,-0.948273,2.84337,2.201856
"y2_d034_KNB_YJD",3,32375,-0.877581,-1.187517,1.812828
"y2_d034_KNB_YJD",3,32408,-0.817938,-5.19252,1.409547
"y2_d034_KNB_YJD",4,47918,-2.353515,53.874,5.66178
"y2_d034_KNB_YJD",4,47951,-2.212638,49.4586,5.50332
"y2_d034_KNB_YJD",4,47984,-2.071914,45.0711,5.328
"y2_d034_KNB_YJD",4,48017,-1.931349,40.7115,5.13582
"y2_d034_KNB_YJD",4,48050,-1.790937,36.3795,4.92675
"y2_d034_KNB_YJD",4,48083,-1.650684,32.0754,4.70085
"y2_d034_KNB_YJD",4,48116,-1.510584,27.79917,4.45809
"y2_d034_KNB_YJD",4,48149,-1.370643,23.55072,4.19844
"y2_d034_KNB_YJD",4,48182,-1.230858,19.33008,3.92196
"y2_d034_KNB_YJD",4,48215,-1.091229,15.13725,3.62859
"y2_d034_KNB_YJD",4,48248,-0.951756,10.97226,3.31836
"y2_d034_KNB_YJD",4,48281,-0.812439,6.83508,2.991285
"y2_d034_KNB_YJD",4,48314,-0.673278,2.725689,2.647335
"y2_d034_KNB_YJD",4,48347,-0.534273,-1.355871,2.286525
"y2_d034_KNB_YJD",4,48380,-0.395427,-5.40963,1.908852
"y2_d034_KNB_YJD",5,67619,-2.236083,53.9694,5.57919
"y2_d034_KNB_YJD",5,67652,-2.157705,49.5384,5.52045
"y2_d034_KNB_YJD",5,67685,-2.076276,45.138,5.44077
"y2_d034_KNB_YJD",5,67718,-1.99179,40.7682,5.34009
"y2_d034_KNB_YJD",5,67751,-1.904253,36.429,5.21847
"y2_d034_KNB_YJD",5,67784,-1.813665,32.1204,5.07585
"y2_d034_KNB_YJD",5,67817,-1.72002,27.84225,4.91229
"y2_d034_KNB_YJD",5,67850,-1.623324,23.59473,4.72773
"y2_d034_KNB_YJD",5,67883,-1.523574,19.37775,4.52223
"y2_d034_KNB_YJD",5,67916,-1.42077,15.19137,4.29576
"y2_d034_KNB_YJD",5,67949,-1.314915,11.03553,4.04829
"y2_d034_KNB_YJD",5,67982,-1.206006,6.91029,3.77988
"y2_d034_KNB_YJD",5,68015,-1.09404,2.815596,3.4905
"y2_d034_KNB_YJD",5,68048,-0.979026,-1.248513,3.18015
"y2_d034_KNB_YJD",5,68081,-0.860955,-5.28204,2.848815
"y2_d034_KNB_YJD",6,83658,-2.222952,53.1909,5.94906
"y2_d034_KNB_YJD",6,83691,-2.13063,48.8103,5.81169
"y2_d034_KNB_YJD",6,83724,-2.040258,44.4576,5.66073
"y2_d034_KNB_YJD",6,83757,-1.951833,40.1328,5.49615
"y2_d034_KNB_YJD",6,83790,-1.865361,35.8356,5.31801
"y2_d034_KNB_YJD",6,83823,-1.780839,31.5666,5.12625
"y2_d034_KNB_YJD",6,83856,-1.698267,27.32511,4.9209
"y2_d034_KNB_YJD",6,83889,-1.617642,23.11155,4.70196
"y2_d034_KNB_YJD",6,83922,-1.53897,18.92583,4.4694
"y2_d034_KNB_YJD",6,83955,-1.462248,14.76795,4.22328
"y2_d034_KNB_YJD",6,83988,-1.387476,10.63788,3.96354
"y2_d034_KNB_YJD",6,84021,-1.314651,6.53568,3.69021
"y2_d034_KNB_YJD",6,84054,-1.243779,2.461281,3.40329
"y2_d034_KNB_YJD",6,84087,-1.174857,-1.585272,3.10278
"y2_d034_KNB_YJD",6,84120,-1.107885,-5.604,2.78865
"y2_d034_KNB_YJD",7,117153,-2.480454,56.2233,6.02313
"y2_d034_KNB_YJD",7,117186,-2.258901,51.7479,5.82423
"y2_d034_KNB_YJD",7,117219,-2.039877,47.3079,5.61492
