"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d085.5_LFS_YJD",1,32322,-2.260782,57.5034,5.73546
"y2_d085.5_LFS_YJD",1,32372,-2.068794,52.1091,5.97153
"y2_d085.5_LFS_YJD",1,32422,-1.877439,46.7589,6.12669
"y2_d085.5_LFS_YJD",1,32472,-1.686717,41.4525,6.20094
"y2_d085.5_LFS_YJD",1,32522,-1.496631,36.1902,6.19425
"y2_d085.5_LFS_YJD",1,32572,-1.307178,30.9717,6.10662
"y2_d085.5_LFS_YJD",1,32622,-1.118358,25.79709,5.93808
"y2_d085.5_LFS_YJD",1,32672,-0.930174,20.66643,5.6886
"y2_d085.5_LFS_YJD",1,32722,-0.742623,15.57972,5.35821
"y2_d085.5_LFS_YJD",1,32772,-0.555705,10.53693,4.94688
"y2_d085.5_LFS_YJD",1,32822,-0.369423,5.53809,4.45464
"y2_d085.5_LFS_YJD",1,32872,-0.1837731,0.583155,3.88146
"y2_d085.5_LFS_YJD",1,32922,0.001242936,-4.32786,3.22734
"y2_d085.5_LFS_YJD",2,44472,-1.364622,53.6505,5.77632
"y2_d085.5_LFS_YJD",2,44522,-1.130907,47.2047,5.53227
"y2_d085.5_LFS_YJD",2,44572,-0.890754,40.8018,5.24706
"y2_d085.5_LFS_YJD",2,44622,-0.644163,34.4424,4.92063
"y2_d085.5_LFS_YJD",2,44672,-0.391128,28.12614,4.55301
"y2_d085.5_LFS_YJD",2,44722,-0.1316595,21.85332,4.1442
"y2_d085.5_LFS_YJD",2,44772,0.1342494,15.62376,3.69417
"y2_d085.5_LFS_YJD",2,44822,0.406596,9.43755,3.20295
"y2_d085.5_LFS_YJD",2,44872,0.685383,3.29463,2.670546
"y2_d085.5_LFS_YJD",3,63222,-1.594818,57.8931,5.80908
"y2_d085.5_LFS_YJD",3,63272,-1.347546,51.2271,5.61129
"y2_d085.5_LFS_YJD",3,63322,-1.095312,44.634,5.3682
"y2_d085.5_LFS_YJD",3,63372,-0.83811,38.1141,5.07981
"y2_d085.5_LFS_YJD",3,63422,-0.575943,31.6668,4.74612
"y2_d085.5_LFS_YJD",3,63472,-0.308811,25.29276,4.3671
"y2_d085.5_LFS_YJD",3,63522,-0.0367152,18.99165,3.94278
"y2_d085.5_LFS_YJD",3,63572,0.2403459,12.76353,3.47316
"y2_d085.5_LFS_YJD",3,63622,0.522372,6.60837,2.958219
"y2_d085.5_LFS_YJD",3,63672,0.809364,0.526206,2.397969
"y2_d085.5_LFS_YJD",3,63722,1.101321,-5.48295,1.792413
"y2_d085.5_LFS_YJD",4,80672,-1.375089,53.4009,5.78763
"y2_d085.5_LFS_YJD",4,80722,-1.263648,46.8408,5.49936
"y2_d085.5_LFS_YJD",4,80772,-1.149441,40.3218,5.18046
"y2_d085.5_LFS_YJD",4,80822,-1.032468,33.8442,4.83093
"y2_d085.5_LFS_YJD",4,80872,-0.912729,27.40812,4.45074
"y2_d085.5_LFS_YJD",4,80922,-0.790221,21.01317,4.03992
"y2_d085.5_LFS_YJD",4,80972,-0.664947,14.65956,3.59847
"y2_d085.5_LFS_YJD",4,81022,-0.536907,8.34723,3.12633
"y2_d085.5_LFS_YJD",4,81072,-0.406098,2.076213,2.623587
"y2_d085.5_LFS_YJD",5,100522,-1.671183,58.0986,5.81991
"y2_d085.5_LFS_YJD",5,100572,-1.427091,51.4551,5.61972
"y2_d085.5_LFS_YJD",5,100622,-1.191981,44.8662,5.37939
"y2_d085.5_LFS_YJD",5,100672,-0.965847,38.3319,5.09889
"y2_d085.5_LFS_YJD",5,100722,-0.748692,31.8525,4.77828
"y2_d085.5_LFS_YJD",5,100772,-0.540516,25.42764,4.4175
"y2_d085.5_LFS_YJD",5,100822,-0.341322,19.0575,4.01658
"y2_d085.5_LFS_YJD",5,100872,-0.1511046,12.74208,3.57552
"y2_d085.5_LFS_YJD",5,100922,0.0301344,6.48135,3.09432
"y2_d085.5_LFS_YJD",5,100972,0.2023932,0.2753112,2.57298
"y2_d085.5_LFS_YJD",5,101022,1.269909,9.14901,5.41323
"y2_d085.5_LFS_YJD",5,101072,2.182605,13.99758,8.74056
"y2_d085.5_LFS_YJD",5,101122,3.08916,18.81027,11.99766
"y2_d085.5_LFS_YJD",5,101172,3.98961,23.58705,15.18456
