"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d085_LFS_YJD",1,20913,-2.955027,57.945,5.83962
"y2_d085_LFS_YJD",1,20963,-2.56281,51.1881,5.57832
"y2_d085_LFS_YJD",1,21013,-2.212977,44.5179,5.27931
"y2_d085_LFS_YJD",1,21063,-1.905528,37.9344,4.94265
"y2_d085_LFS_YJD",1,21113,-1.64046,31.4376,4.56831
"y2_d085_LFS_YJD",1,21163,-1.417779,25.02729,4.15629
"y2_d085_LFS_YJD",1,21213,-1.237479,18.70374,3.70656
"y2_d085_LFS_YJD",1,21263,-1.099563,12.46683,3.21918
"y2_d085_LFS_YJD",1,21313,-1.004028,6.31659,2.694093
"y2_d085_LFS_YJD",1,21363,-0.950877,0.2529732,2.131332
"y2_d085_LFS_YJD",1,21413,-0.94011,-5.72394,1.530891
"y2_d085_LFS_YJD",2,33463,-1.757508,54.0765,5.39796
"y2_d085_LFS_YJD",2,33513,-1.424883,47.7633,5.3154
"y2_d085_LFS_YJD",2,33563,-1.094907,41.4636,5.166
"y2_d085_LFS_YJD",2,33613,-0.767577,35.1765,4.94979
"y2_d085_LFS_YJD",2,33663,-0.442899,28.90257,4.66677
"y2_d085_LFS_YJD",2,33713,-0.1208697,22.64166,4.31691
"y2_d085_LFS_YJD",2,33763,0.1985097,16.39374,3.90024
"y2_d085_LFS_YJD",2,33813,0.515241,10.15881,3.41676
"y2_d085_LFS_YJD",2,33863,0.829323,3.93687,2.86644
"y2_d085_LFS_YJD",2,33913,1.140756,-2.272053,2.24931
"y2_d085_LFS_YJD",3,47413,-2.13885,55.7289,5.41719
"y2_d085_LFS_YJD",3,47463,-1.851087,49.263,5.20752
"y2_d085_LFS_YJD",3,47513,-1.581534,42.8271,4.93566
"y2_d085_LFS_YJD",3,47563,-1.330197,36.4218,4.60164
"y2_d085_LFS_YJD",3,47613,-1.09707,30.0465,4.20546
"y2_d085_LFS_YJD",3,47663,-0.882156,23.70162,3.74715
"y2_d085_LFS_YJD",3,47713,-0.685458,17.38692,3.22665
"y2_d085_LFS_YJD",3,47763,-0.50697,11.10249,2.644002
"y2_d085_LFS_YJD",3,47813,-0.346698,4.8483,1.999194
"y2_d085_LFS_YJD",3,47863,-0.2046345,-1.375683,1.292226
"y2_d085_LFS_YJD",3,47913,0.791835,7.68285,3.96087
"y2_d085_LFS_YJD",3,47963,1.85736,13.52781,6.22767
"y2_d085_LFS_YJD",3,48013,2.923602,19.31931,8.42379
"y2_d085_LFS_YJD",3,48063,3.99054,25.05741,10.54929
"y2_d085_LFS_YJD",3,48113,5.05824,30.7422,12.60414
"y2_d085_LFS_YJD",3,48163,6.1266,36.3732,14.58831
"y2_d085_LFS_YJD",3,48213,7.19571,41.9511,16.50183
"y2_d085_LFS_YJD",3,48263,8.26551,47.4756,18.3447
"y2_d085_LFS_YJD",3,48313,9.33603,52.9464,20.11689
"y2_d085_LFS_YJD",3,48363,10.4073,58.3638,21.81846
"y2_d085_LFS_YJD",3,48413,11.47923,63.7281,23.44935
"y2_d085_LFS_YJD",3,48463,12.55191,69.0387,25.00956
"y2_d085_LFS_YJD",3,48513,13.62528,74.2959,26.49915
"y2_d085_LFS_YJD",3,48563,14.6994,79.4997,27.91806
"y2_d085_LFS_YJD",3,48613,15.77421,84.6498,29.26635
"y2_d085_LFS_YJD",3,48663,16.84974,89.7468,30.5439
"y2_d085_LFS_YJD",3,48713,17.92596,94.7904,31.7508
"y2_d085_LFS_YJD",3,48763,19.00293,99.7803,32.8872
"y2_d085_LFS_YJD",3,48813,20.08059,104.7171,33.9528
"y2_d085_LFS_YJD",3,48863,21.15897,109.6002,34.9479
"y2_d085_LFS_YJD",3,48913,22.23807,114.4299,35.8722
"y2_d085_LFS_YJD",3,48963,23.31789,119.2062,36.7257
"y2_d085_LFS_YJD",3,49013,24.3984,123.9291,37.5087
"y2_d085_LFS_YJD",3,49063,25.47963,128.5986,38.2212
"y2_d085_LFS_YJD",3,49113,26.56161,133.2147,38.8629
"y2_d085_LFS_YJD",3,49163,27.64428,137.7771,39.4338
"y2_d085_LFS_YJD",3,49213,28.72764,142.2864,39.9342
"y2_d085_LFS_YJD",3,49263,29.81175,146.742,40.3641
"y2_d085_LFS_YJD",3,49313,30.8967,151.1445,40.7229
"y2_d085_LFS_YJD",3,49363,31.9821,155.4933,41.0115
"y2_d085_LFS_YJD",3,49413,33.0684,159.7887,41.2293
"y2_d085_LFS_YJD",3,49463,34.1553,164.0307,41.3763
"y2_d085_LFS_YJD",3,49513,35.2428,168.2193,41.4528
"y2_d085_LFS_YJD",3,49563,36.3312,172.3545,41.4585
"y2_d085_LFS_YJD",3,49613,37.4205,176.436,41.3937
"y2_d085_LFS_YJD",3,49663,38.5101,180.4644,41.2581
"y2_d085_LFS_YJD",3,49713,39.6009,184.4391,41.052
"y2_d085_LFS_YJD",3,49763,40.692,188.3607,40.7751
"y2_d085_LFS_YJD",3,49813,41.784,192.2286,40.4277
"y2_d085_LFS_YJD",3,49863,42.8766,196.0431,40.0095
"y2_d085_LFS_YJD",3,49913,43.9701,199.8042,39.5205
"y2_d085_LFS_YJD",3,49963,45.0642,203.5119,38.961
"y2_d085_LFS_YJD",3,50013,46.1589,207.1662,38.331
"y2_d085_LFS_YJD",3,50063,47.2545,210.7671,37.6302
"y2_d085_LFS_YJD",3,50113,48.3507,214.3146,36.8586
"y2_d085_LFS_YJD",3,50163,49.4475,217.8084,36.0165
"y2_d085_LFS_YJD",3,50213,50.5452,221.2491,35.1039
"y2_d085_LFS_YJD",3,50263,51.6438,224.6361,34.1205
"y2_d085_LFS_YJD",3,50313,52.7427,227.9697,33.0663
"y2_d085_LFS_YJD",3,50363,53.8425,231.2499,31.9416
"y2_d085_LFS_YJD",3,50413,54.9432,234.4767,30.7461
"y2_d085_LFS_YJD",3,50463,56.0442,237.6501,29.48019
"y2_d085_LFS_YJD",3,50513,57.1464,240.7701,28.14348
"y2_d085_LFS_YJD",3,50563,58.2489,243.8367,26.73612
"y2_d085_LFS_YJD",3,50613,59.3523,246.8496,25.25811
"y2_d085_LFS_YJD",3,50663,60.4563,249.8094,23.70942
"y2_d085_LFS_YJD",3,50713,61.5612,252.7155,22.09011
"y2_d085_LFS_YJD",3,50763,62.6667,255.5682,20.40012
