"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d006_NSO_YJD",1,360626,-1.669722,52.0944,5.94705
"y2_d006_NSO_YJD",1,360676,-1.428702,46.5174,5.6673
"y2_d006_NSO_YJD",1,360726,-1.163907,40.9815,5.30751
"y2_d006_NSO_YJD",1,360776,-0.875337,35.4864,4.86768
"y2_d006_NSO_YJD",1,360826,-0.562995,30.0321,4.34781
"y2_d006_NSO_YJD",1,360876,-0.2268759,24.61863,3.7479
"y2_d006_NSO_YJD",1,360926,0.1330164,19.24602,3.06792
"y2_d006_NSO_YJD",1,360976,0.516684,13.91424,2.307921
"y2_d006_NSO_YJD",1,361026,0.924126,8.62332,1.467867
"y2_d006_NSO_YJD",1,361076,1.35534,3.37326,0.547773
"y2_d006_NSO_YJD",1,361126,1.810332,-1.835955,-0.452367
"y2_d006_NSO_YJD",1,361176,2.289096,-7.00434,-1.532553
"y2_d006_NSO_YJD",2,393476,-1.836036,53.7606,5.97699
"y2_d006_NSO_YJD",2,393526,-1.516767,47.4012,5.79027
"y2_d006_NSO_YJD",2,393576,-1.186572,41.0901,5.55222
"y2_d006_NSO_YJD",2,393626,-0.845457,34.8267,5.26281
"y2_d006_NSO_YJD",2,393676,-0.493416,28.61121,4.92207
"y2_d006_NSO_YJD",2,393726,-0.1304478,22.44366,4.52997
"y2_d006_NSO_YJD",2,393776,0.2434416,16.32408,4.08651
"y2_d006_NSO_YJD",2,393826,0.628254,10.25244,3.59175
"y2_d006_NSO_YJD",2,393876,1.023993,4.22871,3.04563
"y2_d006_NSO_YJD",2,393926,1.430652,-1.747086,2.44815
"y2_d006_NSO_YJD",2,393976,1.84824,-7.67499,1.799334
"y2_d006_NSO_YJD",3,426026,-2.012382,52.575,5.89866
"y2_d006_NSO_YJD",3,426076,-1.680585,46.0995,5.74728
"y2_d006_NSO_YJD",3,426126,-1.358604,39.714,5.53347
"y2_d006_NSO_YJD",3,426176,-1.046439,33.4191,5.25726
"y2_d006_NSO_YJD",3,426226,-0.74409,27.21414,4.91865
