"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d092_NYA_YJD",1,39409,2.455284,57.6549,6.66273
"y2_d092_NYA_YJD",1,39459,2.049528,50.9928,6.22377
"y2_d092_NYA_YJD",1,39509,1.682064,44.4105,5.74188
"y2_d092_NYA_YJD",1,39559,1.352892,37.908,5.21709
"y2_d092_NYA_YJD",1,39609,1.062018,31.4853,4.6494
"y2_d092_NYA_YJD",1,39659,0.809433,25.14276,4.03875
"y2_d092_NYA_YJD",1,39709,0.595146,18.88005,3.38523
"y2_d092_NYA_YJD",1,39759,0.419148,12.69723,2.688774
"y2_d092_NYA_YJD",1,39809,0.281445,6.5943,1.949403
"y2_d092_NYA_YJD",1,39859,0.1820358,0.571308,1.16712
"y2_d092_NYA_YJD",1,39909,0.1209201,-5.37177,0.341925
"y2_d092_NYA_YJD",2,51159,2.165502,53.3019,6.38064
"y2_d092_NYA_YJD",2,51209,2.034927,46.6971,6.03978
"y2_d092_NYA_YJD",2,51259,1.91721,40.1598,5.66397
"y2_d092_NYA_YJD",2,51309,1.812357,33.6897,5.25327
"y2_d092_NYA_YJD",2,51359,1.720365,27.28713,4.80762
"y2_d092_NYA_YJD",2,51409,1.641234,20.95179,4.32702
"y2_d092_NYA_YJD",2,51459,1.574967,14.68383,3.8115
"y2_d092_NYA_YJD",2,51509,1.521561,8.48319,3.26106
"y2_d092_NYA_YJD",2,51559,1.481016,2.349897,2.675691
"y2_d092_NYA_YJD",2,51609,1.453335,-3.71601,2.05539
"y2_d092_NYA_YJD",3,62459,2.025141,52.4394,6.19161
"y2_d092_NYA_YJD",3,62509,1.626429,45.9621,5.80725
"y2_d092_NYA_YJD",3,62559,1.26078,39.5649,5.37318
"y2_d092_NYA_YJD",3,62609,0.928197,33.2472,4.8894
"y2_d092_NYA_YJD",3,62659,0.628683,27.00939,4.35594
"y2_d092_NYA_YJD",3,62709,0.362229,20.8512,3.77277
"y2_d092_NYA_YJD",3,62759,0.1288443,14.77272,3.13992
"y2_d092_NYA_YJD",3,62809,-0.0714771,8.77392,2.45736
"y2_d092_NYA_YJD",3,62859,-0.2387325,2.854872,1.725111
"y2_d092_NYA_YJD",3,62909,-0.565236,6.00471,3.50994
"y2_d092_NYA_YJD",3,62959,-0.0870462,10.74819,5.15325
"y2_d092_NYA_YJD",3,63009,0.40275,15.45549,6.72822
"y2_d092_NYA_YJD",3,63059,0.904155,20.12658,8.23485
"y2_d092_NYA_YJD",3,63109,1.417161,24.76146,9.67317
"y2_d092_NYA_YJD",3,63159,1.941777,29.36013,11.04312
"y2_d092_NYA_YJD",3,63209,2.477997,33.9225,12.34473
"y2_d092_NYA_YJD",3,63259,3.02583,38.4489,13.578
"y2_d092_NYA_YJD",3,63309,3.58527,42.939,14.74293
"y2_d092_NYA_YJD",3,63359,4.15629,47.3928,15.83955
"y2_d092_NYA_YJD",3,63409,4.73895,51.8106,16.8678
"y2_d092_NYA_YJD",3,63459,5.33319,56.1921,17.82771
"y2_d092_NYA_YJD",3,63509,5.93904,60.5373,18.71928
"y2_d092_NYA_YJD",3,63559,6.55653,64.8462,19.54251
"y2_d092_NYA_YJD",3,63609,7.1856,69.1191,20.2974
"y2_d092_NYA_YJD",3,63659,7.82625,73.3557,20.98395
"y2_d092_NYA_YJD",3,63709,8.47854,77.5563,21.60216
"y2_d092_NYA_YJD",3,63759,9.14244,81.7203,22.15206
"y2_d092_NYA_YJD",3,63809,9.81792,85.8486,22.63359
"y2_d092_NYA_YJD",3,63859,10.50504,89.9403,23.04678
"y2_d092_NYA_YJD",3,63909,11.20374,93.996,23.39163
"y2_d092_NYA_YJD",3,63959,11.91405,98.0154,23.66814
"y2_d092_NYA_YJD",3,64009,12.63597,101.9985,23.87631
