"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d060_POW_YJD",1,46242,-2.052393,56.5482,6.05751
"y2_d060_POW_YJD",1,46275,-1.793832,52.2045,5.85201
"y2_d060_POW_YJD",1,46308,-1.552608,47.8914,5.62569
"y2_d060_POW_YJD",1,46341,-1.328724,43.6089,5.37852
"y2_d060_POW_YJD",1,46374,-1.12218,39.3573,5.1105
"y2_d060_POW_YJD",1,46407,-0.93297,35.136,4.82166
"y2_d060_POW_YJD",1,46440,-0.761103,30.9453,4.512
"y2_d060_POW_YJD",1,46473,-0.606576,26.78517,4.18149
"y2_d060_POW_YJD",1,46506,-0.469386,22.65567,3.83013
"y2_d060_POW_YJD",1,46539,-0.349536,18.5568,3.45795
"y2_d060_POW_YJD",1,46572,-0.2470242,14.48847,3.06492
"y2_d060_POW_YJD",1,46605,-0.1618515,10.45077,2.65107
"y2_d060_POW_YJD",1,46638,-0.0940182,6.44364,2.216373
"y2_d060_POW_YJD",1,46671,-0.0435237,2.467101,1.760841
"y2_d060_POW_YJD",1,46704,-0.01036803,-1.478847,1.284471
"y2_d060_POW_YJD",1,46737,0.00544857,-5.39421,0.787263
"y2_d060_POW_YJD",2,58617,-2.286273,53.2206,5.74821
"y2_d060_POW_YJD",2,58650,-2.170674,49.4946,5.80092
"y2_d060_POW_YJD",2,58683,-2.066922,45.7887,5.81874
"y2_d060_POW_YJD",2,58716,-1.975014,42.1029,5.80161
"y2_d060_POW_YJD",2,58749,-1.89495,38.4372,5.74962
"y2_d060_POW_YJD",2,58782,-1.826733,34.7916,5.66268
"y2_d060_POW_YJD",2,58815,-1.77036,31.1661,5.54088
"y2_d060_POW_YJD",2,58848,-1.725834,27.56088,5.38413
"y2_d060_POW_YJD",2,58881,-1.693152,23.97564,5.19249
"y2_d060_POW_YJD",2,58914,-1.672314,20.4105,4.96596
"y2_d060_POW_YJD",2,58947,-1.663323,16.86546,4.70451
"y2_d060_POW_YJD",2,58980,-1.666176,13.34052,4.40814
"y2_d060_POW_YJD",2,59013,-1.680876,9.83571,4.07688
"y2_d060_POW_YJD",2,59046,-1.70742,6.35097,3.7107
"y2_d060_POW_YJD",2,59079,-1.745808,2.886375,3.30963
"y2_d060_POW_YJD",2,59112,-1.796043,-0.558129,2.873643
