"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d013_RQJ_YJD",1,4517162,-1.420077,54.7458,6.49077
"y2_d013_RQJ_YJD",1,4517212,-1.121319,48.3117,6.16038
"y2_d013_RQJ_YJD",1,4517262,-0.831981,41.9367,5.78583
"y2_d013_RQJ_YJD",1,4517312,-0.552063,35.6205,5.36721
"y2_d013_RQJ_YJD",1,4517362,-0.2815686,29.36325,4.90443
"y2_d013_RQJ_YJD",1,4517412,-0.0204951,23.16501,4.39758
"y2_d013_RQJ_YJD",1,4517462,0.2311569,17.02575,3.84657
"y2_d013_RQJ_YJD",1,4517512,0.473388,10.94544,3.25146
"y2_d013_RQJ_YJD",1,4517562,0.706197,4.92411,2.612259
"y2_d013_RQJ_YJD",1,4517612,0.929586,-1.038264,1.928928
"y2_d013_RQJ_YJD",1,4517662,1.143552,-6.94167,1.201482
"y2_d013_RQJ_YJD",2,4528362,-1.639803,54.1392,6.39294
"y2_d013_RQJ_YJD",2,4528412,-1.267068,47.6634,6.07917
"y2_d013_RQJ_YJD",2,4528462,-0.905967,41.235,5.72223
"y2_d013_RQJ_YJD",2,4528512,-0.556497,34.8543,5.32215
"y2_d013_RQJ_YJD",2,4528562,-0.2186622,28.52103,4.87893
"y2_d013_RQJ_YJD",2,4528612,0.1075395,22.23528,4.39254
"y2_d013_RQJ_YJD",2,4528662,0.422109,15.99708,3.86301
"y2_d013_RQJ_YJD",2,4528712,0.725043,9.80637,3.29031
"y2_d013_RQJ_YJD",2,4528762,1.016346,3.66315,2.674446
"y2_d013_RQJ_YJD",2,4528812,1.056108,6.49281,0.568407
"y2_d013_RQJ_YJD",2,4528862,-0.381705,13.94568,0.604998
"y2_d013_RQJ_YJD",2,4528912,-1.720929,20.97201,0.726945
"y2_d013_RQJ_YJD",2,4528962,-2.975019,27.62334,0.903618
"y2_d013_RQJ_YJD",2,4529012,-4.15743,33.9513,1.104399
"y2_d013_RQJ_YJD",2,4529062,-5.28162,40.0074,1.298649
"y2_d013_RQJ_YJD",2,4529112,-6.36105,45.8433,1.45575
"y2_d013_RQJ_YJD",2,4529162,-7.40916,51.5106,1.545072
"y2_d013_RQJ_YJD",2,4529212,-8.43945,57.0609,1.535985
"y2_d013_RQJ_YJD",2,4529262,-9.4653,62.5455,1.397865
"y2_d013_RQJ_YJD",2,4529312,-10.50021,68.0163,1.100085
"y2_d013_RQJ_YJD",2,4529362,-11.55765,73.5249,0.612015
"y2_d013_RQJ_YJD",2,4529412,-12.65106,79.1226,-0.0969675
"y2_d013_RQJ_YJD",2,4529462,-13.42842,82.5216,0.518832
"y2_d013_RQJ_YJD",2,4529512,-14.24493,86.6988,0.831492
"y2_d013_RQJ_YJD",2,4529562,-15.05922,90.8205,1.042071
"y2_d013_RQJ_YJD",2,4529612,-15.87135,94.8864,1.150578
"y2_d013_RQJ_YJD",2,4529662,-16.68126,98.8965,1.157004
"y2_d013_RQJ_YJD",2,4529712,-17.48901,102.8508,1.061355
"y2_d013_RQJ_YJD",2,4529762,-18.29457,106.7496,0.863628
"y2_d013_RQJ_YJD",2,4529812,-19.09794,110.5926,0.563826
"y2_d013_RQJ_YJD",2,4529862,-19.89909,114.3798,0.1619469
"y2_d013_RQJ_YJD",2,4529912,-20.60172,117.7377,0.491928
"y2_d013_RQJ_YJD",2,4529962,-21.31212,121.1487,0.731133
"y2_d013_RQJ_YJD",2,4530012,-22.02,124.5147,0.878529
"y2_d013_RQJ_YJD",2,4530062,-22.72536,127.8357,0.934113
"y2_d013_RQJ_YJD",2,4530112,-23.4282,131.1117,0.897891
"y2_d013_RQJ_YJD",2,4530162,-24.12849,134.3427,0.769857
"y2_d013_RQJ_YJD",2,4530212,-24.82626,137.5284,0.550014
"y2_d013_RQJ_YJD",2,4530262,-25.52148,140.6694,0.2383593
"y2_d013_RQJ_YJD",2,4530312,-26.00448,146.9157,-0.02756997
"y2_d013_RQJ_YJD",2,4530362,-26.77503,149.5644,0.0563817
"y2_d013_RQJ_YJD",2,4530412,-27.51876,152.2215,0.1255065
"y2_d013_RQJ_YJD",2,4530462,-28.23564,154.887,0.1798047
"y2_d013_RQJ_YJD",2,4530512,-28.92573,157.5609,0.2192763
"y2_d013_RQJ_YJD",2,4530562,-29.58897,160.2432,0.243921
"y2_d013_RQJ_YJD",2,4530612,-30.2253,162.9342,0.2537391
"y2_d013_RQJ_YJD",2,4530662,-30.8349,165.6336,0.2487306
"y2_d013_RQJ_YJD",2,4530712,-31.4178,168.3411,0.2288952
"y2_d013_RQJ_YJD",2,4530762,-31.9737,171.0573,0.1942329
"y2_d013_RQJ_YJD",2,4530812,-32.5026,173.7819,0.144744
"y2_d013_RQJ_YJD",2,4530862,-33.0051,176.5152,0.0804285
"y2_d013_RQJ_YJD",2,4530912,-33.4803,179.2566,0.00128627099999999
"y2_d013_RQJ_YJD",2,4530962,-34.1193,181.7226,0.0322593
"y2_d013_RQJ_YJD",2,4531012,-34.8264,183.918,0.1098204
"y2_d013_RQJ_YJD",2,4531062,-35.493,186.1239,0.1645302
"y2_d013_RQJ_YJD",2,4531112,-36.1191,188.3403,0.1963899
"y2_d013_RQJ_YJD",2,4531162,-36.7047,190.5669,0.2053992
"y2_d013_RQJ_YJD",2,4531212,-37.2498,192.804,0.1915578
"y2_d013_RQJ_YJD",2,4531262,-37.7541,195.0513,0.1548657
"y2_d013_RQJ_YJD",2,4531312,-38.2179,197.3091,0.0953235
"y2_d013_RQJ_YJD",2,4531362,-38.6412,199.5771,0.01293057
"y2_d013_RQJ_YJD",2,4531412,-39.0921,201.726,-0.0436119
"y2_d013_RQJ_YJD",2,4531462,-39.6294,203.7543,-0.02544639
"y2_d013_RQJ_YJD",2,4531512,-40.1529,205.7481,-0.01050078
"y2_d013_RQJ_YJD",2,4531562,-40.6623,207.7074,0.001224747
