"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d042_RZQ_YJD",1,9664,-2.425323,54.3591,5.76186
"y2_d042_RZQ_YJD",1,9714,-1.98567,47.8851,5.5431
"y2_d042_RZQ_YJD",1,9764,-1.565295,41.4732,5.27256
"y2_d042_RZQ_YJD",1,9814,-1.164195,35.1231,4.95021
"y2_d042_RZQ_YJD",1,9864,-0.78237,28.83531,4.57605
"y2_d042_RZQ_YJD",1,9914,-0.419823,22.6095,4.15011
"y2_d042_RZQ_YJD",1,9964,-0.0765507,16.44573,3.67236
"y2_d042_RZQ_YJD",1,10014,0.2474475,10.34397,3.1428
"y2_d042_RZQ_YJD",1,10064,0.552168,4.30434,2.561454
"y2_d042_RZQ_YJD",1,10114,0.837612,-1.673268,1.928304
"y2_d042_RZQ_YJD",1,10164,1.103784,-7.5888,1.243353
"y2_d042_RZQ_YJD",2,23364,-3.02718,61.6386,6.08532
"y2_d042_RZQ_YJD",2,23414,-2.635776,54.6057,5.81598
"y2_d042_RZQ_YJD",2,23464,-2.287482,47.7036,5.4888
"y2_d042_RZQ_YJD",2,23514,-1.982307,40.9323,5.10375
"y2_d042_RZQ_YJD",2,23564,-1.720254,34.2921,4.66089
"y2_d042_RZQ_YJD",2,23614,-1.50132,27.78297,4.16019
"y2_d042_RZQ_YJD",2,23664,-1.325505,21.40461,3.60165
"y2_d042_RZQ_YJD",2,23714,-1.192809,15.15723,2.985249
"y2_d042_RZQ_YJD",2,23764,-1.103229,9.04074,2.31102
"y2_d042_RZQ_YJD",2,23814,-1.056771,3.0552,1.578957
"y2_d042_RZQ_YJD",2,23864,-1.053432,-2.799378,0.789054
"y2_d042_RZQ_YJD",3,38714,-2.235051,52.1283,5.83113
"y2_d042_RZQ_YJD",3,38764,-1.911648,46.2693,5.59176
"y2_d042_RZQ_YJD",3,38814,-1.605918,40.4607,5.29704
"y2_d042_RZQ_YJD",3,38864,-1.317867,34.7025,4.947
"y2_d042_RZQ_YJD",3,38914,-1.047486,28.99473,4.54161
"y2_d042_RZQ_YJD",3,38964,-0.794781,23.33733,4.08087
"y2_d042_RZQ_YJD",3,39014,-0.559749,17.7303,3.56478
"y2_d042_RZQ_YJD",3,39064,-0.342393,12.1737,2.993379
"y2_d042_RZQ_YJD",3,39114,-0.1427112,6.66747,2.366628
"y2_d042_RZQ_YJD",3,39164,0.0392961,1.21164,1.684539
"y2_d042_RZQ_YJD",3,39214,0.2036292,-4.19379,0.947109
"y2_d042_RZQ_YJD",4,54514,-2.412648,56.1636,5.7585
"y2_d042_RZQ_YJD",4,54564,-2.002911,49.4184,5.49468
"y2_d042_RZQ_YJD",4,54614,-1.620552,42.7503,5.19357
"y2_d042_RZQ_YJD",4,54664,-1.265571,36.1593,4.85517
"y2_d042_RZQ_YJD",4,54714,-0.937968,29.64576,4.47951
"y2_d042_RZQ_YJD",4,54764,-0.63774,23.20938,4.06656
"y2_d042_RZQ_YJD",4,54814,-0.364893,16.85028,3.61635
"y2_d042_RZQ_YJD",4,54864,-0.1194225,10.56843,3.12888
"y2_d042_RZQ_YJD",4,54914,0.0986703,4.36386,2.604102
"y2_d042_RZQ_YJD",4,54964,0.2893857,-1.763487,2.042061
"y2_d042_RZQ_YJD",4,55014,0.452724,-7.81359,1.442745
"y2_d042_RZQ_YJD",5,84014,-2.341248,54.6735,5.79153
"y2_d042_RZQ_YJD",5,84064,-2.142648,48.6708,5.65284
"y2_d042_RZQ_YJD",5,84114,-1.936836,42.7269,5.43987
"y2_d042_RZQ_YJD",5,84164,-1.723812,36.8418,5.15265
"y2_d042_RZQ_YJD",5,84214,-1.503573,31.0155,4.79115
"y2_d042_RZQ_YJD",5,84264,-1.276125,25.24797,4.35537
"y2_d042_RZQ_YJD",5,84314,-1.041462,19.53924,3.84534
"y2_d042_RZQ_YJD",5,84364,-0.799587,13.88928,3.26103
"y2_d042_RZQ_YJD",5,84414,-0.550503,8.29809,2.602458
"y2_d042_RZQ_YJD",5,84464,-0.2942034,2.765685,1.869606
"y2_d042_RZQ_YJD",5,84514,-0.0306912,-2.707965,1.062483
"y2_d042_RZQ_YJD",6,98264,-2.268294,52.9512,5.59536
"y2_d042_RZQ_YJD",6,98314,-1.997706,46.3215,5.38662
"y2_d042_RZQ_YJD",6,98364,-1.743561,39.7743,5.13141
"y2_d042_RZQ_YJD",6,98414,-1.505865,33.3093,4.82976
"y2_d042_RZQ_YJD",6,98464,-1.284612,26.92644,4.48164
"y2_d042_RZQ_YJD",6,98514,-1.079808,20.62596,4.08708
"y2_d042_RZQ_YJD",6,98564,-0.891447,14.40783,3.64605
"y2_d042_RZQ_YJD",6,98614,-0.719535,8.27199,3.15858
"y2_d042_RZQ_YJD",6,98664,-0.564066,2.218443,2.624652
"y2_d042_RZQ_YJD",7,122664,-1.778445,52.0407,5.64432
"y2_d042_RZQ_YJD",7,122714,-1.386654,45.9198,5.33121
"y2_d042_RZQ_YJD",7,122764,-0.977154,39.8595,4.94829
"y2_d042_RZQ_YJD",7,122814,-0.549951,33.8595,4.49553
"y2_d042_RZQ_YJD",7,122864,-0.1050372,27.9201,3.97296
"y2_d042_RZQ_YJD",7,122914,0.357582,22.04109,3.38055
"y2_d042_RZQ_YJD",7,122964,0.837912,16.22253,2.718333
"y2_d042_RZQ_YJD",7,123014,1.335951,10.46439,1.986285
"y2_d042_RZQ_YJD",7,123064,1.851693,4.7667,1.184421
"y2_d042_RZQ_YJD",7,123114,2.385144,-0.87051,0.312732
"y2_d042_RZQ_YJD",7,123164,2.936304,-6.4473,-0.628779
"y2_d042_RZQ_YJD",8,141964,-2.048568,53.2959,5.62836
"y2_d042_RZQ_YJD",8,142014,-1.913925,46.7019,5.43336
"y2_d042_RZQ_YJD",8,142064,-1.801545,40.1811,5.17554
"y2_d042_RZQ_YJD",8,142114,-1.711428,33.7338,4.8549
"y2_d042_RZQ_YJD",8,142164,-1.643571,27.35955,4.47141
"y2_d042_RZQ_YJD",8,142214,-1.597977,21.05874,4.02513
"y2_d042_RZQ_YJD",8,142264,-1.574643,14.83125,3.516
"y2_d042_RZQ_YJD",8,142314,-1.573575,8.67711,2.944071
"y2_d042_RZQ_YJD",8,142364,-1.594767,2.596305,2.30931
"y2_d042_RZQ_YJD",8,142414,-1.638219,-3.41118,1.611726
"y2_d042_RZQ_YJD",9,154864,-2.124747,52.311,5.74443
"y2_d042_RZQ_YJD",9,154914,-1.868814,46.3539,5.56665
"y2_d042_RZQ_YJD",9,154964,-1.595826,40.4457,5.31789
"y2_d042_RZQ_YJD",9,155014,-1.305777,34.5867,4.99806
"y2_d042_RZQ_YJD",9,155064,-0.998673,28.77648,4.60722
"y2_d042_RZQ_YJD",9,155114,-0.674514,23.01537,4.14537
"y2_d042_RZQ_YJD",9,155164,-0.333297,17.30325,3.61248
"y2_d042_RZQ_YJD",9,155214,0.02497536,11.64018,3.00858
"y2_d042_RZQ_YJD",9,155264,0.400308,6.0261,2.333646
"y2_d042_RZQ_YJD",9,155314,0.792693,0.461046,1.587687
"y2_d042_RZQ_YJD",9,155364,0.0597375,8.37375,3.61107
"y2_d042_RZQ_YJD",9,155414,-0.630861,13.17918,4.63779
"y2_d042_RZQ_YJD",9,155464,-1.309299,17.94381,5.58843
"y2_d042_RZQ_YJD",9,155514,-1.975575,22.66761,6.46299
"y2_d042_RZQ_YJD",9,155564,-2.629686,27.35055,7.26147
"y2_d042_RZQ_YJD",9,155614,-3.27162,31.9926,7.98387
"y2_d042_RZQ_YJD",9,155664,-3.90141,36.594,8.63019
"y2_d042_RZQ_YJD",9,155714,-4.51905,41.1543,9.20043
"y2_d042_RZQ_YJD",9,155764,-5.12451,45.6741,9.69459
"y2_d042_RZQ_YJD",9,155814,-5.71779,50.1528,10.11267
"y2_d042_RZQ_YJD",9,155864,-6.29892,54.5907,10.45467
"y2_d042_RZQ_YJD",9,155914,-6.8679,58.9878,10.72059
"y2_d042_RZQ_YJD",9,155964,-7.4247,63.3441,10.91043
"y2_d042_RZQ_YJD",9,156014,-7.96935,67.6596,11.02422
"y2_d042_RZQ_YJD",9,156064,-8.50185,71.9343,11.0619
"y2_d042_RZQ_YJD",9,156114,-9.02217,76.1679,11.0235
"y2_d042_RZQ_YJD",9,156164,-9.53031,80.361,10.90902
"y2_d042_RZQ_YJD",9,156214,-10.02633,84.513,10.71846
"y2_d042_RZQ_YJD",9,156264,-10.51014,88.6245,10.45182
"y2_d042_RZQ_YJD",9,156314,-10.98183,92.6949,10.10913
"y2_d042_RZQ_YJD",9,156364,-11.44134,96.7245,9.69033
"y2_d042_RZQ_YJD",9,156414,-11.88867,100.7133,9.19545
"y2_d042_RZQ_YJD",9,156464,-12.32385,104.6613,8.62449
"y2_d042_RZQ_YJD",9,156514,-12.74688,108.5682,7.97745
"y2_d042_RZQ_YJD",9,156564,-13.15773,112.4346,7.25436
"y2_d042_RZQ_YJD",9,156614,-13.55643,116.2599,6.45516
"y2_d042_RZQ_YJD",9,156664,-13.94295,120.0447,5.57988
"y2_d042_RZQ_YJD",9,156714,-14.31732,123.7884,4.62852
"y2_d042_RZQ_YJD",9,156764,-14.67951,127.4913,3.60111
"y2_d042_RZQ_YJD",9,156814,-15.02958,131.1534,2.497587
"y2_d042_RZQ_YJD",9,156864,-15.36744,134.7747,1.317996
"y2_d042_RZQ_YJD",9,156914,-15.69315,138.3552,0.0623274
"y2_d042_RZQ_YJD",9,156964,-16.05444,140.7735,0.870678
"y2_d042_RZQ_YJD",9,157014,-16.32597,143.2116,1.468293
"y2_d042_RZQ_YJD",9,157064,-16.62666,145.6893,1.984428
"y2_d042_RZQ_YJD",9,157114,-16.95657,148.2066,2.419089
"y2_d042_RZQ_YJD",9,157164,-17.31567,150.7632,2.772273
"y2_d042_RZQ_YJD",9,157214,-17.70396,153.3597,3.04398
"y2_d042_RZQ_YJD",9,157264,-18.12144,155.9955,3.23421
"y2_d042_RZQ_YJD",9,158414,-9.02076,161.2521,4.15359
"y2_d042_RZQ_YJD",9,158464,-5.63535,156.7065,4.89081
"y2_d042_RZQ_YJD",9,158514,-2.29539,152.1894,5.55117
"y2_d042_RZQ_YJD",9,158564,0.999099,147.7008,6.1347
"y2_d042_RZQ_YJD",9,158614,4.24815,143.2404,6.64134
"y2_d042_RZQ_YJD",9,158664,7.45173,138.8082,7.07115
"y2_d042_RZQ_YJD",9,158714,10.60986,134.4042,7.42407
"y2_d042_RZQ_YJD",9,158764,13.72254,130.0287,7.70016
"y2_d042_RZQ_YJD",9,158814,16.78977,125.6817,7.89939
"y2_d042_RZQ_YJD",9,158864,19.81155,121.3626,8.02173
"y2_d042_RZQ_YJD",9,158914,22.78788,117.072,8.06724
"y2_d042_RZQ_YJD",9,158964,25.71876,112.8096,8.03589
"y2_d042_RZQ_YJD",9,159014,28.60419,108.5757,7.92771
"y2_d042_RZQ_YJD",9,159064,31.4442,104.37,7.74264
"y2_d042_RZQ_YJD",9,159114,34.2387,100.1928,7.48071
"y2_d042_RZQ_YJD",9,159164,36.9876,96.0435,7.14195
"y2_d042_RZQ_YJD",9,159214,39.6912,91.923,6.7263
"y2_d042_RZQ_YJD",9,159264,42.3495,87.8304,6.23382
"y2_d042_RZQ_YJD",9,159314,44.9622,83.7663,5.66445
"y2_d042_RZQ_YJD",9,159364,47.5296,79.7304,5.01825
"y2_d042_RZQ_YJD",9,159414,50.0514,75.723,4.29519
"y2_d042_RZQ_YJD",9,159464,52.5276,71.7438,3.49527
"y2_d042_RZQ_YJD",9,159514,54.9585,67.7928,2.61849
"y2_d042_RZQ_YJD",9,159564,57.3438,63.87,1.664856
"y2_d042_RZQ_YJD",10,197914,-2.623026,56.6055,5.60481
"y2_d042_RZQ_YJD",10,197964,-2.408448,50.043,5.57658
"y2_d042_RZQ_YJD",10,198014,-2.226252,43.5426,5.49183
"y2_d042_RZQ_YJD",10,198064,-2.076444,37.1049,5.35047
"y2_d042_RZQ_YJD",10,198114,-1.959024,30.7293,5.15256
"y2_d042_RZQ_YJD",10,198164,-1.873986,24.41589,4.8981
"y2_d042_RZQ_YJD",10,198214,-1.821336,18.16491,4.58706
