game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y2_d043_RZQ_YJD,1,30501,1.76976,56.4381,6.37182
y2_d043_RZQ_YJD,1,30551,1.581342,50.9907,6.26385
y2_d043_RZQ_YJD,1,30601,1.380024,45.5664,6.07191
y2_d043_RZQ_YJD,1,30651,1.1658,40.1649,5.796
y2_d043_RZQ_YJD,1,30701,0.938673,34.7865,5.43609
y2_d043_RZQ_YJD,1,30751,0.698643,29.43084,4.99221
y2_d043_RZQ_YJD,1,30801,0.445707,24.09822,4.46436
y2_d043_RZQ_YJD,1,30851,0.1798713,18.78852,3.85251
y2_d043_RZQ_YJD,1,30901,-0.0988707,13.50174,3.15669
y2_d043_RZQ_YJD,1,30951,-0.390516,8.23791,2.376912
y2_d043_RZQ_YJD,1,31001,-0.695061,2.997018,1.513143
y2_d043_RZQ_YJD,1,31051,-1.012512,-2.220933,0.565398
y2_d043_RZQ_YJD,1,31101,-1.342869,-7.41594,-0.466326
y2_d043_RZQ_YJD,2,45051,1.70763,53.2749,5.89539
y2_d043_RZQ_YJD,2,45101,1.474392,46.7631,5.50374
y2_d043_RZQ_YJD,2,45151,1.243908,40.3026,5.07408
y2_d043_RZQ_YJD,2,45201,1.016175,33.8937,4.60638
y2_d043_RZQ_YJD,2,45251,0.791196,27.53628,4.10067
y2_d043_RZQ_YJD,2,45301,0.568971,21.23013,3.55692
y2_d043_RZQ_YJD,2,45351,0.349494,14.97543,2.975151
y2_d043_RZQ_YJD,2,45401,0.1327716,8.77209,2.355357
y2_d043_RZQ_YJD,2,45451,-0.0811983,2.620203,1.697541
y2_d043_RZQ_YJD,2,45501,-0.2924157,-3.48027,1.001703
y2_d043_RZQ_YJD,3,61201,2.212953,56.8365,6.20322
y2_d043_RZQ_YJD,3,61251,1.892796,49.914,5.8467
y2_d043_RZQ_YJD,3,61301,1.595163,43.092,5.46246
y2_d043_RZQ_YJD,3,61351,1.320051,36.3708,5.05047
y2_d043_RZQ_YJD,3,61401,1.067457,29.75007,4.61076
y2_d043_RZQ_YJD,3,61451,0.837387,23.23023,4.14327
y2_d043_RZQ_YJD,3,61501,0.629838,16.81113,3.64806
y2_d043_RZQ_YJD,3,61551,0.44481,10.49271,3.1251
y2_d043_RZQ_YJD,3,61601,0.2823051,4.27503,2.574402
y2_d043_RZQ_YJD,3,61651,1.125933,1.784208,2.141697
y2_d043_RZQ_YJD,3,61701,5.04885,5.95227,1.118331
y2_d043_RZQ_YJD,3,61751,12.05631,16.89576,-0.459867
y2_d043_RZQ_YJD,3,61801,12.57657,15.60369,0.528411
y2_d043_RZQ_YJD,3,61851,15.81765,19.7412,0.727269
y2_d043_RZQ_YJD,3,61901,19.03821,23.79624,0.830307
y2_d043_RZQ_YJD,3,61951,22.23825,27.76881,0.837525
y2_d043_RZQ_YJD,3,62001,25.4178,31.659,0.748926
y2_d043_RZQ_YJD,3,62051,28.5768,35.4666,0.564507
y2_d043_RZQ_YJD,3,62101,31.7154,39.1917,0.2842704
y2_d043_RZQ_YJD,3,62151,34.4256,42.5184,0.4317
y2_d043_RZQ_YJD,3,62201,37.0323,45.7473,0.563937
y2_d043_RZQ_YJD,3,62251,39.5958,48.9036,0.618816
y2_d043_RZQ_YJD,3,62301,42.1164,51.9864,0.596334
y2_d043_RZQ_YJD,3,62351,44.5941,54.9966,0.496491
y2_d043_RZQ_YJD,3,62401,47.0289,57.9336,0.31929
y2_d043_RZQ_YJD,3,62451,49.4205,60.7977,0.0647259
y2_d043_RZQ_YJD,3,62501,51.4281,63.3984,0.627684
