"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d016_TEQ_YJD",1,51979,-1.675497,56.4015,6.04203
"y2_d016_TEQ_YJD",1,52012,-1.48092,52.0266,5.85315
"y2_d016_TEQ_YJD",1,52045,-1.297563,47.6841,5.64
"y2_d016_TEQ_YJD",1,52078,-1.12542,43.374,5.40258
"y2_d016_TEQ_YJD",1,52111,-0.9645,39.0963,5.14089
"y2_d016_TEQ_YJD",1,52144,-0.814794,34.8507,4.85493
"y2_d016_TEQ_YJD",1,52177,-0.676305,30.6375,4.54467
"y2_d016_TEQ_YJD",1,52210,-0.549036,26.45685,4.21017
"y2_d016_TEQ_YJD",1,52243,-0.432987,22.30842,3.85137
"y2_d016_TEQ_YJD",1,52276,-0.328152,18.19233,3.46833
"y2_d016_TEQ_YJD",1,52309,-0.2345355,14.10864,3.06099
"y2_d016_TEQ_YJD",1,52342,-0.1521375,10.05729,2.629392
"y2_d016_TEQ_YJD",1,52375,-0.0809577,6.03828,2.173518
"y2_d016_TEQ_YJD",1,52408,-0.0209955,2.051631,1.693371
"y2_d016_TEQ_YJD",1,52441,0.02774877,-1.90266,1.188954
"y2_d016_TEQ_YJD",1,52474,0.0652752,-5.82459,0.660261
"y2_d016_TEQ_YJD",2,63034,-1.752171,57.0954,5.90463
"y2_d016_TEQ_YJD",2,63067,-1.523901,52.6671,5.77224
"y2_d016_TEQ_YJD",2,63100,-1.308225,48.273,5.61096
"y2_d016_TEQ_YJD",2,63133,-1.105146,43.9122,5.42085
"y2_d016_TEQ_YJD",2,63166,-0.914661,39.5853,5.20188
"y2_d016_TEQ_YJD",2,63199,-0.73677,35.2923,4.95405
"y2_d016_TEQ_YJD",2,63232,-0.571473,31.0332,4.67736
"y2_d016_TEQ_YJD",2,63265,-0.41877,26.80767,4.37181
"y2_d016_TEQ_YJD",2,63298,-0.2786607,22.61598,4.0374
"y2_d016_TEQ_YJD",2,63331,-0.1511472,18.45807,3.67416
"y2_d016_TEQ_YJD",2,63364,-0.0362277,14.33394,3.28203
"y2_d016_TEQ_YJD",2,63397,0.0660972,10.24359,2.861058
"y2_d016_TEQ_YJD",2,63430,0.1558278,6.18702,2.411229
"y2_d016_TEQ_YJD",2,63463,0.2329638,2.164239,1.932543
"y2_d016_TEQ_YJD",2,63496,1.813962,2.426574,-0.1298601
"y2_d016_TEQ_YJD",2,63529,3.24996,5.14134,0.933939
"y2_d016_TEQ_YJD",2,63562,4.68003,7.83657,1.947825
"y2_d016_TEQ_YJD",2,63595,6.10422,10.51227,2.911794
"y2_d016_TEQ_YJD",2,63628,7.52253,13.16841,3.82587
"y2_d016_TEQ_YJD",2,63661,8.93496,15.80502,4.68999
"y2_d016_TEQ_YJD",2,63694,10.34145,18.4221,5.50422
"y2_d016_TEQ_YJD",2,63727,11.74206,21.01962,6.26853
"y2_d016_TEQ_YJD",2,63760,13.13676,23.59761,6.98295
"y2_d016_TEQ_YJD",2,63793,14.52558,26.15604,7.64742
"y2_d016_TEQ_YJD",2,63826,15.90852,28.69494,8.262
"y2_d016_TEQ_YJD",2,63859,17.28552,31.2144,8.82663
"y2_d016_TEQ_YJD",2,63892,18.65667,33.714,9.34137
"y2_d016_TEQ_YJD",2,63925,20.02188,36.1944,9.80622
"y2_d016_TEQ_YJD",2,63958,21.38121,38.655,10.22112
"y2_d016_TEQ_YJD",2,63991,22.73466,41.0964,10.58613
"y2_d016_TEQ_YJD",2,64024,24.0822,43.518,10.90119
"y2_d016_TEQ_YJD",2,64057,25.42386,45.9201,11.16636
"y2_d016_TEQ_YJD",2,64090,26.75961,48.3027,11.38164
"y2_d016_TEQ_YJD",2,64123,28.08945,50.6658,11.54697
"y2_d016_TEQ_YJD",2,64156,29.41341,53.0091,11.66238
"y2_d016_TEQ_YJD",2,64189,30.7314,55.3332,11.7279
"y2_d016_TEQ_YJD",2,64222,32.0436,57.6375,11.7435
"y2_d016_TEQ_YJD",2,64255,33.3498,59.9226,11.70918
"y2_d016_TEQ_YJD",2,64288,34.6503,62.1879,11.62494
"y2_d016_TEQ_YJD",2,64321,35.9448,64.4337,11.49081
"y2_d016_TEQ_YJD",2,64354,37.2333,66.6597,11.30676
"y2_d016_TEQ_YJD",2,64387,38.5161,68.8665,11.07276
"y2_d016_TEQ_YJD",2,64420,39.7929,71.0538,10.7889
"y2_d016_TEQ_YJD",2,64453,41.0637,73.2213,10.45509
"y2_d016_TEQ_YJD",2,64486,42.3288,75.3693,10.07136
"y2_d016_TEQ_YJD",2,64519,43.5879,77.4981,9.63774
"y2_d016_TEQ_YJD",2,64552,44.841,79.6071,9.1542
"y2_d016_TEQ_YJD",2,64585,46.0884,81.6963,8.62074
"y2_d016_TEQ_YJD",2,64618,47.3298,83.7663,8.03736
"y2_d016_TEQ_YJD",2,64651,48.5652,85.8168,7.40406
"y2_d016_TEQ_YJD",2,64684,49.7949,87.8475,6.72084
"y2_d016_TEQ_YJD",2,64717,51.0186,89.859,5.98773
"y2_d016_TEQ_YJD",2,64750,52.2363,91.8507,5.2047
"y2_d016_TEQ_YJD",2,64783,53.4483,93.8229,4.37175
"y2_d016_TEQ_YJD",2,64816,54.6543,95.7756,3.48888
"y2_d016_TEQ_YJD",3,93724,-1.598454,54.6033,5.94435
"y2_d016_TEQ_YJD",3,93757,-1.573194,50.8959,6.03957
"y2_d016_TEQ_YJD",3,93790,-1.53858,47.2107,6.09339
"y2_d016_TEQ_YJD",3,93823,-1.494618,43.5483,6.10584
"y2_d016_TEQ_YJD",3,93856,-1.441305,39.9084,6.07689
"y2_d016_TEQ_YJD",3,93889,-1.378641,36.291,6.00657
"y2_d016_TEQ_YJD",3,93922,-1.306629,32.6961,5.89488
"y2_d016_TEQ_YJD",3,93955,-1.225263,29.12358,5.74179
"y2_d016_TEQ_YJD",3,93988,-1.134549,25.57374,5.54733
"y2_d016_TEQ_YJD",3,94021,-1.034484,22.04643,5.31147
"y2_d016_TEQ_YJD",3,94054,-0.925065,18.54165,5.03424
"y2_d016_TEQ_YJD",3,94087,-0.806301,15.0594,4.71561
"y2_d016_TEQ_YJD",3,94120,-0.678183,11.59968,4.35561
"y2_d016_TEQ_YJD",3,94153,-0.540714,8.16249,3.95424
"y2_d016_TEQ_YJD",3,94186,-0.393897,4.74786,3.51147
"y2_d016_TEQ_YJD",3,94219,-0.2377269,1.355733,3.0273
"y2_d016_TEQ_YJD",3,94252,-0.0722073,-2.013852,2.501784
"y2_d016_TEQ_YJD",3,94285,0.1026627,-5.36091,1.934868
"y2_d016_TEQ_YJD",4,108013,-1.934778,56.0637,5.95554
"y2_d016_TEQ_YJD",4,108046,-1.669128,51.8958,5.82312
"y2_d016_TEQ_YJD",4,108079,-1.40274,47.751,5.6664
"y2_d016_TEQ_YJD",4,108112,-1.13562,43.6296,5.48532
"y2_d016_TEQ_YJD",4,108145,-0.867762,39.5313,5.27991
"y2_d016_TEQ_YJD",4,108178,-0.599169,35.4564,5.05014
"y2_d016_TEQ_YJD",4,108211,-0.329841,31.4046,4.79607
"y2_d016_TEQ_YJD",4,108244,-0.0597771,27.37611,4.51764
"y2_d016_TEQ_YJD",4,108277,0.2110221,23.37087,4.21488
"y2_d016_TEQ_YJD",4,108310,0.482556,19.38891,3.88779
"y2_d016_TEQ_YJD",4,108343,0.754827,15.4302,3.53634
"y2_d016_TEQ_YJD",4,108376,1.027833,11.49474,3.16059
"y2_d016_TEQ_YJD",4,108409,1.301574,7.58256,2.760474
"y2_d016_TEQ_YJD",4,108442,1.57605,3.6936,2.336031
"y2_d016_TEQ_YJD",4,108475,1.851264,-0.1720857,1.887249
"y2_d016_TEQ_YJD",4,108508,2.12721,-4.01451,1.414131
"y2_d016_TEQ_YJD",4,108541,2.403894,-7.83372,0.916674
"y2_d016_TEQ_YJD",5,121444,-1.755954,53.0175,5.82822
"y2_d016_TEQ_YJD",5,121477,-1.662999,48.5997,5.70045
"y2_d016_TEQ_YJD",5,121510,-1.578834,44.2149,5.55
"y2_d016_TEQ_YJD",5,121543,-1.503462,39.8634,5.37693
"y2_d016_TEQ_YJD",5,121576,-1.436883,35.5452,5.18118
"y2_d016_TEQ_YJD",5,121609,-1.379097,31.26,4.96281
"y2_d016_TEQ_YJD",5,121642,-1.330101,27.00822,4.72176
"y2_d016_TEQ_YJD",5,121675,-1.289898,22.7895,4.45806
"y2_d016_TEQ_YJD",5,121708,-1.258488,18.60399,4.17171
"y2_d016_TEQ_YJD",5,121741,-1.235868,14.45166,3.86271
"y2_d016_TEQ_YJD",5,121774,-1.222044,10.33254,3.53106
"y2_d016_TEQ_YJD",5,121807,-1.21701,6.2466,3.17676
"y2_d016_TEQ_YJD",5,121840,-1.220769,2.193861,2.799819
"y2_d016_TEQ_YJD",5,121873,-1.233318,-1.825692,2.400216
"y2_d016_TEQ_YJD",5,121906,-1.254663,-5.81205,1.97796
"y2_d016_TEQ_YJD",6,137086,-1.689048,54.7722,6.00621
"y2_d016_TEQ_YJD",6,137119,-1.557735,50.3781,5.82711
"y2_d016_TEQ_YJD",6,137152,-1.436775,46.014,5.62617
"y2_d016_TEQ_YJD",6,137185,-1.326171,41.6799,5.40342
"y2_d016_TEQ_YJD",6,137218,-1.225926,37.3752,5.15883
"y2_d016_TEQ_YJD",6,137251,-1.136034,33.1008,4.8924
"y2_d016_TEQ_YJD",6,137284,-1.056498,28.85598,4.60413
"y2_d016_TEQ_YJD",6,137317,-0.987318,24.6411,4.29402
"y2_d016_TEQ_YJD",6,137350,-0.928494,20.45604,3.9621
"y2_d016_TEQ_YJD",6,137383,-0.880026,16.30086,3.60834
"y2_d016_TEQ_YJD",6,137416,-0.841914,12.1755,3.23274
"y2_d016_TEQ_YJD",6,137449,-0.814155,8.08002,2.835303
"y2_d016_TEQ_YJD",6,137482,-0.796755,4.01436,2.416032
"y2_d016_TEQ_YJD",6,137515,-0.789708,-0.02142774,1.97493
"y2_d016_TEQ_YJD",6,137548,-2.9658,1.7901,0.0075
"y2_d016_TEQ_YJD",6,137581,-3.91014,5.40777,1.330866
"y2_d016_TEQ_YJD",6,137614,-4.93017,7.37442,2.221548
"y2_d016_TEQ_YJD",6,137647,-5.94741,9.32787,3.06888
"y2_d016_TEQ_YJD",6,137680,-6.96192,11.26815,3.87288
"y2_d016_TEQ_YJD",6,137713,-7.97364,13.1952,4.6335
"y2_d016_TEQ_YJD",6,137746,-8.9826,15.10905,5.3508
"y2_d016_TEQ_YJD",6,137779,-9.98883,17.0097,6.02475
"y2_d016_TEQ_YJD",6,137812,-10.99227,18.89718,6.65535
"y2_d016_TEQ_YJD",6,137845,-11.99295,20.77146,7.24263
"y2_d016_TEQ_YJD",6,137878,-12.99087,22.63254,7.78653
"y2_d016_TEQ_YJD",6,137911,-13.98603,24.48039,8.28711
"y2_d016_TEQ_YJD",6,137944,-14.9784,26.31507,8.74431
"y2_d016_TEQ_YJD",6,137977,-15.96804,28.13655,9.15819
"y2_d016_TEQ_YJD",6,138010,-16.95492,29.94483,9.52872
"y2_d016_TEQ_YJD",6,138043,-17.93901,31.74,9.8559
"y2_d016_TEQ_YJD",6,138076,-18.92034,33.5217,10.13973
"y2_d016_TEQ_YJD",6,138109,-19.89894,35.2905,10.38021
"y2_d016_TEQ_YJD",6,138142,-20.87475,37.0461,10.57734
"y2_d016_TEQ_YJD",6,138175,-21.8478,38.7882,10.73115
"y2_d016_TEQ_YJD",6,138208,-22.81809,40.5174,10.84158
"y2_d016_TEQ_YJD",6,138241,-23.78562,42.2334,10.90869
"y2_d016_TEQ_YJD",6,138274,-24.75036,43.9359,10.93245
"y2_d016_TEQ_YJD",6,138307,-25.71237,45.6255,10.91286
"y2_d016_TEQ_YJD",6,138340,-26.67162,47.3019,10.84992
"y2_d016_TEQ_YJD",6,138373,-27.62808,48.9648,10.74363
"y2_d016_TEQ_YJD",6,138406,-28.58181,50.6148,10.59399
"y2_d016_TEQ_YJD",6,138439,-29.53275,52.2516,10.40103
"y2_d016_TEQ_YJD",6,138472,-30.4809,53.8752,10.16469
"y2_d016_TEQ_YJD",6,138505,-31.4265,55.4853,9.88503
"y2_d016_TEQ_YJD",6,138538,-32.3691,57.0825,9.56202
"y2_d016_TEQ_YJD",6,138571,-33.309,58.6665,9.19566
"y2_d016_TEQ_YJD",6,138604,-34.2462,60.2373,8.78595
"y2_d016_TEQ_YJD",6,138637,-35.1804,61.7949,8.33289
"y2_d016_TEQ_YJD",6,138670,-36.1119,63.339,7.83648
"y2_d016_TEQ_YJD",6,138703,-37.041,64.8702,7.29675
"y2_d016_TEQ_YJD",6,138736,-37.9671,66.3882,6.71364
"y2_d016_TEQ_YJD",6,138769,-38.8902,67.893,6.08721
"y2_d016_TEQ_YJD",6,138802,-39.8109,69.3846,5.41743
"y2_d016_TEQ_YJD",6,138835,-40.7286,70.8627,4.70427
"y2_d016_TEQ_YJD",6,138868,-41.6436,72.3279,3.94779
"y2_d016_TEQ_YJD",6,138901,-42.5559,73.7799,3.14796
"y2_d016_TEQ_YJD",6,138934,-43.4655,75.2187,2.304798
"y2_d016_TEQ_YJD",6,138967,-44.3721,76.6443,1.418277
"y2_d016_TEQ_YJD",6,139000,-45.2763,78.0567,0.488412
"y2_d016_TEQ_YJD",6,140485,-35.9463,73.7871,4.98066
"y2_d016_TEQ_YJD",6,140518,-32.6439,73.5783,5.46798
"y2_d016_TEQ_YJD",6,140551,-29.36016,73.3653,5.92371
"y2_d016_TEQ_YJD",6,140584,-26.09511,73.1481,6.34788
"y2_d016_TEQ_YJD",6,140617,-22.84875,72.927,6.74046
"y2_d016_TEQ_YJD",6,140650,-19.62108,72.7017,7.10145
"y2_d016_TEQ_YJD",6,140683,-16.41207,72.4722,7.43085
"y2_d016_TEQ_YJD",6,140716,-13.22178,72.2388,7.72869
"y2_d016_TEQ_YJD",6,140749,-10.05015,72.0009,7.99494
"y2_d016_TEQ_YJD",6,140782,-6.89718,71.7591,8.2296
"y2_d016_TEQ_YJD",6,140815,-3.7629,71.5134,8.43267
"y2_d016_TEQ_YJD",6,140848,-0.647322,71.2632,8.60415
"y2_d016_TEQ_YJD",6,140881,2.44959,71.0091,8.74407
"y2_d016_TEQ_YJD",6,140914,5.52783,70.7508,8.8524
"y2_d016_TEQ_YJD",6,140947,8.58738,70.4886,8.92914
"y2_d016_TEQ_YJD",6,140980,11.62827,70.2219,8.97429
"y2_d016_TEQ_YJD",6,141013,14.65044,69.9513,8.98788
"y2_d016_TEQ_YJD",6,141046,17.65395,69.6765,8.96985
"y2_d016_TEQ_YJD",6,141079,20.63877,69.3978,8.92026
"y2_d016_TEQ_YJD",6,141112,23.60493,69.1149,8.83908
"y2_d016_TEQ_YJD",6,141145,26.5524,68.8278,8.72634
"y2_d016_TEQ_YJD",6,141178,29.48118,68.5365,8.58201
"y2_d016_TEQ_YJD",6,141211,32.3913,68.2413,8.40606
"y2_d016_TEQ_YJD",6,141244,35.2827,67.9416,8.19855
"y2_d016_TEQ_YJD",6,141277,38.1555,67.6383,7.95948
"y2_d016_TEQ_YJD",6,141310,41.0094,67.3305,7.68879
"y2_d016_TEQ_YJD",6,141343,43.845,67.0188,7.38654
"y2_d016_TEQ_YJD",6,141376,46.6617,66.7029,7.0527
"y2_d016_TEQ_YJD",6,141409,49.4595,66.3828,6.68727
"y2_d016_TEQ_YJD",6,141442,52.239,66.0585,6.29028
"y2_d016_TEQ_YJD",6,141475,54.9996,65.7303,5.86167
"y2_d016_TEQ_YJD",6,141508,57.7416,65.3979,5.4015
"y2_d016_TEQ_YJD",6,141541,60.465,65.0616,4.90974
"y2_d016_TEQ_YJD",7,172198,-1.627869,56.5626,5.83236
"y2_d016_TEQ_YJD",7,172231,-1.39023,52.0704,5.78262
"y2_d016_TEQ_YJD",7,172264,-1.167906,47.6115,5.70744
"y2_d016_TEQ_YJD",7,172297,-0.9609,43.1862,5.60685
"y2_d016_TEQ_YJD",7,172330,-0.769206,38.7945,5.48082
"y2_d016_TEQ_YJD",7,172363,-0.59283,34.4361,5.32941
"y2_d016_TEQ_YJD",7,172396,-0.431769,30.1113,5.15253
"y2_d016_TEQ_YJD",7,172429,-0.2860236,25.82019,4.95024
"y2_d016_TEQ_YJD",7,172462,-0.1555944,21.5625,4.72254
"y2_d016_TEQ_YJD",7,172495,-0.0404808,17.33832,4.46943
"y2_d016_TEQ_YJD",7,172528,0.0593169,13.14765,4.19088
"y2_d016_TEQ_YJD",7,172561,0.1437987,8.99052,3.88689
"y2_d016_TEQ_YJD",7,172594,0.2129649,4.86693,3.55749
"y2_d016_TEQ_YJD",7,172627,0.2668155,0.776835,3.20268
"y2_d016_TEQ_YJD",7,172660,0.305349,-3.27972,2.822439
"y2_d016_TEQ_YJD",8,184507,-1.795374,53.6643,6.03654
"y2_d016_TEQ_YJD",8,184540,-1.667535,49.2387,5.93064
"y2_d016_TEQ_YJD",8,184573,-1.551906,44.841,5.80767
"y2_d016_TEQ_YJD",8,184606,-1.448493,40.4712,5.66763
"y2_d016_TEQ_YJD",8,184639,-1.35729,36.1296,5.51055
"y2_d016_TEQ_YJD",8,184672,-1.2783,31.8159,5.33643
"y2_d016_TEQ_YJD",8,184705,-1.211523,27.52995,5.14521
"y2_d016_TEQ_YJD",8,184738,-1.156959,23.27205,4.93698
"y2_d016_TEQ_YJD",8,184771,-1.114608,19.04208,4.71165
"y2_d016_TEQ_YJD",8,184804,-1.08447,14.84007,4.46931
"y2_d016_TEQ_YJD",8,184837,-1.066545,10.66599,4.20987
"y2_d016_TEQ_YJD",8,184870,-1.060833,6.51984,3.93339
"y2_d016_TEQ_YJD",8,184903,-1.067334,2.401638,3.63987
"y2_d016_TEQ_YJD",8,184936,-1.086048,-1.688619,3.32925
"y2_d016_TEQ_YJD",8,184969,-1.116975,-5.75094,3.00162
"y2_d016_TEQ_YJD",9,196288,-1.817313,53.808,5.93043
"y2_d016_TEQ_YJD",9,196321,-1.589367,49.4604,5.75508
"y2_d016_TEQ_YJD",9,196354,-1.377201,45.1365,5.55909
"y2_d016_TEQ_YJD",9,196387,-1.180815,40.8372,5.34249
"y2_d016_TEQ_YJD",9,196420,-1.000206,36.5616,5.10525
"y2_d016_TEQ_YJD",9,196453,-0.835374,32.3106,4.8474
"y2_d016_TEQ_YJD",9,196486,-0.686319,28.08342,4.56891
"y2_d016_TEQ_YJD",9,196519,-0.553044,23.88051,4.26978
"y2_d016_TEQ_YJD",9,196552,-0.435546,19.70172,3.95004
"y2_d016_TEQ_YJD",9,196585,-0.333825,15.54708,3.60966
"y2_d016_TEQ_YJD",9,196618,-0.247884,11.41662,3.24867
"y2_d016_TEQ_YJD",9,196651,-0.1777197,7.31025,2.86704
"y2_d016_TEQ_YJD",9,196684,-0.1233342,3.22803,2.464785
"y2_d016_TEQ_YJD",9,196717,-0.0847263,-0.830001,2.041899
"y2_d016_TEQ_YJD",9,196750,-0.0618966,-4.8639,1.598388
"y2_d016_TEQ_YJD",10,207112,-1.705518,53.7978,5.99874
"y2_d016_TEQ_YJD",10,207145,-1.440858,49.4004,5.8131
"y2_d016_TEQ_YJD",10,207178,-1.193613,45.0303,5.61144
"y2_d016_TEQ_YJD",10,207211,-0.963792,40.6881,5.39379
"y2_d016_TEQ_YJD",10,207244,-0.751389,36.3732,5.16015
"y2_d016_TEQ_YJD",10,207277,-0.556404,32.0859,4.91052
"y2_d016_TEQ_YJD",10,207310,-0.37884,27.82635,4.6449
"y2_d016_TEQ_YJD",10,207343,-0.2186964,23.59434,4.36326
"y2_d016_TEQ_YJD",10,207376,-0.0759717,19.38993,4.06563
"y2_d016_TEQ_YJD",10,207409,0.0493332,15.21309,3.75204
"y2_d016_TEQ_YJD",10,207442,0.1572183,11.06385,3.42243
"y2_d016_TEQ_YJD",10,207475,0.2476839,6.94221,3.0768
"y2_d016_TEQ_YJD",10,207508,0.32073,2.84817,2.715216
"y2_d016_TEQ_YJD",11,226186,-1.584546,56.2287,6.00843
"y2_d016_TEQ_YJD",11,226219,-1.40682,51.7065,5.74512
"y2_d016_TEQ_YJD",11,226252,-1.238031,47.2158,5.45634
"y2_d016_TEQ_YJD",11,226285,-1.078176,42.7566,5.14215
"y2_d016_TEQ_YJD",11,226318,-0.927255,38.3289,4.80255
"y2_d016_TEQ_YJD",11,226351,-0.785271,33.9324,4.43748
"y2_d016_TEQ_YJD",11,226384,-0.652221,29.56737,4.047
"y2_d016_TEQ_YJD",11,226417,-0.528108,25.23381,3.63108
"y2_d016_TEQ_YJD",11,226450,-0.412929,20.93166,3.18975
"y2_d016_TEQ_YJD",11,226483,-0.306684,16.66095,2.722962
"y2_d016_TEQ_YJD",11,226516,-0.2093748,12.42168,2.230752
"y2_d016_TEQ_YJD",11,226549,-0.1210005,8.21379,1.713108
"y2_d016_TEQ_YJD",11,226582,-0.0415617,4.03737,1.170036
"y2_d016_TEQ_YJD",11,226615,0.02894193,-0.1076139,0.601533
"y2_d016_TEQ_YJD",11,226648,0.0905103,-4.22118,0.00760029
"y2_d016_TEQ_YJD",12,239518,-1.89198,55.7337,6.06567
"y2_d016_TEQ_YJD",12,239551,-1.729116,51.291,5.87793
"y2_d016_TEQ_YJD",12,239584,-1.581003,46.8723,5.67243
"y2_d016_TEQ_YJD",12,239617,-1.447635,42.4779,5.44917
"y2_d016_TEQ_YJD",12,239650,-1.329015,38.1078,5.20815
"y2_d016_TEQ_YJD",12,239683,-1.22514,33.7617,4.94937
"y2_d016_TEQ_YJD",12,239716,-1.136016,29.43975,4.67283
"y2_d016_TEQ_YJD",12,239749,-1.06164,25.14198,4.37853
"y2_d016_TEQ_YJD",12,239782,-1.002009,20.86836,4.06647
"y2_d016_TEQ_YJD",12,239815,-0.957129,16.61889,3.73665
"y2_d016_TEQ_YJD",12,239848,-0.926994,12.39357,3.38907
"y2_d016_TEQ_YJD",12,239881,-0.91161,8.1924,3.02373
"y2_d016_TEQ_YJD",12,239914,-0.910971,4.01538,2.640645
"y2_d016_TEQ_YJD",12,239947,-1.352592,4.73769,3.1017
"y2_d016_TEQ_YJD",12,239980,-1.908309,8.59245,4.70592
"y2_d016_TEQ_YJD",12,240013,-2.455626,12.42798,6.28275
"y2_d016_TEQ_YJD",12,240046,-2.994543,16.24425,7.83213
"y2_d016_TEQ_YJD",12,240079,-3.52506,20.04132,9.35415
"y2_d016_TEQ_YJD",12,240112,-4.04718,23.81916,10.84875
"y2_d016_TEQ_YJD",12,240145,-4.56087,27.5778,12.31593
"y2_d016_TEQ_YJD",12,240178,-5.06619,31.3173,13.75572
