"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d042_TKJ_YJD",1,40549,-3.03543,57.9276,5.80464
"y1_d042_TKJ_YJD",1,40599,-2.730507,51.0906,5.70153
"y1_d042_TKJ_YJD",1,40649,-2.438637,44.2818,5.53428
"y1_d042_TKJ_YJD",1,40699,-2.15982,37.5009,5.30286
"y1_d042_TKJ_YJD",1,40749,-1.894053,30.7482,5.00727
"y1_d042_TKJ_YJD",1,40799,-1.641339,24.02331,4.64754
"y1_d042_TKJ_YJD",1,40849,-1.401675,17.32647,4.22364
"y1_d042_TKJ_YJD",1,40899,-1.175061,10.65756,3.7356
"y1_d042_TKJ_YJD",1,40949,-0.9615,4.0167,3.18339
"y1_d042_TKJ_YJD",1,40999,-0.760989,-2.596191,2.567025
"y1_d042_TKJ_YJD",2,54349,-3.44481,56.0301,6.15381
"y1_d042_TKJ_YJD",2,54399,-2.966046,50.0904,5.85012
"y1_d042_TKJ_YJD",2,54449,-2.514843,44.1789,5.45772
"y1_d042_TKJ_YJD",2,54499,-2.09121,38.2959,4.97655
"y1_d042_TKJ_YJD",2,54549,-1.695144,32.4417,4.4067
"y1_d042_TKJ_YJD",2,54599,-1.326648,26.61582,3.74808
"y1_d042_TKJ_YJD",2,54649,-0.985719,20.81844,3.00075
"y1_d042_TKJ_YJD",2,54699,-0.672357,15.04959,2.164686
"y1_d042_TKJ_YJD",2,54749,-0.386568,9.30927,1.239897
"y1_d042_TKJ_YJD",2,54799,-0.1283433,3.59745,0.2263767
"y1_d042_TKJ_YJD",2,54849,0.1023117,-2.085876,-0.875871
"y1_d042_TKJ_YJD",2,54899,0.3054,-7.74072,-2.066856
"y1_d042_TKJ_YJD",3,73349,-3.27072,58.1193,6.07074
"y1_d042_TKJ_YJD",3,73399,-3.02121,52.059,6.10395
"y1_d042_TKJ_YJD",3,73449,-2.762382,46.0614,6.05265
"y1_d042_TKJ_YJD",3,73499,-2.494263,40.1268,5.91684
"y1_d042_TKJ_YJD",3,73549,-2.216844,34.2546,5.69655
"y1_d042_TKJ_YJD",3,73599,-1.930128,28.44522,5.39175
"y1_d042_TKJ_YJD",3,73649,-1.634115,22.69848,5.00247
"y1_d042_TKJ_YJD",3,73699,-1.328802,17.01447,4.52868
"y1_d042_TKJ_YJD",3,73749,-1.014192,11.39316,3.97038
"y1_d042_TKJ_YJD",3,73799,-0.690285,5.83452,3.3276
"y1_d042_TKJ_YJD",3,73849,-0.357081,0.338604,2.600319
"y1_d042_TKJ_YJD",4,94649,-3.36897,58.3752,5.88954
"y1_d042_TKJ_YJD",4,94699,-3.18765,51.6552,5.89998
"y1_d042_TKJ_YJD",4,94749,-3.00366,45.0051,5.84436
"y1_d042_TKJ_YJD",4,94799,-2.817006,38.4252,5.72268
"y1_d042_TKJ_YJD",4,94849,-2.62767,31.9152,5.535
"y1_d042_TKJ_YJD",4,94899,-2.435664,25.47501,5.28126
"y1_d042_TKJ_YJD",4,94949,-2.240985,19.10481,4.96146
"y1_d042_TKJ_YJD",4,94999,-2.043636,12.80457,4.57563
"y1_d042_TKJ_YJD",4,95049,-1.843617,6.57426,4.12377
"y1_d042_TKJ_YJD",4,95099,-1.640925,0.413907,3.60588
"y1_d042_TKJ_YJD",4,95149,-1.43556,-5.67654,3.0219
"y1_d042_TKJ_YJD",5,108749,-2.765643,53.4558,5.7939
"y1_d042_TKJ_YJD",5,108799,-2.365029,46.4031,5.78874
"y1_d042_TKJ_YJD",5,108849,-1.971672,39.4326,5.72658
"y1_d042_TKJ_YJD",5,108899,-1.585575,32.544,5.60739
"y1_d042_TKJ_YJD",5,108949,-1.206735,25.73736,5.4312
"y1_d042_TKJ_YJD",5,108999,-0.835152,19.01286,5.19801
"y1_d042_TKJ_YJD",5,109049,-0.470829,12.37041,4.90782
"y1_d042_TKJ_YJD",5,109099,-0.1137657,5.81001,4.5606
"y1_d042_TKJ_YJD",5,109149,0.2360424,-0.668394,4.15638
"y1_d042_TKJ_YJD",5,109199,0.578589,-7.06473,3.69516
"y1_d042_TKJ_YJD",6,123749,-3.3312,57.6024,5.76588
"y1_d042_TKJ_YJD",6,123799,-2.987181,51.3678,5.81163
"y1_d042_TKJ_YJD",6,123849,-2.642223,45.2136,5.74392
"y1_d042_TKJ_YJD",6,123899,-2.296326,39.1398,5.56275
"y1_d042_TKJ_YJD",6,123949,-1.949487,33.1464,5.26812
"y1_d042_TKJ_YJD",6,123999,-1.601712,27.23343,4.86006
"y1_d042_TKJ_YJD",6,124049,-1.252998,21.40098,4.33851
"y1_d042_TKJ_YJD",6,124099,-0.903345,15.64896,3.70353
"y1_d042_TKJ_YJD",6,124149,-0.55275,9.97734,2.955075
"y1_d042_TKJ_YJD",6,124199,-0.2012157,4.38621,2.093169
"y1_d042_TKJ_YJD",6,124249,0.1512561,-1.12452,1.117806
"y1_d042_TKJ_YJD",7,145449,-3.09501,54.4878,5.94885
"y1_d042_TKJ_YJD",7,145499,-2.776707,48.3693,5.74773
"y1_d042_TKJ_YJD",7,145549,-2.443671,42.3153,5.44926
"y1_d042_TKJ_YJD",7,145599,-2.095887,36.3255,5.05347
"y1_d042_TKJ_YJD",7,145649,-1.733352,30.3999,4.56036
"y1_d042_TKJ_YJD",7,145699,-1.356072,24.53886,3.96987
"y1_d042_TKJ_YJD",7,145749,-0.964044,18.74199,3.28206
"y1_d042_TKJ_YJD",7,145799,-0.557268,13.00944,2.496921
"y1_d042_TKJ_YJD",7,145849,-0.1357434,7.34121,1.614441
"y1_d042_TKJ_YJD",7,145899,0.300531,1.737222,0.634614
"y1_d042_TKJ_YJD",7,145949,0.751551,-3.80241,-0.442542
"y1_d042_TKJ_YJD",8,195199,-3.52731,57.7029,6.12768
"y1_d042_TKJ_YJD",8,195249,-3.1266,50.73,5.93613
"y1_d042_TKJ_YJD",8,195299,-2.760066,43.8336,5.69844
"y1_d042_TKJ_YJD",8,195349,-2.427687,37.014,5.41464
"y1_d042_TKJ_YJD",8,195399,-2.129466,30.2712,5.08473
"y1_d042_TKJ_YJD",8,195449,-1.865406,23.60532,4.70871
"y1_d042_TKJ_YJD",8,195499,-1.63551,17.01615,4.28658
"y1_d042_TKJ_YJD",8,195549,-1.439772,10.50375,3.81834
"y1_d042_TKJ_YJD",8,195599,-1.278198,4.06815,3.30396
"y1_d042_TKJ_YJD",8,195649,-1.150782,-2.290731,2.743509
"y1_d042_TKJ_YJD",9,213649,-3.25176,55.6869,6.11088
"y1_d042_TKJ_YJD",9,213699,-2.738469,48.7326,5.76666
"y1_d042_TKJ_YJD",9,213749,-2.266755,41.8467,5.38452
"y1_d042_TKJ_YJD",9,213799,-1.83663,35.0292,4.96443
"y1_d042_TKJ_YJD",9,213849,-1.448094,28.28022,4.50639
"y1_d042_TKJ_YJD",9,213899,-1.101147,21.59946,4.01043
"y1_d042_TKJ_YJD",9,213949,-0.795786,14.98707,3.47652
"y1_d042_TKJ_YJD",9,213999,-0.532014,8.44308,2.904696
"y1_d042_TKJ_YJD",9,214049,-0.309831,1.967457,2.294919
"y1_d042_TKJ_YJD",9,214099,-0.1292358,-4.43979,1.647207
"y1_d042_TKJ_YJD",10,235049,-3.09198,52.9584,6.09915
"y1_d042_TKJ_YJD",10,235099,-2.822244,46.998,5.76834
"y1_d042_TKJ_YJD",10,235149,-2.528823,41.0907,5.35698
"y1_d042_TKJ_YJD",10,235199,-2.21172,35.2368,4.8651
"y1_d042_TKJ_YJD",10,235249,-1.870935,29.43603,4.2927
"y1_d042_TKJ_YJD",10,235299,-1.506468,23.68857,3.63978
"y1_d042_TKJ_YJD",10,235349,-1.118313,17.99433,2.906307
"y1_d042_TKJ_YJD",10,235399,-0.706476,12.35334,2.092308
"y1_d042_TKJ_YJD",10,235449,-0.2709573,6.7656,1.197783
"y1_d042_TKJ_YJD",10,235499,0.1882452,1.231095,0.2227257
"y1_d042_TKJ_YJD",10,235549,0.67113,-4.25016,-0.83286
"y1_d042_TKJ_YJD",11,261799,1.607619,57.5463,6.95274
"y1_d042_TKJ_YJD",11,261849,6.79386,58.1553,6.94266
"y1_d042_TKJ_YJD",11,261899,11.93748,58.7607,6.87093
"y1_d042_TKJ_YJD",11,261949,17.03838,59.3625,6.73758
"y1_d042_TKJ_YJD",11,261999,22.09662,59.961,6.54261
"y1_d042_TKJ_YJD",11,262049,27.11217,60.5556,6.28599
"y1_d042_TKJ_YJD",11,262099,32.085,61.1469,5.96775
"y1_d042_TKJ_YJD",11,262149,37.0152,61.7346,5.58786
"y1_d042_TKJ_YJD",11,262199,41.9028,62.3187,5.14632
"y1_d042_TKJ_YJD",11,262249,46.7478,62.8995,4.64316
"y1_d042_TKJ_YJD",11,262299,51.5499,63.4764,4.07838
"y1_d042_TKJ_YJD",11,262349,56.3094,64.05,3.45195
"y1_d042_TKJ_YJD",11,262399,61.0263,64.62,2.763867
"y1_d042_TKJ_YJD",12,285399,-2.987697,55.9296,5.89224
"y1_d042_TKJ_YJD",12,285449,-2.511426,48.9846,5.73387
"y1_d042_TKJ_YJD",12,285499,-2.045952,42.1278,5.51292
"y1_d042_TKJ_YJD",12,285549,-1.591269,35.3592,5.22948
"y1_d042_TKJ_YJD",12,285599,-1.14738,28.6788,4.88349
"y1_d042_TKJ_YJD",12,285649,-0.714282,22.08672,4.47495
"y1_d042_TKJ_YJD",12,285699,-0.2919801,15.58296,4.00389
"y1_d042_TKJ_YJD",12,285749,0.1195287,9.16746,3.47028
"y1_d042_TKJ_YJD",12,285799,0.520245,2.840229,2.874159
"y1_d042_TKJ_YJD",12,285849,0.6387,5.61255,0.02189994
"y1_d042_TKJ_YJD",12,285899,0.8451,9.8085,0.0438
"y1_d042_TKJ_YJD",12,285949,-0.0840366,12.22182,1.552278
"y1_d042_TKJ_YJD",12,285999,-0.2662722,15.51126,2.427012
"y1_d042_TKJ_YJD",12,286049,-0.451299,18.77508,3.2001
"y1_d042_TKJ_YJD",12,286099,-0.639117,22.01319,3.87156
