"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d027_VMN_YJD",1,31517,-2.20212,53.8353,5.73168
"y2_d027_VMN_YJD",1,31567,-1.923246,47.2161,5.50077
"y2_d027_VMN_YJD",1,31617,-1.644297,40.6587,5.22186
"y2_d027_VMN_YJD",1,31667,-1.365273,34.1628,4.89492
"y2_d027_VMN_YJD",1,31717,-1.086171,27.72846,4.51995
"y2_d027_VMN_YJD",1,31767,-0.807,21.35589,4.09695
"y2_d027_VMN_YJD",1,31817,-0.527754,15.045,3.62592
"y2_d027_VMN_YJD",1,31867,-0.2484336,8.79576,3.10686
"y2_d027_VMN_YJD",1,31917,0.0309609,2.60817,2.539776
"y2_d027_VMN_YJD",1,31967,0.310431,-3.51777,1.924665
"y2_d027_VMN_YJD",2,44267,-2.793348,52.9731,5.71905
"y2_d027_VMN_YJD",2,44317,-2.430306,46.8834,5.54469
"y2_d027_VMN_YJD",2,44367,-2.073906,40.8396,5.2899
"y2_d027_VMN_YJD",2,44417,-1.724148,34.8411,4.95471
"y2_d027_VMN_YJD",2,44467,-1.381032,28.88823,4.53912
"y2_d027_VMN_YJD",2,44517,-1.044555,22.9809,4.04313
"y2_d027_VMN_YJD",2,44567,-0.714723,17.11908,3.46671
"y2_d027_VMN_YJD",2,44617,-0.391533,11.3028,2.809881
"y2_d027_VMN_YJD",2,44667,-0.0749826,5.53209,2.072643
"y2_d027_VMN_YJD",2,44717,0.2349267,-0.1931439,1.254996
"y2_d027_VMN_YJD",2,44767,0.538194,-5.8728,0.35694
"y2_d027_VMN_YJD",3,61117,-2.456151,55.8321,5.88345
"y2_d027_VMN_YJD",3,61167,-2.130456,49.7832,5.66934
"y2_d027_VMN_YJD",3,61217,-1.781241,43.7751,5.37168
"y2_d027_VMN_YJD",3,61267,-1.408503,37.8081,4.99041
"y2_d027_VMN_YJD",3,61317,-1.012245,31.8822,4.52556
"y2_d027_VMN_YJD",3,61367,-0.592464,25.99734,3.97716
"y2_d027_VMN_YJD",3,61417,-0.149163,20.15361,3.34518
"y2_d027_VMN_YJD",3,61467,0.317664,14.35092,2.629587
"y2_d027_VMN_YJD",3,61517,0.808008,8.58933,1.830432
"y2_d027_VMN_YJD",3,61567,1.321875,2.86881,0.947697
"y2_d027_VMN_YJD",3,61617,1.859262,-2.810625,-0.01861578
"y2_d027_VMN_YJD",4,76067,-2.57742,55.7322,5.9235
"y2_d027_VMN_YJD",4,76117,-2.180952,49.1514,5.57067
"y2_d027_VMN_YJD",4,76167,-1.802466,42.615,5.1717
"y2_d027_VMN_YJD",4,76217,-1.441956,36.1227,4.72662
"y2_d027_VMN_YJD",4,76267,-1.099428,29.67492,4.2354
"y2_d027_VMN_YJD",4,76317,-0.774876,23.27148,3.6981
"y2_d027_VMN_YJD",4,76367,-0.468303,16.91241,3.11466
"y2_d027_VMN_YJD",4,76417,-0.1797111,10.59768,2.485092
"y2_d027_VMN_YJD",4,76467,0.0909045,4.32732,1.809414
"y2_d027_VMN_YJD",4,76517,0.343539,-1.898688,1.087617
"y2_d027_VMN_YJD",4,76567,0.578196,-8.08032,0.319704
"y2_d027_VMN_YJD",5,91317,-2.608731,56.8635,5.77449
"y2_d027_VMN_YJD",5,91367,-2.142954,50.1006,5.51541
"y2_d027_VMN_YJD",5,91417,-1.683867,43.4184,5.20521
"y2_d027_VMN_YJD",5,91467,-1.231467,36.8175,4.84395
"y2_d027_VMN_YJD",5,91517,-0.785757,30.2973,4.43163
"y2_d027_VMN_YJD",5,91567,-0.34674,23.85816,3.96819
"y2_d027_VMN_YJD",5,91617,0.0855888,17.49999,3.45369
"y2_d027_VMN_YJD",5,91667,0.511227,11.22282,2.888085
"y2_d027_VMN_YJD",5,91717,0.930177,5.02659,2.271399
"y2_d027_VMN_YJD",5,91767,1.342437,-1.088649,1.603635
"y2_d027_VMN_YJD",5,91817,1.748004,-7.1229,0.884787
"y2_d027_VMN_YJD",6,122967,-2.592615,57.9726,6.02295
"y2_d027_VMN_YJD",6,123017,-2.368344,51.1284,5.63943
"y2_d027_VMN_YJD",6,123067,-2.152509,44.3712,5.22405
"y2_d027_VMN_YJD",6,123117,-1.945107,37.7016,4.77681
"y2_d027_VMN_YJD",6,123167,-1.746141,31.1196,4.29768
"y2_d027_VMN_YJD",6,123217,-1.555608,24.62493,3.78666
"y2_d027_VMN_YJD",6,123267,-1.373511,18.21768,3.24378
"y2_d027_VMN_YJD",6,123317,-1.19985,11.89788,2.669019
"y2_d027_VMN_YJD",6,123367,-1.034625,5.6655,2.062389
"y2_d027_VMN_YJD",6,123417,-0.877833,-0.479415,1.423884
"y2_d027_VMN_YJD",6,123467,-0.729474,-6.53694,0.753504
"y2_d027_VMN_YJD",7,138267,-2.456886,52.6635,5.90076
"y2_d027_VMN_YJD",7,138317,-2.391876,46.8225,5.97069
"y2_d027_VMN_YJD",7,138367,-2.304879,41.043,5.9478
"y2_d027_VMN_YJD",7,138417,-2.195895,35.3244,5.83209
"y2_d027_VMN_YJD",7,138467,-2.064921,29.66703,5.62353
"y2_d027_VMN_YJD",7,138517,-1.911963,24.07092,5.32212
"y2_d027_VMN_YJD",7,138567,-1.737015,18.53598,4.92789
"y2_d027_VMN_YJD",7,138617,-1.54008,13.06224,4.44084
"y2_d027_VMN_YJD",7,138667,-1.321161,7.6497,3.86094
"y2_d027_VMN_YJD",7,138717,-1.080249,2.298333,3.18819
"y2_d027_VMN_YJD",7,138767,-0.817353,-2.991825,2.422623
"y2_d027_VMN_YJD",8,154167,-2.838837,57.3765,5.75331
"y2_d027_VMN_YJD",8,154217,-2.598186,51.1404,5.5278
"y2_d027_VMN_YJD",8,154267,-2.354718,44.9634,5.21892
"y2_d027_VMN_YJD",8,154317,-2.108433,38.8455,4.8267
"y2_d027_VMN_YJD",8,154367,-1.859331,32.7864,4.35111
"y2_d027_VMN_YJD",8,154417,-1.607409,26.78625,3.79215
"y2_d027_VMN_YJD",8,154467,-1.35267,20.84508,3.14982
"y2_d027_VMN_YJD",8,154517,-1.095114,14.96292,2.424132
"y2_d027_VMN_YJD",8,154567,-0.834741,9.13974,1.615083
"y2_d027_VMN_YJD",8,154617,-0.571551,3.37548,0.72267
"y2_d027_VMN_YJD",8,154667,-0.305541,-2.32977,-0.2531034
"y2_d027_VMN_YJD",9,170467,-2.72484,54.8049,5.80935
"y2_d027_VMN_YJD",9,170517,-2.483478,48.6588,5.57865
"y2_d027_VMN_YJD",9,170567,-2.233374,42.5679,5.27313
"y2_d027_VMN_YJD",9,170617,-1.974528,36.5322,4.89279
"y2_d027_VMN_YJD",9,170667,-1.706943,30.5517,4.4376
"y2_d027_VMN_YJD",9,170717,-1.430616,24.62637,3.90756
"y2_d027_VMN_YJD",9,170767,-1.145547,18.75633,3.30273
"y2_d027_VMN_YJD",9,170817,-0.851739,12.94149,2.623038
"y2_d027_VMN_YJD",9,170867,-0.549189,7.18188,1.868526
"y2_d027_VMN_YJD",9,170917,-0.2378967,1.47747,1.039182
"y2_d027_VMN_YJD",9,170967,0.0821373,-4.17174,0.1350021
"y2_d027_VMN_YJD",10,194017,-2.334375,51.7971,5.55573
"y2_d027_VMN_YJD",10,194067,-1.905597,45.1656,5.37003
"y2_d027_VMN_YJD",10,194117,-1.487253,38.6034,5.1321
"y2_d027_VMN_YJD",10,194167,-1.079346,32.1102,4.84197
"y2_d027_VMN_YJD",10,194217,-0.681873,25.68612,4.49958
"y2_d027_VMN_YJD",10,194267,-0.2948382,19.33131,4.10496
"y2_d027_VMN_YJD",10,194317,0.081762,13.04568,3.65811
"y2_d027_VMN_YJD",10,194367,0.447927,6.82926,3.159
"y2_d027_VMN_YJD",10,194417,0.803655,0.681972,2.607696
"y2_d027_VMN_YJD",10,194467,1.148952,-5.39616,2.004144
"y2_d027_VMN_YJD",11,222267,-2.277378,52.3245,5.57532
"y2_d027_VMN_YJD",11,222317,-1.941852,45.6453,5.42358
"y2_d027_VMN_YJD",11,222367,-1.613937,39.0363,5.21835
"y2_d027_VMN_YJD",11,222417,-1.293633,32.4972,4.95963
"y2_d027_VMN_YJD",11,222467,-0.98094,26.02824,4.64748
"y2_d027_VMN_YJD",11,222517,-0.675858,19.62936,4.28184
"y2_d027_VMN_YJD",11,222567,-0.378387,13.30053,3.86271
"y2_d027_VMN_YJD",11,222617,-0.0885294,7.04178,3.39015
