game_str,play_id,timestamp,ball_position_x,ball_position_y,ball_position_z
y2_d028_VMN_YJD,1,5058,3.00801,56.7132,6.49272
y2_d028_VMN_YJD,1,5091,2.69844,52.4874,6.29097
y2_d028_VMN_YJD,1,5124,2.402931,48.2877,6.07695
y2_d028_VMN_YJD,1,5157,2.121489,44.1141,5.8506
y2_d028_VMN_YJD,1,5190,1.854111,39.9666,5.61195
y2_d028_VMN_YJD,1,5223,1.6008,35.8452,5.361
y2_d028_VMN_YJD,1,5256,1.361553,31.7499,5.09775
y2_d028_VMN_YJD,1,5289,1.136373,27.68091,4.8222
y2_d028_VMN_YJD,1,5322,0.92526,23.63796,4.53435
y2_d028_VMN_YJD,1,5355,0.728211,19.62111,4.23417
y2_d028_VMN_YJD,1,5388,0.545229,15.63039,3.92172
y2_d028_VMN_YJD,1,5421,0.376311,11.6658,3.59694
y2_d028_VMN_YJD,1,5454,0.2214594,7.72734,3.25986
y2_d028_VMN_YJD,1,5487,0.0806739,3.81501,2.91048
y2_d028_VMN_YJD,1,5520,-0.0460458,-0.0711816,2.5488
y2_d028_VMN_YJD,1,5553,-0.1587,-3.93126,2.174814
y2_d028_VMN_YJD,2,19512,3.15825,57.408,6.38832
y2_d028_VMN_YJD,2,19545,2.77059,52.9878,6.20793
y2_d028_VMN_YJD,2,19578,2.404659,48.6105,6.01242
y2_d028_VMN_YJD,2,19611,2.060466,44.2764,5.80179
y2_d028_VMN_YJD,2,19644,1.738011,39.9852,5.57607
y2_d028_VMN_YJD,2,19677,1.437297,35.7372,5.33523
y2_d028_VMN_YJD,2,19710,1.158324,31.5324,5.0793
y2_d028_VMN_YJD,2,19743,0.901089,27.3705,4.80825
y2_d028_VMN_YJD,2,19776,0.665592,23.25174,4.52208
y2_d028_VMN_YJD,2,19809,0.451833,19.17609,4.22079
y2_d028_VMN_YJD,2,19842,0.2598165,15.14352,3.90441
y2_d028_VMN_YJD,2,19875,0.089538,11.15403,3.57291
y2_d028_VMN_YJD,2,19908,-0.059001,7.20762,3.22632
y2_d028_VMN_YJD,2,19941,-0.1858011,3.30429,2.86461
y2_d028_VMN_YJD,3,49608,2.416992,55.1517,6.40104
y2_d028_VMN_YJD,3,49641,2.315217,50.9199,6.15966
y2_d028_VMN_YJD,3,49674,2.22519,46.7097,5.90781
y2_d028_VMN_YJD,3,49707,2.146917,42.5208,5.64555
y2_d028_VMN_YJD,3,49740,2.080392,38.3532,5.37285
y2_d028_VMN_YJD,3,49773,2.025618,34.2072,5.08971
y2_d028_VMN_YJD,3,49806,1.982595,30.0825,4.79616
y2_d028_VMN_YJD,3,49839,1.951326,25.97931,4.49217
y2_d028_VMN_YJD,3,49872,1.931805,21.89754,4.17774
y2_d028_VMN_YJD,3,49905,1.924032,17.83719,3.85287
y2_d028_VMN_YJD,3,49938,1.928013,13.79829,3.51759
y2_d028_VMN_YJD,3,49971,1.943745,9.78081,3.17187
y2_d028_VMN_YJD,3,50004,1.971228,5.78478,2.815731
y2_d028_VMN_YJD,3,50037,2.010459,1.810161,2.449152
y2_d028_VMN_YJD,3,50070,2.061441,-2.143017,2.072142
y2_d028_VMN_YJD,3,50103,2.124177,-6.07476,1.684704
y2_d028_VMN_YJD,4,64128,2.624109,55.7913,5.94057
y2_d028_VMN_YJD,4,64161,2.390385,51.8646,5.8458
y2_d028_VMN_YJD,4,64194,2.150373,47.9658,5.7165
y2_d028_VMN_YJD,4,64227,1.904073,44.0943,5.55273
y2_d028_VMN_YJD,4,64260,1.651485,40.2507,5.3544
y2_d028_VMN_YJD,4,64293,1.392609,36.4347,5.1216
y2_d028_VMN_YJD,4,64326,1.127448,32.6463,4.85427
y2_d028_VMN_YJD,4,64359,0.855999,28.88547,4.55244
y2_d028_VMN_YJD,4,64392,0.578259,25.15227,4.21608
y2_d028_VMN_YJD,4,64425,0.2942346,21.4467,3.84522
y2_d028_VMN_YJD,4,64458,0.00392151,17.76876,3.43983
y2_d028_VMN_YJD,4,64491,-0.2926791,14.11842,2.99994
y2_d028_VMN_YJD,4,64524,-0.595566,10.49571,2.525538
y2_d028_VMN_YJD,4,64557,-0.904743,6.90063,2.016627
y2_d028_VMN_YJD,4,64590,-1.220208,3.33315,1.473201
y2_d028_VMN_YJD,4,64623,-1.541958,-0.2066871,0.895263
