"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d074.5_VZE_YJD",1,1026,-2.734884,54.2445,5.18196
"y2_d074.5_VZE_YJD",1,1076,-2.262057,47.4087,4.91505
"y2_d074.5_VZE_YJD",1,1126,-1.81563,40.6473,4.59534
"y2_d074.5_VZE_YJD",1,1176,-1.395606,33.9606,4.22283
"y2_d074.5_VZE_YJD",1,1226,-1.001979,27.34836,3.79752
"y2_d074.5_VZE_YJD",1,1276,-0.634749,20.81067,3.31941
"y2_d074.5_VZE_YJD",1,1326,-0.2939223,14.34756,2.788521
"y2_d074.5_VZE_YJD",1,1376,0.02050449,7.959,2.204829
"y2_d074.5_VZE_YJD",1,1426,0.308532,1.645005,1.56834
"y2_d074.5_VZE_YJD",1,1476,0.570159,-4.59444,0.879057
"y2_d074.5_VZE_YJD",2,19776,-2.514756,52.2867,5.45088
"y2_d074.5_VZE_YJD",2,19826,-2.203425,45.8262,5.23584
"y2_d074.5_VZE_YJD",2,19876,-1.916511,39.4284,4.9386
"y2_d074.5_VZE_YJD",2,19926,-1.654008,33.0933,4.55916
"y2_d074.5_VZE_YJD",2,19976,-1.415919,26.82108,4.09755
"y2_d074.5_VZE_YJD",2,20026,-1.202244,20.61171,3.55377
"y2_d074.5_VZE_YJD",2,20076,-1.012983,14.46522,2.927793
"y2_d074.5_VZE_YJD",2,20126,-0.848133,8.38158,2.219634
"y2_d074.5_VZE_YJD",2,20176,-0.707697,2.360763,1.429293
"y2_d074.5_VZE_YJD",2,20226,-0.591675,-3.59721,0.556767
"y2_d074.5_VZE_YJD",3,41176,-2.654631,57.639,5.43297
"y2_d074.5_VZE_YJD",3,41226,-2.385027,50.6463,5.1738
"y2_d074.5_VZE_YJD",3,41276,-2.141139,43.7397,4.87554
"y2_d074.5_VZE_YJD",3,41326,-1.922979,36.9201,4.53822
"y2_d074.5_VZE_YJD",3,41376,-1.730538,30.1866,4.16181
"y2_d074.5_VZE_YJD",3,41426,-1.563816,23.53941,3.74628
"y2_d074.5_VZE_YJD",3,41476,-1.422819,16.97877,3.29169
"y2_d074.5_VZE_YJD",3,41526,-1.307541,10.50447,2.798007
"y2_d074.5_VZE_YJD",3,41576,-1.217988,4.11666,2.26524
"y2_d074.5_VZE_YJD",3,41626,-1.154154,-2.184756,1.693386
"y2_d074.5_VZE_YJD",4,63026,-2.598228,55.1511,5.30592
"y2_d074.5_VZE_YJD",4,63076,-2.440245,48.6693,5.19681
"y2_d074.5_VZE_YJD",4,63126,-2.306679,42.2505,5.03274
"y2_d074.5_VZE_YJD",4,63176,-2.19753,35.8947,4.8138
"y2_d074.5_VZE_YJD",4,63226,-2.112798,29.60169,4.53996
"y2_d074.5_VZE_YJD",4,63276,-2.052483,23.37168,4.21119
"y2_d074.5_VZE_YJD",4,63326,-2.016585,17.20464,3.82752
"y2_d074.5_VZE_YJD",4,63376,-2.005104,11.10054,3.38892
"y2_d074.5_VZE_YJD",4,63426,-2.01804,5.05938,2.895441
"y2_d074.5_VZE_YJD",4,63476,-2.055396,-0.918801,2.347047
"y2_d074.5_VZE_YJD",4,63526,-2.117169,-6.83406,1.743741
"y2_d074.5_VZE_YJD",5,84326,-2.271135,52.3335,5.14611
"y2_d074.5_VZE_YJD",5,84376,-1.858335,45.501,4.87887
"y2_d074.5_VZE_YJD",5,84426,-1.468512,38.7354,4.56552
"y2_d074.5_VZE_YJD",5,84476,-1.101669,32.0373,4.20612
"y2_d074.5_VZE_YJD",5,84526,-0.757803,25.4064,3.80061
"y2_d074.5_VZE_YJD",5,84576,-0.436914,18.84267,3.34905
"y2_d074.5_VZE_YJD",5,84626,-0.1390056,12.34614,2.851395
"y2_d074.5_VZE_YJD",5,84676,0.1359249,5.91681,2.307669
"y2_d074.5_VZE_YJD",5,84726,0.387876,-0.44532,1.717869
"y2_d074.5_VZE_YJD",5,84776,3.3636,8.559,0.0138
"y2_d074.5_VZE_YJD",5,84826,3.73263,11.53737,1.947456
"y2_d074.5_VZE_YJD",5,84876,4.93482,15.50913,3.13869
"y2_d074.5_VZE_YJD",5,84926,6.13263,19.43904,4.22004
"y2_d074.5_VZE_YJD",5,84976,7.32612,23.32707,5.19147
"y2_d074.5_VZE_YJD",5,85026,8.51523,27.17328,6.05301
"y2_d074.5_VZE_YJD",5,85076,9.69999,30.9777,6.80463
"y2_d074.5_VZE_YJD",5,85126,10.8804,34.74,7.44636
"y2_d074.5_VZE_YJD",5,85176,12.05646,38.4606,7.97817
"y2_d074.5_VZE_YJD",5,85226,13.22814,42.1395,8.40009
"y2_d074.5_VZE_YJD",5,85276,14.3955,45.7764,8.71209
"y2_d074.5_VZE_YJD",5,85326,15.55848,49.3713,8.9142
"y2_d074.5_VZE_YJD",5,85376,16.71714,52.9245,9.00639
"y2_d074.5_VZE_YJD",5,85426,17.87142,56.4357,8.98869
"y2_d074.5_VZE_YJD",5,85476,19.02135,59.9052,8.86107
"y2_d074.5_VZE_YJD",5,85526,20.1669,63.3327,8.62356
"y2_d074.5_VZE_YJD",5,85576,21.30813,66.7185,8.27613
"y2_d074.5_VZE_YJD",5,85626,22.44501,70.0623,7.81881
"y2_d074.5_VZE_YJD",5,85676,23.57751,73.3641,7.25157
"y2_d074.5_VZE_YJD",5,85726,24.70566,76.6242,6.57441
"y2_d074.5_VZE_YJD",5,85776,25.82946,79.8426,5.78739
"y2_d074.5_VZE_YJD",5,85826,26.94891,83.019,4.89042
"y2_d074.5_VZE_YJD",5,85876,28.06401,86.1534,3.88356
"y2_d074.5_VZE_YJD",5,85926,29.17476,89.2461,2.76681
"y2_d074.5_VZE_YJD",5,85976,30.2811,92.2968,1.540146
"y2_d074.5_VZE_YJD",5,86026,31.3833,95.3058,0.2035683
"y2_d074.5_VZE_YJD",5,86076,32.2986,98.3019,0.844407
"y2_d074.5_VZE_YJD",5,86126,33.3606,101.3121,1.406028
"y2_d074.5_VZE_YJD",5,86176,34.4109,104.3175,1.895016
"y2_d074.5_VZE_YJD",5,86226,35.4501,107.3181,2.311368
"y2_d074.5_VZE_YJD",5,86276,36.4776,110.3142,2.655084
"y2_d074.5_VZE_YJD",5,86326,37.494,113.3055,2.926161
"y2_d074.5_VZE_YJD",5,86376,38.499,116.2923,3.12459
"y2_d074.5_VZE_YJD",5,86426,39.4926,119.274,3.25041
"y2_d074.5_VZE_YJD",5,86476,40.4748,122.2512,3.30357
"y2_d074.5_VZE_YJD",5,86526,41.4456,125.2239,3.28413
"y2_d074.5_VZE_YJD",5,86576,42.405,128.1915,3.192
"y2_d074.5_VZE_YJD",5,86626,43.353,131.1546,3.02727
"y2_d074.5_VZE_YJD",5,87826,42.2541,119.3484,5.08428
"y2_d074.5_VZE_YJD",5,87876,43.6593,115.482,5.57799
"y2_d074.5_VZE_YJD",5,87926,45.0363,111.6507,5.9847
"y2_d074.5_VZE_YJD",5,87976,46.3854,107.8545,6.30438
"y2_d074.5_VZE_YJD",5,88026,47.7069,104.0937,6.537
"y2_d074.5_VZE_YJD",5,88076,49.0002,100.368,6.68259
"y2_d074.5_VZE_YJD",5,88126,50.2659,96.6777,6.74118
"y2_d074.5_VZE_YJD",5,88176,51.5034,93.0222,6.71271
"y2_d074.5_VZE_YJD",5,88226,52.7133,89.4021,6.59721
"y2_d074.5_VZE_YJD",5,88276,53.8953,85.8174,6.39468
"y2_d074.5_VZE_YJD",5,88326,55.0491,82.2675,6.10512
"y2_d074.5_VZE_YJD",5,88376,56.1753,78.753,5.72853
"y2_d074.5_VZE_YJD",5,88426,57.2736,75.2736,5.26491
"y2_d074.5_VZE_YJD",5,88476,58.3437,71.8296,4.71426
"y2_d074.5_VZE_YJD",5,88526,59.3862,68.4207,4.07658
