"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d083.5_WMI_YJD",1,31062,1.375542,54.0678,5.55132
"y2_d083.5_WMI_YJD",1,31112,1.188126,47.766,5.36154
"y2_d083.5_WMI_YJD",1,31162,1.020594,41.541,5.12241
"y2_d083.5_WMI_YJD",1,31212,0.872952,35.3928,4.8339
"y2_d083.5_WMI_YJD",1,31262,0.7452,29.32161,4.49607
"y2_d083.5_WMI_YJD",1,31312,0.637335,23.32713,4.10886
"y2_d083.5_WMI_YJD",1,31362,0.549357,17.40951,3.67233
"y2_d083.5_WMI_YJD",1,31412,0.481266,11.56869,3.18642
"y2_d083.5_WMI_YJD",1,31462,0.433065,5.8047,2.651148
"y2_d083.5_WMI_YJD",1,31512,0.404751,0.1175424,2.066532
"y2_d083.5_WMI_YJD",1,31562,1.943688,5.9199,6.6546
"y2_d083.5_WMI_YJD",1,31612,3.44856,10.15611,11.3091
"y2_d083.5_WMI_YJD",1,31662,4.94808,14.35683,15.88014
"y2_d083.5_WMI_YJD",1,31712,6.4422,18.52212,20.36772
"y2_d083.5_WMI_YJD",1,31762,7.93095,22.65195,24.77187
"y2_d083.5_WMI_YJD",1,31812,9.41433,26.74629,29.09253
"y2_d083.5_WMI_YJD",1,31862,10.89234,30.8052,33.3297
"y2_d083.5_WMI_YJD",1,31912,12.36495,34.8285,37.4835
"y2_d083.5_WMI_YJD",1,31962,13.83222,38.8167,41.5539
"y2_d083.5_WMI_YJD",1,32012,15.29409,42.7692,45.5406
"y2_d083.5_WMI_YJD",1,32062,16.75059,46.686,49.4442
"y2_d083.5_WMI_YJD",1,32112,18.20169,50.5677,53.2641
"y2_d083.5_WMI_YJD",1,32162,19.64745,54.4137,57.0006
"y2_d083.5_WMI_YJD",1,32212,21.08781,58.2246,60.6537
"y2_d083.5_WMI_YJD",1,32262,22.5228,61.9998,64.2231
"y2_d083.5_WMI_YJD",1,32312,23.95242,65.7393,67.7094
"y2_d083.5_WMI_YJD",1,32362,25.37664,69.4437,71.112
"y2_d083.5_WMI_YJD",1,32412,26.79552,73.1124,74.4312
"y2_d083.5_WMI_YJD",1,32462,28.209,76.7457,77.667
"y2_d083.5_WMI_YJD",1,32512,29.61711,80.3436,80.8194
"y2_d083.5_WMI_YJD",1,32562,31.0197,83.9061,83.8884
"y2_d083.5_WMI_YJD",1,32612,32.4171,87.4332,86.8737
"y2_d083.5_WMI_YJD",1,32662,33.8091,90.9246,89.7756
"y2_d083.5_WMI_YJD",1,32712,35.1957,94.3806,92.5941
"y2_d083.5_WMI_YJD",1,32762,36.5769,97.8012,95.3292
"y2_d083.5_WMI_YJD",1,32812,37.953,101.1864,97.9809
"y2_d083.5_WMI_YJD",1,32862,39.3234,104.5359,100.5489
"y2_d083.5_WMI_YJD",1,32912,40.6884,107.85,103.0338
"y2_d083.5_WMI_YJD",1,32962,42.0483,111.1287,105.435
"y2_d083.5_WMI_YJD",1,33012,43.4025,114.372,107.7528
"y2_d083.5_WMI_YJD",1,33062,44.7516,117.5799,109.9872
"y2_d083.5_WMI_YJD",1,33112,46.095,120.7521,112.1379
"y2_d083.5_WMI_YJD",1,33162,47.4333,123.8892,114.2055
"y2_d083.5_WMI_YJD",1,33212,48.7662,126.9906,116.1894
"y2_d083.5_WMI_YJD",1,33262,50.0937,130.0563,118.0899
"y2_d083.5_WMI_YJD",1,33312,51.4158,133.0869,119.907
"y2_d083.5_WMI_YJD",1,33362,52.7325,136.0818,121.6407
"y2_d083.5_WMI_YJD",1,33412,54.0438,139.0416,123.2907
"y2_d083.5_WMI_YJD",1,33462,55.3497,141.9657,124.8576
"y2_d083.5_WMI_YJD",1,33512,56.6502,144.8541,126.3408
"y2_d083.5_WMI_YJD",1,33562,57.9456,147.7074,127.7406
"y2_d083.5_WMI_YJD",1,33612,59.2353,150.525,129.057
"y2_d083.5_WMI_YJD",1,33662,60.5199,153.3072,130.2897
"y2_d083.5_WMI_YJD",1,33712,61.7988,156.054,131.4393
"y2_d083.5_WMI_YJD",1,33762,63.0726,158.7654,132.5052
"y2_d083.5_WMI_YJD",1,33812,64.341,161.4414,133.4877
"y2_d083.5_WMI_YJD",1,33862,65.604,164.0817,134.3868
"y2_d083.5_WMI_YJD",1,33912,66.8616,166.6866,135.2025
"y2_d083.5_WMI_YJD",1,33962,68.1138,169.2561,135.9348
"y2_d083.5_WMI_YJD",1,34012,69.3606,171.7902,136.5834
"y2_d083.5_WMI_YJD",1,34062,70.602,174.2886,137.1486
"y2_d083.5_WMI_YJD",1,34112,71.838,176.7519,137.6304
"y2_d083.5_WMI_YJD",1,34162,73.0686,179.1795,138.0288
"y2_d083.5_WMI_YJD",1,34212,74.2941,181.5717,138.3438
"y2_d083.5_WMI_YJD",1,34262,75.5139,183.9282,138.5751
"y2_d083.5_WMI_YJD",1,34312,76.7286,186.2496,138.7233
"y2_d083.5_WMI_YJD",1,34362,77.9379,188.5353,138.7878
"y2_d083.5_WMI_YJD",1,34412,79.1415,190.7856,138.7689
"y2_d083.5_WMI_YJD",1,34462,80.34,193.0005,138.6666
"y2_d083.5_WMI_YJD",1,34512,81.5331,195.1797,138.4806
"y2_d083.5_WMI_YJD",1,34562,82.7208,197.3238,138.2115
"y2_d083.5_WMI_YJD",1,34612,83.9031,199.4322,137.8587
"y2_d083.5_WMI_YJD",1,34662,85.08,201.5052,137.4225
"y2_d083.5_WMI_YJD",1,34712,86.2515,203.5428,136.9029
"y2_d083.5_WMI_YJD",1,34762,87.4179,205.545,136.2999
"y2_d083.5_WMI_YJD",1,34812,88.5786,207.5115,135.6132
"y2_d083.5_WMI_YJD",1,34862,89.7339,209.4426,134.8434
"y2_d083.5_WMI_YJD",1,34912,90.8841,211.3383,133.9899
"y2_d083.5_WMI_YJD",1,34962,92.0286,213.1986,133.053
"y2_d083.5_WMI_YJD",1,35012,93.168,215.0232,132.0327
"y2_d083.5_WMI_YJD",1,35062,94.302,216.8127,130.9287
"y2_d083.5_WMI_YJD",1,35112,95.4306,218.5665,129.7416
"y2_d083.5_WMI_YJD",1,35162,96.5538,220.2849,128.4708
"y2_d083.5_WMI_YJD",1,35212,97.6716,221.9679,127.1166
"y2_d083.5_WMI_YJD",1,35262,98.784,223.6152,125.679
"y2_d083.5_WMI_YJD",1,35312,99.891,225.2271,124.158
"y2_d083.5_WMI_YJD",1,35362,100.9926,226.8036,122.5536
"y2_d083.5_WMI_YJD",1,35412,102.0888,228.3447,120.8655
"y2_d083.5_WMI_YJD",1,35462,103.1799,229.8504,119.094
"y2_d083.5_WMI_YJD",1,35512,104.2653,231.3207,117.2391
"y2_d083.5_WMI_YJD",1,35562,105.3456,232.7553,115.3008
"y2_d083.5_WMI_YJD",1,35612,106.4202,234.1545,113.2791
"y2_d083.5_WMI_YJD",1,35662,107.4897,235.5183,111.174
"y2_d083.5_WMI_YJD",1,35712,108.5538,236.8464,108.9852
"y2_d083.5_WMI_YJD",1,35762,109.6125,238.1394,106.713
"y2_d083.5_WMI_YJD",1,35812,110.6658,239.3967,104.3574
"y2_d083.5_WMI_YJD",1,35862,111.7137,240.6186,101.9184
"y2_d083.5_WMI_YJD",1,35912,112.7562,241.8051,99.3957
"y2_d083.5_WMI_YJD",1,35962,113.7933,242.9562,96.7899
"y2_d083.5_WMI_YJD",1,36012,114.825,244.0716,94.1004
"y2_d083.5_WMI_YJD",1,36062,115.8516,245.1516,91.3275
"y2_d083.5_WMI_YJD",1,36112,116.8725,246.1962,88.4712
"y2_d083.5_WMI_YJD",1,36162,117.8883,247.2054,85.5315
"y2_d083.5_WMI_YJD",1,36212,118.8984,248.1789,82.5081
"y2_d083.5_WMI_YJD",1,36262,119.9034,249.1173,79.4016
"y2_d083.5_WMI_YJD",1,36312,120.903,250.02,76.2114
"y2_d083.5_WMI_YJD",1,36362,121.8969,250.8873,72.9378
"y2_d083.5_WMI_YJD",1,36412,122.8857,251.7192,69.5808
"y2_d083.5_WMI_YJD",1,36462,123.8691,252.5154,66.1404
"y2_d083.5_WMI_YJD",1,36512,124.8471,253.2765,62.6163
"y2_d083.5_WMI_YJD",1,36562,125.8197,254.0019,59.0088
"y2_d083.5_WMI_YJD",1,36612,126.7872,254.6919,55.3182
"y2_d083.5_WMI_YJD",1,36662,127.749,255.3462,51.5439
"y2_d083.5_WMI_YJD",1,36712,128.7054,255.9654,47.6859
"y2_d083.5_WMI_YJD",1,36762,129.6567,256.5489,43.7448
"y2_d083.5_WMI_YJD",1,36812,130.6023,257.097,39.72
"y2_d083.5_WMI_YJD",1,36862,131.5428,257.6097,35.6121
"y2_d083.5_WMI_YJD",1,36912,132.4779,258.087,31.4205
"y2_d083.5_WMI_YJD",1,36962,133.4073,258.5286,27.14535
"y2_d083.5_WMI_YJD",1,37012,134.3316,258.9348,22.78686
"y2_d083.5_WMI_YJD",1,37062,135.2505,259.3056,18.34491
"y2_d083.5_WMI_YJD",1,37112,136.164,259.641,13.81953
"y2_d083.5_WMI_YJD",1,37162,137.0721,259.941,9.21069
"y2_d083.5_WMI_YJD",1,37212,137.9751,260.2053,4.51836
"y2_d083.5_WMI_YJD",2,65012,0.980937,55.7241,5.80257
"y2_d083.5_WMI_YJD",2,65062,0.911262,49.4457,5.50434
"y2_d083.5_WMI_YJD",2,65112,0.842931,43.2255,5.16828
"y2_d083.5_WMI_YJD",2,65162,0.775947,37.0635,4.79433
"y2_d083.5_WMI_YJD",2,65212,0.710304,30.9597,4.38258
"y2_d083.5_WMI_YJD",2,65262,0.646011,24.91431,3.93294
