"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y2_d083_WMI_YJD",1,23350,1.378626,56.7024,5.29521
"y2_d083_WMI_YJD",1,23400,1.288284,49.9005,5.08185
"y2_d083_WMI_YJD",1,23450,1.206585,43.1721,4.82004
"y2_d083_WMI_YJD",1,23500,1.133532,36.5172,4.50975
"y2_d083_WMI_YJD",1,23550,1.069122,29.93538,4.15104
"y2_d083_WMI_YJD",1,23600,1.013355,23.42709,3.74385
"y2_d083_WMI_YJD",1,23650,0.966234,16.99215,3.28824
"y2_d083_WMI_YJD",1,23700,0.927756,10.63056,2.78415
"y2_d083_WMI_YJD",1,23750,0.897921,4.34232,2.231613
"y2_d083_WMI_YJD",1,23800,0.876732,-1.872546,1.630623
"y2_d083_WMI_YJD",1,23850,0.864183,-8.01405,0.981183
"y2_d083_WMI_YJD",2,39300,1.605144,52.41,5.29785
"y2_d083_WMI_YJD",2,39350,1.543479,45.5457,4.92393
"y2_d083_WMI_YJD",2,39400,1.501527,38.7672,4.52016
"y2_d083_WMI_YJD",2,39450,1.479288,32.0745,4.08654
"y2_d083_WMI_YJD",2,39500,1.476765,25.46811,3.62304
"y2_d083_WMI_YJD",2,39550,1.493955,18.9477,3.12966
"y2_d083_WMI_YJD",2,39600,1.530858,12.51333,2.606451
"y2_d083_WMI_YJD",2,39650,1.587477,6.165,2.053371
"y2_d083_WMI_YJD",2,39700,1.663806,-0.0972825,1.470426
"y2_d083_WMI_YJD",2,39750,1.759854,-6.27357,0.857619
"y2_d083_WMI_YJD",3,55050,1.433595,54.2499,5.26971
"y2_d083_WMI_YJD",3,55100,1.273959,47.6655,5.10237
"y2_d083_WMI_YJD",3,55150,1.130604,41.1627,4.87098
"y2_d083_WMI_YJD",3,55200,1.003536,34.7418,4.5756
"y2_d083_WMI_YJD",3,55250,0.892752,28.40277,4.21617
"y2_d083_WMI_YJD",3,55300,0.798255,22.14567,3.79272
"y2_d083_WMI_YJD",3,55350,0.720042,15.97044,3.30528
"y2_d083_WMI_YJD",3,55400,0.658116,9.87711,2.753796
"y2_d083_WMI_YJD",3,55450,0.612471,3.86565,2.138292
"y2_d083_WMI_YJD",3,55500,0.583113,-2.063931,1.458765
"y2_d083_WMI_YJD",4,75500,1.463166,53.511,5.15073
"y2_d083_WMI_YJD",4,75550,1.078494,46.8801,5.07924
"y2_d083_WMI_YJD",4,75600,0.704271,40.2963,4.95213
"y2_d083_WMI_YJD",4,75650,0.340497,33.7593,4.76943
"y2_d083_WMI_YJD",4,75700,-0.01282728,27.26916,4.53114
"y2_d083_WMI_YJD",4,75750,-0.355704,20.82594,4.23723
"y2_d083_WMI_YJD",4,75800,-0.688125,14.4297,3.88773
"y2_d083_WMI_YJD",4,75850,-1.0101,8.08038,3.48261
"y2_d083_WMI_YJD",4,75900,-1.321626,1.777941,3.0219
