"game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z"
"y1_d057_WZR_YJD",1,4146831,3.54138,58.2162,5.21877
"y1_d057_WZR_YJD",1,4146881,3.3393,51.6006,5.25528
"y1_d057_WZR_YJD",1,4146931,3.0765,45.1236,5.19258
"y1_d057_WZR_YJD",1,4146981,2.752995,38.7858,5.03067
"y1_d057_WZR_YJD",1,4147031,2.368779,32.5869,4.76958
"y1_d057_WZR_YJD",1,4147081,1.923855,26.5272,4.40928
"y1_d057_WZR_YJD",1,4147131,1.418217,20.60643,3.94974
"y1_d057_WZR_YJD",1,4147181,0.851865,14.82465,3.39102
"y1_d057_WZR_YJD",1,4147231,0.2248026,9.18192,2.733105
"y1_d057_WZR_YJD",1,4147281,-0.462972,3.67818,1.975974
"y1_d057_WZR_YJD",2,4166631,4.34862,57.8256,5.54355
"y1_d057_WZR_YJD",2,4166681,3.76194,51.3684,5.36418
"y1_d057_WZR_YJD",2,4166731,3.23118,44.9676,5.13459
"y1_d057_WZR_YJD",2,4166781,2.75631,38.6238,4.85472
"y1_d057_WZR_YJD",2,4166831,2.337369,32.3364,4.52463
"y1_d057_WZR_YJD",2,4166881,1.974342,26.10567,4.14429
"y1_d057_WZR_YJD",2,4166931,1.667229,19.93146,3.7137
"y1_d057_WZR_YJD",2,4166981,1.416033,13.81392,3.23286
"y1_d057_WZR_YJD",2,4167031,1.220751,7.75296,2.701764
"y1_d057_WZR_YJD",2,4167081,1.081383,1.748607,2.120433
"y1_d057_WZR_YJD",3,4181181,4.03212,52.8828,5.48226
"y1_d057_WZR_YJD",3,4181231,3.43716,46.5087,5.2023
"y1_d057_WZR_YJD",3,4181281,2.909322,40.2156,4.87089
"y1_d057_WZR_YJD",3,4181331,2.448618,34.0035,4.48806
"y1_d057_WZR_YJD",3,4181381,2.055042,27.87267,4.05375
"y1_d057_WZR_YJD",3,4181431,1.728591,21.82272,3.56802
"y1_d057_WZR_YJD",3,4181481,1.469271,15.85383,3.03081
"y1_d057_WZR_YJD",3,4181531,1.277079,9.96594,2.442174
"y1_d057_WZR_YJD",3,4181581,1.152015,4.15911,1.802088
"y1_d057_WZR_YJD",3,4181631,1.175262,4.22814,1.745895
"y1_d057_WZR_YJD",3,4181681,1.584369,9.77598,2.232849
"y1_d057_WZR_YJD",3,4181731,2.005623,15.27141,2.643378
"y1_d057_WZR_YJD",3,4181781,2.439033,20.7144,2.977479
"y1_d057_WZR_YJD",3,4181831,2.884593,26.10501,3.23517
"y1_d057_WZR_YJD",3,4181881,3.3423,31.4433,3.4164
"y1_d057_WZR_YJD",3,4181931,3.81216,36.729,3.52125
"y1_d057_WZR_YJD",3,4181981,4.2942,41.9622,3.54966
"y1_d057_WZR_YJD",3,4182031,4.78836,47.1432,3.50163
"y1_d057_WZR_YJD",3,4182081,5.2947,52.2717,3.37719
"y1_d057_WZR_YJD",3,4182131,5.81316,57.348,3.17634
