"game_str","play_id","at_bat","play_per_game","timestamp","player_position","event_code"
"y1_d070_ACN_QEA",1,"1",1,32587,1,1
"y1_d070_ACN_QEA",1,"1",1,33087,2,2
"y1_d070_ACN_QEA",1,"1",1,33087,0,5
"y1_d070_ACN_QEA",2,"1",2,47387,1,1
"y1_d070_ACN_QEA",2,"1",2,47837,2,2
"y1_d070_ACN_QEA",2,"1",2,47837,0,5
"y1_d070_ACN_QEA",3,"1",3,60787,1,1
"y1_d070_ACN_QEA",3,"1",3,61387,2,2
"y1_d070_ACN_QEA",3,"1",3,61387,0,5
"y1_d070_ACN_QEA",4,"1",4,74787,1,1
"y1_d070_ACN_QEA",4,"1",4,75237,2,2
"y1_d070_ACN_QEA",4,"1",4,75237,0,5
"y1_d070_ACN_QEA",5,"1",5,90737,1,1
"y1_d070_ACN_QEA",5,"1",5,91237,2,2
"y1_d070_ACN_QEA",5,"1",5,91237,0,5
"y1_d070_ACN_QEA",6,"1",6,111887,1,1
"y1_d070_ACN_QEA",6,"1",6,112287,10,4
"y1_d070_ACN_QEA",6,"1",6,114187,255,16
"y1_d070_ACN_QEA",6,"1",6,114937,255,16
"y1_d070_ACN_QEA",6,"1",6,115437,255,16
"y1_d070_ACN_QEA",6,"1",6,115887,255,16
"y1_d070_ACN_QEA",6,"1",6,116237,7,2
"y1_d070_ACN_QEA",6,"1",6,117737,7,3
"y1_d070_ACN_QEA",6,"1",6,119237,6,2
"y1_d070_ACN_QEA",6,"1",6,120087,0,5
"y1_d070_ACN_QEA",7,"\N",7,147637,1,6
"y1_d070_ACN_QEA",7,"\N",7,148337,3,2
"y1_d070_ACN_QEA",7,"\N",7,148587,0,5
"y1_d070_ACN_QEA",8,"2",8,166287,1,6
"y1_d070_ACN_QEA",8,"2",8,166887,3,2
"y1_d070_ACN_QEA",8,"2",8,167237,0,5
"y1_d070_ACN_QEA",9,"2",9,184937,1,1
"y1_d070_ACN_QEA",9,"2",9,185437,2,2
"y1_d070_ACN_QEA",9,"2",9,185437,0,5
"y1_d070_ACN_QEA",10,"2",10,202887,1,6
"y1_d070_ACN_QEA",10,"2",10,203587,3,2
"y1_d070_ACN_QEA",10,"2",10,203887,0,5
"y1_d070_ACN_QEA",11,"2",11,219187,1,1
"y1_d070_ACN_QEA",11,"2",11,219737,2,2
"y1_d070_ACN_QEA",11,"2",11,219737,0,5
"y1_d070_ACN_QEA",12,"2",12,237087,1,1
"y1_d070_ACN_QEA",12,"2",12,237587,2,2
"y1_d070_ACN_QEA",12,"2",12,237587,0,5
"y1_d070_ACN_QEA",13,"2",13,259587,1,1
"y1_d070_ACN_QEA",13,"2",13,260137,2,2
"y1_d070_ACN_QEA",13,"2",13,260137,0,5
"y1_d070_ACN_QEA",14,"2",14,282537,1,1
"y1_d070_ACN_QEA",14,"2",14,282987,10,4
"y1_d070_ACN_QEA",14,"2",14,283087,255,16
"y1_d070_ACN_QEA",14,"2",14,284737,1,2
"y1_d070_ACN_QEA",14,"2",14,286187,1,3
"y1_d070_ACN_QEA",14,"2",14,287087,3,2
"y1_d070_ACN_QEA",14,"2",14,287537,0,5
"y1_d070_ACN_QEA",15,"3",15,330237,1,1
"y1_d070_ACN_QEA",15,"3",15,330837,2,2
"y1_d070_ACN_QEA",15,"3",15,330837,0,5
"y1_d070_ACN_QEA",16,"3",16,348287,1,1
"y1_d070_ACN_QEA",16,"3",16,348737,2,2
"y1_d070_ACN_QEA",16,"3",16,348737,0,5
"y1_d070_ACN_QEA",17,"3",17,367637,1,1
"y1_d070_ACN_QEA",17,"3",17,368187,2,2
"y1_d070_ACN_QEA",17,"3",17,368187,0,5
"y1_d070_ACN_QEA",18,"3",18,390037,1,1
